Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,26.256,26.297,25.943,26.21,870709,0
1995-01-04,26.297,26.344,26.031,26.297,518679,0
1995-01-05,26.168,26.6,26.119,26.297,715556,0
1995-01-06,26.256,27.128,26.256,26.865,1549794,0
1995-01-09,26.815,27.433,26.737,27.128,1730431,0
1995-01-10,27.648,27.648,26.777,26.777,1867098,0
1995-01-11,27.21,27.297,26.903,26.992,2717320,0
1995-01-12,26.992,27.297,26.952,27.297,1238734,0
1995-01-13,27.612,27.828,27.473,27.648,1432114,0
1995-01-16,27.828,27.828,27.433,27.688,900940,0
1995-01-17,27.521,27.612,27.521,27.612,746536,0
1995-01-18,27.561,27.648,27.168,27.386,1178270,0
1995-01-19,27.386,27.473,26.865,27.081,1135050,0
1995-01-20,26.865,27.04,26.512,26.777,2934938,0
1995-01-23,26.6,26.737,26.21,26.384,1364658,0
1995-01-24,26.472,26.6,26.297,26.297,839482,0
1995-01-25,26.297,26.65,26.168,26.6,683329,0
1995-01-26,26.472,26.815,26.297,26.344,894450,0
1995-01-27,26.344,26.344,25.552,25.552,2048985,0
1995-01-30,25.472,25.472,24.51,24.726,3097085,0
1995-01-31,24.726,24.943,24.51,24.815,2000016,0
1995-02-01,24.856,25.335,24.856,25.248,2019750,0
1995-02-02,25.383,25.64,25.383,25.6,898445,0
1995-02-03,25.6,25.992,25.426,25.904,1470842,0
1995-02-06,25.816,25.864,25.552,25.816,1222245,0
1995-02-07,25.816,25.992,25.729,25.904,1045852,0
1995-02-08,25.943,26.031,25.864,25.943,1428866,0
1995-02-09,25.943,26.119,25.729,26.119,1580024,0
1995-02-10,26.119,26.256,26.08,26.119,1185765,0
1995-02-13,26.168,26.865,26.08,26.865,978895,0
1995-02-14,26.903,26.952,26.512,26.777,1736178,0
1995-02-15,26.865,27.521,26.737,27.168,1448606,0
1995-02-16,27.21,27.21,26.737,26.903,1274215,0
1995-02-17,26.92,27.184,26.576,26.576,3227255,0
1995-02-21,26.657,26.92,26.616,26.879,583638,0
1995-02-22,26.832,27.272,26.791,27.097,1245729,0
1995-02-23,27.272,27.537,27.234,27.362,1345668,0
1995-02-24,27.537,27.626,26.92,27.184,1300445,0
1995-02-27,27.097,27.408,26.879,26.97,1207504,0
1995-02-28,26.92,26.97,26.745,26.791,924928,0
1995-03-01,26.745,27.008,26.176,26.401,1411625,0
1995-03-02,26.089,26.176,25.608,25.648,1625998,0
1995-03-03,25.343,25.96,25.343,25.784,1279207,0
1995-03-06,25.608,25.695,25.304,25.521,1155285,0
1995-03-07,25.521,25.648,25.08,25.127,1117808,0
1995-03-08,25.255,25.434,24.951,25.167,2061978,0
1995-03-09,25.217,25.521,25.217,25.255,1504070,0
1995-03-10,25.521,25.784,25.391,25.608,1463846,0
1995-03-13,25.695,25.737,25.343,25.479,886203,0
1995-03-14,25.391,25.479,25.127,25.434,1118311,0
1995-03-15,25.479,25.737,25.304,25.434,1080833,0
1995-03-16,25.343,25.391,24.815,24.903,2000016,0
1995-03-17,25.038,25.304,24.862,25.217,3476851,0
1995-03-20,25.304,25.434,25.127,25.167,991138,0
1995-03-21,25.255,25.567,25.167,25.255,1488581,0
1995-03-22,25.217,25.737,25.217,25.648,923927,0
1995-03-23,25.648,26.048,25.648,25.695,929676,0
1995-03-24,25.872,26.137,25.737,25.825,1077837,0
1995-03-27,25.825,25.872,25.567,25.784,1135548,0
1995-03-28,25.784,26.265,25.784,26.176,1552791,0
1995-03-29,26.137,26.352,26.048,26.176,1193511,0
1995-03-30,26.352,26.704,26.176,26.352,2817010,0
1995-03-31,26.312,26.44,25.912,26.312,1919567,0
1995-04-03,26.401,26.49,26.137,26.265,1024366,0
1995-04-04,26.529,26.92,26.401,26.616,2704083,0
1995-04-05,26.616,26.616,26.44,26.576,1824873,0
1995-04-06,26.576,26.576,26.401,26.49,1048601,0
1995-04-07,26.44,26.657,26.44,26.576,846728,0
1995-04-10,26.657,27.008,26.657,26.704,980145,0
1995-04-11,26.832,27.097,26.44,26.576,1347915,0
1995-04-12,26.704,26.791,26.44,26.44,1772154,0
1995-04-13,26.657,26.704,26.265,26.401,837483,0
1995-04-17,26.44,26.44,25.648,25.648,2438242,0
1995-04-18,25.567,25.608,25.217,25.255,2760791,0
1995-04-19,25.434,25.912,25.217,25.912,1448355,0
1995-04-20,26,26,25.784,25.784,909189,0
1995-04-21,25.912,26.224,25.825,25.96,1412376,0
1995-04-24,25.96,26.401,25.784,26.265,2490963,0
1995-04-25,26.352,26.529,26.176,26.401,1029614,0
1995-04-26,26.312,26.312,26.089,26.224,506437,0
1995-04-27,26.176,26.401,26.048,26.401,804501,0
1995-04-28,26.401,27.008,26.224,27.008,1410627,0
1995-05-01,26.97,27.272,26.92,27.234,1951292,0
1995-05-02,27.32,27.576,27.272,27.576,1430614,0
1995-05-03,27.498,27.664,27.234,27.537,1420869,0
1995-05-04,27.576,27.887,27.408,27.664,2455980,0
1995-05-05,27.664,27.664,26.576,26.791,1920815,0
1995-05-08,26.704,27.576,26.704,27.576,1389391,0
1995-05-09,27.664,27.715,27.272,27.362,1573528,0
1995-05-10,27.32,27.408,26.92,27.234,709563,0
1995-05-11,27.32,27.752,27.184,27.664,1162032,0
1995-05-12,27.498,28.762,27.449,28.675,2932687,0
1995-05-15,28.649,28.914,28.385,28.512,2783530,0
1995-05-16,28.512,28.649,28.338,28.474,1931554,0
1995-05-17,28.385,28.737,28.248,28.512,1311191,0
1995-05-18,28.424,28.424,27.896,27.896,1332179,0
1995-05-19,27.329,27.858,27.329,27.767,2206134,0
1995-05-22,27.767,28.474,27.724,28.474,1742672,0
1995-05-23,28.563,28.649,28.209,28.649,1124304,0
1995-05-24,28.649,28.825,28.033,28.248,1438112,0
1995-05-25,28.209,28.209,27.506,27.633,945669,0
1995-05-26,27.68,27.68,27.279,27.543,948913,0
1995-05-30,27.543,27.543,27.242,27.368,619619,0
1995-05-31,27.417,27.724,27.329,27.724,768026,0
1995-06-01,27.724,28.033,27.594,27.858,1136798,0
1995-06-02,27.417,27.724,27.279,27.594,1537049,0
1995-06-05,27.506,27.809,27.506,27.68,847728,0
1995-06-06,27.68,27.896,27.594,27.809,1783150,0
1995-06-07,27.858,27.984,27.809,27.947,1187017,0
1995-06-08,27.984,28.297,27.947,28.162,849723,0
1995-06-09,28.074,28.209,27.896,27.947,898944,0
1995-06-12,27.896,27.947,27.68,27.767,616122,0
1995-06-13,27.809,28.649,27.633,28.512,1103321,0
1995-06-14,28.563,28.779,28.209,28.385,1192260,0
1995-06-15,28.385,28.385,27.809,27.984,1487080,0
1995-06-16,27.984,28.119,27.809,28.033,1331678,0
1995-06-19,28.074,28.248,27.809,27.896,953910,0
1995-06-20,27.984,27.984,27.543,27.858,1411126,0
1995-06-21,27.858,28.074,27.68,27.984,1101321,0
1995-06-22,28.074,29.266,28.033,29.179,3115327,0
1995-06-23,29.179,29.402,29.179,29.266,1301443,0
1995-06-26,29.179,29.313,29.089,29.089,895946,0
1995-06-27,29.089,29.129,28.512,28.563,749785,0
1995-06-28,28.385,28.955,28.385,28.866,933921,0
1995-06-29,28.866,29.442,28.866,29.353,869462,0
1995-06-30,29.217,30.233,29.217,30.233,2172907,0
1995-07-03,30.233,30.586,30.194,30.586,1138794,0
1995-07-05,30.498,31.205,30.498,31.117,2766039,0
1995-07-06,31.076,31.292,30.81,31.162,3402146,0
1995-07-07,31.162,31.555,31.117,31.427,3256738,0
1995-07-10,31.641,32.13,31.606,31.996,3138055,0
1995-07-11,31.996,32.222,30.547,30.547,4214895,0
1995-07-12,30.498,31.515,30.498,31.34,3091590,0
1995-07-13,31.379,31.555,30.853,31.34,2077716,0
1995-07-14,31.117,31.162,30.989,31.025,1484081,0
1995-07-17,31.025,31.117,30.586,31.076,1114062,0
1995-07-18,31.025,31.076,29.929,30.146,1640235,0
1995-07-19,30.057,30.498,29.353,29.753,2385774,0
1995-07-20,29.705,30.107,29.442,29.842,3041122,0
1995-07-21,29.882,29.882,29.313,29.442,2111941,0
1995-07-24,29.442,29.795,29.041,29.619,1300694,0
1995-07-25,29.619,29.795,29.313,29.578,1086575,0
1995-07-26,29.795,29.795,29.217,29.442,968902,0
1995-07-27,29.795,30.057,29.442,30.017,1357915,0
1995-07-28,30.017,30.146,29.578,29.578,1024366,0
1995-07-31,29.619,29.842,29.442,29.795,1608757,0
1995-08-01,29.619,30.107,29.442,29.705,1336925,0
1995-08-02,29.795,30.411,29.795,29.882,1673713,0
1995-08-03,29.842,30.283,29.667,30.107,1251725,0
1995-08-04,30.146,30.233,29.795,30.057,831737,0
1995-08-07,30.057,30.547,29.929,30.458,1195760,0
1995-08-08,30.547,30.586,29.929,30.057,1635239,0
1995-08-09,30.107,30.107,29.795,29.882,627112,0
1995-08-10,29.882,29.882,28.779,29.041,2614635,0
1995-08-11,28.825,28.955,28.601,28.689,1812628,0
1995-08-14,28.649,29.001,28.649,28.779,1464343,0
1995-08-15,28.601,28.737,28.338,28.563,2018501,0
1995-08-16,28.649,29.45,28.601,29.179,1698951,0
1995-08-17,29.001,29.05,28.825,29.001,975150,0
1995-08-18,29.274,29.45,29.089,29.226,1257223,0
1995-08-21,29.226,29.667,29.089,29.274,809500,0
1995-08-22,29.274,29.538,29.138,29.274,749785,0
1995-08-23,29.274,29.402,28.786,28.825,1401883,0
1995-08-24,28.914,29.089,28.649,28.698,1746918,0
1995-08-25,28.786,28.963,28.649,28.737,900445,0
1995-08-28,28.873,29.001,28.698,28.963,677829,0
1995-08-29,29.05,29.274,28.873,29.226,1014121,0
1995-08-30,29.179,29.226,29.001,29.001,570398,0
1995-08-31,29.001,29.226,28.737,29.05,991138,0
1995-09-01,29.05,29.274,29.05,29.274,558658,0
1995-09-05,29.714,30.379,29.578,29.978,1661721,0
1995-09-06,30.066,30.066,29.802,29.978,1099070,0
1995-09-07,29.978,30.339,29.937,30.242,1261221,0
1995-09-08,30.291,30.817,30.291,30.689,1036609,0
1995-09-11,30.603,30.643,30.379,30.466,674332,0
1995-09-12,30.516,30.869,30.426,30.869,991888,0
1995-09-13,30.956,30.956,30.555,30.778,1398884,0
1995-09-14,30.778,30.956,30.689,30.817,1787647,0
1995-09-15,30.732,30.732,30.242,30.379,2573912,0
1995-09-18,30.339,30.516,29.802,29.978,2443742,0
1995-09-19,29.892,29.978,29.179,29.714,2605014,0
1995-09-20,29.714,30.155,29.45,30.155,965900,0
1995-09-21,29.802,29.978,29.45,29.538,934549,0
1995-09-22,29.538,29.538,29.274,29.45,1183768,0
1995-09-25,29.538,29.538,28.914,29.001,895195,0
1995-09-26,29.001,29.45,29.001,29.362,1232863,0
1995-09-27,29.001,29.362,28.737,29.001,921681,0
1995-09-28,28.914,29.892,28.737,29.714,1436237,0
1995-09-29,29.179,30.066,29.179,29.802,1048230,0
1995-10-02,29.714,29.802,28.914,29.179,714805,0
1995-10-03,29.089,29.089,28.024,28.474,1990896,0
1995-10-04,28.474,28.474,27.408,27.585,2294959,0
1995-10-05,27.498,28.114,27.32,28.024,2261476,0
1995-10-06,27.672,27.851,27.32,27.672,1836992,0
1995-10-09,27.32,27.32,26.608,26.695,1900325,0
1995-10-10,26.344,27.408,26.08,27.32,3370417,0
1995-10-11,28.024,28.024,26.695,26.96,3178158,0
1995-10-12,27.145,27.32,26.695,26.96,2905329,0
