Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.3569,8.3909,8.2283,8.3909,567268,0
1995-01-04,8.425,8.5535,8.3311,8.4593,375610,0
1995-01-05,8.3909,8.4593,8.3909,8.425,332513,0
1995-01-06,8.3909,8.4849,8.3569,8.4593,1515746,0
1995-01-09,8.4849,8.5535,8.3909,8.4849,187805,0
1995-01-10,8.3909,8.5879,8.3909,8.425,530829,0
1995-01-11,8.4849,8.785,8.4593,8.7504,576027,0
1995-01-12,8.7504,8.7504,8.5879,8.5879,392776,0
1995-01-13,8.6478,8.7504,8.6478,8.6819,524520,0
1995-01-16,8.7163,8.9142,8.7163,8.8786,481776,0
1995-01-17,8.8443,8.9142,8.8101,8.8443,329006,0
1995-01-18,8.785,8.8443,8.785,8.8101,257530,0
1995-01-19,8.785,8.8443,8.7163,8.7504,310791,0
1995-01-20,8.785,8.8101,8.7163,8.7163,224944,0
1995-01-23,8.6819,8.7504,8.6219,8.6478,311486,0
1995-01-24,8.6478,8.6819,8.4849,8.5194,260330,0
1995-01-25,8.4593,8.4849,8.3909,8.425,428864,0
1995-01-26,8.4849,8.7163,8.4593,8.5879,422909,0
1995-01-27,8.5879,8.7163,8.4849,8.6819,413450,0
1995-01-30,8.6219,8.6478,8.5535,8.6219,413799,0
1995-01-31,8.6219,8.7163,8.5194,8.7163,220039,0
1995-02-01,8.6478,8.6819,8.5194,8.5535,329705,0
1995-02-02,8.5535,8.6219,8.5194,8.5194,379110,0
1995-02-03,8.5535,8.6819,8.5194,8.6219,481423,0
1995-02-06,8.6219,8.785,8.6219,8.785,281708,0
1995-02-07,8.8101,9.0055,8.8101,8.9738,479320,0
1995-02-08,8.9142,8.9738,8.9142,8.9399,244213,0
1995-02-09,9.0055,9.0055,8.8786,8.9142,625427,0
1995-02-10,8.9399,8.9738,8.9142,8.9738,323749,0
1995-02-13,8.9738,8.9738,8.9142,8.9738,133497,0
1995-02-14,8.9738,8.9738,8.6478,8.6478,232300,0
1995-02-15,8.7163,8.785,8.6219,8.6819,648554,0
1995-02-16,8.7504,8.7504,8.5535,8.5535,612116,0
1995-02-17,8.5879,8.785,8.5535,8.785,792910,0
1995-02-21,8.8526,8.8526,8.6905,8.7163,346876,0
1995-02-22,8.7163,8.785,8.6219,8.7163,374907,0
1995-02-23,8.8186,8.9142,8.785,8.8786,702864,0
1995-02-24,8.8786,8.9475,8.8786,8.9475,380863,0
1995-02-27,8.8526,8.9475,8.8186,8.8786,385417,0
1995-02-28,8.8526,8.9142,8.8186,8.8786,478969,0
1995-03-01,8.8786,8.8786,8.7163,8.8186,256476,0
1995-03-02,8.8186,8.8186,8.7504,8.8186,288363,0
1995-03-03,8.785,8.8186,8.7163,8.8186,488779,0
1995-03-06,8.8186,8.8186,8.7163,8.8186,239662,0
1995-03-07,8.7504,8.785,8.6905,8.7163,431319,0
1995-03-08,8.7504,8.8186,8.6905,8.6905,281005,0
1995-03-09,8.7504,8.8186,8.7163,8.785,320247,0
1995-03-10,8.8526,8.9475,8.8186,8.8786,627532,0
1995-03-13,8.8786,9.0762,8.8786,9.0762,472309,0
1995-03-14,9.0762,9.0762,8.9813,9.0418,153116,0
1995-03-15,9.0762,9.0762,8.9475,8.9813,356337,0
1995-03-16,8.9813,9.1446,8.9475,9.11,375610,0
1995-03-17,9.2044,9.4006,9.1446,9.4006,875950,0
1995-03-20,9.3681,9.528,9.3681,9.4343,360543,0
1995-03-21,9.4006,9.504,9.3424,9.47,593193,0
1995-03-22,9.4343,9.4343,9.3424,9.3681,2462475,0
1995-03-23,9.3073,9.3073,9.1446,9.2388,820243,0
1995-03-24,9.2388,9.3424,9.2044,9.2726,1134532,0
1995-03-27,9.3424,9.4343,9.3073,9.4343,1311122,0
1995-03-28,9.4343,9.47,9.3681,9.47,225296,0
1995-03-29,9.4006,9.598,9.4006,9.598,851075,0
1995-03-30,9.565,9.691,9.565,9.666,755418,0
1995-03-31,9.666,9.729,9.632,9.729,423961,0
1995-04-03,9.691,9.691,9.598,9.598,725639,0
