Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.588,6.6452,6.5095,6.5665,675017,0
1995-01-04,6.538,6.5665,6.4598,6.5095,1443343,0
1995-01-05,6.5665,6.7236,6.488,6.6736,1369372,0
1995-01-06,6.6452,6.8736,6.6452,6.8233,849867,0
1995-01-09,6.8021,6.9094,6.8021,6.9094,1053717,0
1995-01-10,6.9094,6.9877,6.7524,6.7524,1055819,0
1995-01-11,6.8233,6.8736,6.6949,6.8523,855329,0
1995-01-12,6.8523,6.9518,6.8523,6.9304,837676,0
1995-01-13,6.9304,6.9304,6.7524,6.8736,1091966,0
1995-01-16,6.9304,7.0877,6.9094,7.059,1688382,0
1995-01-17,7.0877,7.0877,6.8736,6.9518,1013368,0
1995-01-18,6.8736,6.9518,6.7735,6.7735,979740,0
1995-01-19,6.7735,6.7735,6.6164,6.6452,870881,0
1995-01-20,6.6452,6.6949,6.5665,6.588,1157530,0
1995-01-23,6.4093,6.538,6.4093,6.5095,1002859,0
1995-01-24,6.4598,6.6452,6.4384,6.588,2193595,0
1995-01-25,6.6164,6.7236,6.5665,6.6452,856172,0
1995-01-26,6.7524,6.8736,6.7236,6.7524,1534550,0
1995-01-27,6.7735,6.8523,6.588,6.6736,1020093,0
1995-01-30,6.6164,6.7524,6.6164,6.6949,1051614,0
1995-01-31,6.6949,6.7524,6.588,6.6164,822125,0
1995-02-01,6.7236,6.7236,6.5095,6.5665,1287406,0
1995-02-02,6.538,6.5665,6.3524,6.538,1301695,0
1995-02-03,6.588,6.6736,6.538,6.6164,1148707,0
1995-02-06,6.6164,6.6164,6.488,6.538,1680401,0
1995-02-07,6.5665,6.6164,6.488,6.5095,1708561,0
1995-02-08,6.488,6.5665,6.488,6.538,809095,0
1995-02-09,6.5523,6.5738,6.5022,6.5523,1400473,0
1995-02-10,6.5738,6.6521,6.5022,6.5237,822125,0
1995-02-13,6.5022,6.6878,6.5022,6.6878,545982,0
1995-02-14,6.7094,6.8093,6.6307,6.6307,487140,0
1995-02-15,6.6307,6.7879,6.6094,6.7594,468645,0
1995-02-16,6.6521,6.7094,6.5523,6.6307,484617,0
1995-02-17,6.6521,6.7094,6.6307,6.6878,507314,0
1995-02-21,6.6878,6.6878,6.5523,6.5523,515723,0
1995-02-22,6.5738,6.7594,6.5237,6.7378,911652,0
1995-02-23,6.8093,6.9233,6.7879,6.8448,1166355,0
1995-02-24,6.8448,6.9233,6.7879,6.8093,479994,0
1995-02-27,6.8093,6.8448,6.6521,6.6521,601883,0
