Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,76.5625,78.9062,76.5625,78.9062,24,0
1995-01-04,77.3437,79.6875,75,76.5625,416,0
1995-01-05,79.6875,86.7187,77.3437,86.7187,464,0
1995-01-06,86.7187,89.0625,85.9375,88.2812,680,0
1995-01-09,87.5,87.5,84.375,84.375,256,0
1995-01-10,87.5,87.5,82.8125,84.375,104,0
1995-01-11,87.5,87.5,81.25,81.25,144,0
1995-01-12,81.25,84.375,81.25,82.8125,64,0
1995-01-13,82.8125,82.8125,79.6875,79.6875,112,0
1995-01-16,82.8125,84.375,81.25,84.375,48,0
1995-01-17,82.8125,84.375,82.8125,82.8125,80,0
1995-01-18,82.8125,84.375,81.25,82.8125,224,0
1995-01-19,82.0312,84.375,78.125,78.125,232,0
1995-01-20,78.125,79.6875,73.4375,75,408,0
1995-01-23,71.875,73.4375,67.1875,70.3125,248,0
1995-01-24,71.875,76.5625,70.3125,75,400,0
1995-01-25,76.5625,82.0312,73.4375,79.6875,424,0
1995-01-26,80.4687,84.375,78.125,83.5937,304,0
1995-01-27,83.5937,84.375,79.6875,82.8125,448,0
1995-01-30,82.8125,82.8125,79.6875,82.8125,344,0
1995-01-31,80.4687,83.5937,79.6875,81.25,512,0
1995-02-01,82.8125,85.9375,81.25,83.5937,320,0
1995-02-02,83.5937,84.375,79.6875,79.6875,384,0
1995-02-03,79.6875,81.25,78.9062,81.25,80,0
1995-02-06,78.9062,84.375,78.9062,82.0312,456,0
1995-02-07,82.8125,83.5937,79.6875,82.8125,528,0
1995-02-08,81.25,82.8125,78.9062,78.9062,184,0
1995-02-09,80.4687,80.4687,78.9062,78.9062,128,0
1995-02-10,80.4687,80.4687,78.9062,80.4687,160,0
1995-02-13,78.9062,80.4687,77.3437,78.9062,424,0
1995-02-14,78.9062,78.9062,73.4375,77.3437,328,0
1995-02-15,75,78.125,74.2187,78.125,224,0
1995-02-16,75,78.125,74.2187,77.3437,160,0
1995-02-17,75.7812,77.3437,73.4375,76.5625,392,0
1995-02-21,76.5625,76.5625,73.4375,76.5625,208,0
1995-02-22,75.7812,78.125,75,78.125,176,0
1995-02-23,78.125,80.4687,76.5625,78.125,1096,0
1995-02-24,79.6875,81.25,76.5625,80.4687,360,0
1995-02-27,78.125,80.4687,76.5625,79.6875,352,0
1995-02-28,79.6875,81.25,76.5625,79.6875,392,0
1995-03-01,79.6875,81.25,78.125,78.9062,880,0
1995-03-02,78.125,78.125,75,77.3437,112,0
1995-03-03,79.6875,79.6875,75.7812,78.125,288,0
1995-03-06,75.7812,78.125,72.6562,75,328,0
1995-03-07,75,75,70.3125,73.4375,832,0
1995-03-08,71.875,78.9062,71.875,78.125,712,0
1995-03-09,76.5625,79.6875,76.5625,78.9062,216,0
1995-03-10,78.9062,79.6875,75.7812,79.6875,320,0
1995-03-13,75.7812,79.6875,75.7812,78.125,56,0
1995-03-14,76.5625,79.6875,74.2187,78.125,368,0
1995-03-15,77.3437,78.9062,73.4375,78.9062,440,0
1995-03-16,76.5625,79.6875,76.5625,79.6875,312,0
1995-03-17,78.9062,79.6875,75,76.5625,240,0
1995-03-20,78.125,78.125,75,77.3437,176,0
1995-03-21,75,78.125,73.4375,76.5625,256,0
1995-03-22,76.5625,78.125,75,75,240,0
1995-03-23,75.7812,90.625,75,90.625,1352,0
1995-03-24,93.75,103.125,93.75,96.875,3000,0
1995-03-27,96.875,101.5625,93.75,96.875,1296,0
1995-03-28,103.125,103.125,92.1875,96.875,2024,0
1995-03-29,98.4375,98.4375,92.1875,95.3125,1416,0
1995-03-30,95.3125,95.3125,85.9375,90.625,704,0
