Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.9252,3.9424,3.8827,3.9038,2691662,0
1995-01-04,3.9038,3.9168,3.8909,3.9168,3815156,0
1995-01-05,3.9168,3.9168,3.8909,3.9038,818793,0
1995-01-06,3.8827,3.9038,3.8694,3.8909,945844,0
1995-01-09,3.8909,3.9038,3.8827,3.9038,1399948,0
1995-01-10,3.9038,3.9038,3.8909,3.9038,875847,0
1995-01-11,3.8909,3.9038,3.8611,3.8611,739971,0
1995-01-12,3.8827,3.8909,3.8694,3.8827,520563,0
1995-01-13,3.8827,3.8827,3.8694,3.8827,891140,0
1995-01-16,3.8827,3.8827,3.8611,3.8694,1401712,0
1995-01-17,3.8694,3.8827,3.8611,3.8827,868201,0
1995-01-18,3.8909,3.9637,3.8909,3.9637,3332232,0
1995-01-19,3.9637,4.0408,3.9637,4.0238,2413438,0
1995-01-20,4.0238,4.0579,3.9853,4.045,2341674,0
1995-01-23,4.0408,4.0664,4.0238,4.0579,1856401,0
1995-01-24,4.0664,4.1135,4.0408,4.1008,2342853,0
1995-01-25,4.0793,4.1349,4.0793,4.1349,1407001,0
1995-01-26,4.0922,4.0922,4.0408,4.0793,1674052,0
1995-01-27,4.0664,4.1135,4.0664,4.0793,1279363,0
1995-01-30,4.0793,4.0793,4.045,4.0793,1842282,0
1995-01-31,4.0664,4.0664,4.0195,4.0195,1848166,0
1995-02-01,4.0195,4.0408,3.9853,3.9979,1319359,0
1995-02-02,3.9637,3.9979,3.9595,3.9766,739971,0
1995-02-03,3.9853,4.1135,3.9766,4.1008,1919340,0
1995-02-06,4.0793,4.1606,4.0793,4.1349,1711705,0
1995-02-07,4.1393,4.1734,4.1008,4.1224,1158778,0
1995-02-08,4.1135,4.1135,4.045,4.0664,714095,0
1995-02-09,4.0664,4.0664,4.0195,4.0195,1414658,0
1995-02-10,4.0195,4.0195,3.9766,3.9853,971729,0
1995-02-13,3.9979,4.0195,3.9766,3.9853,1292307,0
1995-02-14,3.9853,4.0922,3.9595,4.0922,2611668,0
1995-02-15,4.0922,4.1224,4.0664,4.1135,721739,0
1995-02-16,4.1008,4.1008,4.0408,4.0579,637622,0
1995-02-17,4.0579,4.1349,4.0579,4.1349,1808760,0
1995-02-21,4.1349,4.2034,4.1224,4.1822,1798172,0
1995-02-22,4.1564,4.1822,4.1224,4.1734,1908753,0
1995-02-23,4.1606,4.2164,4.1606,4.2034,2095217,0
1995-02-24,4.2164,4.3191,4.2164,4.2763,18285805,0
1995-02-27,4.2763,4.2763,4.2378,4.2548,4253371,0
1995-02-28,4.2548,4.3406,4.2422,4.3317,4705712,0
1995-03-01,4.3317,4.3406,4.2978,4.3105,3967504,0
1995-03-02,4.3105,4.3105,4.2763,4.2763,2685195,0
1995-03-03,4.2548,4.3317,4.2378,4.3317,2836366,0
1995-03-06,4.3105,4.3533,4.2889,4.3317,1742881,0
1995-03-07,4.3317,4.4217,4.3191,4.392,3405751,0
1995-03-08,4.392,4.4347,4.3406,4.392,1872283,0
1995-03-09,4.3791,4.4133,4.3705,4.3705,1507000,0
1995-03-10,4.3533,4.4217,4.3105,4.4133,1628176,0
1995-03-13,4.4004,4.4133,4.3705,4.392,1440532,0
1995-03-14,4.4133,4.4133,4.3705,4.392,1256424,0
1995-03-15,4.3791,4.3791,4.3533,4.3576,693504,0
1995-03-16,4.3533,4.4561,4.3406,4.4004,1842282,0
1995-03-17,4.4004,4.4133,4.3533,4.3533,2492847,0
1995-03-20,4.3533,4.3576,4.2889,4.3533,683506,0
1995-03-21,4.3317,4.4004,4.3317,4.3576,642330,0
1995-03-22,4.3576,4.3576,4.3317,4.3406,452921,0
1995-03-23,4.3406,4.3791,4.2978,4.3191,903491,0
1995-03-24,4.3317,4.3791,4.2978,4.3705,1361130,0
1995-03-27,4.3791,4.4388,4.3791,4.4388,2413438,0
1995-03-28,4.4388,4.4561,4.3705,4.4133,1878168,0
1995-03-29,4.4133,4.4217,4.3576,4.3576,1450535,0
1995-03-30,4.3661,4.3661,4.3191,4.3576,1856989,0
1995-03-31,4.3448,4.4004,4.3063,4.4004,1715816,0
1995-04-03,4.4004,4.4004,4.3063,4.3234,1524649,0
1995-04-04,4.3234,4.3576,4.3191,4.3576,800558,0
1995-04-05,4.3406,4.3406,4.2848,4.3406,1105253,0
1995-04-06,4.3576,4.4004,4.3234,4.3448,746444,0
1995-04-07,4.3406,4.3448,4.2848,4.3234,563511,0
1995-04-10,4.3063,4.3191,4.2978,4.2978,879969,0
1995-04-11,4.3063,4.3063,4.2548,4.2634,677034,0
1995-04-12,4.2634,4.4004,4.2422,4.3875,678209,0
1995-04-13,4.3791,4.4004,4.3406,4.3661,462330,0
1995-04-17,4.3875,4.4004,4.3063,4.3661,1506416,0
1995-04-18,4.3576,4.3661,4.3234,4.3661,1435830,0
1995-04-19,4.3875,4.4347,4.3791,4.4347,4503954,0
1995-04-20,4.4133,4.4733,4.3875,4.4733,1862869,0
1995-04-21,4.4948,4.5416,4.4388,4.4388,2772252,0
1995-04-24,4.4561,4.4561,4.4133,4.4388,721739,0
1995-04-25,4.4388,4.4388,4.3576,4.3875,2618140,0
1995-04-26,4.3661,4.4347,4.3661,4.4347,1637587,0
1995-04-27,4.4217,4.4217,4.3791,4.3875,1841698,0
1995-04-28,4.3875,4.3875,4.3576,4.3661,1077016,0
1995-05-01,4.3576,4.3791,4.3448,4.3791,2159335,0
1995-05-02,4.3576,4.3661,4.3234,4.3661,1820522,0
1995-05-03,4.3661,4.3791,4.3576,4.3791,1775230,0
1995-05-04,4.4347,4.4347,4.4004,4.4133,2185214,0
1995-05-05,4.4133,4.4133,4.3661,4.3875,1207011,0
1995-05-08,4.3791,4.3875,4.3661,4.3791,1061137,0
