Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,30.25,30.327,29.648,29.987,733977,0
1995-01-04,29.677,29.852,29.162,29.25,749949,0
1995-01-05,29.25,29.677,29.25,29.337,760872,0
1995-01-06,29.162,29.764,29.075,29.512,425466,0
1995-01-09,29.425,29.59,28.998,29.162,236072,0
1995-01-10,28.998,29.512,28.736,29.25,643195,0
1995-01-11,29.337,29.337,28.473,28.823,728722,0
1995-01-12,28.736,29.25,28.561,28.998,329636,0
1995-01-13,29.075,29.25,28.561,28.736,647008,0
1995-01-16,28.736,29.162,28.648,28.91,533455,0
1995-01-17,28.736,28.823,28.473,28.736,501717,0
1995-01-18,28.736,28.91,28.561,28.648,1232191,0
1995-01-19,28.473,28.648,28.396,28.396,697396,0
1995-01-20,28.221,28.308,27.794,28.047,1180670,0
1995-01-23,27.959,28.396,27.707,28.308,907811,0
1995-01-24,28.396,28.473,28.134,28.308,766745,0
1995-01-25,28.308,28.308,27.794,27.881,612284,0
1995-01-26,27.959,28.308,27.367,28.308,1266608,0
1995-01-27,28.473,28.736,28.396,28.473,507282,0
1995-01-30,28.473,28.823,28.047,28.134,670194,0
1995-01-31,28.134,28.736,28.134,28.473,839595,0
1995-02-01,28.736,29.425,28.473,29.425,992719,0
1995-02-02,29.425,29.59,28.91,29.337,1007351,0
1995-02-03,29.425,30.026,29.425,29.764,995809,0
1995-02-06,29.59,29.764,29.512,29.59,990452,0
1995-02-07,29.677,29.677,28.998,29.512,738615,0
1995-02-08,29.337,29.677,29.25,29.59,401970,0
1995-02-09,29.59,29.59,29.337,29.512,500686,0
1995-02-10,29.512,29.677,29.075,29.59,614446,0
1995-02-13,29.425,30.104,29.425,29.677,1143264,0
1995-02-14,29.764,29.939,29.512,29.764,542935,0
1995-02-15,29.852,29.939,29.425,29.425,673903,0
1995-02-16,29.337,29.677,29.337,29.677,382496,0
1995-02-17,29.677,29.725,29.425,29.512,679363,0
1995-02-21,29.59,29.59,29.075,29.25,736965,0
1995-02-22,29.25,30.104,29.075,30.026,1191283,0
1995-02-23,30.366,30.366,29.337,29.512,1077936,0
1995-02-24,29.512,29.852,29.425,29.852,643814,0
1995-02-27,29.852,29.939,29.075,29.075,732843,0
1995-02-28,29.337,29.425,28.91,29.425,473690,0
1995-03-01,29.25,29.764,29.162,29.512,377035,0
1995-03-02,29.162,29.337,28.91,29.162,424744,0
1995-03-03,29.162,29.162,28.561,28.648,478019,0
1995-03-06,28.648,28.648,28.221,28.308,852992,0
1995-03-07,28.473,28.823,28.473,28.648,601360,0
1995-03-08,28.561,28.998,28.473,28.998,619290,0
1995-03-09,28.998,29.677,28.998,29.162,1040840,0
1995-03-10,29.25,29.939,29.25,29.677,1893419,0
1995-03-13,29.59,29.764,29.425,29.512,491412,0
1995-03-14,29.59,29.852,29.425,29.764,799615,0
1995-03-15,29.677,29.852,29.512,29.764,423301,0
1995-03-16,29.677,30.279,29.677,29.939,707805,0
1995-03-17,30.026,30.104,29.939,29.939,850106,0
1995-03-20,29.939,30.453,29.939,30.366,344784,0
1995-03-21,30.279,30.88,30.279,30.618,815793,0
1995-03-22,30.541,30.968,30.541,30.88,274507,0
1995-03-23,30.88,31.055,30.706,30.793,387648,0
1995-03-24,30.706,31.055,30.706,30.793,413409,0
1995-03-27,30.793,30.968,30.793,30.793,263379,0
1995-03-28,30.793,31.569,30.793,31.569,707391,0
1995-03-29,31.569,31.909,31.133,31.133,530569,0
1995-03-30,31.22,31.395,31.055,31.22,509033,0
1995-03-31,31.22,31.22,30.793,30.793,627739,0
1995-04-03,30.793,31.133,30.453,31.055,818163,0
1995-04-04,31.298,31.298,31.036,31.123,688534,0
1995-04-05,31.123,31.472,31.123,31.385,325720,0
1995-04-06,30.861,31.472,30.609,31.298,648348,0
1995-04-07,31.385,31.472,31.123,31.298,551899,0
1995-04-10,31.21,31.21,30.861,30.948,297178,0
1995-04-11,31.123,31.21,30.259,30.347,1056194,0
1995-04-12,30.172,30.347,29.823,30.084,1178608,0
1995-04-13,30.259,30.259,29.997,30.084,447105,0
1995-04-17,30.259,30.259,29.473,29.56,1072990,0
1995-04-18,29.56,29.56,29.133,29.308,1620149,0
1995-04-19,29.386,29.823,29.386,29.648,666690,0
1995-04-20,29.648,30.172,29.648,29.91,741087,0
1995-04-21,29.997,30.347,29.91,30.259,702240,0
1995-04-24,30.609,30.686,29.823,30.434,1519371,0
1995-04-25,30.434,30.609,29.91,30.084,1215395,0
1995-04-26,30.084,30.774,30.084,30.686,455864,0
