Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.163,10.231,10.002,10.14,4458268,0
1995-01-04,10.051,10.231,10.051,10.231,5113422,0
1995-01-05,10.206,10.231,10.14,10.189,3888146,0
1995-01-06,10.14,10.189,10.093,10.117,2603400,0
1995-01-09,10.068,10.14,9.979,10.002,5536099,0
1995-01-10,9.979,10.206,9.979,10.206,5759231,0
1995-01-11,10.189,10.206,10.051,10.206,5027899,0
1995-01-12,10.189,10.28,10.093,10.117,5109975,0
1995-01-13,10.117,10.163,10.068,10.093,3817373,0
1995-01-16,10.093,10.206,10.093,10.189,3244298,0
1995-01-17,10.206,10.231,10.14,10.231,4077368,0
1995-01-18,10.14,10.231,10.14,10.206,5155690,0
1995-01-19,10.14,10.189,10.117,10.14,5924863,0
1995-01-20,10.093,10.189,10.051,10.14,8540060,0
1995-01-23,10.068,10.417,10.051,10.394,5226460,0
1995-01-24,10.394,10.394,10.256,10.256,4943367,0
1995-01-25,10.256,10.256,10.163,10.189,4191884,0
1995-01-26,10.189,10.441,10.189,10.394,6322475,0
1995-01-27,10.464,10.654,10.394,10.629,6048716,0
1995-01-30,10.516,10.718,10.516,10.718,5933714,0
1995-01-31,10.768,11.068,10.742,10.816,11147884,0
1995-02-01,10.864,10.864,10.516,10.557,6328375,0
1995-02-02,10.604,10.694,10.54,10.581,5729744,0
1995-02-03,10.604,10.718,10.604,10.678,4582125,0
1995-02-06,10.694,10.864,10.694,10.742,5745964,0
1995-02-07,10.694,10.793,10.678,10.768,3938770,0
1995-02-08,10.678,10.775,10.663,10.751,4376683,0
1995-02-09,10.726,10.751,10.611,10.611,5236290,0
1995-02-10,10.637,10.751,10.516,10.678,6610488,0
1995-02-13,10.703,10.751,10.54,10.678,8468301,0
1995-02-14,10.726,10.751,10.637,10.663,3503309,0
1995-02-15,10.703,10.726,10.54,10.564,7007606,0
1995-02-16,10.5,10.564,10.45,10.564,4460726,0
1995-02-17,10.54,10.678,10.376,10.403,12708844,0
1995-02-21,10.426,10.5,10.403,10.45,4603748,0
1995-02-22,10.473,10.678,10.473,10.611,4909455,0
1995-02-23,10.663,10.726,10.611,10.663,4823446,0
1995-02-24,10.678,10.775,10.637,10.678,4965481,0
1995-02-27,10.678,10.775,10.611,10.637,3307700,0
1995-02-28,10.587,10.726,10.564,10.611,4485789,0
1995-03-01,10.587,10.663,10.54,10.587,5335571,0
1995-03-02,10.663,10.873,10.587,10.873,4495621,0
1995-03-03,10.824,10.849,10.751,10.802,4028219,0
