Date,Open,High,Low,Close,Volume,OpenInt
1999-06-25,16.635,16.794,14.896,15.663,47179816,0
1999-06-28,15.502,15.76,14.274,15.702,9671308,0
1999-06-29,15.502,21.347,15.178,18.297,15515755,0
1999-06-30,19.285,25.205,18.846,23.6,17763133,0
1999-07-01,25.006,25.663,22.497,23.124,10009043,0
1999-07-02,23.343,23.914,21.386,22.61,4124194,0
1999-07-06,22.811,24.435,21.699,22.097,3840746,0
1999-07-07,21.957,22.647,20.272,21.395,4476452,0
1999-07-08,21.783,21.86,20.272,20.272,2511258,0
1999-07-09,20.909,21.072,19.321,21.023,3121078,0
1999-07-12,21.225,21.386,20.217,20.272,1511301,0
1999-07-13,19.921,21.062,19.321,19.799,1965826,0
1999-07-14,20.189,21.699,19.883,20.919,3671560,0
1999-07-15,21.023,23.76,20.909,23.687,5412019,0
1999-07-16,24.492,25.025,22.354,22.63,5287022,0
1999-07-19,23.484,23.6,21.347,21.386,2154580,0
1999-07-20,21.006,22.773,20.179,21.86,4043388,0
1999-07-21,22.885,24.927,22.497,22.773,12739990,0
1999-07-22,23.57,24.332,21.5,23.522,8234499,0
1999-07-23,24.074,24.236,22.647,23.104,3836329,0
1999-07-26,22.963,23.448,22.02,22.849,4647529,0
1999-07-27,23.522,23.724,22.973,23.144,2393840,0
1999-07-28,22.992,23.01,22.41,22.773,2427296,0
1999-07-29,21.86,23.362,21.699,22.973,1734143,0
1999-07-30,23.266,26.137,23.124,25.729,9555149,0
1999-08-02,25.348,27.324,24.71,25.546,7252847,0
1999-08-03,26.042,26.689,24.255,24.618,6850719,0
1999-08-04,24.351,24.71,23.448,24.69,4748536,0
1999-08-05,24.341,25.501,23.124,24.977,5365936,0
1999-08-06,24.788,25.94,24.294,25.348,3599592,0
1999-08-09,25.663,26.878,25.482,25.729,2987879,0
1999-08-10,25.775,27.106,25.501,27.077,3271956,0
1999-08-11,27.402,29.368,27.363,29.368,4820501,0
1999-08-12,29.35,31.527,29.302,31.204,4848277,0
1999-08-13,32.477,34.044,31.527,33.855,6695421,0
1999-08-16,33.645,33.742,31.68,32.315,4415217,0
1999-08-17,32.933,34.768,32.011,34.624,5268085,0
1999-08-18,34.216,35.461,32.76,32.76,3915871,0
1999-08-19,32.154,33.266,31.839,32.788,2926645,0
1999-08-20,33.179,33.188,31.839,32.411,1530869,0
1999-08-23,32.315,36.107,32.238,35.954,5175286,0
1999-08-24,35.338,37.124,34.358,35.052,8113923,0
1999-08-25,35.641,35.954,33.979,34.293,3310467,0
1999-08-26,34.368,35.678,33.989,34.101,3550987,0
1999-08-27,34.576,35.328,33.58,34.53,2333866,0
1999-08-30,34.53,34.53,33.038,33.276,2128696,0
1999-08-31,33.341,33.815,32.097,32.477,2915912,0
1999-09-01,32.695,33.028,28.37,28.551,13195780,0
1999-09-02,26.849,31.954,26.849,31.46,13998776,0
1999-09-03,32.391,32.495,29.948,30.614,7439078,0
1999-09-07,30.359,31.135,29.482,30.652,2035899,0
1999-09-08,30.472,32.315,29.874,30.652,4134926,0
1999-09-09,31.088,31.088,29.464,30.442,1329489,0
1999-09-10,30.813,31.68,30.122,30.339,1801060,0
1999-09-13,30.414,30.527,28.496,28.515,1775175,0
1999-09-14,28.753,30.082,28.496,29.009,2509362,0
1999-09-15,29.719,30.85,28.844,29.228,4859644,0
1999-09-16,29.445,29.464,28.259,29.045,2553554,0
1999-09-17,29.35,29.805,28.788,28.912,1462058,0
1999-09-20,29.027,29.425,28.351,28.99,1515088,0
1999-09-21,28.951,30.71,28.714,29.626,3296577,0
1999-09-22,29.607,30.329,28.826,30.052,1892596,0
1999-09-23,29.939,30.967,28.826,28.98,3249229,0
1999-09-24,29.045,31.527,28.675,31.517,3602121,0
1999-09-27,31.67,34.51,31.67,32.77,7731364,0
1999-09-28,32.724,32.788,30.776,31.252,4475189,0
1999-09-29,31.363,32.352,30.052,30.329,4142500,0
