Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.5345,8.6511,8.5014,8.6259,2458111,0
1995-01-04,8.6511,8.7756,8.6259,8.7756,2984363,0
1995-01-05,8.8007,8.8935,8.7428,8.8599,4244914,0
1995-01-06,8.8935,9.0091,8.8935,8.8935,2825982,0
1995-01-09,8.9172,8.9772,8.8935,8.9508,1282507,0
1995-01-10,8.9172,8.9508,8.8599,8.8599,1170921,0
1995-01-11,8.8935,8.9508,8.6846,8.8599,3178734,0
1995-01-12,8.8349,8.8599,8.8007,8.8349,1971095,0
1995-01-13,8.9172,9.1265,8.8349,9.1265,5110599,0
1995-01-16,9.1854,9.4836,9.1854,9.252,6646152,0
1995-01-17,9.2172,9.252,9.0421,9.1265,4373776,0
1995-01-18,9.1265,9.1265,8.9172,9.0091,4157804,0
1995-01-19,8.8935,8.9508,8.8007,8.8599,2373883,0
1995-01-20,8.8935,8.9508,8.7093,8.7093,3233446,0
1995-01-23,8.568,8.8935,8.5345,8.8935,4283428,0
1995-01-24,8.8935,9.0677,8.8935,8.9772,2897252,0
1995-01-25,9.0091,9.1854,8.9508,9.0677,2736356,0
1995-01-26,9.0677,9.1016,8.9772,9.0091,2177349,0
1995-01-27,9.0421,9.252,9.0421,9.2172,3052031,0
1995-01-30,9.1604,9.1854,9.0421,9.1016,1250474,0
1995-01-31,9.1016,9.3096,9.0421,9.2774,2391162,0
1995-02-01,9.2774,9.3096,9.1604,9.1854,3307598,0
1995-02-02,9.1265,9.252,9.1265,9.252,2119396,0
1995-02-03,9.3096,9.501,9.3096,9.4258,5547939,0
1995-02-06,9.368,9.4836,9.3096,9.4607,6216010,0
1995-02-07,9.4836,9.542,9.3931,9.3931,3248207,0
1995-02-08,9.368,9.542,9.368,9.4836,4751007,0
1995-02-09,9.517,9.517,9.4258,9.4258,2332491,0
1995-02-10,9.4836,9.4836,9.4607,9.4836,2353723,0
1995-02-13,9.4836,9.635,9.4258,9.517,2108598,0
1995-02-14,9.517,9.635,9.501,9.542,4132251,0
1995-02-15,9.635,9.726,9.576,9.602,3756461,0
1995-02-16,9.602,9.602,9.4607,9.4607,2351206,0
1995-02-17,9.4836,9.517,9.4607,9.4836,3062113,0
1995-02-21,9.517,9.576,9.517,9.517,2553142,0
1995-02-22,9.517,9.542,9.4836,9.4836,4422370,0
1995-02-23,9.542,9.576,9.4836,9.517,3443301,0
