Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.0158,8.0158,7.5802,7.7763,5877531,0
1995-01-04,7.7763,8.0585,7.7763,8.0329,3148226,0
1995-01-05,8.0158,8.2466,8.0158,8.0585,2563140,0
1995-01-06,8.1012,8.2466,8.0585,8.1784,1429947,0
1995-01-09,8.2466,8.2466,8.0585,8.0845,1366756,0
1995-01-10,8.0585,8.298,8.0585,8.2039,1559601,0
1995-01-11,8.2039,8.2466,7.956,8.0329,2570629,0
1995-01-12,8.0845,8.1525,8.0158,8.0585,1660236,0
1995-01-13,8.1525,8.1525,8.0158,8.0585,1321353,0
1995-01-16,8.0585,8.2039,8.0585,8.1012,822396,0
1995-01-17,8.2039,8.2039,8.0585,8.1271,2605268,0
1995-01-18,8.1525,8.2208,8.0585,8.1525,1384546,0
1995-01-19,8.1525,8.2039,8.0585,8.0845,1539476,0
1995-01-20,8.1012,8.1525,8.0585,8.0585,1009623,0
1995-01-23,8.0585,8.1525,8.0158,8.1012,726909,0
1995-01-24,8.1012,8.298,8.1012,8.298,1357394,0
1995-01-25,8.2466,8.298,8.1525,8.2466,897756,0
1995-01-26,8.2466,8.2466,8.1012,8.1012,494748,0
1995-01-27,8.2039,8.2039,7.8707,7.8707,1868995,0
1995-01-30,7.9391,7.9391,7.5802,7.6742,2969889,0
1995-01-31,7.6742,7.7763,7.5289,7.7253,3141204,0
1995-02-01,7.8193,8.0585,7.7937,7.9905,1309185,0
1995-02-02,7.956,8.1012,7.8707,7.9133,1969630,0
1995-02-03,7.9133,8.1525,7.9133,8.1525,913201,0
1995-02-06,8.1525,8.2466,7.956,8.0158,1412162,0
1995-02-07,7.956,8.1012,7.956,8.1012,1464585,0
1995-02-08,8.0585,8.2039,8.0585,8.2039,867796,0
1995-02-09,8.1271,8.2466,8.1012,8.1012,952517,0
1995-02-10,8.1012,8.2466,8.1012,8.2466,1103705,0
1995-02-13,8.1525,8.4432,8.1525,8.3921,2171367,0
1995-02-14,8.3921,8.4432,8.3491,8.3921,1004940,0
1995-02-15,8.3921,8.5799,8.3921,8.5286,1938739,0
1995-02-16,8.5286,8.5286,8.3921,8.486,1772104,0
1995-02-17,8.486,8.5286,8.3921,8.4432,1702834,0
1995-02-21,8.5286,8.631,8.4432,8.6057,2061839,0
1995-02-22,8.298,8.3491,7.6742,7.9391,21823198,0
1995-02-23,8.0158,8.1012,7.956,8.1012,7173140,0
1995-02-24,8.1012,8.2466,8.0158,8.1525,3181460,0
1995-02-27,8.2208,8.3662,8.0845,8.1525,3145883,0
1995-02-28,8.2208,8.2208,7.9905,8.0845,1346162,0
1995-03-01,7.9905,8.0845,7.8877,7.8877,2114732,0
1995-03-02,7.8877,7.956,7.7423,7.845,3298475,0
1995-03-03,7.845,7.845,7.6998,7.7937,1298420,0
1995-03-06,7.7423,7.7423,7.657,7.657,754995,0
1995-03-07,7.657,7.6998,7.5544,7.5544,2820111,0
1995-03-08,7.5544,7.657,7.2724,7.3151,5394014,0
1995-03-09,7.3151,7.3833,7.0248,7.076,5505884,0
1995-03-10,7.1531,7.2212,6.9392,7.1016,7558362,0
1995-03-13,7.076,7.2212,6.9818,7.17,5334570,0
1995-03-14,7.17,7.2724,7.0248,7.17,6846430,0
1995-03-15,7.3664,7.5115,7.2212,7.3664,8749129,0
1995-03-16,7.4605,7.5115,7.3664,7.5115,4287971,0
1995-03-17,7.5544,7.5544,7.4605,7.5115,4549153,0
1995-03-20,7.5115,7.5115,7.3151,7.4175,1114002,0
1995-03-21,7.4175,7.4605,7.3664,7.3752,1700022,0
1995-03-22,7.3664,7.4862,7.3151,7.3664,3380857,0
1995-03-23,7.3664,7.5115,7.3664,7.4347,1910655,0
1995-03-24,7.4347,7.6998,7.4175,7.6998,2600117,0
1995-03-27,7.6998,7.7937,7.5115,7.657,2348766,0
1995-03-28,7.5544,7.7937,7.5544,7.7937,2494332,0
1995-03-29,7.7937,7.845,7.6998,7.7937,5427714,0
1995-03-30,7.845,7.845,7.6315,7.7937,3351366,0
1995-03-31,7.6998,7.7937,7.657,7.7937,2810281,0
1995-04-03,7.7937,7.845,7.657,7.7423,2956314,0
1995-04-04,7.7423,7.9391,7.6998,7.845,3630803,0
1995-04-05,7.845,7.9391,7.8193,7.9391,5057007,0
1995-04-06,7.9391,8.0329,7.7937,7.9905,2950236,0
1995-04-07,7.9905,8.0329,7.8877,7.9391,2876747,0
