Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,18.741,18.822,18.657,18.822,255704,0
1995-01-04,18.903,18.986,18.741,18.863,582189,0
1995-01-05,18.779,18.986,18.741,18.986,979704,0
1995-01-06,18.741,18.779,18.536,18.657,391394,0
1995-01-09,18.657,18.7,18.422,18.536,310569,0
1995-01-10,18.617,18.779,18.536,18.577,441113,0
1995-01-11,18.577,18.863,18.496,18.741,693386,0
1995-01-12,18.657,18.779,18.577,18.741,240272,0
1995-01-13,18.741,18.986,18.741,18.944,656890,0
1995-01-16,18.986,19.028,18.779,18.779,378654,0
1995-01-17,18.7,18.863,18.657,18.863,389924,0
1995-01-18,18.822,18.903,18.741,18.779,352937,0
1995-01-19,18.617,18.617,18.422,18.463,1213611,0
1995-01-20,18.463,18.463,17.531,17.605,3147059,0
1995-01-23,17.408,17.531,17.002,17.329,4231108,0
1995-01-24,17.286,17.452,17.204,17.329,2300351,0
1995-01-25,17.286,17.565,17.204,17.452,1458289,0
1995-01-26,17.452,17.766,17.452,17.728,738698,0
1995-01-27,17.81,18.012,17.81,17.932,429356,0
1995-01-30,17.85,17.889,17.687,17.81,379389,0
1995-01-31,17.889,18.054,17.728,17.81,813155,0
1995-02-01,17.81,17.81,17.605,17.645,552550,0
1995-02-02,17.728,17.728,17.605,17.687,214311,0
1995-02-03,17.81,17.81,17.491,17.565,695347,0
1995-02-06,17.605,17.889,17.531,17.81,796011,0
1995-02-07,17.932,18.096,17.85,17.932,778622,0
1995-02-08,17.932,18.012,17.687,17.687,457032,0
1995-02-09,17.605,17.85,17.605,17.766,302483,0
1995-02-10,17.728,18.012,17.728,17.932,700241,0
1995-02-13,18.012,18.096,17.687,17.728,338241,0
1995-02-14,17.728,17.85,17.645,17.85,305913,0
1995-02-15,17.889,17.974,17.687,17.766,452136,0
1995-02-16,17.728,17.81,17.565,17.81,399966,0
1995-02-17,17.889,17.889,17.687,17.81,385758,0
1995-02-21,17.974,17.974,17.766,17.932,1105597,0
1995-02-22,17.81,18.054,17.605,17.605,851363,0
1995-02-23,17.766,17.81,17.565,17.645,1030158,0
1995-02-24,17.645,17.81,17.605,17.766,855281,0
1995-02-27,17.766,17.766,17.605,17.605,411233,0
1995-02-28,17.687,17.766,17.565,17.605,670119,0
1995-03-01,17.687,18.054,17.645,17.974,970643,0
1995-03-02,17.889,18.096,17.85,18.096,467317,0
1995-03-03,18.012,18.134,17.889,18.096,720820,0
1995-03-06,18.012,18.096,17.974,18.096,625788,0
1995-03-07,18.012,18.096,17.81,17.85,804093,0
1995-03-08,17.85,17.932,17.645,17.81,586354,0
1995-03-09,17.85,18.134,17.766,18.054,981177,0
1995-03-10,18.054,18.585,18.054,18.422,1995172,0
1995-03-13,18.422,18.545,18.219,18.545,463157,0
1995-03-14,18.585,18.953,18.585,18.91,1707140,0
1995-03-15,18.91,19.352,18.788,19.273,1007385,0
1995-03-16,19.273,19.273,18.986,19.028,577537,0
1995-03-17,19.312,19.395,19.151,19.273,1199404,0
1995-03-20,19.312,19.517,19.312,19.474,706613,0
1995-03-21,19.395,19.68,19.312,19.352,523654,0
1995-03-22,19.352,19.352,18.91,19.065,342409,0
1995-03-23,19.065,19.108,18.986,19.065,812177,0
1995-03-24,19.108,19.352,19.065,19.065,763439,0
1995-03-27,19.151,19.352,19.151,19.312,464627,0
1995-03-28,19.312,19.474,19.23,19.474,621869,0
1995-03-29,19.474,19.517,19.352,19.517,1635864,0
1995-03-30,19.474,19.517,18.953,19.352,2007169,0
1995-03-31,19.352,19.352,18.986,19.028,991463,0
1995-04-03,18.91,19.151,18.91,19.028,488873,0
1995-04-04,19.108,19.474,19.065,19.188,1216795,0
1995-04-05,19.23,19.312,19.151,19.23,569700,0
1995-04-06,19.23,19.273,19.151,19.188,353184,0
1995-04-07,19.188,19.474,19.188,19.434,864346,0
1995-04-10,19.188,19.434,19.188,19.352,593458,0
1995-04-11,19.312,19.312,18.986,19.273,661056,0
1995-04-12,19.188,19.434,19.108,19.395,599337,0
1995-04-13,19.395,19.517,19.395,19.474,421027,0
1995-04-17,19.557,19.68,19.352,19.395,1021343,0
1995-04-18,19.273,19.273,18.986,19.065,442340,0
1995-04-19,19.23,19.68,19.23,19.557,1072778,0
1995-04-20,19.517,20.21,19.434,20.007,2006192,0
1995-04-21,20.332,21.109,20.252,20.782,2832575,0
1995-04-24,20.538,20.987,20.374,20.987,1219735,0
1995-04-25,20.617,20.864,20.578,20.617,579987,0
1995-04-26,20.617,20.741,20.454,20.7,465114,0
1995-04-27,20.617,20.617,20.416,20.454,372531,0
1995-04-28,20.495,20.741,20.291,20.741,543001,0
1995-05-01,20.538,20.617,20.252,20.332,436950,0
1995-05-02,20.21,20.7,20.169,20.7,521449,0
1995-05-03,20.7,20.904,20.617,20.864,928027,0
1995-05-04,20.904,21.151,20.782,20.987,718613,0
1995-05-05,21.109,21.109,20.66,20.7,1209694,0
1995-05-08,20.7,20.782,20.454,20.7,1231000,0
1995-05-09,20.741,20.741,20.454,20.66,492549,0
1995-05-10,20.578,20.66,20.291,20.416,252274,0
1995-05-11,20.864,21.802,20.864,21.557,2575892,0
1995-05-12,21.475,21.598,21.394,21.475,998321,0
1995-05-15,21.516,21.64,21.435,21.475,961092,0
1995-05-16,21.557,21.598,21.475,21.516,523162,0
1995-05-17,21.435,21.435,21.273,21.394,574105,0
1995-05-18,21.312,21.475,21.231,21.353,946886,0
1995-05-19,21.353,21.394,21.109,21.312,970643,0
1995-05-22,21.273,21.353,21.188,21.312,387476,0
1995-05-23,21.273,21.394,21.151,21.353,589050,0
1995-05-24,21.353,21.722,21.273,21.435,1272884,0
