Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.4267,5.4828,5.4267,5.4828,158183,0
1995-01-04,5.4828,5.4828,5.3798,5.4267,253736,0
1995-01-05,5.4828,5.6418,5.4267,5.5858,279816,0
1995-01-06,5.539,5.6418,5.539,5.5858,363398,0
1995-01-09,5.5858,5.7353,5.5858,5.7353,418334,0
1995-01-10,5.8477,5.8477,5.6887,5.7917,419399,0
1995-01-11,5.6887,5.7353,5.6887,5.7353,392683,0
1995-01-12,5.6887,5.6887,5.5858,5.6418,487804,0
1995-01-13,5.6418,5.6418,5.539,5.539,292000,0
1995-01-16,5.5858,5.5858,5.4267,5.539,294140,0
1995-01-17,5.4828,5.539,5.4267,5.4828,254586,0
1995-01-18,5.4828,5.539,5.4267,5.539,234068,0
1995-01-19,5.4828,5.5858,5.4828,5.539,109661,0
1995-01-20,5.4828,5.4828,5.3237,5.3798,191745,0
1995-01-23,5.2677,5.2677,5.1644,5.2207,456809,0
1995-01-24,5.2207,5.3798,5.2207,5.2677,289862,0
1995-01-25,5.2677,5.3798,5.2677,5.3237,194522,0
1995-01-26,5.3237,5.4267,5.3237,5.4267,138731,0
1995-01-27,5.4267,5.4267,5.2677,5.3237,253097,0
1995-01-30,5.3237,5.3798,5.2677,5.3237,183409,0
1995-01-31,5.3237,5.5858,5.3237,5.4828,449115,0
1995-02-01,5.4828,5.539,5.3798,5.4828,236421,0
1995-02-02,5.4267,5.539,5.4267,5.539,157543,0
1995-02-03,5.539,5.539,5.4828,5.539,106669,0
1995-02-06,5.539,5.7917,5.4828,5.7353,631883,0
1995-02-07,5.8477,6.0535,5.7353,6.0067,1282786,0
1995-02-08,6.1376,6.1376,6.0348,6.0348,502130,0
1995-02-09,6.0348,6.0814,5.9786,5.9786,222528,0
1995-02-10,6.0348,6.1939,6.0348,6.0348,220178,0
1995-02-13,6.0814,6.0814,5.9786,6.0814,123341,0
1995-02-14,6.1376,6.1939,5.9225,6.0348,150487,0
1995-02-15,6.0348,6.1939,6.0348,6.0814,673778,0
1995-02-16,6.0348,6.0814,5.9225,5.9225,253736,0
1995-02-17,5.9225,6.0348,5.8756,5.9225,374513,0
1995-02-21,5.9225,6.0348,5.8756,5.9786,133173,0
1995-02-22,5.9786,6.0814,5.8756,5.8756,491869,0
1995-02-23,5.8756,6.0348,5.8756,5.9225,416194,0
1995-02-24,6.0348,6.0348,5.8756,5.9225,460660,0
1995-02-27,5.9225,6.1376,5.9225,6.0814,199440,0
1995-02-28,6.0348,6.1939,6.0348,6.1376,286012,0
1995-03-01,6.2406,6.353,6.0814,6.1376,887968,0
1995-03-02,6.1376,6.1939,6.0814,6.0814,324065,0
1995-03-03,6.0814,6.1939,6.0814,6.0814,375792,0
1995-03-06,5.9786,5.9786,5.9225,5.9225,580577,0
1995-03-07,5.8756,5.9225,5.7165,5.7165,359336,0
1995-03-08,5.6139,5.8192,5.5668,5.7165,120563,0
1995-03-09,5.7165,5.7727,5.6605,5.7165,115431,0
1995-03-10,5.6605,5.8756,5.6605,5.8756,203288,0
1995-03-13,5.8756,5.8756,5.6605,5.7727,191105,0
1995-03-14,5.7165,5.7165,5.5109,5.6139,256944,0
1995-03-15,5.6139,5.6139,5.4547,5.4547,197944,0
1995-03-16,5.4547,5.6139,5.4547,5.6139,381351,0
1995-03-17,5.6139,5.6139,5.5109,5.5109,190250,0
1995-03-20,5.5668,5.5668,5.4547,5.5109,147921,0
1995-03-21,5.4547,5.5668,5.408,5.5109,297344,0
1995-03-22,5.4547,5.5109,5.408,5.4547,134456,0
1995-03-23,5.4547,5.5668,5.408,5.4547,689811,0
1995-03-24,5.3518,5.3518,4.6687,4.7811,1168210,0
1995-03-27,4.7811,4.9306,4.6687,4.6687,654327,0
1995-03-28,4.7157,4.8747,4.7157,4.8747,571387,0
1995-03-29,4.8747,5.0336,4.8278,4.8747,296704,0
1995-03-30,4.9306,5.0336,4.8747,5.0336,556208,0
1995-03-31,4.9867,5.0336,4.8747,4.9867,409780,0
1995-04-03,4.9306,5.1927,4.9306,5.1927,752443,0
1995-04-04,5.1927,5.3047,5.1927,5.3047,217612,0
1995-04-05,5.2488,5.2488,5.146,5.2488,355487,0
1995-04-06,5.2488,5.3047,5.146,5.146,178279,0
1995-04-07,5.146,5.2488,5.146,5.2488,223808,0
1995-04-10,5.1927,5.408,5.1927,5.3518,227016,0
1995-04-11,5.3518,5.4547,5.3518,5.408,205640,0
1995-04-12,5.408,5.408,5.3518,5.408,226802,0
1995-04-13,5.408,5.5668,5.3518,5.5668,409997,0
1995-04-17,5.5109,5.5109,5.3518,5.408,380925,0
1995-04-18,5.408,5.408,5.3047,5.3518,113504,0
1995-04-19,5.3518,5.3518,5.2488,5.3047,523078,0
1995-04-20,5.3047,5.3047,5.2488,5.2488,98332,0
1995-04-21,5.3047,5.3047,5.1927,5.2488,535261,0
1995-04-24,5.2488,5.3047,5.1927,5.2488,198797,0
1995-04-25,5.2488,5.3518,5.146,5.3047,1186381,0
1995-04-26,5.3518,5.5109,5.3047,5.4547,429447,0
1995-04-27,5.4547,5.6139,5.4547,5.5109,305042,0
1995-04-28,5.4547,5.5668,5.4547,5.5109,101963,0
1995-05-01,5.4547,5.5109,5.4547,5.5109,315298,0
1995-05-02,5.4547,5.4547,5.408,5.4547,157971,0
1995-05-03,5.4547,5.5668,5.408,5.5668,70970,0
1995-05-04,5.5668,5.7165,5.5109,5.6139,175925,0
1995-05-05,5.5109,5.9786,5.5109,5.9786,1651955,0
1995-05-08,6.0722,6.4837,6.0722,6.4837,1718006,0
1995-05-09,6.6524,6.6993,6.3809,6.4373,1131870,0
1995-05-10,6.4373,6.4373,6.1192,6.2781,486949,0
1995-05-11,6.1656,6.325,6.0722,6.325,225092,0
1995-05-12,6.2218,6.2781,6.1656,6.1656,180846,0
1995-05-15,6.2218,6.325,6.1656,6.325,210128,0
1995-05-16,6.2781,6.325,6.1656,6.2218,188964,0
1995-05-17,6.2218,6.2781,6.1656,6.2218,79948,0
1995-05-18,6.2218,6.2218,6.0067,6.0067,162672,0
1995-05-19,6.0067,6.0722,5.9878,6.0722,148564,0
1995-05-22,6.1192,6.2781,6.0722,6.0722,233001,0
1995-05-23,6.1192,6.2218,6.1192,6.1656,381139,0
1995-05-24,6.2218,6.2781,6.0722,6.0722,249030,0
1995-05-25,6.0722,6.0722,5.8009,5.8009,355487,0
1995-05-26,5.6981,5.8009,5.5858,5.6418,341805,0
1995-05-30,5.6418,5.8009,5.6418,5.6981,184477,0
1995-05-31,5.7449,5.9599,5.6418,5.9599,180846,0
1995-06-01,6.0067,6.2218,5.913,6.1656,617558,0
1995-06-02,6.1656,6.325,6.1656,6.2781,294351,0
1995-06-05,6.2781,6.4373,6.1656,6.3809,368955,0
1995-06-06,6.325,6.325,6.2781,6.325,113723,0
1995-06-07,6.325,6.3809,6.2218,6.2781,260151,0
1995-06-08,6.2781,6.2781,6.1656,6.2218,152841,0
1995-06-09,6.1656,6.2218,6.1192,6.1192,197091,0
1995-06-12,6.1192,6.1656,6.0722,6.1192,72035,0
1995-06-13,6.1656,6.1656,6.0067,6.1192,89563,0
1995-06-14,6.1656,6.1656,6.1192,6.1656,54724,0
1995-06-15,6.1192,6.1656,6.0722,6.1656,70329,0
1995-06-16,6.1656,6.1656,6.0067,6.0722,151985,0
1995-06-19,6.0067,6.0067,5.913,5.9599,147068,0
1995-06-20,5.9599,6.0067,5.8477,5.913,152841,0
1995-06-21,5.913,5.913,5.7449,5.8009,105812,0
1995-06-22,5.7449,5.913,5.6981,5.6981,224665,0
1995-06-23,5.6981,5.9599,5.6981,5.9599,156474,0
1995-06-26,6.0067,6.1192,5.913,5.9599,242407,0
1995-06-27,6.2218,6.2781,6.1192,6.1656,347364,0
1995-06-28,6.1192,6.1656,6.0067,6.0067,94484,0
1995-06-29,6.0722,6.2218,6.0067,6.2218,187470,0
1995-06-30,6.2218,6.2218,6.0722,6.1192,74174,0
1995-07-03,6.0722,6.1192,5.9599,5.9599,38477,0
1995-07-05,6.0067,6.0067,5.913,5.913,284089,0
1995-07-06,5.9599,6.5869,5.913,6.5399,511748,0
1995-07-07,6.5869,6.5869,6.4373,6.4373,412987,0
1995-07-10,6.325,6.6993,6.325,6.6524,293281,0
1995-07-11,6.6524,6.7459,6.5399,6.6993,284305,0
1995-07-12,6.5399,6.6993,6.5399,6.6524,339239,0
1995-07-13,6.6524,6.6993,6.4837,6.5399,355056,0
1995-07-14,6.4837,6.5869,6.325,6.4373,135100,0
1995-07-17,6.325,6.325,6.1192,6.1656,296704,0
1995-07-18,6.1656,6.325,6.1656,6.2781,529704,0
1995-07-19,6.2781,6.2781,6.1192,6.1192,163531,0
1995-07-20,6.1192,6.1656,5.9599,6.0067,171434,0
1995-07-21,6.0067,6.0067,5.8009,5.8477,354846,0
1995-07-24,5.8477,6.0722,5.8477,5.9599,368315,0
1995-07-25,6.0067,6.0067,5.9599,5.9599,95336,0
1995-07-26,5.9599,6.1656,5.9599,6.0067,180203,0
1995-07-27,6.1192,6.2218,6.1192,6.1656,227441,0
1995-07-28,6.1192,6.1656,5.9599,6.0067,71823,0
1995-07-31,6.0722,6.1192,6.0067,6.0722,104957,0
1995-08-01,6.1192,6.1192,5.913,6.0722,193027,0
1995-08-02,6.1192,6.2218,5.9599,6.0067,182339,0
1995-08-03,5.9599,5.9599,5.8477,5.913,142150,0
1995-08-04,5.913,5.913,5.8009,5.8009,154123,0
1995-08-07,5.8477,5.8477,5.7449,5.8009,214403,0
1995-08-08,5.8477,5.8477,5.539,5.5858,377505,0
1995-08-09,5.6981,5.8009,5.6981,5.7449,114789,0
1995-08-10,5.7822,5.7822,5.623,5.6794,88710,0
1995-08-11,5.6794,5.7822,5.5668,5.726,119921,0
1995-08-14,5.6794,5.7822,5.623,5.726,110728,0
1995-08-15,5.726,5.726,5.5668,5.6794,272332,0
1995-08-16,5.6794,5.9412,5.6794,5.8851,264424,0
1995-08-17,5.8851,5.8851,5.726,5.726,354633,0
1995-08-18,5.726,5.7822,5.6794,5.726,258438,0
