Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.8704,7.9488,7.7915,7.9488,559972,0
1995-01-04,7.9052,8.0272,7.8704,7.9488,1327616,0
1995-01-05,7.9488,8.1058,7.9488,8.0272,982184,0
1995-01-06,7.9838,8.0625,7.9838,8.0625,615900,0
1995-01-09,8.1058,8.2194,8.0625,8.1058,1571955,0
1995-01-10,8.0625,8.2194,8.0272,8.0272,755262,0
1995-01-11,8.0272,8.0625,7.9488,7.9838,1107109,0
1995-01-12,8.0625,8.1407,7.9838,8.0272,1012902,0
1995-01-13,8.1058,8.2629,8.0625,8.1844,1230425,0
1995-01-16,8.2629,8.42,8.2629,8.3412,1284747,0
1995-01-17,8.3765,8.4551,8.3412,8.3412,1047057,0
1995-01-18,8.3412,8.3765,8.0625,8.0625,824716,0
1995-01-19,8.1407,8.2629,7.9488,8.0625,1038342,0
1995-01-20,8.0625,8.1058,7.9838,8.0625,882246,0
1995-01-23,8.0625,8.2629,7.9838,8.2194,1071122,0
1995-01-24,8.2629,8.5771,8.2629,8.42,1438550,0
1995-01-25,8.4551,8.4984,8.42,8.4551,1468349,0
1995-01-26,8.42,8.5336,8.42,8.4984,906319,0
1995-01-27,8.5336,8.769,8.5336,8.6121,1598088,0
1995-01-30,8.6121,8.6557,8.5771,8.6121,775434,0
1995-01-31,8.6121,8.769,8.5336,8.769,1324403,0
1995-02-01,8.769,8.8469,8.734,8.8132,1542845,0
1995-02-02,8.8132,8.9258,8.8132,8.8469,924426,0
1995-02-03,8.8903,9.0492,8.8903,8.9696,1598546,0
1995-02-06,8.9696,9.0492,8.9258,8.9696,759619,0
1995-02-07,9.0492,9.0492,8.9696,9.0055,589772,0
1995-02-08,8.9696,8.9696,8.769,8.8132,811647,0
1995-02-09,8.8132,8.8469,8.734,8.769,470580,0
1995-02-10,8.8132,8.8469,8.6557,8.769,446741,0
1995-02-13,8.769,8.8132,8.6906,8.734,301644,0
1995-02-14,8.734,8.9258,8.734,8.8903,1031007,0
1995-02-15,8.8903,9.0055,8.8132,9.0055,483644,0
1995-02-16,9.0055,9.0055,8.769,8.8469,734863,0
1995-02-17,8.9258,8.9258,8.8132,8.8132,799960,0
1995-02-21,8.8132,8.8132,8.734,8.734,761221,0
1995-02-22,8.769,8.8903,8.769,8.8037,836634,0
1995-02-23,8.8037,9.0492,8.8037,8.9696,797210,0
1995-02-24,8.9258,9.161,8.9258,9.161,681457,0
1995-02-27,9.0821,9.2065,9.0055,9.161,1124760,0
1995-02-28,9.2065,9.3268,9.2065,9.2498,775665,0
1995-03-01,9.2498,9.3268,9.2498,9.2498,1651037,0
1995-03-02,9.2498,9.3268,9.2498,9.3268,807294,0
1995-03-03,9.2829,9.3268,9.2498,9.3268,363995,0
1995-03-06,9.2498,9.2498,9.161,9.2498,1007172,0
1995-03-07,9.161,9.2065,9.0055,9.0492,1725300,0
1995-03-08,9.0492,9.161,9.0055,9.161,1310880,0
1995-03-09,9.0821,9.161,9.0055,9.161,1546743,0
1995-03-10,9.161,9.3634,9.1257,9.3634,1557516,0
1995-03-13,9.3634,9.3634,9.2829,9.3268,429549,0
1995-03-14,9.3634,9.4044,9.3268,9.3634,1204985,0
1995-03-15,9.3634,9.3634,9.2065,9.3268,854055,0
1995-03-16,9.3634,9.4044,9.2829,9.3634,471268,0
1995-03-17,9.3634,9.3634,9.2065,9.2498,1022527,0
1995-03-20,9.2065,9.2498,9.0055,9.0492,773370,0
1995-03-21,9.0492,9.1257,9.0055,9.1257,1245325,0
1995-03-22,9.0821,9.0821,9.0492,9.0821,924426,0
1995-03-23,9.0055,9.0492,8.8469,8.9258,2360917,0
1995-03-24,8.9696,9.0055,8.9258,8.9696,941840,0
1995-03-27,9.0055,9.0492,8.9696,9.0055,433217,0
1995-03-28,9.0055,9.0492,8.9696,9.0492,928777,0
1995-03-29,9.0055,9.0821,8.9696,9.0055,1582042,0
1995-03-30,9.0492,9.0821,8.9696,9.0492,1329216,0
1995-03-31,9.0492,9.0492,8.9696,9.0055,1378043,0
1995-04-03,9.0055,9.0492,8.9258,9.0055,654410,0
1995-04-04,9.0055,9.2065,8.9258,9.2065,1167849,0
