Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,14.868,14.868,14.142,14.142,25723,0
1995-01-04,13.881,14.142,13.794,13.794,132854,0
1995-01-05,13.794,14.142,13.794,14.142,62088,0
1995-01-06,13.939,14.142,13.416,13.794,37914,0
1995-01-09,13.881,14.142,13.416,13.62,30063,0
1995-01-10,13.416,14.142,13.416,14.142,23555,0
1995-01-11,13.794,14.142,13.794,14.142,41942,0
1995-01-12,14.52,14.868,14.142,14.52,46695,0
1995-01-13,13.794,14.142,13.416,14.142,25310,0
1995-01-16,14.52,14.52,13.794,13.794,30166,0
1995-01-17,13.794,14.142,13.416,13.416,27789,0
1995-01-18,14.142,14.142,13.416,13.416,45042,0
1995-01-19,13.416,13.416,13.068,13.416,16736,0
1995-01-20,13.794,13.794,13.155,13.794,141635,0
1995-01-23,13.416,13.416,12.69,12.69,50517,0
1995-01-24,13.068,13.068,12.342,12.69,19423,0
1995-01-25,12.748,13.068,12.69,12.69,10228,0
1995-01-26,12.748,12.748,12.516,12.69,6199,0
1995-01-27,12.342,12.342,11.964,11.964,29753,0
1995-01-30,11.964,12.806,11.964,11.964,53823,0
1995-01-31,11.964,11.964,11.238,11.616,44835,0
1995-02-01,12.342,12.342,11.964,12.342,35537,0
1995-02-02,12.342,12.69,12.08,12.342,31716,0
1995-02-03,12.342,12.342,11.616,11.616,33783,0
1995-02-06,11.616,12.342,11.616,11.616,33162,0
1995-02-07,11.964,11.964,11.616,11.616,30786,0
1995-02-08,11.616,12.168,11.616,11.964,56097,0
1995-02-09,11.964,12.342,11.964,12.342,21798,0
1995-02-10,11.964,12.342,11.964,11.964,34298,0
1995-02-13,11.964,12.342,11.616,12.342,25621,0
1995-02-14,11.964,12.69,11.964,12.109,23347,0
1995-02-15,12.022,12.342,11.964,11.964,9917,0
1995-02-16,11.964,11.964,11.616,11.616,44215,0
1995-02-17,11.616,12.342,11.616,11.964,12087,0
1995-02-21,12.342,12.69,11.964,11.964,35228,0
1995-02-22,12.109,12.69,12.109,12.69,9710,0
1995-02-23,12.69,12.69,11.964,11.964,15495,0
1995-02-24,12.168,12.342,11.964,12.342,5475,0
1995-02-27,11.964,12.109,11.964,11.964,20248,0
1995-02-28,11.964,12.342,11.964,12.342,5786,0
1995-03-01,12.342,12.342,11.964,11.964,63741,0
1995-03-02,11.848,12.342,11.848,12.342,18595,0
1995-03-03,12.342,12.342,11.616,11.616,17045,0
1995-03-06,12.342,12.342,11.616,12.342,14670,0
1995-03-07,12.342,13.416,12.342,13.068,93184,0
1995-03-08,13.416,13.416,12.69,13.068,49691,0
1995-03-09,13.068,13.794,13.068,13.794,26550,0
1995-03-10,13.794,13.794,13.068,13.416,34504,0
1995-03-13,13.416,14.142,13.416,13.794,19939,0
1995-03-14,13.794,13.794,13.416,13.794,34504,0
1995-03-15,13.416,14.142,13.416,14.142,20248,0
1995-03-16,13.794,14.142,13.416,13.794,9504,0
1995-03-17,13.416,13.794,13.416,13.794,22418,0
1995-03-20,14.142,14.142,13.561,14.142,7541,0
1995-03-21,13.794,14.142,13.794,13.794,93494,0
1995-03-22,14.142,14.868,14.142,14.52,38534,0
1995-03-23,14.868,15.594,14.868,15.594,47935,0
1995-03-24,15.246,15.246,14.868,14.868,48452,0
1995-03-27,15.246,15.246,14.868,14.868,16943,0
1995-03-28,15.246,15.594,14.868,15.594,42666,0
1995-03-29,15.594,15.972,15.246,15.42,52273,0
1995-03-30,15.594,16.698,15.246,16.32,74588,0
1995-03-31,17.424,17.424,16.233,16.32,97729,0
1995-04-03,16.32,17.017,15.972,16.32,50001,0
1995-04-04,15.972,16.32,15.594,15.972,31613,0
1995-04-05,16.698,16.698,15.972,16.698,71592,0
