Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.0357,8.1224,7.9433,7.9565,1665680,0
1995-01-04,7.9955,8.0357,7.8305,7.9565,1479264,0
1995-01-05,7.9565,7.9955,7.8305,7.8305,1589060,0
1995-01-06,7.8766,7.8766,7.7041,7.7041,2180885,0
1995-01-09,7.7309,7.8766,7.7041,7.8305,1239754,0
1995-01-10,7.8766,8.1816,7.8766,7.9565,2484946,0
1995-01-11,8.0357,8.1224,7.9172,8.0357,860894,0
1995-01-12,8.0165,8.2875,8.0165,8.1816,1797195,0
1995-01-13,8.4538,8.6983,8.3281,8.6983,5593688,0
1995-01-16,8.6983,9.0774,8.6983,9.0774,4379266,0
1995-01-17,9.0774,9.4881,8.9516,9.1361,5554470,0
1995-01-18,9.1174,9.1174,8.8244,8.9516,2439693,0
1995-01-19,9.0302,9.0774,8.9096,8.9516,853044,0
1995-01-20,8.9516,9.0302,8.6196,8.6983,2171233,0
1995-01-23,8.6983,8.7457,8.4538,8.6196,2273790,0
1995-01-24,8.7457,8.7457,8.4932,8.7457,2060830,0
1995-01-25,8.579,8.872,8.5398,8.8244,2365488,0
1995-01-26,8.7848,8.8244,8.579,8.5857,1421342,0
1995-01-27,8.6196,8.6598,8.3674,8.6196,2473483,0
1995-01-30,8.579,8.6196,8.2491,8.2491,3445377,0
1995-01-31,8.2875,8.3281,8.0816,8.2875,3401337,0
1995-02-01,8.3674,8.4932,8.2875,8.4134,1540193,0
1995-02-02,8.3674,8.4134,8.2083,8.2875,1556483,0
1995-02-03,8.4134,8.5398,8.3281,8.4932,6791214,0
1995-02-06,8.4932,8.7457,8.4538,8.6323,2346792,0
1995-02-07,8.6983,8.9096,8.6323,8.7457,1924487,0
1995-02-08,8.8244,9.0774,8.7848,8.9096,1770648,0
1995-02-09,8.9096,8.9906,8.8244,8.9302,1584232,0
1995-02-10,9.0302,9.4493,8.9516,9.3607,3747020,0
1995-02-13,9.324,9.4881,9.324,9.4096,1744709,0
1995-02-14,9.4493,9.74,9.3607,9.719,1624657,0
1995-02-15,9.905,9.905,9.634,9.707,3023676,0
1995-02-16,9.78,9.78,9.613,9.74,1688605,0
1995-02-17,9.655,9.668,9.4493,9.655,1811071,0
1995-02-21,9.574,9.613,9.4096,9.4881,1284399,0
1995-02-22,9.4881,9.693,9.4493,9.613,1609573,0
1995-02-23,9.594,9.78,9.574,9.74,1395404,0
1995-02-24,9.655,9.719,9.4881,9.535,1754966,0
1995-02-27,9.4881,9.574,9.3607,9.3878,1440649,0
1995-02-28,9.4096,9.613,9.3878,9.613,1044292,0
1995-03-01,9.655,9.82,9.613,9.74,2030666,0
1995-03-02,9.693,9.74,9.555,9.58,869338,0
1995-03-03,9.535,9.78,9.4881,9.78,1111256,0
1995-03-06,9.74,10.315,9.613,10.07,6744758,0
1995-03-07,10.024,10.112,9.74,9.905,1744709,0
1995-03-08,9.945,9.987,9.74,9.945,843397,0
1995-03-09,10.024,10.024,9.655,9.905,2491581,0
1995-03-10,9.82,10.112,9.82,10.024,1719971,0
1995-03-13,9.945,10.315,9.945,10.17,1912420,0
1995-03-14,10.278,10.278,10.024,10.024,796939,0
1995-03-15,9.945,10.07,9.78,9.987,2205016,0
1995-03-16,9.987,10.07,9.905,10.024,1987231,0
1995-03-17,10.07,10.315,9.987,10.153,2202605,0
1995-03-20,10.198,10.528,10.198,10.315,1914834,0
1995-03-21,10.404,10.568,10.328,10.371,1009300,0
1995-03-22,10.315,10.528,10.278,10.442,2071087,0
1995-03-23,10.404,10.61,10.404,10.568,2600773,0
1995-03-24,10.61,10.647,10.484,10.568,1083508,0
1995-03-27,10.568,10.736,10.484,10.61,1323615,0
1995-03-28,10.736,10.736,10.568,10.689,1433413,0
1995-03-29,10.736,10.98,10.647,10.775,7867476,0
1995-03-30,10.9,10.98,10.357,10.568,7429489,0
1995-03-31,10.528,10.647,10.315,10.484,5695036,0
1995-04-03,10.357,10.528,10.315,10.484,2696091,0
1995-04-04,10.484,10.568,9.945,10.024,5083906,0
1995-04-05,9.866,10.198,9.668,10.198,9077675,0
1995-04-06,10.278,10.278,9.987,10.049,2104269,0
1995-04-07,10.153,10.484,9.987,10.385,3050226,0
1995-04-10,10.259,10.689,10.259,10.484,3142526,0
1995-04-11,10.528,10.61,10.243,10.315,3144332,0
1995-04-12,10.278,10.591,10.153,10.528,1753152,0
1995-04-13,10.862,10.98,10.689,10.792,2930774,0
1995-04-17,10.775,10.94,10.315,10.357,3091246,0
1995-04-18,10.442,10.528,9.987,10.153,2566384,0
1995-04-19,10.153,10.236,9.613,9.945,4895682,0
1995-04-20,9.905,10.024,9.693,9.987,1799003,0
1995-04-21,9.987,10.484,9.945,10.404,3652911,0
1995-04-24,10.289,10.61,10.278,10.568,2483136,0
1995-04-25,10.647,10.736,10.528,10.647,1124529,0
1995-04-26,10.775,10.94,10.528,10.647,2092806,0
1995-04-27,10.528,10.647,10.427,10.528,12454276,0
1995-04-28,10.528,10.568,10.198,10.278,3548539,0
1995-05-01,10.198,10.259,10.024,10.024,1659645,0
1995-05-02,10.07,10.198,10.024,10.153,1865969,0
1995-05-03,10.198,10.357,10.112,10.315,4620583,0
1995-05-04,10.357,10.9,10.357,10.484,6349606,0
1995-05-05,10.689,10.813,10.484,10.736,3985317,0
1995-05-08,10.61,10.98,10.61,10.9,3402545,0
1995-05-09,10.98,11.067,10.484,10.568,3133478,0
1995-05-10,10.736,10.775,10.236,10.442,2781161,0
1995-05-11,10.484,10.736,10.404,10.736,2632144,0
1995-05-12,10.647,11.106,10.568,10.591,3505702,0
1995-05-15,10.647,11.067,10.357,10.954,3401337,0
1995-05-16,10.862,11.269,10.689,11.212,4852244,0
1995-05-17,11.478,12.098,11.478,11.895,10196170,0
1995-05-18,11.935,12.306,11.729,11.875,7764919,0
1995-05-19,11.683,12.098,11.603,11.855,3456235,0
1995-05-22,11.935,12.392,11.935,12.392,4167514,0
1995-05-23,12.471,13.181,12.392,13.135,5465787,0
1995-05-24,13.301,13.34,12.557,12.805,4461917,0
1995-05-25,12.805,12.848,12.431,12.471,4044440,0
1995-05-26,12.266,12.392,11.895,12.14,2814946,0
1995-05-30,12.098,12.188,11.145,11.212,5110453,0
1995-05-31,11.269,11.808,10.9,11.563,6190336,0
1995-06-01,11.603,11.973,11.437,11.769,4795532,0
1995-06-02,11.644,12.225,11.523,12.08,3771757,0
1995-06-05,12.14,12.225,12.016,12.098,2170028,0
1995-06-06,12.14,12.188,11.603,11.644,2144689,0
1995-06-07,11.769,11.895,11.523,11.729,2030068,0
1995-06-08,11.808,11.935,11.729,11.895,1403246,0
1995-06-09,11.895,12.188,11.855,12.14,2022823,0
1995-06-12,12.306,12.518,11.855,11.973,6863001,0
1995-06-13,12.06,12.188,11.644,11.729,4020312,0
1995-06-14,11.523,12.188,11.523,11.973,3667989,0
1995-06-15,12.266,12.471,12.14,12.392,4949980,0
1995-06-16,12.392,12.518,12.188,12.266,1726607,0
1995-06-19,12.16,12.725,12.098,12.618,3134687,0
1995-06-20,12.762,12.97,12.678,12.909,2841485,0
1995-06-21,13.008,13.055,12.518,12.518,2331708,0
1995-06-22,12.6,12.848,12.518,12.805,2655074,0
1995-06-23,12.848,12.889,12.725,12.805,1427982,0
1995-06-26,12.678,12.848,12.344,12.373,2468653,0
1995-06-27,12.306,12.518,12.188,12.225,2129004,0
1995-06-28,12.225,12.636,12.06,12.431,4887237,0
1995-06-29,12.557,13.008,12.471,12.931,2886731,0
1995-06-30,13.008,13.135,12.805,12.805,2570007,0
1995-07-03,12.762,12.848,12.725,12.762,442212,0
1995-07-05,12.889,13.135,12.848,13.008,2198982,0
1995-07-06,13.181,13.718,13.135,13.673,2466239,0
1995-07-07,13.718,14.294,13.646,14.294,3511136,0
1995-07-10,14.217,14.545,14.217,14.381,1704288,0
1995-07-11,14.217,14.294,13.85,13.884,2440903,0
1995-07-12,14.005,14.335,13.923,14.256,3112966,0
1995-07-13,14.217,14.462,14.005,14.091,2910259,0
1995-07-14,13.843,14.294,13.758,14.256,2005935,0
1995-07-17,14.217,14.462,14.03,14.03,2274999,0
1995-07-18,14.005,14.03,13.385,13.466,2591726,0
1995-07-19,12.931,13.262,12.6,12.931,5902568,0
1995-07-20,13.055,13.262,12.97,13.154,1941983,0
1995-07-21,13.135,13.962,13.135,13.673,3560004,0
1995-07-24,13.758,14.665,13.718,14.568,3450204,0
1995-07-25,14.917,15.124,14.545,14.917,4318934,0
1995-07-26,14.878,15.29,14.839,15.215,4690561,0
1995-07-27,15.581,15.661,14.217,14.335,13098589,0
1995-07-28,14.587,14.753,13.843,14.091,5882661,0
1995-07-31,14.217,14.545,14.091,14.381,3464078,0
1995-08-01,14.42,14.587,13.884,13.962,3928007,0
1995-08-02,14.173,14.256,13.554,13.673,5269719,0
1995-08-03,13.428,13.698,13.22,13.385,3689709,0
1995-08-04,13.466,13.718,13.385,13.428,1835808,0
1995-08-07,13.591,13.718,13.34,13.34,1392389,0
1995-08-08,13.591,13.673,13.466,13.554,2693679,0
1995-08-09,13.843,13.884,13.591,13.673,1275953,0
1995-08-10,13.673,13.758,13.181,13.262,3007993,0
1995-08-11,13.466,14.381,13.428,14.381,5634109,0
1995-08-14,14.381,14.665,14.049,14.626,4922828,0
1995-08-15,14.665,14.791,14.335,14.648,3782616,0
1995-08-16,15.143,15.788,15.083,15.542,7498266,0
1995-08-17,15.503,15.503,14.791,14.958,5623847,0
1995-08-18,14.958,14.999,14.507,14.545,3411594,0
1995-08-21,14.665,14.753,13.758,13.923,5105018,0
1995-08-22,14.091,14.335,13.884,14.217,4245337,0
1995-08-23,14.42,14.791,14.294,14.42,5000049,0
1995-08-24,14.714,14.753,13.843,14.268,4527072,0
1995-08-25,14.381,14.42,14.069,14.294,3003770,0
1995-08-28,14.42,14.42,13.554,13.554,1961892,0
1995-08-29,13.632,13.718,12.742,13.466,7573070,0
1995-08-30,13.718,13.943,13.301,13.673,3851390,0
1995-08-31,13.798,14.381,13.718,14.173,2971799,0
1995-09-01,14.195,14.256,13.798,13.843,1444875,0
1995-09-05,14.005,14.381,13.798,14.294,2096426,0
1995-09-06,14.587,14.665,14.294,14.601,3388665,0
1995-09-07,14.878,14.958,14.42,14.527,2649638,0
1995-09-08,14.587,14.753,14.173,14.507,3156402,0
1995-09-11,14.462,15.456,14.462,15.376,4726160,0
1995-09-12,15.542,15.542,14.958,15.376,5204564,0
1995-09-13,15.376,15.415,14.898,15.083,5042879,0
1995-09-14,15.173,15.173,14.626,14.714,3418229,0
1995-09-15,14.462,14.839,14.217,14.839,5979790,0
1995-09-18,14.791,15.621,14.714,15.549,5333668,0
1995-09-19,15.456,15.747,15.25,15.621,3695138,0
1995-09-20,15.788,16.163,15.415,15.436,5491731,0
1995-09-21,15.376,15.503,14.791,15.173,4805189,0
1995-09-22,14.878,15.044,14.714,14.878,3868886,0
1995-09-25,14.958,14.958,14.294,14.42,2457801,0
1995-09-26,14.626,14.665,14.173,14.335,3174501,0
1995-09-27,14.049,14.173,12.678,13.385,11984918,0
1995-09-28,13.591,13.923,13.34,13.905,6052786,0
1995-09-29,14.091,14.13,13.055,13.301,7184558,0
1995-10-02,13.591,13.591,12.431,12.678,4292093,0
1995-10-03,12.848,12.848,11.523,12.725,7401433,0
