Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,16.938,17.272,16.897,17.104,544541,0
1995-01-04,17.104,17.272,16.897,16.897,702060,0
1995-01-05,16.562,16.728,16.433,16.522,1945403,0
1995-01-06,16.522,16.69,16.481,16.649,874378,0
1995-01-09,16.6,16.6,16.481,16.6,921533,0
1995-01-10,16.481,16.522,16.353,16.353,648382,0
1995-01-11,16.395,16.481,16.313,16.481,443456,0
1995-01-12,16.433,16.522,16.395,16.395,301992,0
1995-01-13,16.481,16.522,16.313,16.353,877385,0
1995-01-16,16.395,16.395,16.313,16.313,559591,0
1995-01-17,16.353,16.433,16.313,16.395,1360977,0
1995-01-18,16.395,16.395,16.267,16.313,436439,0
1995-01-19,15.978,16.098,15.931,16.019,1320845,0
1995-01-20,16.019,16.185,15.931,15.931,709585,0
1995-01-23,15.892,16.019,15.811,15.852,691274,0
1995-01-24,15.931,15.978,15.811,15.811,1135237,0
1995-01-25,15.852,16.149,15.852,16.098,1158312,0
1995-01-26,16.059,16.098,15.978,16.059,585174,0
1995-01-27,16.059,16.353,16.059,16.267,901466,0
1995-01-30,16.226,16.267,16.059,16.185,980224,0
1995-01-31,16.185,16.313,16.098,16.098,888675,0
1995-02-01,16.185,16.313,16.149,16.267,1181638,0
1995-02-02,16.267,16.6,16.267,16.6,1165835,0
1995-02-03,16.69,16.984,16.69,16.897,2474640,0
1995-02-06,16.817,16.897,16.649,16.769,513941,0
1995-02-07,16.817,16.817,16.649,16.69,439450,0
1995-02-08,16.69,16.769,16.649,16.69,444463,0
1995-02-09,16.69,16.728,16.6,16.649,538273,0
1995-02-10,16.649,16.855,16.6,16.769,1303036,0
1995-02-13,16.897,16.897,16.769,16.817,811669,0
1995-02-14,16.855,16.897,16.769,16.855,819194,0
1995-02-15,16.938,17.153,16.855,17.025,1051710,0
1995-02-16,17.062,17.062,16.984,17.062,367713,0
1995-02-17,17.062,17.062,16.769,16.817,509426,0
1995-02-21,16.769,16.855,16.69,16.69,768778,0
1995-02-22,16.769,16.938,16.728,16.817,625809,0
1995-02-23,16.897,17.359,16.855,17.317,1107391,0
1995-02-24,17.317,17.526,17.272,17.526,536519,0
1995-02-27,17.4,17.48,17.317,17.4,1038165,0
1995-02-28,17.317,17.4,17.231,17.4,611765,0
1995-03-01,17.317,17.359,17.189,17.272,436186,0
1995-03-02,17.231,17.317,17.153,17.189,397806,0
1995-03-03,17.189,17.4,17.189,17.317,514442,0
1995-03-06,17.255,17.42,17.215,17.294,644872,0
1995-03-07,17.343,17.343,16.959,17.087,773046,0
1995-03-08,17.127,17.176,17.049,17.087,492623,0
1995-03-09,17.127,17.294,17.127,17.255,400569,0
1995-03-10,17.343,17.471,17.255,17.42,407089,0
1995-03-13,17.471,17.512,17.215,17.255,344132,0
1995-03-14,17.294,17.548,17.294,17.42,532753,0
1995-03-15,17.42,17.885,17.42,17.846,1459304,0
1995-03-16,17.804,17.804,17.471,17.512,432925,0
1995-03-17,17.512,17.548,17.42,17.471,960912,0
