Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.478,10.579,10.447,10.555,6315774,0
1995-01-04,10.503,10.555,10.275,10.326,7955031,0
1995-01-05,10.326,10.352,10.172,10.275,10395527,0
1995-01-06,10.275,10.326,10.197,10.275,6626169,0
1995-01-09,10.226,10.245,10.095,10.122,7215086,0
1995-01-10,10.172,10.172,9.992,10.021,9139241,0
1995-01-11,10.042,10.095,9.992,10.042,9585458,0
1995-01-12,9.992,10.172,9.945,10.148,10238616,0
1995-01-13,10.226,10.3,10.122,10.148,12099514,0
1995-01-16,10.226,10.376,10.226,10.326,7082693,0
1995-01-17,10.352,10.447,10.326,10.376,6317243,0
1995-01-18,10.275,10.352,10.245,10.3,5593974,0
1995-01-19,10.197,10.429,10.197,10.376,7375429,0
1995-01-20,10.352,10.402,10.326,10.376,13143966,0
1995-01-23,10.326,10.447,10.326,10.376,6169156,0
1995-01-24,10.326,10.376,10.245,10.275,7180758,0
1995-01-25,10.3,10.402,10.245,10.326,7453397,0
1995-01-26,10.326,10.555,10.326,10.555,6088251,0
1995-01-27,10.606,10.76,10.555,10.681,9151498,0
1995-01-30,10.706,10.76,10.606,10.735,7168500,0
1995-01-31,10.735,10.76,10.681,10.706,7203801,0
1995-02-01,10.76,10.783,10.654,10.654,5741076,0
1995-02-02,10.606,10.681,10.534,10.681,5900440,0
1995-02-03,10.783,10.836,10.735,10.836,7032669,0
1995-02-06,10.808,10.939,10.783,10.858,7119955,0
1995-02-07,10.858,10.987,10.836,10.939,5509628,0
1995-02-08,10.939,11.041,10.858,10.858,6043627,0
1995-02-09,10.886,10.886,10.681,10.706,5357128,0
1995-02-10,10.654,10.858,10.606,10.836,7222932,0
1995-02-13,10.783,10.858,10.654,10.681,5460595,0
1995-02-14,10.706,10.735,10.579,10.634,7375920,0
1995-02-15,10.706,10.836,10.634,10.783,7505377,0
1995-02-16,10.783,11.013,10.76,11.013,7464184,0
1995-02-17,10.964,11.013,10.886,10.886,15943407,0
1995-02-21,10.939,10.987,10.836,10.939,6461901,0
1995-02-22,10.939,10.987,10.858,10.964,8415962,0
1995-02-23,11.013,11.114,10.964,11.013,6790437,0
1995-02-24,11.013,11.192,11.013,11.168,6094134,0
1995-02-27,11.168,11.246,11.114,11.114,5890146,0
1995-02-28,11.114,11.214,11.041,11.214,6976281,0
1995-03-01,11.192,11.267,11.144,11.267,7291088,0
1995-03-02,11.317,11.317,11.168,11.192,4573545,0
1995-03-03,11.192,11.317,11.144,11.246,5885241,0
1995-03-06,11.214,11.42,11.144,11.396,6560947,0
1995-03-07,11.346,11.396,11.246,11.294,8664576,0
1995-03-08,11.346,11.373,11.294,11.317,8245810,0
1995-03-09,11.317,11.346,11.168,11.214,7035126,0
1995-03-10,11.246,11.6,11.214,11.574,9236325,0
1995-03-13,11.574,11.653,11.523,11.6,5652322,0
1995-03-14,11.625,11.672,11.574,11.6,5858761,0
1995-03-15,11.6,11.672,11.574,11.653,5269847,0
1995-03-16,11.653,11.984,11.625,11.93,8296806,0
1995-03-17,11.93,11.958,11.857,11.877,16689729,0
1995-03-20,11.877,11.877,11.755,11.778,7148396,0
1995-03-21,11.778,12.111,11.778,11.93,8943096,0
1995-03-22,11.984,12.111,11.958,12.031,8285531,0
1995-03-23,11.893,11.908,11.702,11.828,21876212,0
1995-03-24,11.804,11.877,11.755,11.778,10043941,0
1995-03-27,11.755,11.755,11.574,11.702,9534463,0
1995-03-28,11.702,11.726,11.625,11.625,6254477,0
1995-03-29,11.6,11.877,11.549,11.755,11132528,0
1995-03-30,11.778,11.778,11.549,11.574,6744836,0
1995-03-31,11.549,11.653,11.469,11.499,8636623,0
1995-04-03,11.469,11.804,11.447,11.778,8074675,0
1995-04-04,11.828,11.904,11.804,11.904,7761338,0
1995-04-05,11.857,11.904,11.804,11.877,5492957,0
1995-04-06,11.877,11.93,11.804,11.93,5074194,0
1995-04-07,11.904,12.008,11.804,11.984,5725876,0
1995-04-10,12.008,12.008,11.904,11.93,4728004,0
1995-04-11,11.958,11.984,11.778,11.804,5247780,0
1995-04-12,11.804,11.904,11.778,11.904,5215415,0
1995-04-13,11.904,12.008,11.857,11.857,4319539,0
1995-04-17,11.904,11.904,11.653,11.653,6667848,0
1995-04-18,11.726,11.93,11.653,11.904,6085796,0
1995-04-19,11.93,11.93,11.653,11.804,8959770,0
1995-04-20,11.778,11.804,11.672,11.672,4774097,0
1995-04-21,11.755,11.857,11.672,11.857,10340601,0
1995-04-24,11.828,11.93,11.778,11.904,4689755,0
1995-04-25,11.857,11.93,11.804,11.877,4357297,0
1995-04-26,11.857,11.958,11.828,11.857,7185175,0
1995-04-27,11.828,11.904,11.828,11.828,5400771,0
1995-04-28,11.857,11.877,11.755,11.857,7645125,0
1995-05-01,11.828,11.828,11.755,11.755,7733876,0
1995-05-02,11.804,11.877,11.726,11.828,7336204,0
1995-05-03,11.857,11.958,11.857,11.958,9935083,0
1995-05-04,11.958,12.111,11.93,12.031,12373621,0
1995-05-05,12.06,12.212,12.031,12.134,6379030,0
1995-05-08,12.163,12.414,12.134,12.39,7959936,0
1995-05-09,12.39,12.491,12.338,12.44,7482323,0
1995-05-10,12.491,12.597,12.44,12.517,10127303,0
1995-05-11,12.541,12.541,12.39,12.414,7838819,0
1995-05-12,12.314,12.369,12.008,12.031,13852529,0
1995-05-15,12.031,12.081,11.755,11.804,19247414,0
1995-05-16,11.804,11.804,11.6,11.702,17704761,0
1995-05-17,11.726,11.877,11.702,11.828,15646251,0
1995-05-18,11.778,11.904,11.672,11.672,10787814,0
1995-05-19,11.625,11.904,11.625,11.904,16710321,0
1995-05-22,11.93,11.984,11.877,11.984,5452254,0
1995-05-23,12.008,12.212,11.984,12.212,9124528,0
1995-05-24,12.212,12.237,12.06,12.163,7487232,0
1995-05-25,12.186,12.314,12.134,12.237,7443589,0
1995-05-26,12.237,12.265,12.111,12.163,8439504,0
1995-05-30,12.163,12.265,12.163,12.265,4927086,0
1995-05-31,12.265,12.621,12.237,12.571,8963688,0
1995-06-01,12.571,12.621,12.338,12.44,7419563,0
1995-06-02,12.44,12.597,12.338,12.414,6321657,0
1995-06-05,12.414,12.414,12.212,12.314,5564059,0
1995-06-06,12.314,12.414,12.265,12.284,4889823,0
1995-06-07,12.237,12.39,12.212,12.338,3093653,0
1995-06-08,12.314,12.44,12.314,12.39,4553436,0
1995-06-09,12.338,12.39,12.212,12.237,7268528,0
1995-06-12,12.237,12.338,12.212,12.284,5780796,0
1995-06-13,12.369,12.369,12.284,12.338,5214435,0
1995-06-14,12.314,12.491,12.284,12.414,5694001,0
1995-06-15,12.44,12.597,12.414,12.517,5513556,0
1995-06-16,12.541,12.748,12.517,12.721,18369190,0
1995-06-19,12.672,12.824,12.672,12.798,5070759,0
1995-06-20,12.773,12.925,12.748,12.896,6916948,0
1995-06-21,12.925,13.1,12.896,13.052,9008808,0
1995-06-22,13.128,13.305,13.128,13.232,7148396,0
1995-06-23,13.255,13.436,13.232,13.332,5491976,0
1995-06-26,13.332,13.46,13.332,13.411,5032026,0
1995-06-27,13.411,13.411,13.128,13.207,9126974,0
1995-06-28,13.207,13.255,13.052,13.153,8539044,0
1995-06-29,13.178,13.232,12.98,13.052,8074186,0
1995-06-30,13.178,13.255,13.003,13.003,5673406,0
1995-07-03,13.003,13.178,13.003,13.153,2219835,0
1995-07-05,13.255,13.279,13.003,13.026,8455688,0
1995-07-06,13.026,13.153,12.98,13.153,7029733,0
1995-07-07,13.128,13.232,12.877,12.896,9376571,0
1995-07-10,12.95,13.1,12.95,13.003,9086281,0
1995-07-11,12.98,13.052,12.925,13.052,5813160,0
1995-07-12,13.026,13.279,13.003,13.279,5385568,0
1995-07-13,13.255,13.305,13.026,13.178,5496395,0
1995-07-14,13.052,13.207,13.026,13.026,5646927,0
1995-07-17,13.052,13.1,12.95,13.052,6437380,0
1995-07-18,13.026,13.178,13.003,13.153,5450787,0
1995-07-19,13.1,13.332,13.1,13.279,8414982,0
1995-07-20,13.305,13.332,13.003,13.1,7074843,0
1995-07-21,13.128,13.279,13.026,13.279,15342228,0
1995-07-24,13.279,13.382,13.232,13.305,4748107,0
1995-07-25,13.305,13.382,13.255,13.382,4191065,0
1995-07-26,13.382,13.639,13.359,13.562,6557029,0
1995-07-27,13.562,13.639,13.508,13.562,5414010,0
1995-07-28,13.613,13.613,13.436,13.46,3684529,0
1995-07-31,13.411,13.46,13.279,13.382,4876091,0
1995-08-01,13.436,13.613,13.332,13.562,6428061,0
1995-08-02,13.613,13.688,13.382,13.436,7093477,0
1995-08-03,13.411,13.538,13.359,13.411,5953893,0
1995-08-04,13.436,13.508,13.411,13.485,3303524,0
1995-08-07,13.508,13.508,13.305,13.411,3654616,0
1995-08-08,13.382,13.46,13.359,13.46,4197931,0
1995-08-09,13.411,13.639,13.411,13.613,4119966,0
1995-08-10,13.585,13.688,13.508,13.613,5973017,0
1995-08-11,13.562,13.585,13.382,13.46,8354672,0
1995-08-14,13.436,13.562,13.359,13.538,4689755,0
1995-08-15,13.411,13.46,13.279,13.359,8935248,0
1995-08-16,13.207,13.255,13.1,13.153,12557503,0
1995-08-17,13.128,13.153,12.95,13.128,13194479,0
1995-08-18,13.052,13.052,12.773,12.848,18697238,0
1995-08-21,12.896,13.003,12.824,12.877,10134171,0
1995-08-22,12.925,12.95,12.798,12.896,10541160,0
1995-08-23,12.896,12.95,12.824,12.824,6484944,0
1995-08-24,12.848,13.003,12.848,13.003,6351081,0
1995-08-25,13.052,13.207,13.052,13.153,8143819,0
1995-08-28,13.178,13.232,13.1,13.207,5298287,0
1995-08-29,13.207,13.232,13.1,13.178,4519111,0
1995-08-30,13.153,13.207,13.1,13.1,5901911,0
1995-08-31,13.128,13.207,13.052,13.1,6815935,0
1995-09-01,13.052,13.178,13.052,13.077,5151667,0
1995-09-05,13.052,13.052,12.925,13.003,6540847,0
1995-09-06,13.026,13.178,13.003,13.153,6787006,0
1995-09-07,13.128,13.153,13.003,13.026,7121430,0
1995-09-08,13.077,13.077,12.95,12.98,7498019,0
1995-09-11,13.026,13.077,13.003,13.003,5399304,0
1995-09-12,13.077,13.178,13.026,13.178,7467125,0
1995-09-13,13.1,13.436,13.077,13.436,8193345,0
1995-09-14,13.485,13.562,13.332,13.538,9721292,0
1995-09-15,13.585,13.665,13.485,13.585,17911200,0
1995-09-18,13.585,13.665,13.508,13.639,5272294,0
1995-09-19,13.639,13.766,13.613,13.766,5205612,0
1995-09-20,13.766,14.173,13.766,14.097,10561265,0
1995-09-21,14.173,14.251,13.994,14.173,7273437,0
1995-09-22,14.227,14.401,13.994,14.401,7344044,0
1995-09-25,14.377,14.377,14.199,14.3,5747942,0
1995-09-26,14.147,14.251,14.046,14.227,5794035,0
1995-09-27,14.147,14.325,14.072,14.3,6280960,0
1995-09-28,14.274,14.325,13.969,14.022,7037576,0
1995-09-29,14.022,14.147,13.843,14.072,7738295,0
1995-10-02,14.022,14.173,13.945,14.046,6733065,0
1995-10-03,14.121,14.479,14.121,14.455,7022866,0
1995-10-04,14.377,14.606,14.352,14.606,6727673,0
1995-10-05,14.582,14.659,14.325,14.401,7576969,0
1995-10-06,14.377,14.503,14.352,14.431,3441802,0
1995-10-09,14.377,14.732,14.352,14.606,5094301,0
1995-10-10,14.582,14.634,14.377,14.557,8195307,0
1995-10-11,14.431,14.606,14.401,14.503,5220811,0
1995-10-12,14.527,14.582,14.431,14.431,3167203,0
1995-10-13,14.503,14.659,14.455,14.455,4142030,0
1995-10-16,14.503,14.683,14.455,14.606,4125849,0
1995-10-17,14.606,14.606,14.377,14.455,4306788,0
1995-10-18,14.401,14.659,14.401,14.634,5806290,0
1995-10-19,14.527,14.989,14.431,14.989,13312159,0
1995-10-20,14.965,15.067,14.732,14.762,16293027,0
1995-10-23,14.708,14.762,14.634,14.683,7182717,0
1995-10-24,14.837,14.837,14.659,14.784,6636462,0
1995-10-25,14.527,14.634,14.527,14.634,12545250,0
1995-10-26,14.634,14.762,14.431,14.479,11366921,0
1995-10-27,14.401,14.617,14.401,14.606,7949150,0
1995-10-30,14.634,14.732,14.606,14.683,5272791,0
1995-10-31,14.708,14.837,14.659,14.659,7006681,0
1995-11-01,14.659,14.732,14.582,14.634,5990177,0
1995-11-02,14.634,14.683,14.527,14.606,6041174,0
1995-11-03,14.659,14.708,14.503,14.503,8139893,0
1995-11-06,14.503,14.557,14.352,14.352,5561610,0
1995-11-07,14.377,14.527,14.352,14.527,7282756,0
1995-11-08,14.582,14.837,14.557,14.837,8324761,0
1995-11-09,14.887,14.887,14.634,14.634,7016488,0
1995-11-10,14.606,14.837,14.606,14.837,4880507,0
1995-11-13,14.837,15.091,14.784,15.067,6768370,0
1995-11-14,15.013,15.142,14.965,15.091,7284218,0
1995-11-15,15.067,15.168,14.937,15.142,6773766,0
1995-11-16,15.194,15.32,15.142,15.247,7724563,0
1995-11-17,15.271,15.32,15.194,15.294,11252180,0
1995-11-20,15.32,15.343,15.217,15.343,5408620,0
1995-11-21,15.32,15.678,15.32,15.653,6613913,0
1995-11-22,15.602,15.626,15.294,15.294,5993118,0
1995-11-24,15.397,15.397,15.294,15.343,1199900,0
1995-11-27,15.343,15.374,15.168,15.217,6438850,0
1995-11-28,15.194,15.421,15.194,15.374,6218191,0
1995-11-29,15.32,15.397,15.271,15.397,4321010,0
1995-11-30,15.397,15.522,15.374,15.449,5840619,0
1995-12-01,15.421,15.576,15.397,15.453,5068307,0
1995-12-04,15.449,15.548,15.32,15.548,6393251,0
1995-12-05,15.522,15.857,15.475,15.779,6244183,0
1995-12-06,15.829,16.188,15.779,16.188,8790596,0
1995-12-07,16.136,16.16,15.907,15.983,6410409,0
1995-12-08,15.983,16.136,15.932,16.009,4402410,0
1995-12-11,15.983,16.337,15.983,16.188,6982169,0
1995-12-12,16.188,16.363,16.16,16.337,5123230,0
1995-12-13,16.337,16.393,16.289,16.316,5956344,0
1995-12-14,16.316,16.316,16.062,16.062,7798117,0
1995-12-15,16.136,16.188,16.009,16.034,24215206,0
1995-12-18,15.829,15.954,15.806,15.829,7383769,0
1995-12-19,15.779,15.882,15.421,15.752,11790095,0
1995-12-20,15.752,15.752,15.142,15.142,10280784,0
1995-12-21,15.217,15.499,14.606,14.837,33515767,0
1995-12-22,14.863,14.887,14.401,14.683,18031826,0
1995-12-26,14.683,15.271,14.683,15.217,10519587,0
1995-12-27,15.247,15.374,15.217,15.217,10991797,0
1995-12-28,15.271,15.32,15.142,15.271,6329992,0
1995-12-29,15.294,15.32,15.013,15.142,6202011,0
1996-01-02,15.067,15.343,15.067,15.294,9342247,0
1996-01-03,15.343,15.475,15.32,15.421,8712139,0
1996-01-04,15.421,15.499,15.194,15.294,10495066,0
