Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.7041,2.7445,2.6634,2.7445,1999703,0
1995-01-04,2.7312,2.7581,2.6905,2.7581,2360064,0
1995-01-05,2.7445,2.8032,2.7312,2.8032,1242606,0
1995-01-06,2.776,2.8301,2.776,2.8032,4563015,0
1995-01-09,2.7897,2.8301,2.776,2.8165,1092603,0
1995-01-10,2.8165,2.8301,2.8032,2.8032,1227517,0
1995-01-11,2.8032,2.8165,2.7581,2.7581,2034319,0
1995-01-12,2.776,2.7897,2.7581,2.7897,1408578,0
1995-01-13,2.8032,2.8165,2.776,2.7897,2786095,0
1995-01-16,2.8032,2.8165,2.7897,2.7897,1000295,0
1995-01-17,2.7897,2.8032,2.776,2.7897,1838168,0
1995-01-18,2.776,2.7897,2.7312,2.7312,2013906,0
1995-01-19,2.7173,2.8437,2.7173,2.8301,3488164,0
1995-01-20,2.8301,2.8301,2.7897,2.8032,1365086,0
1995-01-23,2.8032,2.8165,2.776,2.8165,1084616,0
1995-01-24,2.8165,2.8165,2.7897,2.8032,1913616,0
1995-01-25,2.8165,2.8301,2.8032,2.8165,1860353,0
1995-01-26,2.8032,2.8572,2.776,2.776,1673079,0
1995-01-27,2.7897,2.8032,2.7581,2.7897,1124557,0
1995-01-30,2.8032,2.8032,2.7581,2.7581,1383728,0
1995-01-31,2.7445,2.7581,2.632,2.6634,6184617,0
1995-02-01,2.6905,2.7041,2.6634,2.6769,4445859,0
1995-02-02,2.6905,2.7445,2.6769,2.7445,5581064,0
1995-02-03,2.7581,2.8437,2.7445,2.8437,3497042,0
1995-02-06,2.8165,2.8886,2.8165,2.8572,5984911,0
1995-02-07,2.8753,2.9158,2.8437,2.8886,7889647,0
1995-02-08,2.9023,2.9429,2.8886,2.9429,2588165,0
1995-02-09,2.9294,2.9429,2.9023,2.9023,2632547,0
1995-02-10,2.9158,2.9429,2.9023,2.9158,2512725,0
1995-02-13,2.9158,2.9429,2.8886,2.8886,2192311,0
1995-02-14,2.9158,2.9158,2.8886,2.9023,1805328,0
1995-02-15,2.9158,2.9158,2.8753,2.9023,1701485,0
1995-02-16,2.9158,2.9429,2.9023,2.9429,2919233,0
1995-02-17,2.9429,2.9564,2.9158,2.9294,1734320,0
1995-02-21,2.9429,2.9564,2.9158,2.9564,2909466,0
1995-02-22,2.9564,3.015,2.9429,2.9834,3631954,0
1995-02-23,3.0014,3.015,2.9564,2.97,3542310,0
1995-02-24,2.97,3.0286,2.9294,3.0014,4441426,0
1995-02-27,3.0014,3.0014,2.9294,2.9294,1883429,0
1995-02-28,2.9429,2.9564,2.9294,2.9564,787277,0
1995-03-01,2.9564,2.97,2.9023,2.9294,2983140,0
1995-03-02,2.9158,2.9294,2.8753,2.8886,1334023,0
1995-03-03,2.8753,2.9023,2.8572,2.8886,1505326,0
1995-03-06,2.8753,2.8753,2.8437,2.8753,2305923,0
1995-03-07,2.8753,2.9834,2.8572,2.97,3659465,0
1995-03-08,2.9834,3.015,2.97,3.015,4597638,0
1995-03-09,3.0014,3.015,2.97,3.0014,2881066,0
1995-03-10,3.015,3.015,2.9834,2.9834,1981952,0
1995-03-13,2.9834,3.0421,2.9834,3.0421,1753845,0
1995-03-14,3.0555,3.0555,3.0014,3.0014,3201476,0
1995-03-15,3.0014,3.1275,3.0014,3.069,4981067,0
1995-03-16,3.0827,3.1411,3.069,3.1275,3502365,0
1995-03-17,3.1411,3.1411,3.1005,3.1141,4960652,0
1995-03-20,3.1005,3.1141,3.0286,3.0286,7632249,0
1995-03-21,3.0421,3.0827,3.015,3.015,2135504,0
1995-03-22,3.0286,3.0827,3.0014,3.0827,3909764,0
1995-03-23,3.0827,3.1141,3.0555,3.0555,4061541,0
1995-03-24,3.069,3.1005,3.0555,3.0827,1578996,0
1995-03-27,3.0827,3.0827,3.0286,3.0421,3560954,0
1995-03-28,3.0421,3.0421,3.015,3.0421,4673963,0
1995-03-29,3.0286,3.0421,2.9834,3.015,3000888,0
1995-03-30,3.015,3.015,2.9429,2.9564,5108877,0
1995-03-31,2.9564,2.9834,2.9158,2.97,2958286,0
1995-04-03,2.9564,2.97,2.9429,2.9564,2352077,0
1995-04-04,2.97,2.9834,2.9564,2.97,7578113,0
1995-04-05,2.9564,2.97,2.9429,2.9564,2972482,0
1995-04-06,2.9429,2.9564,2.8572,2.8572,5058288,0
1995-04-07,2.8753,2.9158,2.8572,2.9023,3253848,0
1995-04-10,2.9023,2.9023,2.8753,2.8886,1292307,0
1995-04-11,2.9023,2.9429,2.8886,2.9429,5342310,0
1995-04-12,2.9429,2.9429,2.8886,2.9158,3828106,0
1995-04-13,2.9294,2.9429,2.9158,2.9429,8008583,0
1995-04-17,2.9294,2.9294,2.8886,2.8886,3926631,0
1995-04-18,2.8886,2.9023,2.8753,2.8886,3047929,0
1995-04-19,2.9023,2.9023,2.8886,2.9023,4295859,0
1995-04-20,2.8886,2.9023,2.8437,2.8753,4237279,0
1995-04-21,2.8886,2.8886,2.8753,2.8886,3907103,0
1995-04-24,2.8886,2.9023,2.8753,2.8753,1149410,0
1995-04-25,2.8753,2.8886,2.8301,2.8572,1758284,0
1995-04-26,2.8572,2.8753,2.8437,2.8437,1605622,0
1995-04-27,2.8572,2.8753,2.8572,2.8753,1447633,0
1995-04-28,2.8753,2.8753,2.8165,2.8572,2424853,0
1995-05-01,2.8572,2.8753,2.8165,2.8572,2370712,0
1995-05-02,2.8572,2.9023,2.8572,2.8886,1794677,0
1995-05-03,2.8886,2.8886,2.8394,2.8753,2027219,0
1995-05-04,2.8886,2.9023,2.8572,2.8572,2845564,0
1995-05-05,2.8753,2.8753,2.8301,2.8437,893784,0
1995-05-08,2.8165,2.8572,2.8165,2.8437,1468938,0
1995-05-09,2.8572,2.8572,2.8165,2.8437,2812724,0
1995-05-10,2.8437,2.8572,2.8301,2.8437,1464503,0
1995-05-11,2.8301,2.8437,2.8165,2.8437,1910058,0
1995-05-12,2.8301,2.9294,2.8301,2.9158,4548819,0
1995-05-15,2.9023,2.9294,2.9023,2.9158,3171303,0
1995-05-16,2.9158,2.9564,2.9158,2.9564,2826036,0
1995-05-17,2.9294,2.9564,2.9158,2.9294,3530768,0
1995-05-18,2.9294,2.9564,2.9294,2.9294,2276627,0
1995-05-19,2.9294,2.9564,2.9294,2.9294,2632547,0
1995-05-22,2.9294,2.9429,2.9158,2.9294,2465678,0
1995-05-23,2.9294,2.9429,2.9158,2.9294,2798524,0
1995-05-24,2.9564,2.97,2.9294,2.9429,1807105,0
1995-05-25,2.9429,2.9429,2.9158,2.9429,974559,0
1995-05-26,2.9429,2.9429,2.9023,2.9158,1525738,0
1995-05-30,2.9158,2.9294,2.9023,2.9158,2181660,0
1995-05-31,2.8886,2.9294,2.8753,2.9294,4276333,0
1995-06-01,2.9834,3.0555,2.9834,3.0555,9937284,0
1995-06-02,3.0555,3.069,3.0286,3.0555,2800300,0
1995-06-05,3.0555,3.1275,3.0421,3.0827,2947633,0
1995-06-06,3.0555,3.1411,3.0555,3.1141,4351774,0
1995-06-07,3.1141,3.1547,3.1005,3.1411,2192311,0
1995-06-08,3.1411,3.1411,3.1141,3.1411,1763607,0
1995-06-09,3.1141,3.1141,3.0827,3.1005,3228106,0
1995-06-12,3.069,3.1411,3.069,3.1141,1642013,0
1995-06-13,3.1275,3.1411,3.1141,3.1275,1972191,0
1995-06-14,3.1141,3.1275,3.1005,3.1005,1104143,0
1995-06-15,3.1141,3.1141,3.069,3.1141,1340235,0
1995-06-16,3.1141,3.1411,3.1005,3.1275,3134025,0
1995-06-19,3.1005,3.1411,3.1005,3.1275,3543200,0
1995-06-20,3.1141,3.1681,3.1141,3.1411,2037869,0
1995-06-21,3.1411,3.1411,3.1141,3.1141,1197340,0
1995-06-22,3.1141,3.1411,3.1141,3.1275,904438,0
1995-06-23,3.1141,3.1411,3.1005,3.1275,896449,0
1995-06-26,3.1141,3.1411,3.1005,3.1005,1608284,0
1995-06-27,3.1275,3.1681,3.0827,3.1141,3819234,0
1995-06-28,3.1005,3.1275,3.0827,3.0827,940827,0
1995-06-29,3.1005,3.1141,3.0421,3.0555,1497339,0
1995-06-30,3.0555,3.069,3.0286,3.0286,1721896,0
1995-07-03,3.015,3.0286,2.9834,3.0286,1109465,0
1995-07-05,3.0421,3.1681,3.0421,3.1411,2809174,0
1995-07-06,3.1547,3.2402,3.1547,3.2089,8155925,0
1995-07-07,3.2089,3.2672,3.1951,3.2672,3216565,0
1995-07-10,3.2402,3.2538,3.1547,3.1547,3485504,0
1995-07-11,3.1681,3.1681,3.1411,3.1681,2606802,0
1995-07-12,3.2089,3.2402,3.1818,3.2089,3038164,0
1995-07-13,3.2089,3.2089,3.1411,3.1818,2485206,0
1995-07-14,3.1818,3.2809,3.1681,3.2672,3284913,0
1995-07-17,3.2538,3.326,3.2538,3.2672,3647935,0
1995-07-18,3.3079,3.4523,3.2943,3.3394,7926926,0
1995-07-19,3.3394,3.407,3.326,3.38,4381065,0
1995-07-20,3.38,3.4339,3.38,3.4339,5272190,0
1995-07-21,3.4339,3.4523,3.38,3.4207,3024857,0
1995-07-24,3.4207,3.4523,3.38,3.407,4003848,0
1995-07-25,3.38,3.4523,3.3664,3.4207,3736690,0
1995-07-26,3.4793,3.5197,3.4654,3.5197,4671302,0
1995-07-27,3.5333,3.5919,3.5333,3.5783,6411839,0
1995-07-28,3.6323,3.718,3.6189,3.718,5651179,0
1995-07-31,3.718,3.718,3.4926,3.5063,6780180,0
1995-08-01,3.5333,3.7044,3.5333,3.5919,4204442,0
1995-08-02,3.6054,3.6323,3.5783,3.6323,4152074,0
1995-08-03,3.6189,3.6323,3.5647,3.6054,2897931,0
1995-08-04,3.6189,3.6189,3.4926,3.5512,3074559,0
1995-08-07,3.5512,3.6594,3.5063,3.6594,2755031,0
1995-08-08,3.6594,3.6774,3.5197,3.5783,3710062,0
1995-08-09,3.5647,3.5783,3.5197,3.5512,1688168,0
1995-08-10,3.5783,3.5783,3.4793,3.5063,2587278,0
1995-08-11,3.5197,3.5512,3.4926,3.5063,2510947,0
1995-08-14,3.5197,3.5197,3.4523,3.4926,1902076,0
1995-08-15,3.5063,3.5647,3.5063,3.5512,2480768,0
1995-08-16,3.5783,3.5783,3.5197,3.5647,1125447,0
1995-08-17,3.5333,3.5919,3.5333,3.5512,1741422,0
1995-08-18,3.5647,3.5783,3.5512,3.5647,1057992,0
1995-08-21,3.5512,3.6054,3.5512,3.6054,2636102,0
1995-08-22,3.6054,3.6054,3.5333,3.5919,870713,0
1995-08-23,3.5919,3.6054,3.5512,3.5647,1687280,0
1995-08-24,3.5647,3.6594,3.5647,3.6054,5189649,0
1995-08-25,3.6459,3.6594,3.6054,3.6323,4487577,0
1995-08-28,3.6594,3.7044,3.6459,3.691,1563907,0
1995-08-29,3.6774,3.7044,3.6594,3.6774,2707101,0
1995-08-30,3.691,3.7044,3.6594,3.7044,2413317,0
1995-08-31,3.7044,3.7044,3.6774,3.6774,2826036,0
1995-09-01,3.691,3.745,3.682,3.718,2571303,0
1995-09-05,3.7316,3.745,3.7044,3.718,2336982,0
1995-09-06,3.7044,3.7044,3.6774,3.7044,1134318,0
1995-09-07,3.691,3.691,3.6189,3.6594,3427803,0
1995-09-08,3.6459,3.7044,3.6054,3.7044,3174851,0
1995-09-11,3.7044,3.718,3.6594,3.6774,1291421,0
1995-09-12,3.6459,3.6774,3.6323,3.6459,1749410,0
1995-09-13,3.6774,3.745,3.6774,3.7316,1452071,0
1995-09-14,3.745,3.8036,3.7316,3.8036,3286686,0
1995-09-15,3.8712,3.9162,3.8308,3.8848,5197633,0
1995-09-18,3.8712,3.8848,3.8036,3.8172,1864796,0
1995-09-19,3.8172,3.8848,3.8172,3.8848,1226626,0
1995-09-20,3.8577,3.8848,3.7766,3.8172,2027219,0
1995-09-21,3.8712,3.8712,3.8036,3.8036,1571899,0
1995-09-22,3.7766,3.8308,3.7586,3.8308,1519530,0
1995-09-25,3.8308,3.8308,3.745,3.7586,1612721,0
1995-09-26,3.79,3.8172,3.7586,3.79,1672188,0
1995-09-27,3.7586,3.7766,3.691,3.691,2588165,0
1995-09-28,3.7044,3.79,3.6459,3.7766,3428698,0
1995-09-29,3.79,3.8441,3.7766,3.8441,1931362,0
1995-10-02,3.8308,3.8308,3.7586,3.79,1868342,0
1995-10-03,3.7766,3.79,3.718,3.745,1235508,0
1995-10-04,3.7316,3.7676,3.7044,3.7586,2465678,0
1995-10-05,3.7586,3.8172,3.745,3.8172,2299706,0
1995-10-06,3.8036,3.8712,3.8036,3.8441,2020121,0
1995-10-09,3.8441,3.8441,3.718,3.745,2281955,0
1995-10-10,3.718,3.7586,3.6594,3.718,1853256,0
1995-10-11,3.718,3.718,3.6459,3.7044,2863315,0
1995-10-12,3.6774,3.7316,3.6774,3.7044,1156510,0
1995-10-13,3.7044,3.7044,3.6594,3.7044,1807988,0
1995-10-16,3.7316,3.7316,3.6594,3.6774,1479589,0
1995-10-17,3.6774,3.8308,3.6594,3.8308,3552071,0
1995-10-18,3.8036,3.8172,3.718,3.7586,1675742,0
1995-10-19,3.79,3.9162,3.7766,3.8848,4420119,0
1995-10-20,3.8441,3.8577,3.8036,3.8577,2336099,0
1995-10-23,3.8308,3.8577,3.8036,3.8308,1806213,0
1995-10-24,3.8577,3.8848,3.8308,3.8577,1696153,0
1995-10-25,3.8577,3.8712,3.79,3.8036,5452366,0
1995-10-26,3.8308,3.8441,3.7766,3.79,4341131,0
1995-10-27,3.79,3.79,3.691,3.7044,3170410,0
1995-10-30,3.7044,3.8308,3.7044,3.8036,2810061,0
1995-10-31,3.8036,3.8036,3.718,3.7586,2226032,0
1995-11-01,3.745,3.745,3.5919,3.6189,9205034,0
1995-11-02,3.6189,3.691,3.5919,3.6459,3321299,0
1995-11-03,3.6774,3.718,3.6594,3.691,2770119,0
1995-11-06,3.691,3.718,3.6594,3.718,1790236,0
1995-11-07,3.7044,3.7586,3.691,3.7316,2612131,0
1995-11-08,3.7316,3.79,3.718,3.7316,2125738,0
1995-11-09,3.745,3.79,3.745,3.7586,3122484,0
1995-11-10,3.745,3.79,3.718,3.7316,2769232,0
1995-11-13,3.7044,3.745,3.7044,3.7316,1492897,0
1995-11-14,3.718,3.7316,3.7044,3.7044,1076623,0
1995-11-15,3.6774,3.7316,3.6774,3.691,2167458,0
1995-11-16,3.7044,3.8172,3.7044,3.7586,1658873,0
1995-11-17,3.7586,3.8441,3.745,3.8172,1676628,0
1995-11-20,3.8308,3.8441,3.79,3.8036,1576333,0
1995-11-21,3.8036,3.8441,3.8036,3.8172,1073962,0
1995-11-22,3.8577,3.8577,3.7586,3.8172,1109465,0
1995-11-24,3.79,3.8036,3.7316,3.7316,377217,0
1995-11-27,3.7316,3.8441,3.7316,3.7316,1288761,0
1995-11-28,3.7316,3.7316,3.7044,3.7316,2233135,0
1995-11-29,3.7316,3.8036,3.7316,3.79,1336685,0
1995-11-30,3.8036,3.8172,3.7586,3.7766,1776924,0
1995-12-01,3.79,3.79,3.7316,3.7586,1502664,0
1995-12-04,3.7586,3.9029,3.7316,3.8848,1789349,0
1995-12-05,3.8848,3.9433,3.8712,3.9299,3005323,0
1995-12-06,3.9162,4.0696,3.9162,4.0558,3853845,0
1995-12-07,4.0558,4.128,4.0291,4.0425,4629591,0
1995-12-08,4.0425,4.083,4.0155,4.083,2028111,0
1995-12-11,4.0696,4.083,4.0425,4.0696,1534620,0
1995-12-12,4.0558,4.0966,4.0558,4.0966,1827516,0
1995-12-13,4.083,4.0966,4.0425,4.0696,2576634,0
1995-12-14,4.083,4.155,4.0155,4.0966,4445859,0
1995-12-15,4.128,4.2543,4.1101,4.2093,6140233,0
1995-12-18,4.2093,4.2093,4.155,4.155,1941128,0
1995-12-19,4.1956,4.1956,4.083,4.182,1655328,0
1995-12-20,4.2093,4.2273,4.1417,4.2093,3395857,0
1995-12-21,4.2273,4.2409,4.182,4.182,1857695,0
1995-12-22,4.2093,4.2409,4.182,4.1956,1454739,0
1995-12-26,4.2093,4.2409,4.182,4.1956,1169827,0
1995-12-27,4.1956,4.2543,4.182,4.2093,1007401,0
1995-12-28,4.1956,4.2093,4.1417,4.182,599116,0
1995-12-29,4.1689,4.2273,4.155,4.2093,1398815,0
1996-01-02,4.2093,4.2409,4.155,4.2273,2187874,0
1996-01-03,4.2273,4.3218,4.1956,4.2678,4242607,0
1996-01-04,4.2813,4.2813,4.1101,4.182,2526926,0
1996-01-05,4.155,4.2273,4.0425,4.1956,2180773,0
1996-01-08,4.182,4.2093,4.1417,4.155,297337,0
1996-01-09,4.1417,4.182,4.0966,4.1101,2513610,0
1996-01-10,4.083,4.182,4.0558,4.0558,2632547,0
1996-01-11,4.0425,4.0558,3.9162,3.9433,2499405,0
1996-01-12,3.9433,4.0155,3.9299,4.0021,1191127,0
1996-01-15,4.0155,4.128,3.9838,4.0966,2261535,0
1996-01-16,4.128,4.128,4.0558,4.0558,1989941,0
1996-01-17,4.0558,4.1101,4.0425,4.0425,1581659,0
1996-01-18,4.0558,4.0696,3.9704,4.0021,1549701,0
1996-01-19,3.9433,4.1417,3.9433,4.083,2577513,0
1996-01-22,4.083,4.182,4.083,4.1417,2375152,0
1996-01-23,4.1101,4.1689,4.1101,4.155,1636692,0
1996-01-24,4.1689,4.2273,4.1417,4.1689,5149707,0
1996-01-25,4.182,4.2273,3.7766,3.9704,16627816,0
1996-01-26,3.9568,4.0425,3.9162,3.9162,7400597,0
1996-01-29,3.9162,3.9704,3.8577,3.8848,4736986,0
1996-01-30,3.8848,3.9029,3.8441,3.8577,1841712,0
1996-01-31,3.8441,3.9162,3.8308,3.9162,8592608,0
1996-02-01,3.9162,4.0558,3.9029,4.0425,3060359,0
1996-02-02,4.0425,4.0558,3.9433,3.9433,3040828,0
1996-02-05,3.9299,4.0064,3.9162,3.9704,1386395,0
1996-02-06,3.9162,4.0558,3.9029,4.0291,4005618,0
1996-02-07,4.0021,4.0425,3.9433,4.0425,4641130,0
1996-02-08,4.0425,4.0425,3.9838,4.0155,1665090,0
1996-02-09,4.0021,4.0558,3.9838,4.0291,2322781,0
1996-02-12,4.0425,4.0696,4.0155,4.0425,4329588,0
1996-02-13,4.0558,4.155,4.0558,4.1101,4004731,0
1996-02-14,4.155,4.182,4.128,4.128,3276921,0
1996-02-15,4.155,4.182,4.1101,4.1689,2029884,0
1996-02-16,4.1689,4.2543,4.1417,4.2543,4415683,0
1996-02-20,4.2273,4.2678,4.182,4.2409,4105917,0
1996-02-21,4.2093,4.2093,4.155,4.1689,1651779,0
1996-02-22,4.1956,4.2678,4.182,4.2093,2753254,0
1996-02-23,4.2273,4.2543,4.1956,4.2409,3003547,0
1996-02-26,4.2409,4.2543,4.1689,4.1689,2561541,0
1996-02-27,4.1689,4.1956,4.1689,4.1689,3093201,0
1996-02-28,4.1956,4.2678,4.1956,4.2093,2646745,0
1996-02-29,4.182,4.2543,4.182,4.182,3458883,0
1996-03-01,4.2409,4.2409,4.1956,4.2093,2669827,0
