Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.9904,4.0547,3.9662,3.9742,2368512,0
1995-01-04,3.9742,3.9904,3.8137,3.918,5028978,0
1995-01-05,3.9502,4.151,3.9502,4.1105,3425724,0
1995-01-06,4.1028,4.1428,4.0865,4.1105,1643111,0
1995-01-09,4.1428,4.1671,4.1028,4.151,984468,0
1995-01-10,4.1671,4.231,4.1266,4.1266,303908,0
1995-01-11,4.1428,4.1428,4.0384,4.0623,1149878,0
1995-01-12,4.0865,4.1266,4.0547,4.1266,1155858,0
1995-01-13,4.1428,4.1911,4.1428,4.1671,611806,0
1995-01-16,4.1748,4.215,4.1266,4.215,625757,0
1995-01-17,4.215,4.215,4.1671,4.1988,449388,0
1995-01-18,4.215,4.2875,4.215,4.2875,812089,0
1995-01-19,4.2875,4.3195,4.2632,4.2795,411523,0
1995-01-20,4.2632,4.3034,4.231,4.3034,990451,0
1995-01-23,4.2555,4.3034,4.231,4.2875,395580,0
1995-01-24,4.2555,4.3034,4.2555,4.2875,351740,0
1995-01-25,4.2875,4.3515,4.2795,4.3436,323837,0
1995-01-26,4.3274,4.3757,4.3274,4.3757,401560,0
1995-01-27,4.3917,4.4,4.3676,4.4,417505,0
1995-01-30,4.4,4.4318,4.3676,4.3676,271028,0
1995-01-31,4.3757,4.3757,4.3436,4.3676,1042266,0
1995-02-01,4.3917,4.4318,4.3757,4.3917,1242545,0
1995-02-02,4.4,4.5119,4.4,4.5119,1020345,0
1995-02-03,4.5119,4.6645,4.488,4.5684,1169809,0
1995-02-06,4.5525,4.6004,4.5281,4.5525,695506,0
1995-02-07,4.5764,4.6004,4.5525,4.6004,1872285,0
1995-02-08,4.6004,4.6004,4.488,4.5281,490243,0
1995-02-09,4.5281,4.5764,4.5281,4.5443,629745,0
1995-02-10,4.5443,4.5443,4.4801,4.5039,1788591,0
1995-02-13,4.5039,4.5039,4.4558,4.4558,855932,0
1995-02-14,4.4558,4.4558,4.3917,4.4318,367684,0
1995-02-15,4.4558,4.488,4.4558,4.488,414517,0
1995-02-16,4.488,4.5443,4.4801,4.5119,758282,0
1995-02-17,4.5119,4.5119,4.4558,4.4639,1579336,0
1995-02-21,4.4639,4.4801,4.4398,4.4398,540067,0
1995-02-22,4.4558,4.4558,4.3917,4.3917,728390,0
1995-02-23,4.3917,4.4,4.3274,4.3917,3361951,0
1995-02-24,4.4157,4.4157,4.2632,4.2875,1052229,0
1995-02-27,4.2875,4.2875,4.1266,4.151,1076143,0
1995-02-28,4.151,4.1671,4.1028,4.1028,3504441,0
1995-03-01,4.1266,4.1671,4.1105,4.1671,596864,0
1995-03-02,4.1105,4.1428,4.0786,4.1105,1010377,0
1995-03-03,4.1266,4.1266,4.0623,4.0786,684546,0
1995-03-06,4.0865,4.1266,4.0384,4.1266,1348168,0
1995-03-07,4.1671,4.2632,4.1105,4.1428,1611227,0
1995-03-08,4.1105,4.1671,4.0865,4.1266,239143,0
1995-03-09,4.151,4.151,4.0623,4.0786,4469976,0
1995-03-10,4.0623,4.0623,4.0304,4.0304,2555839,0
1995-03-13,4.0547,4.1428,4.0141,4.1428,2517975,0
1995-03-14,4.151,4.215,4.1266,4.1988,2322673,0
1995-03-15,4.1911,4.2555,4.1748,4.2555,714437,0
1995-03-16,4.2392,4.3274,4.2392,4.3195,751308,0
1995-03-17,4.3436,4.4157,4.3195,4.3195,2010796,0
1995-03-20,4.3195,4.3917,4.3195,4.3757,663620,0
1995-03-21,4.4,4.4398,4.3676,4.3676,1450798,0
1995-03-22,4.3757,4.3917,4.3515,4.3757,1022337,0
1995-03-23,4.3917,4.4157,4.3757,4.3917,179358,0
1995-03-24,4.4,4.4318,4.3436,4.4,1236567,0
1995-03-27,4.4,4.4,4.3195,4.3436,1540478,0
1995-03-28,4.3515,4.3917,4.3436,4.3515,1533501,0
1995-03-29,4.3757,4.4318,4.3676,4.4318,1163829,0
1995-03-30,4.4157,4.4639,4.4157,4.4639,1656066,0
1995-03-31,4.4398,4.4639,4.4398,4.4398,244126,0
1995-04-03,4.4398,4.4398,4.4076,4.4318,2153282,0
1995-04-04,4.4398,4.4801,4.4398,4.4801,476293,0
1995-04-05,4.488,4.5925,4.488,4.5281,759278,0
1995-04-06,4.6645,4.6645,4.5684,4.5684,2012786,0
1995-04-07,4.5764,4.7289,4.5764,4.7206,1645102,0
1995-04-10,4.6889,4.7206,4.6567,4.6808,302913,0
1995-04-11,4.6645,4.6645,4.5525,4.5764,1841399,0
1995-04-12,4.5925,4.6405,4.5443,4.6327,1440835,0
1995-04-13,4.6405,4.7206,4.6405,4.6645,2315699,0
1995-04-17,4.6808,4.7045,4.5925,4.5925,184337,0
1995-04-18,4.6167,4.6167,4.488,4.5039,191314,0
1995-04-19,4.4801,4.5039,4.4558,4.4558,2420322,0
1995-04-20,4.4801,4.4801,4.4318,4.4318,497219,0
1995-04-21,4.4318,4.4558,4.3917,4.3917,785186,0
1995-04-24,4.4157,4.4318,4.3757,4.4157,699493,0
1995-04-25,4.4157,4.4318,4.3917,4.4,337792,0
1995-04-26,4.3757,4.4157,4.3515,4.3676,1044256,0
1995-04-27,4.3757,4.4157,4.3757,4.4157,466329,0
