Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.7496,4.7496,4.6121,4.6514,1539910,0
1995-01-04,4.6121,4.7823,4.6121,4.7168,2208215,0
1995-01-05,4.684,4.8475,4.684,4.7496,2017448,0
1995-01-06,4.8149,4.8149,4.684,4.7496,1553362,0
1995-01-09,4.7823,4.7823,4.7168,4.7496,1289837,0
1995-01-10,4.8149,4.8149,4.6514,4.7168,2065445,0
1995-01-11,4.7168,4.7823,4.684,4.7823,1113739,0
1995-01-12,4.7496,4.7823,4.7168,4.7496,1736799,0
1995-01-13,4.7823,4.7823,4.7168,4.7168,1660064,0
1995-01-16,4.7496,4.8149,4.7168,4.7168,2414886,0
1995-01-17,4.7496,4.7823,4.7168,4.7496,2584254,0
1995-01-18,4.7496,4.7823,4.684,4.7168,1492833,0
1995-01-19,4.7168,4.7168,4.5792,4.6514,3716642,0
1995-01-20,4.6514,4.6514,4.5468,4.6514,3127213,0
1995-01-23,4.5792,4.6121,4.5138,4.5468,2058415,0
1995-01-24,4.5792,4.6121,4.481,4.5138,4340309,0
1995-01-25,4.5468,4.5792,4.5138,4.5468,2068505,0
1995-01-26,4.5138,4.5792,4.4484,4.5792,2754845,0
1995-01-27,4.6121,4.6514,4.5138,4.5468,1265683,0
1995-01-30,4.5792,4.6121,4.4159,4.5792,2218613,0
1995-01-31,4.5792,4.5792,4.4484,4.4484,2363218,0
1995-02-01,4.5138,4.5792,4.4484,4.5138,5729809,0
1995-02-02,4.481,4.5792,4.4484,4.4484,2599540,0
1995-02-03,4.481,4.481,4.4159,4.4159,2986580,0
1995-02-06,4.481,4.5468,4.4159,4.4484,4011354,0
1995-02-07,4.4484,4.481,4.4159,4.4159,2926964,0
1995-02-08,4.4159,4.5138,4.4159,4.4159,2462270,0
1995-02-09,4.4484,4.481,4.383,4.4484,3548188,0
1995-02-10,4.481,4.481,4.4159,4.4484,2173364,0
1995-02-13,4.481,4.5792,4.4484,4.5468,7282257,0
1995-02-14,4.6121,4.8475,4.5468,4.7168,16412591,0
1995-02-15,4.8149,4.8801,4.7496,4.8149,5323198,0
