Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.9031,5.9031,5.7703,5.856,365265,0
1995-01-04,5.8794,5.9031,5.856,5.9031,242827,0
1995-01-05,5.9031,5.9031,5.856,5.8794,468237,0
1995-01-06,5.8794,5.9891,5.8794,5.9419,219261,0
1995-01-09,5.9419,6.0512,5.9419,6.0282,281759,0
1995-01-10,6.0669,6.0669,5.9891,5.9891,971308,0
1995-01-11,6.0282,6.0901,6.0282,6.0901,446718,0
1995-01-12,6.137,6.1527,6.1139,6.137,695180,0
1995-01-13,6.1527,6.3242,6.1527,6.3012,802760,0
1995-01-16,6.2857,6.3012,6.1762,6.2154,1400606,0
1995-01-17,6.2154,6.2857,6.1998,6.2857,397025,0
1995-01-18,6.2857,6.3012,6.1998,6.2154,379097,0
1995-01-19,6.1762,6.2383,6.1762,6.2383,638315,0
1995-01-20,6.2154,6.2463,6.1998,6.2154,236167,0
1995-01-23,6.2154,6.262,6.2154,6.2383,381655,0
1995-01-24,6.2383,6.3012,6.1998,6.3012,367314,0
1995-01-25,6.2857,6.3478,6.2383,6.3242,107067,0
1995-01-26,6.3478,6.3636,6.3012,6.3242,353995,0
1995-01-27,6.3478,6.3478,6.2154,6.2154,143443,0
1995-01-30,6.2154,6.2857,6.1998,6.2154,399077,0
1995-01-31,6.1762,6.1762,6.0901,6.1139,277151,0
1995-02-01,6.137,6.3012,6.137,6.2857,298664,0
1995-02-02,6.2857,6.3242,6.262,6.262,142930,0
1995-02-03,6.2857,6.5353,6.262,6.5353,939545,0
1995-02-06,6.5353,6.7305,6.5353,6.7305,457992,0
1995-02-07,6.707,6.707,6.5977,6.5977,215674,0
1995-02-08,6.6212,6.6212,6.5353,6.5587,500510,0
1995-02-09,6.5823,6.6838,6.5587,6.6602,145491,0
1995-02-10,6.6838,6.7696,6.6838,6.7305,217725,0
1995-02-13,6.7305,6.7305,6.5587,6.6447,171106,0
1995-02-14,6.6447,6.6447,6.5353,6.5977,431863,0
1995-02-15,6.5977,6.5977,6.5353,6.5587,495896,0
1995-02-16,6.6602,6.6602,6.5587,6.5977,603479,0
1995-02-17,6.6133,6.6913,6.59,6.6759,409320,0
1995-02-21,6.6524,6.6759,6.6292,6.6524,380119,0
1995-02-22,6.6524,6.715,6.6524,6.6913,670592,0
1995-02-23,6.6524,6.8634,6.6524,6.8634,1101940,0
1995-02-24,6.8867,6.9101,6.8242,6.8634,237703,0
1995-02-27,6.8867,6.9257,6.8634,6.9257,356554,0
1995-02-28,6.9101,6.9726,6.8947,6.9726,628583,0
1995-03-01,6.9494,6.9494,6.8242,6.8867,321719,0
1995-03-02,6.8867,6.8867,6.6913,6.7385,212601,0
1995-03-03,6.6913,6.7617,6.6292,6.6292,295595,0
1995-03-06,6.6759,6.7776,6.6524,6.7385,252559,0
1995-03-07,6.7776,6.8634,6.7776,6.8478,748972,0
1995-03-08,6.8478,6.9101,6.8478,6.8867,516391,0
1995-03-09,6.8867,6.9726,6.8867,6.9726,215674,0
1995-03-10,6.996,7.0349,6.9726,6.996,206968,0
1995-03-13,7.0115,7.0819,6.996,7.0588,421617,0
1995-03-14,7.0349,7.1676,7.0349,7.1209,247438,0
1995-03-15,7.0819,7.1209,7.0819,7.0976,410344,0
1995-03-16,7.0976,7.0976,7.0349,7.0349,329917,0
1995-03-17,7.0349,7.0349,6.9257,6.9257,167009,0
1995-03-20,6.9101,7.0115,6.8008,7.0115,796617,0
1995-03-21,6.9726,7.1676,6.9726,7.0819,302764,0
1995-03-22,7.0976,7.1209,7.0115,7.0349,380632,0
1995-03-23,7.0115,7.0819,7.0115,7.0349,163934,0
1995-03-24,7.1209,7.1445,7.0115,7.1445,247948,0
1995-03-27,7.1445,7.2067,7.1209,7.1445,155737,0
1995-03-28,7.1445,7.1835,7.0976,7.0976,280225,0
1995-03-29,7.0976,7.1676,7.0976,7.1209,108605,0
1995-03-30,7.1209,7.2458,7.0976,7.2458,344774,0
1995-03-31,7.2302,7.3161,7.1676,7.1676,156762,0
1995-04-03,7.1676,7.3319,7.1445,7.2927,221310,0
1995-04-04,7.2927,7.3785,7.2458,7.2458,100920,0
1995-04-05,7.2067,7.2067,7.1445,7.1676,170083,0
1995-04-06,7.1445,7.2302,7.1445,7.1835,77867,0
1995-04-07,7.2067,7.2302,7.0115,7.1676,214141,0
1995-04-10,7.1676,7.1835,7.0819,7.1209,243853,0
