Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,12.748,12.748,12.599,12.679,2144498,0
1995-01-04,12.655,12.679,12.55,12.655,2063526,0
1995-01-05,12.655,12.699,12.599,12.699,1955053,0
1995-01-06,12.655,12.679,12.599,12.655,2257552,0
1995-01-09,12.63,12.655,12.481,12.575,3983950,0
1995-01-10,12.55,12.575,12.388,12.388,2484178,0
1995-01-11,12.409,12.409,12.214,12.284,3884643,0
1995-01-12,12.237,12.284,12.214,12.237,2164358,0
1995-01-13,12.26,12.284,12.143,12.214,1957602,0
1995-01-16,12.26,12.55,12.237,12.481,2466859,0
1995-01-17,12.433,12.63,12.433,12.63,2543760,0
1995-01-18,12.655,12.748,12.63,12.679,2678204,0
1995-01-19,12.655,12.679,12.575,12.655,2046723,0
1995-01-20,12.655,12.655,12.55,12.655,2266213,0
1995-01-23,12.599,12.772,12.505,12.772,4703537,0
1995-01-24,12.748,12.748,12.528,12.528,2174548,0
1995-01-25,12.505,12.599,12.388,12.433,3181355,0
1995-01-26,12.481,12.528,12.433,12.528,1799729,0
1995-01-27,12.55,12.575,12.433,12.528,1871536,0
1995-01-30,12.481,12.748,12.481,12.699,2111907,0
1995-01-31,12.679,12.794,12.655,12.794,2123109,0
1995-02-01,12.842,12.89,12.748,12.748,5016221,0
1995-02-02,12.724,12.794,12.724,12.772,2554456,0
1995-02-03,12.794,12.865,12.772,12.842,2243297,0
1995-02-06,12.819,13.038,12.819,12.944,2636448,0
1995-02-07,12.968,13.015,12.89,12.89,1785472,0
1995-02-08,12.89,12.968,12.89,12.944,1554776,0
1995-02-09,12.772,12.865,12.63,12.748,4129602,0
1995-02-10,12.794,12.794,12.528,12.575,1666300,0
1995-02-13,12.528,12.655,12.528,12.599,2615566,0
1995-02-14,12.63,12.699,12.388,12.481,4353166,0
1995-02-15,12.459,12.55,12.388,12.55,5503077,0
1995-02-16,12.55,12.55,12.409,12.481,2739826,0
1995-02-17,12.481,12.575,12.459,12.505,3117695,0
1995-02-21,12.55,12.55,12.433,12.481,1782409,0
1995-02-22,12.433,12.748,12.409,12.679,3351447,0
1995-02-23,12.772,12.772,12.655,12.724,3376914,0
1995-02-24,12.772,12.92,12.748,12.92,3066770,0
1995-02-27,12.92,12.928,12.865,12.865,2404729,0
1995-02-28,12.89,13.015,12.842,13.015,2514730,0
1995-03-01,13.038,13.211,13.015,13.163,3261816,0
1995-03-02,13.109,13.133,12.944,13.015,2959314,0
1995-03-03,12.992,13.015,12.92,13.015,1923478,0
1995-03-06,12.992,13.281,12.92,13.281,2723019,0
1995-03-07,13.236,13.306,13.086,13.133,3363670,0
1995-03-08,13.236,13.236,13.163,13.236,1900055,0
1995-03-09,13.281,13.306,13.061,13.061,2841676,0
1995-03-10,13.061,13.236,13.038,13.236,2825383,0
1995-03-13,13.236,13.306,13.211,13.211,2371118,0
1995-03-14,13.353,13.407,13.306,13.328,1848619,0
1995-03-15,13.306,13.306,13.186,13.236,2956772,0
1995-03-16,13.236,13.328,13.211,13.281,1357688,0
1995-03-17,13.328,13.478,13.306,13.377,3580614,0
1995-03-20,13.407,13.424,13.353,13.407,1097968,0
1995-03-21,13.407,13.5,13.377,13.455,1421858,0
1995-03-22,13.744,13.744,13.642,13.701,5186313,0
1995-03-23,13.744,13.958,13.719,13.942,5111454,0
1995-03-24,14.154,14.351,14.084,14.302,7999981,0
1995-03-27,14.641,14.931,14.641,14.906,8196557,0
1995-03-28,14.838,14.86,14.665,14.736,3594365,0
1995-03-29,14.765,14.886,14.546,14.711,5615623,0
1995-03-30,14.711,14.711,14.257,14.28,4427516,0
1995-03-31,14.084,14.234,13.99,14.201,3420705,0
1995-04-03,14.201,14.445,14.201,14.376,3641215,0
1995-04-04,14.422,14.711,14.376,14.711,4147930,0
1995-04-05,14.617,14.641,14.476,14.476,2567697,0
1995-04-06,14.523,14.546,14.397,14.476,2716397,0
1995-04-07,14.523,14.546,14.422,14.476,1749819,0
1995-04-10,14.492,14.617,14.476,14.57,2010562,0
1995-04-11,14.57,14.665,14.546,14.641,1860333,0
1995-04-12,14.689,14.906,14.689,14.886,3388116,0
1995-04-13,14.955,15.105,14.906,15.105,1854218,0
1995-04-17,15.151,15.419,15.056,15.105,3119224,0
1995-04-18,15.13,15.13,14.617,14.765,3498115,0
1995-04-19,14.736,14.765,14.326,14.351,5370159,0
1995-04-20,14.397,14.445,14.28,14.351,3019919,0
1995-04-21,14.476,14.617,14.376,14.546,3280663,0
1995-04-24,14.595,14.906,14.595,14.79,2438343,0
1995-04-25,14.376,14.445,14.234,14.257,7074149,0
1995-04-26,14.302,14.302,13.911,13.911,6560815,0
1995-04-27,13.911,14.234,13.911,14.084,6847015,0
1995-04-28,14.28,14.546,14.201,14.523,4292054,0
1995-05-01,14.476,14.595,14.445,14.492,3276586,0
1995-05-02,14.445,14.57,14.445,14.546,1703478,0
1995-05-03,14.57,14.86,14.57,14.86,2847279,0
1995-05-04,14.906,14.931,14.736,14.765,3520014,0
1995-05-05,14.765,14.79,14.422,14.523,3167603,0
1995-05-08,14.476,14.57,14.397,14.492,1300142,0
1995-05-09,14.351,14.397,14.154,14.234,2271810,0
1995-05-10,14.28,14.351,14.059,14.201,3000058,0
1995-05-11,14.107,14.234,14.035,14.154,1192694,0
1995-05-12,14.154,14.201,13.551,13.769,7257990,0
1995-05-15,13.769,13.792,13.455,13.551,6577617,0
1995-05-16,13.597,13.744,13.5,13.619,6396830,0
1995-05-17,13.744,13.942,13.719,13.885,3222097,0
1995-05-18,13.744,13.863,13.701,13.818,4068486,0
1995-05-19,13.769,14.059,13.769,14.011,3461957,0
1995-05-22,13.958,14.084,13.958,14.011,2158756,0
1995-05-23,14.011,14.234,13.99,14.176,3525105,0
1995-05-24,14.476,14.476,14.176,14.302,2898715,0
1995-05-25,14.326,14.523,14.234,14.234,3122281,0
1995-05-26,14.234,14.326,14.201,14.257,3889226,0
1995-05-30,14.234,14.257,14.131,14.201,1448847,0
1995-05-31,14.257,14.5,14.201,14.5,1919916,0
1995-06-01,14.5,14.57,14.376,14.5,1988667,0
1995-06-02,14.546,14.736,14.476,14.689,1747277,0
1995-06-05,14.711,14.838,14.665,14.689,1797692,0
1995-06-06,14.711,14.931,14.711,14.736,2810613,0
1995-06-07,14.79,14.906,14.736,14.86,4266080,0
1995-06-08,15.01,15.056,14.86,14.931,1851673,0
1995-06-09,14.886,14.886,14.711,14.711,1488569,0
1995-06-12,14.79,14.906,14.736,14.765,1581258,0
1995-06-13,14.838,14.838,14.57,14.765,1756951,0
1995-06-14,14.736,14.79,14.689,14.79,2251954,0
1995-06-15,14.736,14.736,14.595,14.689,892227,0
1995-06-16,14.736,14.86,14.711,14.765,3897372,0
1995-06-19,14.765,14.815,14.736,14.79,2254499,0
1995-06-20,14.765,14.815,14.546,14.546,2081860,0
1995-06-21,14.546,14.931,14.523,14.906,2889036,0
1995-06-22,15.01,15.174,14.955,15.105,4543632,0
1995-06-23,15.13,15.27,15.13,15.199,3361121,0
1995-06-26,15.105,15.199,14.979,14.979,2301351,0
1995-06-27,15.034,15.13,14.906,14.906,1986119,0
1995-06-28,14.906,15.22,14.86,15.22,2664963,0
1995-06-29,15.174,15.3,15.151,15.3,2454639,0
1995-06-30,15.27,15.37,15.22,15.246,2467372,0
1995-07-03,15.246,15.348,15.174,15.348,1021578,0
1995-07-05,15.3,15.419,15.246,15.27,2734733,0
1995-07-06,15.396,15.396,15.13,15.13,2054359,0
1995-07-07,15.13,15.151,14.665,14.765,2710800,0
1995-07-10,14.79,14.79,14.641,14.711,2975103,0
1995-07-11,14.689,14.736,14.617,14.665,4544136,0
1995-07-12,14.765,14.979,14.641,14.931,2614549,0
1995-07-13,14.955,15.22,14.931,15.199,1960654,0
1995-07-14,15.105,15.174,15.056,15.151,816347,0
1995-07-17,15.105,15.151,15.056,15.13,1325099,0
1995-07-18,15.105,15.37,15.034,15.246,2045703,0
1995-07-19,15.105,15.396,15.034,15.174,3626957,0
1995-07-20,15.13,15.174,14.815,14.906,3883118,0
1995-07-21,14.906,15.034,14.86,14.931,2923669,0
1995-07-24,14.955,15.056,14.931,15.034,2869177,0
1995-07-25,15.105,15.324,15.056,15.324,2812649,0
1995-07-26,15.105,15.174,14.979,15.151,3279135,0
1995-07-27,15.151,15.324,15.056,15.324,970652,0
1995-07-28,15.27,15.27,15.151,15.246,2212229,0
1995-07-31,15.199,15.27,15.13,15.199,2958298,0
1995-08-01,15.246,15.246,14.86,15.01,1885283,0
1995-08-02,15.01,15.13,14.886,14.955,1590424,0
1995-08-03,14.86,15.151,14.765,15.151,1810931,0
1995-08-04,15.199,15.199,14.979,15.13,1188105,0
1995-08-07,15.056,15.174,15.056,15.105,1431533,0
1995-08-08,15.08,15.13,15.034,15.13,1938250,0
1995-08-09,15.13,15.13,14.931,14.955,1661718,0
1995-08-10,14.955,14.955,14.79,14.906,1608244,0
1995-08-11,14.765,14.765,14.617,14.736,2311536,0
1995-08-14,14.711,14.955,14.711,14.906,2181671,0
1995-08-15,14.931,14.955,14.595,14.765,2010051,0
1995-08-16,14.641,14.838,14.617,14.815,3413581,0
1995-08-17,14.736,14.736,14.617,14.665,1399449,0
1995-08-18,14.765,14.838,14.736,14.838,2445983,0
1995-08-21,14.955,15.199,14.955,15.034,4800806,0
1995-08-22,15.08,15.105,14.886,15.01,2719965,0
1995-08-23,15.056,15.08,14.955,15.056,2076255,0
1995-08-24,15.056,15.246,15.034,15.174,2432741,0
1995-08-25,15.174,15.3,15.151,15.151,3136536,0
1995-08-28,15.13,15.441,15.105,15.441,3844924,0
1995-08-29,15.488,15.568,15.396,15.465,4410711,0
1995-08-30,15.441,15.639,15.441,15.639,3187466,0
1995-08-31,15.591,15.907,15.568,15.907,3434966,0
1995-09-01,15.907,15.927,15.803,15.883,2271810,0
1995-09-05,15.883,15.907,15.834,15.859,2359409,0
1995-09-06,15.779,15.976,15.757,15.907,2568716,0
1995-09-07,15.907,16.416,15.907,16.416,5233676,0
1995-09-08,16.22,16.338,16.1,16.266,6470669,0
1995-09-11,16.266,16.266,16.047,16.172,4177470,0
1995-09-12,16.22,16.242,16.078,16.126,4403581,0
1995-09-13,16.078,16.172,16.047,16.1,3914181,0
1995-09-14,16.126,16.509,16.1,16.509,4150480,0
1995-09-15,16.801,16.801,16.416,16.581,8176184,0
1995-09-18,16.535,16.636,16.486,16.581,19721138,0
1995-09-19,16.636,17.217,16.581,17.068,10328326,0
1995-09-20,17.092,17.334,16.998,17.288,9528784,0
1995-09-21,17.334,18.334,17.312,17.483,13043704,0
1995-09-22,17.334,17.555,17.217,17.334,7049193,0
1995-09-25,17.312,17.358,17.263,17.334,1865936,0
1995-09-26,17.389,17.625,17.358,17.413,3231261,0
1995-09-27,17.242,17.845,17.242,17.845,5625808,0
1995-09-28,17.751,17.774,17.508,17.603,4042004,0
1995-09-29,17.483,17.603,17.462,17.462,2713340,0
1995-10-02,17.334,17.438,17.288,17.312,2032970,0
1995-10-03,17.358,17.625,17.217,17.603,3106492,0
1995-10-04,17.555,17.87,17.531,17.822,4442282,0
1995-10-05,17.87,18.043,17.68,18.043,5055435,0
1995-10-06,17.948,17.995,17.822,17.97,2201028,0
1995-10-09,17.948,18.043,17.798,17.87,2799917,0
1995-10-10,17.774,17.924,17.751,17.87,5708308,0
1995-10-11,17.87,17.924,17.798,17.894,4580807,0
1995-10-12,17.87,18.136,17.845,18.113,2866119,0
1995-10-13,18.263,18.308,18.159,18.184,3000566,0
1995-10-16,18.184,18.334,18.043,18.286,3384042,0
1995-10-17,18.308,18.334,18.066,18.214,3520014,0
1995-10-18,18.237,18.405,18.184,18.379,4518163,0
1995-10-19,18.405,18.405,18.286,18.355,2808064,0
1995-10-20,18.263,18.482,18.263,18.334,5580990,0
1995-10-23,18.214,18.308,18.184,18.263,2407277,0
1995-10-24,18.263,18.379,18.237,18.334,4283394,0
1995-10-25,18.405,19.11,18.379,19.063,9142256,0
1995-10-26,19.039,19.157,18.937,19.015,7226924,0
1995-10-27,18.993,18.993,18.645,18.795,3822005,0
1995-10-30,18.749,18.891,18.694,18.717,2719965,0
1995-10-31,18.749,18.867,18.749,18.772,2358389,0
1995-11-01,18.772,18.961,18.772,18.937,3119224,0
1995-11-02,18.961,18.961,18.53,18.554,3934038,0
1995-11-03,18.554,18.6,18.457,18.554,2869177,0
1995-11-06,18.405,18.576,18.405,18.505,1585840,0
1995-11-07,18.554,18.772,18.53,18.554,2343621,0
1995-11-08,18.576,18.961,18.482,18.937,3976312,0
1995-11-09,18.993,19.063,18.891,19.039,1993247,0
1995-11-10,18.912,18.937,18.845,18.912,1193709,0
1995-11-13,18.717,18.821,18.645,18.717,1294030,0
