Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,17.341,17.341,17.216,17.341,117293,0
1995-01-04,17.309,17.428,17.247,17.428,210157,0
1995-01-05,17.396,17.757,17.373,17.672,398688,0
1995-01-06,17.608,17.875,17.608,17.821,261423,0
1995-01-09,17.789,17.875,17.757,17.821,193619,0
1995-01-10,17.851,18.12,17.851,18.023,173391,0
1995-01-11,17.969,18.087,17.789,17.906,215501,0
1995-01-12,17.851,17.875,17.757,17.757,224787,0
1995-01-13,17.757,17.851,17.725,17.821,346279,0
1995-01-16,17.789,17.938,17.789,17.821,83069,0
1995-01-17,17.789,17.821,17.672,17.757,103934,0
1995-01-18,17.695,17.695,17.459,17.521,165760,0
1995-01-19,17.459,17.459,17.309,17.459,207104,0
1995-01-20,17.49,17.49,17.341,17.396,185225,0
1995-01-23,17.247,17.49,17.247,17.459,333301,0
1995-01-24,17.459,17.459,17.373,17.373,141078,0
1995-01-25,17.396,17.459,17.341,17.373,154694,0
1995-01-26,17.373,17.521,17.373,17.521,142861,0
1995-01-27,17.521,17.521,17.396,17.521,127976,0
1995-01-30,17.547,17.576,17.396,17.428,103171,0
1995-01-31,17.396,17.396,17.098,17.247,156472,0
1995-02-01,17.277,17.309,17.159,17.216,198195,0
1995-02-02,17.19,17.19,17.074,17.129,176062,0
1995-02-03,17.159,17.373,17.098,17.19,446265,0
1995-02-06,17.19,17.639,17.19,17.49,399323,0
1995-02-07,17.49,17.608,17.396,17.576,360776,0
1995-02-08,17.576,17.789,17.576,17.757,296152,0
1995-02-09,17.725,17.789,17.672,17.725,148841,0
1995-02-10,17.821,18.237,17.821,18.237,757558,0
1995-02-13,18.12,18.207,18.057,18.207,154816,0
1995-02-14,18.207,18.472,18.207,18.387,522974,0
1995-02-15,18.419,18.537,18.299,18.504,177845,0
1995-02-16,18.472,18.504,18.12,18.174,154816,0
1995-02-17,18.149,18.149,17.851,17.938,182933,0
1995-02-21,17.938,18.087,17.938,18.057,206341,0
1995-02-22,18.057,18.087,17.969,18.057,296921,0
1995-02-23,18.057,18.174,18.023,18.087,542313,0
1995-02-24,18.12,18.299,18.12,18.299,365991,0
1995-02-27,18.299,18.504,18.299,18.448,252774,0
