Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.8403,3.876,3.7697,3.7876,2225788,0
1995-01-04,3.7697,3.7876,3.6722,3.7166,5160353,0
1995-01-05,3.7432,3.7432,3.6989,3.7166,3721997,0
1995-01-06,3.7166,3.7432,3.6722,3.6899,3692165,0
1995-01-09,3.6899,3.7432,3.6722,3.7432,3819639,0
1995-01-10,3.7608,3.8935,3.7608,3.8668,7691709,0
1995-01-11,3.9468,4.0972,3.9376,4.0795,8706966,0
1995-01-12,4.0264,4.0795,4.0174,4.0529,1941009,0
1995-01-13,4.1146,4.1324,4.0174,4.0174,2473499,0
1995-01-16,4.0616,4.1146,4.0616,4.0972,2531355,0
1995-01-17,4.0882,4.1855,4.0882,4.159,2878516,0
1995-01-18,4.1414,4.2299,4.0882,4.159,7880658,0
1995-01-19,4.1414,4.159,4.0174,4.0174,2368625,0
1995-01-20,4.0616,4.0882,4.0174,4.0529,2935473,0
1995-01-23,4.0085,4.0882,3.9642,4.0882,3071075,0
1995-01-24,4.0795,4.1146,4.0795,4.0972,1857834,0
1995-01-25,4.0882,4.1677,4.0882,4.1677,1449201,0
1995-01-26,4.1677,4.1855,4.1146,4.1146,1497115,0
1995-01-27,4.1324,4.1855,4.1324,4.1677,1820768,0
1995-01-30,4.1855,4.1855,4.1414,4.159,1084869,0
1995-01-31,4.159,4.1677,4.0529,4.0616,1117413,0
1995-02-01,4.0882,4.1677,4.0795,4.1677,2067578,0
1995-02-02,4.1855,4.283,4.1855,4.2475,4401846,0
1995-02-03,4.2475,4.3007,4.1677,4.2475,3501409,0
1995-02-06,4.2299,4.2475,4.2036,4.2119,4856587,0
1995-02-07,4.2119,4.2299,4.159,4.2119,3860317,0
1995-02-08,4.2119,4.3007,4.2119,4.283,2275510,0
1995-02-09,4.2475,4.2475,4.1855,4.1855,3288955,0
1995-02-10,4.2036,4.2387,4.159,4.2299,3172335,0
1995-02-13,4.2036,4.2119,4.0972,4.1146,5196515,0
1995-02-14,4.0882,4.0972,3.8935,3.9201,15386132,0
1995-02-15,3.9112,3.9823,3.8317,3.9823,15528970,0
1995-02-16,3.9823,3.9823,3.9201,3.9201,5993893,0
1995-02-17,3.9201,3.9376,3.8935,3.9112,2938179,0
1995-02-21,3.8668,3.9468,3.796,3.8052,8696114,0
1995-02-22,3.8317,3.9468,3.8052,3.9376,5954109,0
1995-02-23,3.9642,4.0264,3.9201,3.9907,4558250,0
1995-02-24,4.0085,4.0085,3.9376,3.9642,1996154,0
1995-02-27,3.9823,3.9907,3.8403,3.8668,4193917,0
1995-02-28,3.8403,3.8403,3.6989,3.7166,9150857,0
1995-03-01,3.7432,3.7697,3.7166,3.7255,7385233,0
1995-03-02,3.6458,3.6458,3.451,3.5486,21433361,0
1995-03-03,3.5486,3.5927,3.522,3.5663,7657354,0
1995-03-06,3.5663,3.5748,3.513,3.5748,10785388,0
1995-03-07,3.5748,3.5748,3.5395,3.5748,4977735,0
1995-03-08,3.637,3.637,3.5486,3.5748,4929817,0
1995-03-09,3.5927,3.6195,3.522,3.5927,3382076,0
1995-03-10,3.6101,3.6458,3.5486,3.5663,4402752,0
1995-03-13,3.5748,3.6722,3.5748,3.6458,3507737,0
1995-03-14,3.6547,3.6547,3.5663,3.6458,9173451,0
1995-03-15,3.637,3.6458,3.5927,3.6458,6288615,0
1995-03-16,3.637,3.6547,3.6195,3.6547,3905520,0
1995-03-17,3.6722,3.7166,3.6547,3.6989,6708097,0
1995-03-20,3.6899,3.7608,3.6899,3.7608,3756351,0
1995-03-21,3.7697,3.8052,3.7608,3.7697,4037515,0
1995-03-22,3.7255,3.796,3.7255,3.7876,4565486,0
1995-03-23,3.7608,3.7697,3.6899,3.6899,3085545,0
1995-03-24,3.6899,3.7255,3.6547,3.6547,4997618,0
1995-03-27,3.6899,3.7255,3.6195,3.7166,8611134,0
1995-03-28,3.7166,3.7432,3.6722,3.7255,4984063,0
1995-03-29,3.7166,3.7697,3.6899,3.7255,6152101,0
1995-03-30,3.7432,3.796,3.6989,3.7876,5901678,0
1995-03-31,3.7255,3.8317,3.6899,3.8052,4735444,0
1995-04-03,3.8403,3.9468,3.8317,3.9468,8603902,0
1995-04-04,3.9201,3.9201,3.8052,3.9112,7712502,0
1995-04-05,3.9112,3.9112,3.8582,3.876,2578370,0
1995-04-06,3.876,3.9112,3.8227,3.8582,7314717,0
1995-04-07,3.8317,3.8403,3.7432,3.796,5248950,0
1995-04-10,3.7697,3.7697,3.6722,3.7166,7350878,0
1995-04-11,3.6547,3.6989,3.522,3.5395,17103835,0
1995-04-12,3.5395,3.5748,3.4867,3.5395,9897606,0
1995-04-13,3.5663,3.5927,3.5395,3.5395,3582773,0
1995-04-17,3.5748,3.6547,3.5486,3.5748,7981006,0
1995-04-18,3.5748,3.5927,3.522,3.5395,3272683,0
1995-04-19,3.5395,3.5486,3.3981,3.451,8026211,0
