Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,21.96,23.08,21.96,23.08,223000,0
1995-01-04,23.08,23.38,22.87,23.38,307000,0
1995-01-05,23.18,23.79,22.97,23.38,229200,0
1995-01-06,23.48,23.79,23.28,23.38,324800,0
1995-01-09,23.18,23.89,23.18,23.48,370100,0
1995-01-10,23.58,23.99,23.48,23.58,698900,0
1995-01-11,23.89,23.89,23.28,23.79,282600,0
1995-01-12,23.79,23.89,23.48,23.69,122100,0
1995-01-13,23.58,23.89,23.28,23.79,310700,0
1995-01-16,23.89,24.19,23.69,24.19,421700,0
1995-01-17,23.99,24.6,23.99,24.5,427300,0
1995-01-18,24.5,24.8,24.09,24.19,384400,0
1995-01-19,24.3,24.4,23.99,24.09,135200,0
1995-01-20,24.09,24.09,23.79,23.89,180900,0
1995-01-23,23.58,23.79,23.28,23.79,216300,0
1995-01-24,23.58,23.69,22.67,22.97,527000,0
1995-01-25,22.77,23.18,22.47,22.77,480700,0
1995-01-26,22.67,22.87,22.36,22.47,293100,0
1995-01-27,22.36,22.67,21.65,21.96,368400,0
1995-01-30,21.86,21.86,21.55,21.75,274200,0
1995-01-31,21.75,21.86,21.35,21.45,395300,0
1995-02-01,21.65,22.26,21.45,22.06,273500,0
1995-02-02,22.26,22.67,22.06,22.57,205500,0
1995-02-03,22.67,22.77,22.36,22.67,283200,0
1995-02-06,22.67,23.18,22.57,22.97,341100,0
1995-02-07,22.97,23.08,22.57,22.87,261700,0
1995-02-08,22.97,23.28,22.77,23.18,514600,0
1995-02-09,23.28,23.28,22.97,22.97,341700,0
1995-02-10,23.18,23.28,22.67,22.97,326100,0
1995-02-13,22.97,23.48,22.87,23.38,370900,0
1995-02-14,23.08,23.28,22.57,23.28,294000,0
1995-02-15,23.28,23.79,23.18,23.48,515100,0
1995-02-16,23.59,23.79,23.28,23.79,408500,0
1995-02-17,23.79,23.89,23.69,23.69,606200,0
1995-02-21,23.59,23.89,23.59,23.89,219000,0
1995-02-22,23.79,23.89,23.69,23.89,256200,0
1995-02-23,23.89,24.3,23.79,23.89,520000,0
1995-02-24,23.89,23.89,23.48,23.69,306700,0
1995-02-27,23.69,23.69,23.28,23.28,198900,0
1995-02-28,23.18,23.28,22.77,23.08,256000,0
1995-03-01,23.38,23.38,22.67,22.67,234300,0
1995-03-02,22.46,22.57,22.06,22.16,324700,0
1995-03-03,22.06,22.26,21.85,22.06,393400,0
1995-03-06,21.95,22.46,21.75,22.46,206500,0
1995-03-07,22.26,22.57,22.06,22.06,305000,0
1995-03-08,22.16,22.36,21.95,22.16,265800,0
1995-03-09,22.16,22.26,22.06,22.06,310800,0
1995-03-10,22.16,22.97,22.16,22.97,291200,0
1995-03-13,22.87,22.97,22.16,22.26,505900,0
1995-03-14,22.36,22.77,22.26,22.36,312800,0
1995-03-15,22.46,22.46,21.95,22.06,340100,0
1995-03-16,21.85,22.06,21.75,21.85,421500,0
1995-03-17,21.95,22.06,21.75,21.85,444800,0
1995-03-20,21.85,21.95,21.34,21.34,519200,0
1995-03-21,21.44,21.44,20.83,20.83,882600,0
1995-03-22,20.93,21.03,20.22,20.32,1601200,0
1995-03-23,20.42,20.93,20.32,20.93,1255300,0
1995-03-24,20.93,21.03,20.52,21.03,1118300,0
1995-03-27,20.93,20.93,20.73,20.93,474200,0
1995-03-28,21.03,21.65,21.03,21.65,462500,0
1995-03-29,21.54,21.75,21.54,21.75,345100,0
1995-03-30,21.65,22.46,21.65,22.36,481700,0
1995-03-31,22.16,22.77,22.06,22.57,531800,0
1995-04-03,22.46,22.77,22.26,22.26,249100,0
