Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,11.701,11.777,11.298,11.624,940077,0
1995-01-04,11.864,11.938,11.462,11.777,2660674,0
1995-01-05,11.864,12.015,11.386,11.386,2333075,0
1995-01-06,11.386,11.624,11.223,11.298,1589935,0
1995-01-09,11.462,11.624,11.298,11.424,1732217,0
1995-01-10,11.701,12.38,11.624,12.234,2738254,0
1995-01-11,12.581,12.894,12.417,12.417,3928348,0
1995-01-12,12.342,12.581,12.179,12.454,965831,0
1995-01-13,12.894,13.535,12.731,13.449,2971939,0
1995-01-16,13.487,14.166,13.333,14.01,2356632,0
1995-01-17,13.535,14.088,13.21,13.889,4485863,0
1995-01-18,14.01,14.108,13.449,13.773,1485028,0
1995-01-19,13.61,13.688,12.894,13.095,2151215,0
1995-01-20,12.97,13.134,12.581,12.97,1476861,0
1995-01-23,12.818,13.134,12.693,13.095,1841206,0
1995-01-24,13.095,13.535,12.97,13.449,943217,0
1995-01-25,13.134,13.295,12.894,12.933,2705902,0
1995-01-26,13.057,13.057,12.252,12.252,1494135,0
1995-01-27,12.491,12.581,12.252,12.491,2056987,0
1995-01-30,12.581,12.581,11.536,11.585,2647794,0
1995-01-31,11.864,12.015,11.386,11.938,2870174,0
1995-02-01,11.938,12.581,11.938,12.342,1912507,0
1995-02-02,12.342,12.731,12.342,12.581,1393627,0
1995-02-03,12.818,13.134,12.77,12.97,1652123,0
1995-02-06,12.97,13.535,12.97,13.333,1743523,0
1995-02-07,13.372,13.535,13.057,13.295,1714314,0
1995-02-08,13.372,13.535,13.295,13.535,756020,0
1995-02-09,13.61,14.01,13.449,13.573,1580824,0
1995-02-10,13.61,13.85,13.449,13.688,1009806,0
1995-02-13,13.61,14.01,13.535,13.734,833914,0
1995-02-14,13.688,14.249,13.688,14.088,2410657,0
1995-02-15,14.403,14.491,14.088,14.166,2344696,0
1995-02-16,14.088,14.166,13.535,13.688,1289663,0
1995-02-17,13.61,13.61,12.731,12.894,2337787,0
1995-02-21,12.894,12.933,12.342,12.491,1801316,0
1995-02-22,12.417,13.057,12.417,12.894,1637990,0
1995-02-23,13.057,13.21,12.818,12.933,1828643,0
1995-02-24,12.894,12.894,12.491,12.656,1175018,0
1995-02-27,12.491,12.656,12.055,12.103,2221888,0
1995-02-28,12.252,12.731,12.015,12.731,2493260,0
1995-03-01,12.97,13.134,12.252,12.252,1632020,0
1995-03-02,12.417,12.656,12.252,12.417,2965342,0
1995-03-03,12.491,12.894,12.252,12.731,2374222,0
1995-03-06,12.731,13.535,12.581,13.449,2982931,0
1995-03-07,13.449,13.535,13.134,13.295,1895231,0
1995-03-08,13.449,13.61,12.97,13.134,1851571,0
1995-03-09,13.295,13.372,12.656,13.057,1570773,0
1995-03-10,13.057,13.21,12.97,13.21,522650,0
1995-03-13,13.21,13.61,13.21,13.372,1230299,0
1995-03-14,13.61,13.773,13.21,13.248,880714,0
1995-03-15,13.295,13.449,13.057,13.295,1064457,0
1995-03-16,12.491,12.97,12.417,12.656,7538834,0
1995-03-17,12.731,12.894,12.656,12.818,2610106,0
1995-03-20,12.818,13.134,12.656,13.057,2257380,0
1995-03-21,13.134,14.327,13.134,14.01,7313630,0
1995-03-22,14.327,14.565,14.088,14.453,4526065,0
1995-03-23,14.491,15.281,14.327,15.12,4757866,0
1995-03-24,15.358,15.444,15.12,15.281,3827839,0
1995-03-27,15.444,16.315,15.281,16.111,4116175,0
1995-03-28,16.399,16.399,15.444,15.521,3373977,0
1995-03-29,15.444,15.521,14.803,15.044,2171947,0
1995-03-30,15.206,15.281,14.403,14.565,3298907,0
1995-03-31,14.327,14.491,13.927,14.249,3683984,0
1995-04-03,14.327,14.491,14.088,14.327,1465239,0
1995-04-04,14.327,14.565,13.773,13.773,1790638,0
1995-04-05,13.61,14.166,13.535,14.166,3359529,0
1995-04-06,14.327,14.403,13.688,13.773,1536223,0
1995-04-07,13.85,14.565,13.629,14.565,2695224,0
1995-04-10,14.565,15.281,14.565,15.044,2696167,0
1995-04-11,15.358,15.358,14.881,14.967,1148007,0
1995-04-12,15.044,15.599,14.967,15.321,1198889,0
1995-04-13,15.444,15.837,15.358,15.405,1246004,0
1995-04-17,15.521,15.599,14.642,14.803,1552558,0
1995-04-18,14.881,15.044,14.491,14.728,1844348,0
1995-04-19,15.12,15.12,13.85,14.605,4372473,0
1995-04-20,14.803,14.967,14.166,14.642,2270887,0
1995-04-21,14.565,15.206,14.403,15.044,2155613,0
1995-04-24,15.044,15.521,14.881,15.321,2197702,0
1995-04-25,15.405,15.599,15.206,15.244,1478744,0
1995-04-26,15.044,15.634,14.728,15.599,2315800,0
1995-04-27,15.683,15.837,15.521,15.521,2190792,0
1995-04-28,15.599,16.16,15.444,16.074,2801699,0
1995-05-01,15.998,16.477,15.998,16.16,2186082,0
1995-05-02,16.074,16.2,15.837,15.884,1647412,0
1995-05-03,15.998,16.074,15.683,15.998,1180359,0
1995-05-04,16.16,16.639,16.074,16.2,1945172,0
1995-05-05,16.477,16.514,16.074,16.238,1852830,0
1995-05-08,16.238,16.79,15.998,16.79,1206112,0
1995-05-09,16.716,16.79,16.315,16.477,1768967,0
1995-05-10,16.877,16.877,16.074,16.18,2129860,0
1995-05-11,16.16,16.79,15.923,16.399,2069237,0
1995-05-12,16.399,17.115,16.315,16.79,2317371,0
1995-05-15,17.03,17.231,16.79,16.916,1513610,0
1995-05-16,16.79,17.593,16.639,17.47,3076214,0
1995-05-17,18.627,18.7,18.223,18.589,6492282,0
1995-05-18,18.787,19.341,18.148,18.148,3258705,0
1995-05-19,17.831,18.386,17.506,18.034,3496157,0
1995-05-22,18.386,19.179,18.223,19.179,2851012,0
1995-05-23,19.341,19.503,18.941,18.978,3905104,0
1995-05-24,19.419,19.419,18.386,18.978,2939271,0
1995-05-25,18.941,18.941,18.31,18.7,1626682,0
1995-05-26,18.7,18.7,18.223,18.462,1282124,0
1995-05-30,18.386,18.462,17.593,17.908,2843788,0
1995-05-31,18.072,18.31,17.672,18.223,2870174,0
1995-06-01,18.223,18.627,17.908,18.462,2201155,0
1995-06-02,18.223,19.103,18.072,18.787,1831155,0
1995-06-05,18.864,19.341,18.864,19.103,1103719,0
1995-06-06,19.026,19.179,18.55,18.55,1178159,0
1995-06-07,18.55,19.026,18.386,18.903,1273956,0
1995-06-08,19.026,19.341,18.864,19.341,1398023,0
1995-06-09,19.341,19.819,19.103,19.658,1367870,0
1995-06-12,19.981,20.067,18.941,19.179,1242861,0
1995-06-13,19.419,19.658,19.026,19.419,1990716,0
1995-06-14,19.341,20.295,19.179,20.136,2106928,0
1995-06-15,20.462,21.177,20.295,20.935,2972253,0
1995-06-16,20.935,21.177,20.699,20.699,791197,0
1995-06-19,20.774,21.412,20.774,21.327,2175402,0
1995-06-20,21.492,21.651,21.253,21.492,1285577,0
1995-06-21,21.729,21.807,21.177,21.412,2432328,0
1995-06-22,21.412,21.651,21.253,21.492,1198262,0
1995-06-23,21.327,21.568,21.089,21.253,968033,0
1995-06-26,21.014,21.365,20.219,20.219,2291301,0
1995-06-27,20.136,20.531,19.981,20.374,1933238,0
1995-06-28,20.057,20.374,19.658,20.057,2923254,0
1995-06-29,20.057,20.852,20.057,20.699,2399035,0
1995-06-30,20.852,20.935,20.057,20.374,1106234,0
1995-07-03,20.295,20.462,20.219,20.219,288966,0
1995-07-05,20.374,20.531,19.896,20.018,1937949,0
1995-07-06,20.057,21.412,19.742,21.253,2269627,0
1995-07-07,21.327,22.523,21.253,22.445,2864832,0
1995-07-10,22.684,22.999,22.128,22.484,1588050,0
1995-07-11,22.369,22.445,21.807,21.891,1842777,0
