Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.1856,3.3295,3.1661,3.3005,4140339,0
1995-01-04,3.3005,3.3774,3.2526,3.3774,4338203,0
1995-01-05,3.3774,3.4924,3.3005,3.4924,6105248,0
1995-01-06,3.4638,3.4924,3.4157,3.4638,3789464,0
1995-01-09,3.4638,3.502,3.3774,3.4157,3808459,0
1995-01-10,3.4157,3.5404,3.3966,3.4157,5253120,0
1995-01-11,3.4444,3.4638,3.3966,3.4444,7132021,0
1995-01-12,3.4638,3.5883,3.4444,3.5596,3864392,0
1995-01-13,3.627,3.6747,3.5883,3.6558,9120148,0
1995-01-16,3.6558,3.7227,3.6558,3.6747,7753046,0
1995-01-17,3.6747,3.7037,3.6077,3.6747,4963453,0
1995-01-18,3.6747,3.7227,3.6558,3.7037,4034813,0
1995-01-19,3.6747,3.7515,3.6747,3.7227,4536067,0
1995-01-20,3.5883,3.5883,3.4157,3.4924,10071997,0
1995-01-23,3.4157,3.5117,3.4157,3.5117,2492010,0
1995-01-24,3.5117,3.5117,3.4157,3.4638,2438721,0
1995-01-25,3.4924,3.5883,3.4638,3.5117,2960022,0
1995-01-26,3.5404,3.6747,3.3774,3.5404,10242423,0
1995-01-27,3.5883,3.6558,3.5404,3.6558,3639086,0
1995-01-30,3.6747,3.7037,3.6558,3.6747,3409039,0
1995-01-31,3.6747,3.6747,3.5883,3.627,3468662,0
1995-02-01,3.6077,3.627,3.5596,3.6077,3421704,0
1995-02-02,3.6077,3.6077,3.5404,3.5596,1397174,0
1995-02-03,3.5596,3.627,3.5404,3.5883,4850534,0
1995-02-06,3.5596,3.5883,3.5404,3.5596,1974931,0
1995-02-07,3.5404,3.5404,3.3966,3.3966,4507046,0
1995-02-08,3.3774,3.3774,3.1856,3.2526,13350711,0
1995-02-09,3.2526,3.3774,3.2332,3.3774,4741845,0
1995-02-10,3.3774,3.4638,3.3295,3.4444,9724287,0
1995-02-13,3.2332,3.3005,3.1856,3.2332,15468106,0
1995-02-14,3.2526,3.3295,3.2332,3.3005,5809776,0
1995-02-15,3.3295,3.3774,3.3005,3.3483,4011068,0
1995-02-16,3.3483,3.3483,3.2526,3.2816,2560603,0
1995-02-17,3.2526,3.2526,3.1661,3.1856,4158281,0
1995-02-21,3.1856,3.2526,3.1661,3.2526,3917152,0
1995-02-22,3.2526,3.2526,3.2144,3.2526,1591342,0
1995-02-23,3.2816,3.3483,3.2816,3.3005,1992343,0
1995-02-24,3.3295,3.3295,3.2816,3.3295,2329499,0
1995-02-27,3.3005,3.3295,3.2626,3.2626,874817,0
1995-02-28,3.2816,3.3005,3.2332,3.3005,1573403,0
1995-03-01,3.3005,3.3483,3.2816,3.2816,2032974,0
1995-03-02,3.3005,3.3295,3.2626,3.3295,1997620,0
1995-03-03,3.3295,3.3966,3.3005,3.3774,2661912,0
1995-03-06,3.3005,3.3295,3.2816,3.3005,1575512,0
1995-03-07,3.3005,3.3295,3.2626,3.2626,2641861,0
1995-03-08,3.2626,3.2816,3.2144,3.2816,1311696,0
1995-03-09,3.2626,3.2816,3.1856,3.1856,1754385,0
1995-03-10,3.1856,3.2144,3.1375,3.1375,4562975,0
1995-03-13,3.1661,3.2626,3.1182,3.2626,2462992,0
1995-03-14,3.2816,3.3005,3.2144,3.2144,2612840,0
1995-03-15,3.2144,3.2332,3.1856,3.2144,1225690,0
1995-03-16,3.1856,3.1856,3.0703,3.1182,5163421,0
1995-03-17,3.1661,3.1856,3.1182,3.1661,3397430,0
1995-03-20,3.1375,3.2332,3.1182,3.2144,3650697,0
1995-03-21,3.2144,3.3005,3.2144,3.2144,3470772,0
1995-03-22,3.2144,3.2332,3.1856,3.2144,2272516,0
1995-03-23,3.2144,3.2332,3.1856,3.2332,1429359,0
1995-03-24,3.2332,3.2626,3.2144,3.2332,1783400,0
1995-03-27,3.2144,3.3774,3.2144,3.3774,5254703,0
1995-03-28,3.3774,3.3966,3.3483,3.3966,3076104,0
1995-03-29,3.4254,3.4254,3.3483,3.3774,2948415,0
1995-03-30,3.3483,3.4254,3.3005,3.3774,2817037,0
1995-03-31,3.3483,3.3966,3.3005,3.3483,1939054,0
1995-04-03,3.3483,3.3774,3.3005,3.3005,1038911,0
1995-04-04,3.3005,3.4254,3.3005,3.3774,3451250,0
1995-04-05,3.3483,3.4734,3.3483,3.4444,3180574,0
1995-04-06,3.4254,3.4734,3.3966,3.4734,1951715,0
1995-04-07,3.4254,3.5117,3.3483,3.4734,2994325,0
1995-04-10,3.4734,3.4924,3.4444,3.4924,2466686,0
1995-04-11,3.4924,3.5404,3.4924,3.4924,2359047,0
1995-04-12,3.4734,3.5117,3.4734,3.4924,2289932,0
1995-04-13,3.5117,3.5404,3.4734,3.4924,1870460,0
1995-04-17,3.5404,3.6558,3.5117,3.6077,6078867,0
