Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.5829,5.6839,5.5371,5.6839,292508,0
1995-01-04,5.6566,5.6839,5.5556,5.629,348486,0
1995-01-05,5.629,5.739,5.6104,5.739,399673,0
1995-01-06,5.7025,5.8127,5.6839,5.7759,946581,0
1995-01-09,5.739,5.7576,5.7025,5.7025,355891,0
1995-01-10,5.7025,5.739,5.6566,5.6566,289677,0
1995-01-11,5.7025,5.7025,5.6104,5.6839,195371,0
1995-01-12,5.7025,5.7576,5.6839,5.7025,131117,0
1995-01-13,5.739,5.8585,5.7025,5.8585,560629,0
1995-01-16,5.8309,5.8859,5.8309,5.8309,288805,0
1995-01-17,5.8309,5.9321,5.8309,5.9321,448896,0
1995-01-18,5.8859,5.9046,5.7576,5.8585,233921,0
1995-01-19,5.8127,5.8309,5.739,5.7759,186221,0
1995-01-20,5.7759,5.7759,5.6839,5.7576,362863,0
1995-01-23,5.7025,5.739,5.6566,5.7025,219111,0
1995-01-24,5.7025,5.739,5.6566,5.6839,881455,0
1995-01-25,5.7025,5.7576,5.6566,5.739,310586,0
1995-01-26,5.739,5.8127,5.739,5.8127,174896,0
1995-01-27,5.8585,5.9321,5.8585,5.9046,276394,0
1995-01-30,5.8585,5.9046,5.8309,5.8859,219984,0
1995-01-31,5.8859,6.0788,5.8859,6.0329,903234,0
1995-02-01,6.0329,6.1247,6.0052,6.0788,849872,0
1995-02-02,6.1063,6.18,6.0788,6.1247,626840,0
1995-02-03,6.1063,6.3819,6.1063,6.3819,1246711,0
1995-02-06,6.2809,6.3819,6.2624,6.3085,659512,0
1995-02-07,6.2809,6.2809,6.0515,6.1617,576964,0
1995-02-08,6.1617,6.1617,6.0052,6.0329,674974,0
1995-02-09,5.9776,6.1247,5.9321,6.0329,579140,0
1995-02-10,6.0052,6.1617,6.0052,6.1063,821340,0
1995-02-13,6.1617,6.18,6.0788,6.0788,379632,0
1995-02-14,6.1063,6.1617,6.0515,6.1247,265069,0
1995-02-15,6.1247,6.1617,6.0788,6.1247,832880,0
1995-02-16,6.1247,6.2624,6.1063,6.2624,675844,0
1995-02-17,6.2624,6.2624,6.1617,6.2074,298392,0
1995-02-21,6.2348,6.2348,6.1617,6.2074,416658,0
1995-02-22,6.18,6.2624,6.1247,6.1247,270730,0
1995-02-23,6.1617,6.1617,6.0788,6.1063,858145,0
1995-02-24,6.1063,6.1617,6.0788,6.1617,600706,0
1995-02-27,6.1247,6.2624,6.1247,6.2074,443230,0
1995-02-28,6.2074,6.2074,6.1617,6.18,488099,0
1995-03-01,6.18,6.2348,6.18,6.2074,475904,0
