Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.5586,7.8489,7.5196,7.8489,765196,0
1995-01-04,7.7628,7.9275,7.7236,7.7628,628481,0
1995-01-05,7.8018,7.8018,7.598,7.6371,773361,0
1995-01-06,7.5586,7.7236,7.5586,7.6842,1262319,0
1995-01-09,7.7236,7.8883,7.6842,7.7236,1146773,0
1995-01-10,7.7236,7.8018,7.6842,7.7628,1678332,0
1995-01-11,7.7628,7.7628,7.3942,7.4333,1157231,0
1995-01-12,7.4726,7.5196,7.4333,7.5196,1731127,0
1995-01-13,7.5586,7.7628,7.5586,7.7628,1331187,0
1995-01-16,7.7628,7.8883,7.7236,7.7628,1245994,0
1995-01-17,7.7236,7.8883,7.7236,7.7236,918999,0
1995-01-18,7.8018,7.9668,7.7628,7.8489,1097546,0
1995-01-19,7.8883,7.8883,7.7628,7.8018,855235,0
1995-01-20,7.8489,7.8647,7.7236,7.7628,615727,0
1995-01-23,7.7236,7.8018,7.6842,7.6842,697093,0
1995-01-24,7.7236,7.7628,7.6371,7.7236,792232,0
1995-01-25,7.7628,7.8489,7.7628,7.8018,561911,0
1995-01-26,7.8489,7.8883,7.7628,7.8489,678985,0
1995-01-27,7.8018,7.8489,7.6842,7.7236,629247,0
1995-01-30,7.7236,7.8489,7.7236,7.7628,651691,0
1995-01-31,7.7628,7.8018,7.6842,7.7236,718261,0
1995-02-01,7.7236,7.8018,7.6842,7.6842,769532,0
1995-02-02,7.6842,7.8883,7.6842,7.8489,748104,0
1995-02-03,7.9668,8.1705,7.9668,8.1315,1695415,0
1995-02-06,8.1315,8.4611,8.1315,8.3349,1431680,0
1995-02-07,8.2967,8.3349,8.1315,8.1705,886860,0
1995-02-08,8.1705,8.2967,8.0923,8.0923,668781,0
1995-02-09,8.1315,8.1705,8.1315,8.1705,850642,0
1995-02-10,8.1705,8.3826,8.0923,8.1315,776675,0
1995-02-13,8.2567,8.5001,8.2567,8.5001,1466117,0
1995-02-14,8.5471,8.6639,8.421,8.5471,1745412,0
1995-02-15,8.5471,8.5862,8.421,8.4611,1250584,0
1995-02-16,8.421,8.5471,8.2567,8.5471,1874728,0
1995-02-17,8.5862,8.6263,8.5001,8.5471,1530900,0
1995-02-21,8.3826,8.5001,8.3826,8.5001,1217173,0
1995-02-22,8.5471,8.5471,8.1315,8.1315,1177638,0
1995-02-23,8.2967,8.3826,8.2175,8.3349,1219723,0
1995-02-24,8.3826,8.3826,8.2967,8.3349,764943,0
1995-02-27,8.2567,8.421,8.2567,8.421,797846,0
1995-02-28,8.3349,8.3826,8.1705,8.2567,812383,0
1995-03-01,8.3349,8.5001,8.2967,8.3826,1582935,0
1995-03-02,8.3826,8.4611,8.3349,8.4611,1745667,0
1995-03-03,8.4611,8.5862,8.3826,8.5862,1688788,0
1995-03-06,8.4611,8.5001,8.3349,8.4611,1061072,0
1995-03-07,8.421,8.421,8.3349,8.3826,825391,0
1995-03-08,8.4611,8.5001,8.3826,8.421,665466,0
1995-03-09,8.421,8.4611,8.2175,8.2175,681277,0
1995-03-10,8.3826,8.5862,8.3349,8.421,1220231,0
1995-03-13,8.3826,8.421,8.3826,8.3826,429020,0
1995-03-14,8.3826,8.5471,8.3826,8.5001,588946,0
1995-03-15,8.421,8.421,8.2967,8.3826,870028,0
1995-03-16,8.2967,8.4611,8.2967,8.3349,1730619,0
1995-03-17,8.3349,8.3826,8.2567,8.2967,1729086,0
1995-03-20,8.3349,8.4611,8.3349,8.4611,493295,0
1995-03-21,8.2967,8.4611,8.2967,8.3349,671583,0
1995-03-22,8.2175,8.2175,8.0526,8.2175,1192939,0
1995-03-23,8.2175,8.2967,8.2175,8.2567,606546,0
1995-03-24,8.2175,8.3826,8.2175,8.3826,778205,0
1995-03-27,8.3826,8.7506,8.3826,8.7113,1637262,0
1995-03-28,8.7506,8.9152,8.7113,8.829,1146773,0
1995-03-29,8.7506,8.8775,8.7506,8.8775,871560,0
1995-03-30,8.8775,8.8775,8.7506,8.8775,1123311,0
1995-03-31,8.7506,9.1185,8.6639,9.0804,1070507,0
1995-04-03,8.9695,9.0565,8.7276,8.7276,718774,0
1995-04-04,8.8052,8.8913,8.7276,8.766,654500,0
1995-04-05,8.6791,8.6791,8.5157,8.5546,1441888,0
1995-04-06,8.5157,8.6791,8.5157,8.6015,967460,0
1995-04-07,8.6416,8.766,8.5546,8.6015,1391892,0
1995-04-10,8.6015,8.6416,8.5157,8.5546,879208,0
1995-04-11,8.766,8.766,8.5157,8.6015,970015,0
1995-04-12,8.5546,8.6416,8.5157,8.5157,607310,0
1995-04-13,8.6015,8.6416,8.5157,8.5546,613686,0
1995-04-17,8.6015,8.6791,8.4371,8.5157,526200,0
1995-04-18,8.6015,8.6791,8.5157,8.5546,556296,0
1995-04-19,8.5546,8.6416,8.4754,8.4754,521350,0
1995-04-20,8.5157,8.6791,8.5157,8.6791,445344,0
1995-04-21,8.6791,8.6791,8.5157,8.5157,824117,0
1995-04-24,8.4754,8.6015,8.4371,8.4754,634603,0
1995-04-25,8.4371,8.4371,8.1474,8.1858,1188604,0
1995-04-26,8.1858,8.4371,8.1474,8.4371,1077649,0
1995-04-27,8.4371,8.766,8.3504,8.766,800904,0
1995-04-28,8.6015,8.6416,8.3905,8.4371,513187,0
1995-05-01,8.3905,8.5546,8.3905,8.5157,774379,0
1995-05-02,8.5157,8.766,8.5157,8.6015,472892,0
1995-05-03,8.5546,8.766,8.5546,8.6015,1301344,0
1995-05-04,8.6416,9.0096,8.6015,8.8052,2302985,0
1995-05-05,8.9695,8.9695,8.8052,8.8913,1257215,0
1995-05-08,8.9303,9.3001,8.9303,9.2609,1676799,0
1995-05-09,9.3001,9.636,9.3001,9.59,2215754,0
1995-05-10,9.55,9.636,9.3001,9.4234,1550288,0
1995-05-11,9.513,9.513,9.3457,9.3846,964657,0
1995-05-12,9.3457,9.4641,9.2208,9.2609,1453107,0
1995-05-15,9.2609,9.55,9.2609,9.55,878190,0
1995-05-16,9.55,9.55,9.4234,9.55,1506416,0
1995-05-17,9.513,9.55,9.2609,9.3457,1173812,0
1995-05-18,9.3457,9.3846,9.1808,9.3457,787643,0
1995-05-19,9.2609,9.55,9.2208,9.55,1570946,0
1995-05-22,9.4641,9.59,9.3846,9.55,1244717,0
1995-05-23,9.55,9.59,9.4641,9.513,1584977,0
1995-05-24,9.513,9.636,9.4641,9.513,2078523,0
1995-05-25,9.513,9.513,9.3001,9.4234,764176,0
1995-05-26,9.2609,9.3001,9.1808,9.2208,766216,0
1995-05-30,9.2208,9.3846,9.1808,9.2609,1205438,0
1995-05-31,9.3457,9.55,9.3001,9.55,774635,0
1995-06-01,9.55,9.59,9.3846,9.4641,1106729,0
1995-06-02,9.513,9.513,9.2208,9.2609,1284764,0
1995-06-05,9.2208,9.59,9.2208,9.59,1670168,0
1995-06-06,9.513,9.715,9.513,9.715,2214986,0
1995-06-07,9.674,9.755,9.4641,9.4641,904206,0
1995-06-08,9.59,9.715,9.3457,9.4641,2715934,0
1995-06-09,9.4234,9.4641,9.0096,9.1348,2153261,0
1995-06-12,9.1808,9.2609,9.0954,9.0954,1241145,0
1995-06-13,9.1808,9.1808,9.0096,9.0565,891966,0
1995-06-14,9.0565,9.0954,8.8913,9.0096,1243446,0
1995-06-15,9.0096,9.0096,8.8913,8.9303,539206,0
1995-06-16,8.9695,9.0096,8.845,8.8913,1529882,0
1995-06-19,8.845,8.845,8.5157,8.6416,2307066,0
1995-06-20,8.8052,8.8052,8.3504,8.5546,2383584,0
1995-06-21,8.6015,8.6416,8.5546,8.5546,1575796,0
1995-06-22,8.5546,8.6791,8.5546,8.6015,1325064,0
1995-06-23,8.2726,8.5157,8.1474,8.4371,3660696,0
1995-06-26,8.5157,8.7276,8.5157,8.6015,772590,0
1995-06-27,8.6791,8.7276,8.6015,8.6416,1258747,0
1995-06-28,8.6015,8.7276,8.6015,8.6791,1261808,0
1995-06-29,8.6791,8.845,8.6416,8.845,1713020,0
1995-06-30,8.845,8.9695,8.7276,8.9303,855235,0
1995-07-03,8.766,8.8052,8.6791,8.7276,402746,0
1995-07-05,8.6791,8.8913,8.6791,8.6791,1014905,0
1995-07-06,8.845,9.3457,8.7276,9.3001,1269970,0
1995-07-07,9.0954,9.59,9.0954,9.2609,2182339,0
