Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.3104,4.3911,4.2051,4.2051,424269,0
1995-01-04,4.1967,4.2778,3.9537,4.0915,2888033,0
1995-01-05,4.1563,4.1563,3.9537,3.9537,2278811,0
1995-01-06,4.035,4.1967,3.9537,4.1563,3346045,0
1995-01-09,4.035,4.3911,4.035,4.3911,1855790,0
1995-01-10,4.5127,4.7558,4.4318,4.6345,3303555,0
1995-01-11,4.7963,4.837,4.4725,4.5778,2544370,0
1995-01-12,4.5127,4.594,4.4725,4.5127,2198831,0
1995-01-13,4.2778,4.4725,3.9944,4.4318,14025898,0
1995-01-16,4.4318,4.6345,4.3104,4.4318,2899906,0
1995-01-17,4.3104,4.4318,3.8726,4.035,5333679,0
1995-01-18,4.2372,4.3911,4.0756,4.1724,10037515,0
1995-01-19,4.1159,4.1967,4.0756,4.0756,2375035,0
1995-01-20,4.0756,4.1563,3.9132,3.9944,4163338,0
1995-01-23,3.9537,4.1563,3.8322,4.1563,2522498,0
1995-01-24,4.1563,4.2372,4.0756,4.0915,1509002,0
1995-01-25,4.035,4.035,3.8322,3.9132,6062248,0
1995-01-26,3.9132,4.035,3.719,3.735,3926526,0
1995-01-27,3.7919,3.9944,3.4757,3.8162,9662605,0
1995-01-30,3.7919,3.8322,3.5567,3.6783,5310558,0
1995-01-31,3.6381,3.719,3.5164,3.5731,4283314,0
1995-02-01,3.6381,3.6783,3.5567,3.5974,1238441,0
1995-02-02,3.6381,3.719,3.5567,3.5567,2763689,0
1995-02-03,3.6381,3.8322,3.5974,3.8162,4716954,0
1995-02-06,3.8322,3.9537,3.7919,3.8972,4076488,0
1995-02-07,3.9537,4.1159,3.9537,4.035,2613723,0
1995-02-08,4.0756,4.0756,3.9537,3.9944,1637719,0
1995-02-09,3.9537,4.1967,3.9537,4.1563,3935898,0
1995-02-10,4.2372,4.2778,4.1563,4.1967,3122975,0
1995-02-13,4.1967,4.2372,4.1159,4.1967,3309179,0
1995-02-14,4.1967,4.2372,4.1159,4.2132,2205704,0
1995-02-15,4.2372,4.4318,4.2051,4.4157,4320803,0
1995-02-16,4.4725,4.5127,4.3104,4.3911,2063238,0
1995-02-17,4.3104,4.3507,4.1967,4.2132,2071362,0
1995-02-21,4.1967,4.2372,4.0756,4.1563,2553115,0
1995-02-22,4.0756,4.1563,4.0756,4.0756,2042618,0
1995-02-23,4.035,4.1159,4.035,4.035,2363166,0
1995-02-24,4.0756,4.1159,3.9944,4.0756,1212198,0
1995-02-27,4.035,4.1563,3.9944,4.035,966636,0
1995-02-28,4.035,4.0756,3.9537,4.035,2097606,0
1995-03-01,3.9944,4.1159,3.8322,3.9132,3794061,0
1995-03-02,3.8322,3.9944,3.7512,3.9779,4251447,0
1995-03-03,3.9132,4.2778,3.9132,4.2535,6237829,0
1995-03-06,4.2372,4.2372,3.9537,3.9618,4127104,0
1995-03-07,4.035,4.1159,3.8726,3.9132,3651596,0
1995-03-08,3.9132,4.035,3.8726,3.8726,2824299,0
1995-03-09,3.9132,3.9944,3.735,3.9132,2162589,0
1995-03-10,3.8322,3.9537,3.8322,3.9537,5446149,0
1995-03-13,3.9537,4.2778,3.9537,4.1563,10433038,0
1995-03-14,4.1563,4.3104,4.035,4.1967,3714079,0
1995-03-15,4.1967,4.2778,4.1159,4.2372,1432770,0
1995-03-16,4.1967,4.2778,4.1563,4.2372,1470885,0
1995-03-17,4.1967,4.2778,4.1967,4.1967,1943891,0
1995-03-20,4.1967,4.3507,4.1159,4.3507,1316548,0
1995-03-21,4.3104,4.5127,4.2778,4.3104,1713324,0
1995-03-22,4.3104,4.3104,4.0756,4.1159,1343417,0
1995-03-23,4.0756,4.2778,3.9537,4.1724,4183335,0
1995-03-24,4.1563,4.3104,4.1563,4.2372,1918898,0
1995-03-27,4.2372,4.4725,4.2372,4.4562,3147344,0
1995-03-28,4.4725,4.4725,4.3507,4.4318,2668714,0
1995-03-29,4.3507,4.7154,4.3507,4.4562,3675338,0
1995-03-30,4.3911,4.4725,4.3104,4.3911,1576484,0
1995-03-31,4.2372,4.5534,4.2372,4.4967,2413776,0
1995-04-03,4.5127,4.5534,4.3911,4.4157,1034117,0
1995-04-04,4.3911,4.4318,4.2778,4.294,1327798,0
1995-04-05,4.2778,4.3507,4.2372,4.3426,1292804,0
1995-04-06,4.3104,4.4725,4.3104,4.3911,2100728,0
1995-04-07,4.3104,4.3749,4.1967,4.3347,3040496,0
1995-04-10,4.2372,4.675,4.2372,4.5534,6197213,0
1995-04-11,4.675,4.7558,4.594,4.7154,3167341,0
1995-04-12,4.7558,4.9339,4.6345,4.8125,2866789,0
1995-04-13,4.837,4.9504,4.6345,4.8531,1470885,0
1995-04-17,4.837,5.0719,4.7963,4.837,2704328,0
1995-04-18,4.8693,4.9504,4.7558,4.837,1422148,0
1995-04-19,4.7558,4.837,4.594,4.6345,1079732,0
1995-04-20,4.594,4.7963,4.594,4.7963,715446,0
1995-04-21,4.837,4.837,4.3507,4.5534,5406160,0
1995-04-24,4.4725,4.6503,4.4318,4.5127,2711203,0
1995-04-25,4.594,4.594,4.4318,4.4562,3645346,0
1995-04-26,4.4725,4.5127,4.3104,4.3104,2480009,0
1995-04-27,4.3911,4.5127,4.3104,4.5127,2483759,0
1995-04-28,4.5127,4.5127,4.3749,4.5127,1297180,0
1995-05-01,4.5127,4.5127,4.4157,4.4725,794179,0
1995-05-02,4.5127,4.594,4.3507,4.4725,1010376,0
1995-05-03,4.4725,4.5534,4.2778,4.4157,2803055,0
1995-05-04,4.3911,4.4725,4.2372,4.3104,2545618,0
1995-05-05,4.2778,4.3911,4.2778,4.3104,946014,0
