Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,14.306,14.522,14.306,14.42,228899,0
1995-01-04,14.476,14.522,14.257,14.361,198762,0
1995-01-05,14.361,14.476,14.306,14.42,94500,0
1995-01-06,14.42,14.522,14.306,14.42,224594,0
1995-01-09,14.42,14.42,14.257,14.361,138286,0
1995-01-10,14.306,14.306,14.2,14.2,197400,0
1995-01-11,14.257,14.257,13.926,13.982,152144,0
1995-01-12,14.085,14.143,13.982,14.143,135765,0
1995-01-13,14.143,14.361,14.143,14.361,105315,0
1995-01-16,14.2,14.476,14.2,14.361,209789,0
1995-01-17,14.361,14.42,14.306,14.306,56489,0
1995-01-18,14.476,14.858,14.42,14.858,573821,0
1995-01-19,14.858,15.123,14.858,14.962,469137,0
1995-01-20,15.02,15.075,14.858,14.858,114763,0
1995-01-23,14.858,15.02,14.742,15.02,468296,0
1995-01-24,15.02,15.239,14.742,15.02,1502851,0
1995-01-25,14.906,15.399,14.858,15.295,627057,0
1995-01-26,15.295,15.562,15.295,15.457,262606,0
1995-01-27,15.562,15.619,15.457,15.619,135239,0
1995-01-30,15.514,15.619,15.457,15.619,146577,0
1995-01-31,15.619,16.114,15.619,16.114,743920,0
1995-02-01,16.162,16.218,15.943,16.056,492971,0
1995-02-02,15.943,16.162,15.943,16.114,1417386,0
1995-02-03,16.114,16.218,16.114,16.162,187002,0
1995-02-06,16.056,16.162,16.056,16.114,153196,0
1995-02-07,16.114,16.162,16.056,16.114,49976,0
1995-02-08,16.114,16.218,16.114,16.218,168943,0
1995-02-09,16.218,16.335,16.056,16.114,154243,0
1995-02-10,16.114,16.335,16.114,16.335,223123,0
1995-02-13,16.335,16.439,16.277,16.439,167475,0
1995-02-14,16.439,16.495,16.439,16.495,305966,0
1995-02-15,16.543,16.712,16.543,16.656,335474,0
1995-02-16,16.712,16.712,16.656,16.712,218082,0
1995-02-17,16.656,16.656,16.382,16.382,260506,0
1995-02-21,16.335,16.335,16.218,16.218,176610,0
1995-02-22,16.277,16.335,16.277,16.335,178076,0
1995-02-23,16.218,16.382,16.218,16.335,291267,0
1995-02-24,16.335,16.335,16.277,16.277,82845,0
1995-02-27,16.218,16.218,16.056,16.056,116760,0
1995-02-28,16.056,16.114,15.943,16.114,684910,0
1995-03-01,16.114,16.543,16.114,16.495,2028796,0
1995-03-02,16.495,16.495,16.277,16.439,129149,0
1995-03-03,16.439,16.495,16.382,16.439,239400,0
1995-03-06,16.335,16.335,16.056,16.277,178183,0
1995-03-07,16.162,16.162,15.943,16.056,217347,0
1995-03-08,15.999,16.114,15.943,15.999,56279,0
1995-03-09,15.999,16.114,15.896,15.943,99537,0
1995-03-10,15.943,16.056,15.896,15.896,67303,0
1995-03-13,15.896,15.999,15.896,15.999,82845,0
1995-03-14,16.114,16.114,15.943,15.999,137550,0
1995-03-15,15.999,16.439,15.943,16.382,224487,0
1995-03-16,16.382,16.382,16.277,16.277,138706,0
1995-03-17,16.277,16.712,16.277,16.601,229215,0
1995-03-20,16.656,16.761,16.656,16.761,146683,0
1995-03-21,16.761,17.152,16.761,16.934,444672,0
1995-03-22,16.876,17.038,16.876,16.934,155083,0
1995-03-23,16.983,17.152,16.983,17.152,247376,0
1995-03-24,17.152,17.694,17.152,17.581,374008,0
1995-03-27,17.694,17.801,17.639,17.753,100906,0
1995-03-28,17.753,17.753,17.639,17.639,80847,0
1995-03-29,17.639,17.639,17.258,17.314,52185,0
1995-03-30,17.314,17.694,17.258,17.694,112767,0
1995-03-31,17.477,17.753,17.477,17.639,156553,0
1995-04-03,17.581,17.639,17.532,17.581,174720,0
1995-04-04,17.477,17.581,17.258,17.477,115603,0
1995-04-05,17.532,17.694,17.532,17.639,106997,0
1995-04-06,17.581,17.694,17.532,17.532,198447,0
1995-04-07,17.418,17.532,17.418,17.532,99433,0
1995-04-10,17.477,17.477,17.363,17.477,120537,0
1995-04-11,17.477,17.694,17.314,17.314,141957,0
1995-04-12,17.314,17.418,17.314,17.418,66779,0
1995-04-13,17.418,17.418,17.2,17.258,84313,0
1995-04-17,17.2,17.258,16.876,16.983,105522,0
1995-04-18,16.934,16.934,16.601,16.601,153196,0
1995-04-19,16.601,16.656,16.277,16.495,129360,0
1995-04-20,16.543,16.876,16.439,16.819,137968,0
1995-04-21,16.819,17.152,16.819,17.095,81272,0
1995-04-24,16.983,17.095,16.819,17.095,45146,0
1995-04-25,16.983,17.418,16.934,17.418,74027,0
1995-04-26,17.477,17.477,17.258,17.314,137968,0
1995-04-27,17.258,17.314,17.258,17.314,40425,0
1995-04-28,17.258,17.363,17.258,17.314,34229,0
1995-05-01,17.2,17.639,17.2,17.418,114241,0
1995-05-02,17.418,17.532,17.418,17.532,158759,0
1995-05-03,17.532,17.694,17.532,17.532,144796,0
1995-05-04,17.532,17.753,17.532,17.581,103742,0
1995-05-05,17.532,17.639,17.477,17.581,80847,0
1995-05-08,17.477,17.532,17.477,17.532,53234,0
1995-05-09,17.532,17.581,17.532,17.581,71925,0
1995-05-10,17.581,17.639,17.581,17.581,57224,0
1995-05-11,17.639,17.639,17.532,17.532,123166,0
1995-05-12,17.532,17.97,17.532,17.801,207582,0
1995-05-15,17.801,18.134,17.801,18.075,151199,0
1995-05-16,18.017,18.183,18.017,18.134,37906,0
1995-05-17,18.183,18.297,18.134,18.297,112033,0
1995-05-18,18.24,18.297,18.134,18.134,151199,0
1995-05-19,18.134,18.134,18.017,18.134,115395,0
1995-05-22,18.075,18.297,18.075,18.183,55860,0
1995-05-23,18.24,18.24,18.183,18.24,25201,0
1995-05-24,18.183,18.24,18.183,18.183,56072,0
1995-05-25,18.183,18.84,18.134,18.791,135765,0
1995-05-26,18.675,18.675,18.297,18.675,107732,0
1995-05-30,18.791,19.057,18.734,19.057,92926,0
1995-05-31,19.057,19.657,19.057,19.495,212727,0
1995-06-01,19.495,19.657,19.495,19.657,392697,0
1995-06-02,19.657,20.092,19.657,20.037,121273,0
1995-06-05,20.037,20.15,19.772,19.934,144165,0
1995-06-06,19.934,20.431,19.934,20.372,131562,0
1995-06-07,20.256,20.256,20.092,20.092,41791,0
1995-06-08,20.15,20.15,19.992,20.092,88304,0
1995-06-09,19.878,19.878,19.495,19.495,184168,0
1995-06-12,19.39,19.438,19.22,19.438,200970,0
1995-06-13,19.332,19.934,19.332,19.878,105419,0
1995-06-14,19.878,20.208,19.772,20.037,80847,0
1995-06-15,20.092,20.59,20.092,20.372,86837,0
1995-06-16,20.315,20.431,20.256,20.431,59637,0
1995-06-19,20.372,20.694,20.372,20.694,109935,0
1995-06-20,20.59,20.645,20.315,20.315,38533,0
1995-06-21,20.372,20.59,20.315,20.535,77176,0
1995-06-22,20.479,20.59,20.431,20.59,137231,0
1995-06-23,20.59,20.59,20.315,20.315,46829,0
1995-06-26,20.372,20.372,20.15,20.15,45566,0
1995-06-27,20.092,20.15,19.934,19.934,56072,0
1995-06-28,19.878,20.15,19.772,19.992,89041,0
1995-06-29,19.992,19.992,19.831,19.878,50819,0
1995-06-30,19.878,20.431,19.831,20.431,162329,0
1995-07-03,20.372,20.372,20.256,20.372,12286,0
1995-07-05,20.372,20.372,20.092,20.208,128309,0
1995-07-06,19.934,19.934,19.657,19.772,138594,0
1995-07-07,19.772,19.772,19.552,19.552,300717,0
1995-07-10,19.552,19.61,19.495,19.552,40214,0
1995-07-11,19.552,19.61,19.552,19.552,99016,0
1995-07-12,19.61,19.878,19.61,19.831,27299,0
1995-07-13,19.715,19.772,19.657,19.657,56384,0
1995-07-14,19.715,19.831,19.715,19.831,110987,0
1995-07-17,19.772,19.831,19.772,19.772,64467,0
1995-07-18,19.715,19.715,19.61,19.715,114131,0
1995-07-19,19.657,19.715,19.332,19.332,163484,0
1995-07-20,19.438,19.438,19.273,19.273,110566,0
1995-07-21,19.273,19.495,18.84,19.001,179130,0
1995-07-24,19.001,19.001,18.84,18.897,164429,0
1995-07-25,18.791,18.954,18.734,18.954,255779,0
1995-07-26,18.897,19.332,18.897,19.057,286016,0
1995-07-27,19.057,19.273,19.057,19.273,58697,0
1995-07-28,19.22,19.273,19.22,19.22,57224,0
1995-07-31,19.273,19.273,19.22,19.273,9661,0
1995-08-01,19.273,19.273,19.001,19.001,55752,0
1995-08-02,19.115,19.173,18.791,18.84,93238,0
1995-08-03,18.791,18.84,18.675,18.734,122849,0
1995-08-04,18.791,18.954,18.791,18.84,68669,0
1995-08-07,18.84,19.057,18.791,19.057,76860,0
1995-08-08,18.954,18.954,18.791,18.954,76333,0
1995-08-09,18.954,19.057,18.954,19.057,33809,0
1995-08-10,19.115,19.22,18.897,18.897,146895,0
1995-08-11,19.001,19.001,18.897,18.954,30551,0
1995-08-14,18.897,19.332,18.897,19.273,171464,0
1995-08-15,19.273,19.332,19.173,19.173,34757,0
1995-08-16,19.22,19.332,19.173,19.332,297464,0
1995-08-17,19.332,19.39,19.173,19.39,116444,0
1995-08-18,19.39,19.552,19.273,19.332,68037,0
1995-08-21,19.39,19.552,19.332,19.332,129255,0
1995-08-22,19.39,19.39,19.001,19.001,83793,0
1995-08-23,19.057,19.057,18.897,18.897,42106,0
1995-08-24,18.897,19.001,18.791,19.001,32655,0
1995-08-25,19.057,19.115,18.954,19.001,255250,0
1995-08-28,18.897,18.954,18.84,18.897,102266,0
1995-08-29,18.897,18.954,18.84,18.954,64467,0
1995-08-30,19.011,19.011,18.954,19.011,2307883,0
1995-08-31,18.897,19.115,18.84,19.115,41892,0
1995-09-01,19.057,19.057,18.954,18.954,44100,0
1995-09-05,19.011,19.115,18.954,19.115,13124,0
1995-09-06,18.954,19.115,18.954,19.115,67514,0
1995-09-07,19.057,19.057,18.734,18.897,72448,0
1995-09-08,19.011,19.057,19.011,19.057,49034,0
1995-09-11,19.173,19.173,18.954,18.954,60374,0
1995-09-12,18.954,19.057,18.897,19.057,45783,0
1995-09-13,19.011,19.057,18.897,18.954,119804,0
1995-09-14,19.011,19.228,19.011,19.228,79168,0
1995-09-15,19.228,19.332,19.228,19.332,80012,0
1995-09-18,19.228,19.447,19.228,19.332,76333,0
1995-09-19,19.332,19.447,19.332,19.447,71504,0
1995-09-20,19.552,19.772,19.552,19.725,66359,0
1995-09-21,19.772,19.831,19.61,19.667,281819,0
1995-09-22,19.61,19.772,19.61,19.772,16905,0
1995-09-25,19.667,19.831,19.667,19.772,91770,0
1995-09-26,19.772,19.943,19.772,19.943,31499,0
1995-09-27,19.831,19.888,19.725,19.888,97439,0
1995-09-28,19.772,19.888,19.667,19.888,30663,0
1995-09-29,19.888,19.888,19.772,19.772,9347,0
1995-10-02,19.831,19.888,19.725,19.772,28560,0
1995-10-03,19.772,20.266,19.725,20.266,70242,0
1995-10-04,20.208,20.599,20.208,20.599,53025,0
1995-10-05,20.543,20.82,20.543,20.655,74445,0
1995-10-06,20.655,20.762,20.599,20.762,163590,0
1995-10-09,20.704,20.704,20.266,20.325,49770,0
1995-10-10,20.431,20.543,20.382,20.543,79695,0
1995-10-11,20.599,20.762,20.489,20.655,308698,0
1995-10-12,20.655,20.704,20.543,20.599,220498,0
1995-10-13,20.599,20.599,20.325,20.431,21632,0
1995-10-16,20.431,20.431,20.102,20.16,33286,0
1995-10-17,20.208,20.325,20.208,20.266,36121,0
1995-10-18,20.266,20.266,20.208,20.266,7245,0
1995-10-19,20.382,20.982,20.382,20.878,102266,0
1995-10-20,21.418,21.418,20.982,21.096,82530,0
1995-10-23,21.096,21.096,20.982,21.096,33074,0
1995-10-24,21.144,21.144,20.982,21.039,25934,0
1995-10-25,21.096,21.199,20.325,20.431,78855,0
1995-10-26,20.543,20.704,20.489,20.704,72972,0
1995-10-27,20.655,20.82,20.543,20.82,45363,0
1995-10-30,20.82,20.982,20.82,20.982,120435,0
1995-10-31,20.982,21.096,20.925,20.982,222494,0
1995-11-01,20.925,21.039,20.925,21.039,71191,0
1995-11-02,20.982,22.085,20.982,21.972,158023,0
1995-11-03,21.856,22.409,21.856,22.191,110987,0
1995-11-06,22.133,22.247,22.085,22.133,68252,0
1995-11-07,22.191,22.247,22.085,22.133,142380,0
1995-11-08,22.133,22.352,22.133,22.247,107099,0
1995-11-09,22.247,22.572,22.191,22.572,195091,0
1995-11-10,22.63,22.79,22.572,22.686,121065,0
1995-11-13,22.686,23.238,22.525,22.905,127784,0
1995-11-14,22.905,23.401,22.847,22.962,103526,0
1995-11-15,23.068,23.179,22.79,23.068,30766,0
1995-11-16,23.021,23.068,22.79,22.847,41686,0
1995-11-17,22.847,22.962,22.572,22.905,88621,0
1995-11-20,22.79,23.179,22.79,22.962,58588,0
1995-11-21,22.847,22.905,22.79,22.905,37906,0
1995-11-22,22.847,22.847,22.686,22.686,20160,0
1995-11-24,22.743,22.743,22.467,22.572,19111,0
1995-11-27,22.63,22.686,22.467,22.686,67935,0
1995-11-28,22.63,22.686,22.467,22.686,55018,0
1995-11-29,22.743,22.905,22.743,22.743,2360385,0
1995-11-30,22.8,22.847,22.572,22.686,95658,0
1995-12-01,22.8,22.847,22.63,22.63,49873,0
1995-12-04,22.743,22.962,22.743,22.962,47671,0
1995-12-05,23.021,23.179,22.743,22.743,126734,0
1995-12-06,22.8,22.962,22.8,22.8,120331,0
1995-12-07,22.8,22.847,22.686,22.847,63313,0
1995-12-08,22.8,22.847,22.63,22.63,313107,0
1995-12-11,22.743,22.743,22.525,22.686,36226,0
1995-12-12,22.572,22.8,22.572,22.686,186163,0
1995-12-13,22.63,22.962,22.63,22.962,58801,0
1995-12-14,22.847,22.905,22.743,22.743,36226,0
1995-12-15,22.743,22.905,22.743,22.743,79276,0
1995-12-18,22.743,22.847,22.63,22.63,48090,0
1995-12-19,22.572,22.572,22.247,22.296,48405,0
1995-12-20,22.296,22.467,21.972,21.972,54810,0
1995-12-21,21.972,21.972,21.418,21.744,88828,0
1995-12-22,21.856,22.02,21.856,22.02,123166,0
1995-12-26,22.076,22.247,22.076,22.191,95864,0
1995-12-27,22.191,22.467,22.191,22.467,31920,0
1995-12-28,22.409,22.467,22.352,22.467,50087,0
1995-12-29,22.467,22.467,22.296,22.352,36329,0
1996-01-02,22.247,22.247,21.144,21.856,163904,0
1996-01-03,21.856,22.296,21.8,22.191,167263,0
1996-01-04,22.191,22.352,22.076,22.191,169155,0
1996-01-05,22.076,22.076,21.744,21.972,144899,0
1996-01-08,21.972,22.076,21.972,21.972,24568,0
1996-01-09,21.972,22.133,21.913,22.02,175666,0
1996-01-10,21.972,22.133,21.856,21.856,105522,0
1996-01-11,21.913,22.076,21.856,21.856,128942,0
1996-01-12,21.856,21.913,21.856,21.913,22677,0
1996-01-15,21.972,22.02,21.913,21.972,34229,0
1996-01-16,22.076,22.191,21.913,22.02,125367,0
1996-01-17,21.856,22.076,21.856,21.972,169888,0
1996-01-18,21.856,21.913,21.744,21.913,42837,0
1996-01-19,21.8,21.856,21.696,21.744,31920,0
1996-01-22,21.64,21.744,21.418,21.64,120537,0
1996-01-23,21.582,21.582,21.246,21.361,86310,0
1996-01-24,21.418,21.418,20.782,20.868,135973,0
1996-01-25,20.972,20.972,20.59,20.645,174720,0
1996-01-26,20.59,21.582,20.535,21.582,598601,0
1996-01-29,21.467,21.972,21.03,21.913,401412,0
1996-01-30,21.8,21.856,21.64,21.744,1286344,0
1996-01-31,21.744,22.191,21.744,22.076,343032,0
1996-02-01,22.076,22.467,22.076,22.352,183435,0
1996-02-02,22.296,22.467,22.247,22.296,143221,0
1996-02-05,22.296,22.525,22.247,22.409,85993,0
1996-02-06,22.525,22.525,21.972,22.133,164847,0
1996-02-07,22.133,22.743,22.133,22.686,207058,0
1996-02-08,22.743,23.401,22.63,23.076,201703,0
1996-02-09,23.123,23.401,23.076,23.401,160019,0
1996-02-12,23.295,24.229,23.295,23.846,160337,0
1996-02-13,23.619,23.952,23.619,23.846,292422,0
1996-02-14,23.895,23.895,23.677,23.734,196032,0
1996-02-15,23.792,23.792,23.401,23.401,72027,0
1996-02-16,23.401,23.792,23.295,23.792,175452,0
1996-02-20,23.619,23.619,22.8,23.123,65834,0
1996-02-21,23.123,23.123,22.8,23.123,74027,0
1996-02-22,23.123,23.295,23.076,23.295,56909,0
