Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.7848,5.7848,5.5934,5.5934,2142416,0
1995-01-04,5.6195,5.6456,5.5414,5.5763,3823375,0
1995-01-05,5.5763,5.5934,5.4632,5.5763,2841510,0
1995-01-06,5.6022,5.6195,5.4979,5.6022,3462315,0
1995-01-09,5.6022,5.6975,5.6022,5.6456,1473716,0
1995-01-10,5.6801,5.8106,5.6544,5.7239,3360079,0
1995-01-11,5.7326,5.7496,5.6281,5.6281,1754642,0
1995-01-12,5.6544,5.6718,5.524,5.55,1758327,0
1995-01-13,5.5763,5.6975,5.5763,5.6456,1949912,0
1995-01-16,5.6281,5.8282,5.6281,5.7848,3972593,0
1995-01-17,5.7586,5.9319,5.7586,5.8801,3584817,0
1995-01-18,5.8363,5.8889,5.8021,5.8363,2318342,0
1995-01-19,5.8106,5.9319,5.7758,5.9319,2497951,0
1995-01-20,5.9319,6.0102,5.9319,5.967,2618611,0
1995-01-23,5.8889,5.9844,5.8889,5.9844,2138733,0
1995-01-24,6.0102,6.1493,5.993,6.1407,2938223,0
1995-01-25,6.1146,6.1407,6.0625,6.1234,3209939,0
1995-01-26,6.0973,6.1752,6.0885,6.1669,1146735,0
1995-01-27,6.2275,6.2447,6.1669,6.2015,2119389,0
1995-01-30,6.2275,6.2275,6.1669,6.1927,1478323,0
1995-01-31,6.0973,6.1927,6.0885,6.1927,1657932,0
1995-02-01,6.1927,6.1927,6.0712,6.1234,1889122,0
1995-02-02,6.1407,6.1407,6.0451,6.0625,1175289,0
1995-02-03,6.1407,6.1927,6.0712,6.1927,3298366,0
1995-02-06,6.1927,6.3318,6.1752,6.2971,2467555,0
1995-02-07,6.271,6.2798,6.0973,6.1493,2596506,0
1995-02-08,6.1234,6.1407,6.0451,6.0451,2689535,0
1995-02-09,6.0451,6.0712,5.967,5.967,1886358,0
1995-02-10,5.9844,6.0192,5.8628,5.9581,1808987,0
1995-02-13,6.0192,6.1752,6.0192,6.1407,1976624,0
1995-02-14,6.1407,6.1927,5.967,6.0102,3662190,0
1995-02-15,6.0365,6.0451,5.967,6.0102,1925966,0
1995-02-16,6.0102,6.0192,5.7586,5.8106,4693793,0
1995-02-17,5.8282,5.9062,5.7848,5.8282,4470890,0
1995-02-21,5.8363,5.9844,5.8106,5.9411,2999016,0
1995-02-22,5.9844,6.0365,5.967,6.0102,1715959,0
1995-02-23,6.0973,6.1493,6.0192,6.1234,4154042,0
1995-02-24,6.1407,6.2536,6.1234,6.2536,3957853,0
1995-02-27,6.2536,6.2536,6.1493,6.2187,1924120,0
1995-02-28,6.2015,6.2971,6.1927,6.2536,1675434,0
1995-03-01,6.2275,6.2536,6.2187,6.2187,1778597,0
1995-03-02,6.2275,6.2275,6.0973,6.1407,1611881,0
1995-03-03,6.1669,6.3229,6.1669,6.3229,2010704,0
1995-03-06,6.2971,6.462,6.2275,6.4535,2658221,0
1995-03-07,6.4535,6.5143,6.41,6.462,4150357,0
1995-03-08,6.462,6.6445,6.4535,6.5575,3940354,0
1995-03-09,6.5663,6.6878,6.5575,6.6445,2120311,0
1995-03-10,6.6185,6.6706,6.5317,6.5924,2115707,0
1995-03-13,6.6706,6.7401,6.6445,6.6445,3034015,0
1995-03-14,6.6706,6.7485,6.662,6.7139,4445101,0
1995-03-15,6.7139,6.7485,6.6878,6.7223,1883597,0
1995-03-16,6.7223,6.9572,6.7223,6.8962,2824013,0
1995-03-17,6.905,7.0527,6.905,7.0527,4651422,0
1995-03-20,7.3133,7.3826,7.157,7.3044,10926696,0
1995-03-21,7.3826,7.4089,7.2612,7.2783,8072289,0
1995-03-22,7.2872,7.3308,7.2262,7.2262,4791422,0
1995-03-23,7.2353,7.3133,7.0788,7.2612,11110913,0
1995-03-24,7.3044,7.3308,7.2353,7.3044,3235732,0
1995-03-27,7.3392,7.3392,7.2526,7.3044,3177703,0
1995-03-28,7.3133,7.3826,7.2783,7.3826,2209654,0
1995-03-29,7.3654,7.513,7.2353,7.2783,4143911,0
1995-03-30,7.3044,7.3133,7.0873,7.1046,2059519,0
1995-03-31,7.1396,7.2526,6.931,7.2353,1879908,0
1995-04-03,7.3133,7.3916,7.1307,7.183,1632144,0
1995-04-04,7.2088,7.3217,7.2088,7.3133,2248339,0
1995-04-05,7.2612,7.3133,7.2436,7.2958,1503192,0
1995-04-06,7.348,7.5045,7.2872,7.5045,2034650,0
1995-04-07,7.5045,7.5045,7.2872,7.3133,2128604,0
1995-04-10,7.2958,7.3654,7.2872,7.2872,1909385,0
1995-04-11,7.3133,7.3916,7.2872,7.3916,2882040,0
1995-04-12,7.3654,7.652,7.3654,7.6261,3974431,0
1995-04-13,7.6781,7.9211,7.652,7.8862,3809562,0
1995-04-17,7.9386,7.9733,7.8691,7.9126,2842436,0
1995-04-18,7.9908,7.9908,7.7824,7.7907,2044785,0
1995-04-19,7.7302,7.7389,7.4955,7.5738,4453391,0
1995-04-20,7.5738,7.5997,7.4173,7.5822,4058250,0
1995-04-21,7.652,7.817,7.6347,7.6781,3164811,0
1995-04-24,7.6781,7.7302,7.6607,7.7126,2517294,0
1995-04-25,7.6781,7.7126,7.5738,7.5822,2187546,0
1995-04-26,7.5997,7.6261,7.5045,7.5477,2809275,0
1995-04-27,7.5822,7.7907,7.5305,7.7907,2514533,0
1995-04-28,7.817,7.817,7.5997,7.7651,1727009,0
1995-05-01,7.7651,7.7824,7.6261,7.6607,2943750,0
1995-05-02,7.6607,7.6607,7.6261,7.6347,1621089,0
1995-05-03,7.6347,7.652,7.3742,7.5738,7926760,0
1995-05-04,7.5997,7.8691,7.5997,7.7302,3968906,0
