Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.0368,9.0791,9.0204,9.0791,684203,0
1995-01-04,9.0613,9.0952,8.9516,8.9685,784657,0
1995-01-05,8.9516,8.977,8.8911,8.9347,583048,0
1995-01-06,8.9607,8.9952,8.9347,8.9607,807838,0
1995-01-09,8.9516,8.9952,8.9347,8.9516,486809,0
1995-01-10,8.9607,9.1479,8.9347,8.977,554949,0
1995-01-11,8.977,8.977,8.908,8.9347,436936,0
1995-01-12,8.9347,8.9952,8.9166,8.9952,481192,0
1995-01-13,9.0204,9.0368,8.9607,9.0034,722141,0
1995-01-16,9.0204,9.1383,9.0204,9.0952,1384566,0
1995-01-17,9.1049,9.1221,9.0368,9.0613,668750,0
1995-01-18,9.0952,9.0952,9.0034,9.0204,654700,0
1995-01-19,8.9952,8.9952,8.8316,8.8739,358962,0
1995-01-20,8.8739,8.8911,8.8057,8.8739,937794,0
1995-01-23,8.8151,8.9952,8.8151,8.9347,594287,0
1995-01-24,8.908,8.9166,8.8316,8.8316,904782,0
1995-01-25,8.8486,8.9347,8.8316,8.8486,592180,0
1995-01-26,8.8316,8.8739,8.8057,8.8655,419375,0
1995-01-27,8.8911,9.0034,8.7888,8.9607,1173118,0
1995-01-30,9.0204,9.1829,8.9952,9.1479,1451301,0
1995-01-31,9.1652,9.1915,9.0613,9.1915,1090230,0
1995-02-01,9.2321,9.3525,9.2081,9.2321,1760384,0
1995-02-02,9.2235,9.3094,9.1915,9.3094,1200515,0
1995-02-03,9.371,9.4562,9.3261,9.371,1858025,0
1995-02-06,9.4808,9.4977,9.4215,9.4374,1282005,0
1995-02-07,9.4562,9.4808,9.4215,9.4215,727053,0
1995-02-08,9.4374,9.4977,9.4374,9.4562,1920549,0
1995-02-09,9.4562,9.4648,9.4374,9.4374,528255,0
1995-02-10,9.4648,9.4808,9.4126,9.4215,445366,0
1995-02-13,9.4215,9.4562,9.3094,9.3359,516313,0
1995-02-14,9.371,9.3798,9.2939,9.3094,702469,0
1995-02-15,9.3359,9.4648,9.3261,9.4126,520529,0
1995-02-16,9.3798,9.4374,9.371,9.4126,379330,0
1995-02-17,9.4374,9.4648,9.4215,9.4562,413754,0
1995-02-21,9.4126,9.4648,9.4126,9.4648,689124,0
1995-02-22,9.4977,9.728,9.4648,9.609,1993604,0
1995-02-23,9.609,9.728,9.609,9.711,2200131,0
1995-02-24,9.686,9.754,9.584,9.6,949036,0
1995-02-27,9.6,9.609,9.4562,9.4648,468543,0
1995-02-28,9.4977,9.506,9.4126,9.4562,661022,0
1995-03-01,9.4808,9.506,9.3359,9.371,675072,0
1995-03-02,9.3947,9.4215,9.3798,9.4126,840153,0
1995-03-03,9.3947,9.4374,9.371,9.3947,344208,0
1995-03-06,9.371,9.4648,9.3261,9.4562,701766,0
1995-03-07,9.4808,9.4808,9.3798,9.4126,692636,0
1995-03-08,9.4215,9.4977,9.4215,9.4562,442552,0
1995-03-09,9.4562,9.4648,9.4126,9.4126,670154,0
1995-03-10,9.4374,9.67,9.4215,9.558,656809,0
1995-03-13,9.558,9.626,9.558,9.626,330161,0
1995-03-14,9.626,9.797,9.626,9.652,882301,0
1995-03-15,9.644,9.652,9.54,9.565,514206,0
1995-03-16,9.558,9.652,9.558,9.6,389165,0
1995-03-17,9.565,9.565,9.506,9.523,1132376,0
1995-03-20,9.506,9.558,9.506,9.506,458712,0
1995-03-21,9.523,9.565,9.4808,9.4977,421480,0
