Date,Open,High,Low,Close,Volume,OpenInt
2000-10-24,9.3934,9.4721,8.9315,9.4189,1550779,0
2000-10-25,9.4189,9.888,9.4189,9.764,1204860,0
2000-10-26,9.764,10.004,9.2773,9.968,864577,0
2000-10-27,9.968,10.218,9.925,10.182,793996,0
2000-10-30,10.085,10.767,10.057,10.474,845861,0
2000-10-31,10.377,11.06,9.728,10.846,2588097,0
2000-11-01,10.75,10.75,10.057,10.103,690039,0
2000-11-02,10.057,10.057,9.632,9.811,722283,0
2000-11-03,9.888,9.888,9.597,9.764,492951,0
2000-11-06,9.845,10.218,9.845,9.925,451231,0
2000-11-07,9.863,9.888,9.515,9.888,288645,0
2000-11-08,9.888,9.888,9.728,9.811,236550,0
2000-11-09,9.764,9.942,9.728,9.792,340731,0
2000-11-10,9.711,9.711,9.4721,9.569,350880,0
2000-11-13,9.515,9.764,9.4369,9.597,384481,0
2000-11-14,9.845,9.968,9.711,9.968,500840,0
2000-11-15,10.315,10.394,10.218,10.377,893665,0
2000-11-16,10.261,10.315,10.103,10.139,515724,0
2000-11-17,10.085,10.315,10.057,10.261,729726,0
2000-11-20,10.218,10.261,9.863,9.925,712140,0
2000-11-21,10.023,10.023,9.811,9.845,329006,0
2000-11-22,9.728,9.792,9.569,9.711,374783,0
2000-11-24,9.792,10.085,9.792,9.968,67202,0
2000-11-27,10.023,10.057,9.863,10.023,318408,0
2000-11-28,10.004,10.218,10.004,10.164,520910,0
2000-11-29,10.164,10.633,10.164,10.633,313221,0
2000-11-30,10.537,10.688,10.315,10.669,1442992,0
2000-12-01,10.607,10.75,10.43,10.554,448524,0
2000-12-04,10.455,10.75,10.342,10.75,365541,0
2000-12-05,10.688,10.902,10.633,10.75,837518,0
2000-12-06,10.688,10.902,10.633,10.767,278494,0
2000-12-07,10.75,10.883,10.537,10.607,307359,0
2000-12-08,10.723,10.75,10.103,10.591,314126,0
2000-12-11,10.591,10.928,10.591,10.928,209492,0
2000-12-12,10.883,10.883,10.607,10.688,170253,0
2000-12-13,10.688,10.883,10.669,10.75,251436,0
2000-12-14,10.75,10.802,10.723,10.802,181979,0
2000-12-15,10.75,10.827,10.688,10.802,160784,0
2000-12-18,10.802,10.902,10.723,10.902,159655,0
2000-12-19,10.846,10.928,10.75,10.802,85465,0
2000-12-20,10.688,10.723,10.554,10.669,145224,0
2000-12-21,10.607,10.607,10.182,10.182,144097,0
2000-12-22,10.085,10.315,10.004,10.085,379069,0
2000-12-26,10.164,10.297,10.103,10.236,191676,0
2000-12-27,10.236,10.767,10.236,10.723,262484,0
2000-12-28,10.723,11.22,10.633,11.141,335545,0
2000-12-29,11.176,11.645,11.121,11.51,316830,0
2001-01-02,11.51,12.389,11.432,12.018,245347,0
2001-01-03,12.827,13.882,12.337,13.348,2156255,0
2001-01-04,13.34,13.552,13.02,13.02,1160663,0
2001-01-05,12.905,12.905,12.38,12.677,404324,0
2001-01-08,12.677,12.724,12.515,12.677,74416,0
2001-01-09,12.677,12.677,12.515,12.53,54570,0
2001-01-10,12.648,12.852,12.557,12.648,87947,0
2001-01-11,12.436,12.479,12.105,12.479,850595,0
2001-01-12,12.38,12.808,12.38,12.808,275790,0
2001-01-16,13.117,13.632,12.852,12.888,382675,0
2001-01-17,13.02,13.197,12.852,13.02,244895,0
2001-01-18,13.117,13.224,12.938,13.142,222796,0
2001-01-19,13.142,13.142,12.319,12.436,202050,0
2001-01-22,12.436,12.479,12.159,12.302,333517,0
2001-01-23,12.276,12.319,12.009,12.159,654411,0
2001-01-24,12.105,12.38,12.105,12.353,124477,0
2001-01-25,12.24,12.515,12.159,12.515,208591,0
2001-01-26,12.515,12.888,12.398,12.888,255946,0
2001-01-29,12.975,13.436,12.888,13.17,449423,0
2001-01-30,13.436,13.613,12.808,13.241,675382,0
2001-01-31,13.135,13.491,13.02,13.445,218061,0
2001-02-01,13.453,13.544,13.224,13.233,132144,0
2001-02-02,13.66,13.66,12.808,12.808,308937,0
2001-02-05,12.817,12.993,12.594,12.808,217608,0
2001-02-06,12.928,13.357,12.922,13.108,920725,0
2001-02-07,13.02,13.427,13.02,13.366,346373,0
2001-02-08,13.552,13.677,13.385,13.66,1068205,0
2001-02-09,14.085,14.404,14.004,14.234,1262364,0
2001-02-12,14.315,14.768,13.967,14.678,1079932,0
2001-02-13,14.901,15.229,14.722,15.149,1405104,0
2001-02-14,15.139,15.219,14.085,14.5,878557,0
2001-02-15,14.5,14.508,14.269,14.395,451681,0
2001-02-16,14.341,14.341,13.357,13.561,619681,0
2001-02-20,13.561,13.57,12.159,12.276,971016,0
2001-02-21,12.594,12.928,12.594,12.762,1759601,0
2001-02-22,12.808,12.975,12.78,12.798,1250637,0
2001-02-23,12.808,12.808,12.036,12.036,810006,0
2001-02-26,12.328,12.888,12.328,12.827,509862,0
2001-02-27,12.808,12.843,12.677,12.762,111172,0
2001-02-28,13.436,13.764,12.843,13.66,1252892,0
2001-03-01,13.552,13.873,13.535,13.798,349532,0
2001-03-02,13.702,14.129,13.702,13.934,235878,0
2001-03-05,13.976,14.465,13.976,14.35,206559,0
2001-03-06,15.149,15.149,14.554,14.731,638624,0
2001-03-07,14.731,14.731,14.431,14.465,591946,0
2001-03-08,14.563,14.712,14.554,14.554,425749,0
2001-03-09,14.457,14.465,13.89,14.288,843831,0
2001-03-12,14.288,14.288,13.677,14.085,403874,0
2001-03-13,14.085,14.138,13.764,14.067,437700,0
2001-03-14,13.764,14.085,13.677,13.917,562628,0
2001-03-15,13.95,14.404,13.917,14.404,347950,0
2001-03-16,14.404,14.936,14.359,14.368,396207,0
2001-03-19,14.378,14.59,14.101,14.101,144773,0
2001-03-20,14.129,14.298,13.95,14.101,502193,0
2001-03-21,14.101,14.234,14.085,14.164,185816,0
2001-03-22,14.129,14.315,13.782,14.085,887578,0
2001-03-23,14.067,14.111,13.95,14.094,96965,0
2001-03-26,14.341,14.508,13.934,14.508,609756,0
2001-03-27,14.508,14.508,14.085,14.19,784750,0
2001-03-28,14.19,14.252,14.101,14.129,380873,0
2001-03-29,14.209,14.811,14.19,14.448,584953,0
2001-03-30,14.722,15.166,14.722,15.139,784976,0
2001-04-02,15.149,15.661,15.149,15.219,555864,0
2001-04-03,15.175,15.317,14.792,14.945,728825,0
2001-04-04,15.254,15.254,15.024,15.139,310741,0
2001-04-05,15.13,15.708,15.13,15.708,348176,0
2001-04-06,15.708,15.735,15.202,15.412,2041025,0
2001-04-09,15.412,15.584,15.283,15.412,1021753,0
2001-04-10,15.412,15.42,15.202,15.202,451459,0
2001-04-11,15.202,15.202,14.856,14.917,790839,0
2001-04-12,14.917,14.917,14.768,14.856,717099,0
2001-04-16,14.856,14.98,14.75,14.792,317282,0
2001-04-17,14.98,15.4,14.98,15.334,494527,0
2001-04-18,15.412,15.412,14.085,14.776,1102485,0
2001-04-19,14.776,14.945,14.687,14.901,457769,0
2001-04-20,14.972,15.708,14.945,15.033,984091,0
2001-04-23,15.033,15.033,14.839,14.953,162134,0
2001-04-24,14.953,14.972,14.085,14.378,321343,0
2001-04-25,14.492,14.687,14.234,14.643,307132,0
2001-04-26,14.643,14.643,13.17,13.669,1737499,0
2001-04-27,13.669,13.702,12.798,12.975,1181857,0
2001-04-30,12.975,13.25,12.328,13.25,2064023,0
2001-05-01,13.269,13.764,13.188,13.702,593071,0
2001-05-02,13.702,14.085,13.535,13.934,163491,0
2001-05-03,13.95,14.02,13.702,13.967,632533,0
2001-05-04,14.059,14.085,13.613,13.836,680116,0
2001-05-07,13.836,13.925,13.491,13.782,227981,0
2001-05-08,13.873,13.89,13.613,13.702,221672,0
2001-05-09,13.738,13.917,13.66,13.782,726118,0
2001-05-10,13.89,14.101,13.89,13.917,595328,0
2001-05-11,13.959,14.341,13.934,14.243,425296,0
2001-05-14,14.554,14.554,14.19,14.298,298565,0
2001-05-15,14.298,14.856,14.298,14.811,199119,0
2001-05-16,14.792,15.412,14.517,15.412,509410,0
2001-05-17,15.371,15.839,15.343,15.584,1268676,0
2001-05-18,15.584,15.762,15.371,15.627,1571751,0
2001-05-21,15.627,15.627,15.439,15.539,219865,0
2001-05-22,15.549,15.627,14.98,15.166,2185793,0
2001-05-23,15.113,15.219,15.05,15.096,655535,0
2001-05-24,15.042,15.202,14.972,15.185,112524,0
2001-05-25,15.202,15.283,15.113,15.236,659595,0
2001-05-29,15.264,15.264,14.98,14.98,445818,0
2001-05-30,14.98,14.98,14.643,14.917,624643,0
2001-05-31,14.926,15.307,14.856,15.202,903140,0
2001-06-01,15.202,15.439,15.139,15.343,345921,0
2001-06-04,15.343,16.185,15.264,15.973,470397,0
2001-06-05,16.008,16.16,15.412,15.584,608631,0
2001-06-06,15.584,15.618,15.283,15.283,484831,0
2001-06-07,15.236,15.476,15.185,15.4,180176,0
2001-06-08,15.458,15.839,15.458,15.661,335321,0
2001-06-11,15.661,15.839,15.307,15.539,431614,0
2001-06-12,15.539,16.062,15.539,15.99,929750,0
2001-06-13,16.125,16.47,16.062,16.329,324496,0
2001-06-14,16.329,16.329,15.884,15.93,450333,0
2001-06-15,15.93,16.098,15.911,16.062,314576,0
2001-06-18,16.185,16.23,16.062,16.071,306232,0
2001-06-19,16.062,16.062,15.458,15.627,419208,0
2001-06-20,15.627,15.839,15.566,15.726,240837,0
2001-06-21,15.708,15.708,14.972,15.362,487085,0
2001-06-22,15.343,15.362,15.05,15.113,140939,0
2001-06-25,15.096,15.096,14.98,14.98,321343,0
2001-06-26,14.98,15.158,14.839,14.98,523169,0
2001-06-27,15.202,15.503,15.096,15.412,302170,0
2001-06-28,15.343,15.902,15.343,15.439,402299,0
2001-06-29,15.412,16.062,15.077,15.839,2314561,0
2001-07-02,15.839,16.614,15.175,16.266,1107444,0
2001-07-03,16.488,16.488,16.08,16.23,423947,0
2001-07-05,16.185,16.247,15.93,15.93,368472,0
2001-07-06,15.865,15.865,15.539,15.708,364184,0
2001-07-09,15.67,15.804,15.531,15.661,352684,0
2001-07-10,15.67,15.894,15.67,15.848,128985,0
2001-07-11,15.762,15.894,15.708,15.857,257524,0
2001-07-12,15.786,15.83,14.821,15.158,506703,0
2001-07-13,14.926,14.936,14.173,14.331,1838748,0
2001-07-16,14.252,14.492,14.18,14.331,1146006,0
2001-07-17,14.331,14.712,14.323,14.617,488216,0
2001-07-18,14.563,14.581,14.395,14.431,414249,0
2001-07-19,14.457,14.517,14.44,14.474,560599,0
2001-07-20,14.431,14.517,14.03,14.457,540079,0
2001-07-23,14.457,14.517,14.331,14.431,319311,0
2001-07-24,14.431,14.431,13.491,13.764,955455,0
2001-07-25,13.772,15.033,13.747,14.712,992662,0
2001-07-26,14.67,14.67,14.288,14.554,790160,0
2001-07-27,14.563,14.776,14.517,14.537,240837,0
2001-07-30,14.537,14.653,14.474,14.617,124022,0
2001-07-31,14.626,15.202,14.626,15.122,404550,0
2001-08-01,15.139,15.894,15.13,15.42,816093,0
2001-08-02,15.485,16.062,15.485,15.83,669294,0
2001-08-03,15.83,16.062,15.575,15.894,328106,0
2001-08-06,15.848,15.848,15.575,15.68,377940,0
2001-08-07,15.744,15.786,14.864,15.059,3897363,0
2001-08-08,15.059,15.299,15.059,15.254,431160,0
2001-08-09,15.254,15.273,14.395,14.395,934709,0
2001-08-10,14.431,14.945,14.431,14.864,403647,0
2001-08-13,14.864,15.033,14.792,15.016,831426,0
2001-08-14,15.016,15.033,14.873,15.024,431384,0
2001-08-15,15.024,15.033,14.972,15.033,172284,0
2001-08-16,15.016,15.016,14.67,14.839,281653,0
2001-08-17,14.839,14.926,14.821,14.891,672224,0
2001-08-20,14.821,14.98,14.731,14.945,254592,0
2001-08-21,14.945,15.033,14.776,14.811,177020,0
2001-08-22,14.792,14.821,14.608,14.792,229561,0
2001-08-23,14.758,14.891,14.307,14.864,615171,0
2001-08-24,14.891,15.033,14.864,14.953,420337,0
2001-08-27,14.953,14.972,14.864,14.891,317734,0
2001-08-28,14.883,14.883,14.608,14.731,157627,0
2001-08-29,14.731,14.758,14.517,14.653,406805,0
2001-08-30,14.544,14.608,14.457,14.608,313221,0
2001-08-31,14.653,14.67,14.492,14.653,136201,0
2001-09-04,14.653,14.653,14.138,14.474,490917,0
2001-09-05,14.59,14.608,14.517,14.517,316830,0
2001-09-06,14.563,14.856,14.517,14.712,279849,0
2001-09-07,14.712,14.712,14.315,14.341,145672,0
2001-09-10,14.35,14.35,14.067,14.156,108467,0
2001-09-17,14.156,14.173,13.269,13.427,266544,0
2001-09-18,13.427,13.959,13.401,13.641,172960,0
2001-09-19,13.651,13.873,13.57,13.747,806622,0
2001-09-20,13.959,14.111,13.641,14.111,568492,0
2001-09-21,13.641,14.26,13.491,14.26,900431,0
2001-09-24,14.474,14.474,13.925,13.925,388090,0
2001-09-25,14.03,14.599,14.004,14.544,752047,0
2001-09-26,14.653,14.776,14.35,14.527,528126,0
2001-09-27,14.492,14.517,14.26,14.44,553610,0
2001-09-28,14.457,14.695,14.431,14.492,747995,0
2001-10-01,14.492,14.653,14.413,14.608,592396,0
2001-10-02,14.626,14.695,14.517,14.608,913512,0
2001-10-03,14.608,14.873,14.448,14.792,469270,0
2001-10-04,14.901,14.999,14.821,14.926,516176,0
2001-10-05,14.926,14.926,14.474,14.59,211299,0
2001-10-08,14.59,14.712,14.431,14.457,71032,0
2001-10-09,14.448,14.572,14.094,14.315,518657,0
2001-10-10,14.378,15.087,14.378,15.068,421917,0
2001-10-11,15.096,15.823,15.096,15.78,416729,0
2001-10-12,15.744,15.902,15.643,15.839,470397,0
2001-10-15,15.735,15.999,15.726,15.804,645389,0
2001-10-16,15.823,16.08,15.804,15.948,277145,0
2001-10-17,15.865,16.345,15.865,15.948,281201,0
2001-10-18,16.017,16.017,15.601,15.661,334422,0
2001-10-19,15.566,15.592,15.219,15.412,273082,0
2001-10-22,15.412,15.948,15.412,15.865,318634,0
2001-10-23,15.78,15.839,12.852,14.03,6776128,0
2001-10-24,14.03,14.572,13.669,14.03,845182,0
2001-10-25,13.882,13.942,13.772,13.827,201148,0
2001-10-26,13.79,14.164,13.772,14.085,264742,0
2001-10-29,14.129,14.129,13.79,13.959,190999,0
2001-10-30,13.882,13.942,13.472,13.507,334644,0
2001-10-31,13.507,13.578,13.366,13.491,236550,0
2001-11-01,13.491,13.491,13.142,13.303,456642,0
2001-11-02,13.409,13.445,13.16,13.401,609309,0
2001-11-05,13.694,13.772,13.427,13.544,410867,0
2001-11-06,13.142,13.357,12.808,13.135,915091,0
2001-11-07,13.135,13.135,12.888,13.108,823085,0
2001-11-08,13.142,13.241,13.011,13.142,339379,0
2001-11-09,13.142,13.142,12.677,12.914,484152,0
2001-11-12,12.87,12.87,12.328,12.677,668842,0
2001-11-13,12.743,13.445,12.694,13.311,493172,0
2001-11-14,13.296,13.311,13.197,13.241,614495,0
2001-11-15,13.259,13.278,13.197,13.206,287516,0
2001-11-16,13.321,13.472,13.142,13.392,560374,0
2001-11-19,13.57,13.772,13.427,13.685,722283,0
2001-11-20,13.669,14.395,13.578,14.227,1030774,0
2001-11-21,14.12,14.129,13.578,13.721,579316,0
2001-11-23,13.729,13.817,13.694,13.712,138908,0
2001-11-26,13.817,13.846,13.712,13.712,1226962,0
2001-11-27,13.817,13.854,13.79,13.798,254592,0
2001-11-28,13.817,13.925,13.578,13.755,831654,0
2001-11-29,13.772,14.269,13.772,14.12,1269352,0
2001-11-30,14.094,14.821,13.925,14.527,3235286,0
2001-12-03,14.474,14.792,13.925,14.67,941925,0
2001-12-04,14.678,14.936,14.653,14.873,624418,0
2001-12-05,14.901,15.521,14.901,15.273,475360,0
2001-12-06,15.254,15.643,14.999,15.096,365541,0
2001-12-07,15.096,15.175,14.917,14.936,726795,0
2001-12-10,14.917,15.229,14.83,15.068,1183888,0
2001-12-11,15.068,15.283,14.999,15.096,776406,0
2001-12-12,15.042,15.113,14.917,14.98,865930,0
2001-12-13,14.936,15.283,14.917,15.007,680567,0
2001-12-14,15.068,15.13,14.901,14.999,700410,0
2001-12-17,14.999,15.618,14.999,15.096,296988,0
2001-12-18,14.653,15.67,14.653,15.42,625992,0
2001-12-19,15.43,15.43,15.096,15.096,768965,0
