Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.334,13.556,13.29,13.423,7059014,0
1995-01-04,13.423,13.469,13.29,13.384,5342141,0
1995-01-05,13.334,13.384,13.25,13.25,3476727,0
1995-01-06,13.25,13.29,13.116,13.165,4147458,0
1995-01-09,13.074,13.165,12.896,12.896,6949897,0
1995-01-10,12.941,12.982,12.763,12.808,7745000,0
1995-01-11,12.856,13.165,12.763,13.165,6537339,0
1995-01-12,13.074,13.165,12.941,12.941,4563317,0
1995-01-13,12.982,13.334,12.941,13.29,6080017,0
1995-01-16,13.25,13.509,13.25,13.423,6492319,0
1995-01-17,13.384,13.509,13.334,13.509,4873882,0
1995-01-18,13.384,13.594,13.384,13.509,6156066,0
1995-01-19,13.423,13.509,13.334,13.384,3589154,0
1995-01-20,13.334,13.423,13.2,13.25,8420047,0
1995-01-23,13.116,13.384,13.116,13.29,5008688,0
1995-01-24,13.165,13.423,13.116,13.25,5580468,0
1995-01-25,13.165,13.469,13.165,13.384,5023949,0
1995-01-26,13.334,13.594,13.334,13.556,5560118,0
1995-01-27,13.594,13.643,13.423,13.594,5879080,0
1995-01-30,13.556,13.816,13.509,13.728,6569133,0
1995-01-31,13.775,14.168,13.728,14.122,14118278,0
1995-02-01,14.122,14.122,13.862,13.95,8566810,0
1995-02-02,13.909,13.95,13.862,13.95,4976893,0
1995-02-03,13.95,14.122,13.95,13.95,7565175,0
1995-02-06,14.034,14.218,13.95,14.218,6301298,0
1995-02-07,14.168,14.218,14.034,14.034,5998369,0
1995-02-08,14.034,14.168,13.997,14.085,5473644,0
1995-02-09,14.085,14.168,14.034,14.168,5030817,0
1995-02-10,14.168,14.256,14.085,14.168,4949168,0
1995-02-13,14.085,14.122,14.034,14.085,2731738,0
1995-02-14,14.085,14.122,13.997,14.085,4914831,0
1995-02-15,14.034,14.303,13.909,14.256,8348579,0
1995-02-16,14.218,14.256,14.085,14.218,6576763,0
1995-02-17,14.218,14.609,14.218,14.523,15987765,0
1995-02-21,14.475,14.649,14.475,14.609,6655103,0
1995-02-22,14.564,14.696,14.523,14.649,6112825,0
1995-02-23,14.784,15.003,14.744,14.955,10982892,0
1995-02-24,14.955,15.003,14.829,14.869,5078383,0
1995-02-27,14.784,14.829,14.696,14.744,5956907,0
1995-02-28,14.696,14.869,14.696,14.869,4009597,0
1995-03-01,14.829,14.955,14.784,14.869,6094770,0
1995-03-02,14.829,14.916,14.744,14.829,5102034,0
1995-03-03,14.665,14.798,14.626,14.711,5041498,0
1995-03-06,14.626,15.113,14.539,15.019,7942375,0
1995-03-07,15.019,15.152,14.894,14.931,7298102,0
1995-03-08,14.931,14.98,14.798,14.894,9323251,0
1995-03-09,14.798,14.846,14.76,14.798,4876681,0
1995-03-10,14.798,14.931,14.76,14.798,5963522,0
1995-03-13,14.798,14.894,14.76,14.846,4810038,0
1995-03-14,14.846,15.065,14.846,15.019,6748959,0
1995-03-15,15.019,15.152,14.98,15.152,7109375,0
1995-03-16,15.199,15.418,15.199,15.287,8618696,0
1995-03-17,15.334,15.594,15.287,15.554,13080781,0
1995-03-20,15.554,15.822,15.554,15.773,7446135,0
1995-03-21,15.687,15.861,15.64,15.773,8908911,0
1995-03-22,15.861,15.947,15.554,15.64,8495844,0
1995-03-23,15.554,15.594,15.467,15.554,6135974,0
1995-03-24,15.467,15.822,15.371,15.418,8921121,0
1995-03-27,15.246,15.287,15.113,15.246,8083033,0
1995-03-28,15.152,15.371,15.065,15.371,6257550,0
1995-03-29,15.334,15.506,15.287,15.287,6181757,0
1995-03-30,15.287,15.334,14.798,14.846,7116238,0
1995-03-31,14.626,15.199,14.578,15.065,9160462,0
1995-04-03,15.152,15.418,15.003,15.371,8474732,0
1995-04-04,15.418,15.506,15.246,15.334,5996334,0
1995-04-05,15.334,15.371,15.113,15.246,4605794,0
1995-04-06,15.199,15.246,15.113,15.246,5217509,0
1995-04-07,15.199,15.246,15.019,15.152,4680827,0
1995-04-10,15.113,15.287,15.113,15.152,4846154,0
1995-04-11,15.246,15.287,15.152,15.199,5225396,0
