Date,Open,High,Low,Close,Volume,OpenInt
2000-06-30,12.4,13.247,11.394,12.797,3917659,0
2000-07-03,12.895,12.895,12.033,12.349,867274,0
2000-07-05,12.177,12.349,11.225,11.575,3325221,0
2000-07-06,11.585,11.674,9.4829,10.218,4004520,0
2000-07-07,10.235,10.866,9.653,10.748,2159058,0
2000-07-10,10.668,12.248,10.218,11.198,3145263,0
2000-07-11,11.001,12.122,10.419,10.866,3103395,0
2000-07-13,13.417,14.314,12.14,13.557,6564029,0
2000-07-14,13.577,13.577,12.229,12.4,2010278,0
2000-07-17,12.518,13.603,11.674,13.289,1757269,0
2000-07-18,13.021,14.522,12.626,14.089,2412068,0
2000-07-19,14.197,15.264,13.641,14.843,3417430,0
2000-07-21,15.264,15.587,13.81,13.82,1561272,0
2000-07-24,14.833,14.833,12.349,12.349,3698056,0
2000-07-25,12.678,13.049,11.844,12.706,1768849,0
2000-07-26,12.741,12.741,11.394,11.826,2143020,0
2000-07-27,11.729,11.729,10.435,10.848,2708286,0
2000-07-28,11.09,11.116,10.101,11.116,2020079,0
2000-07-31,11.18,11.251,10.218,10.253,1850812,0
2000-08-01,10.435,10.551,9.653,9.698,996006,0
2000-08-02,9.679,10.435,9.339,10.326,2112287,0
2000-08-03,10.101,12.033,9.948,12.033,1669515,0
2000-08-04,11.771,12.968,11.771,12.968,1642343,0
2000-08-07,13.202,13.247,11.969,12.349,548334,0
2000-08-08,12.4,12.769,12.122,12.122,360360,0
2000-08-09,12.367,12.573,11.674,11.809,411146,0
2000-08-10,11.969,11.969,11.225,11.674,334527,0
2000-08-11,11.674,11.844,11.126,11.646,149222,0
2000-08-14,11.505,11.674,11.116,11.198,660591,0
2000-08-15,11.17,11.539,11.001,11.449,227175,0
2000-08-16,11.495,12.377,11.449,12.321,824956,0
2000-08-17,12.349,12.4,11.505,11.871,640546,0
2000-08-18,11.871,12.122,11.449,11.729,221384,0
2000-08-21,11.729,12.463,11.505,12.349,293102,0
2000-08-22,12.122,12.993,12.122,12.546,422725,0
2000-08-23,12.546,12.59,11.844,12.015,506021,0
2000-08-24,11.962,12.573,11.898,12.377,2142575,0
2000-08-25,12.518,12.841,11.925,12.435,1946581,0
2000-08-30,14.833,16.766,14.815,15.767,1967962,0
2000-08-31,15.74,16.593,15.662,16.021,947454,0
2000-09-01,16.307,16.459,15.74,16.109,520723,0
2000-09-05,15.859,17.457,15.767,16.81,1144785,0
2000-09-06,16.72,19.136,16.72,18.633,2990697,0
2000-09-07,18.678,21.83,18.302,21.444,3070431,0
2000-09-08,22.027,22.718,20.879,21.3,4385820,0
2000-09-11,20.879,21.309,19.388,21.076,3630795,0
2000-09-12,21.076,23.195,20.543,22.179,2456613,0
2000-09-13,22.002,23.573,21.759,22.791,1423633,0
2000-09-14,23.204,24.641,22.109,22.448,2634788,0
2000-09-15,22.791,22.898,21.694,21.794,627181,0
2000-09-18,21.076,22.754,20.103,20.18,1988005,0
2000-09-19,20.103,20.553,18.752,20.258,1818295,0
2000-09-20,20.232,21.776,20.095,20.993,2139012,0
2000-09-21,20.879,21.076,19.457,20.654,669500,0
2000-09-22,19.549,20.43,18.884,20.061,983534,0
2000-09-25,20.572,21.212,18.633,19.431,1237884,0
2000-09-26,18.966,19.307,17.062,18.209,1714504,0
2000-09-27,18.464,18.859,16.612,17.01,803131,0
2000-09-28,16.838,17.986,16.505,17.457,1824976,0
2000-09-29,17.403,17.735,16.81,17.314,1244563,0
2000-10-02,17.314,18.687,17.305,17.789,1087770,0
2000-10-03,18.069,18.605,17.403,17.429,1438329,0
2000-10-04,17.141,17.215,15.939,16.785,1543902,0
2000-10-05,16.972,17.511,16.534,17.062,674845,0
2000-10-06,17.287,17.287,16.361,16.361,608474,0
2000-10-09,16.361,18.104,16.361,17.905,1139442,0
2000-10-10,17.855,18.553,17.761,17.932,1878871,0
2000-10-11,17.457,19.737,17.429,18.633,1632099,0
2000-10-12,19.558,19.558,18.355,18.985,788877,0
2000-10-13,18.966,20.759,18.966,20.374,712708,0
2000-10-16,20.543,20.543,17.753,18.355,601791,0
2000-10-17,14.268,14.268,12.377,12.817,27142993,0
2000-10-18,11.953,12.349,11.001,11.352,6301220,0
2000-10-19,12.114,12.626,11.898,12.418,4458872,0
2000-10-20,12.463,13.946,12.349,13.577,5236166,0
2000-10-23,13.514,13.523,12.59,13.399,1660606,0
2000-10-24,13.316,13.567,13.174,13.247,1088214,0
2000-10-25,12.797,12.797,11.826,12.122,1611162,0
2000-10-26,12.321,12.321,11.333,11.505,2246810,0
2000-10-27,11.702,12.741,11.674,12.15,924289,0
2000-10-30,12.177,12.213,11.566,11.763,1513167,0
2000-10-31,11.907,12.895,11.809,12.518,1433876,0
2000-11-01,12.349,12.377,11.476,11.674,1007145,0
2000-11-02,11.729,12.195,11.729,11.925,2194246,0
2000-11-03,12.122,12.122,11.8,11.898,738097,0
2000-11-06,11.953,12.573,11.898,12.097,445887,0
2000-11-07,11.333,11.333,10.831,10.954,1944354,0
2000-11-08,11.008,11.225,10.866,10.866,719387,0
2000-11-09,10.866,10.902,10.451,10.884,1033871,0
2000-11-10,10.831,10.831,9.6,10.309,2401376,0
2000-11-13,10.272,10.721,9.679,10.451,449452,0
2000-11-14,10.721,11.116,10.551,10.866,390208,0
2000-11-15,11.126,11.449,10.643,11.17,681078,0
2000-11-16,10.893,10.91,9.93,10.13,2556839,0
2000-11-17,10.193,10.354,9.851,10.193,755916,0
2000-11-20,9.985,10.012,9.2037,9.4287,2866418,0
2000-11-21,9.401,9.745,8.8722,9.0336,764377,0
2000-11-22,8.8451,9.0336,7.7405,8.3783,577291,0
2000-11-24,8.3332,8.8542,8.0278,8.8451,159912,0
2000-11-27,8.9981,9.0242,7.0763,7.5611,910037,0
2000-11-28,7.5792,7.5792,6.2319,6.286,1880208,0
2000-11-29,6.3398,6.5103,5.8819,6.16,2662851,0
2000-11-30,5.9446,6.4565,5.6124,6.4294,1574191,0
2000-12-01,6.3936,6.9056,6.3398,6.6091,1499359,0
2000-12-04,6.627,6.627,5.8459,5.9894,1489109,0
2000-12-05,6.0614,6.8428,6.0614,6.8067,1684660,0
2000-12-06,6.8605,7.184,6.277,6.3936,602237,0
2000-12-07,6.4478,6.4478,6.1153,6.2053,1212492,0
2000-12-08,6.5103,7.2379,6.3578,7.1301,975517,0
2000-12-11,7.2017,7.6508,6.8878,7.4262,1559047,0
2000-12-12,7.2468,7.6326,7.2108,7.4084,1934999,0
2000-12-13,7.6148,7.6148,6.7798,6.8338,1844574,0
2000-12-14,6.7977,6.8159,6.2319,6.277,1464612,0
2000-12-15,6.295,6.3398,5.6664,5.8369,684644,0
2000-12-18,6.0614,6.0614,5.5587,5.6124,978636,0
2000-12-19,5.5856,5.8908,5.0646,5.1635,1600026,0
2000-12-20,5.1184,5.3609,4.4093,4.517,2032107,0
2000-12-21,4.517,4.885,4.1938,4.2653,1452141,0
2000-12-22,4.3822,4.499,4.1486,4.4361,964383,0
2000-12-26,4.2384,4.2924,3.4574,3.8166,4042385,0
2000-12-27,3.8435,4.4181,3.673,4.2924,6022819,0
2000-12-28,4.1396,5.0917,4.1218,4.9838,3629905,0
2000-12-29,5.0827,5.0827,4.8312,4.9298,2683343,0
2001-01-02,4.7234,4.939,4.7234,4.7952,2473983,0
2001-01-03,4.8583,5.0466,4.49,4.867,3634805,0
2001-01-04,4.9118,5.5587,4.885,5.4418,5176033,0
2001-01-05,5.469,5.4867,4.9749,5.0466,1685996,0
2001-01-08,5.0827,5.1635,4.9478,5.1184,2170193,0
2001-01-09,5.0379,5.2174,5.0379,5.1095,2364404,0
