Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.6226,2.6226,2.6226,2.6226,29514,0
1995-01-04,2.6773,2.7077,2.6548,2.6773,1272003,0
1995-01-05,2.6608,2.7139,2.6608,2.7139,486992,0
1995-01-06,2.6529,2.7139,2.6529,2.7139,88542,0
1995-01-09,2.6464,2.6768,2.6464,2.65,665744,0
1995-01-10,2.6773,2.6773,2.6773,2.6773,502882,0
1995-01-11,2.7231,2.7231,2.7231,2.7231,369763,0
1995-01-12,2.6829,2.6865,2.6829,2.6865,398533,0
1995-01-13,2.6774,2.7686,2.6774,2.7686,236642,0
1995-01-16,2.6791,2.6791,2.6773,2.6773,295816,0
1995-01-17,2.6809,2.6809,2.6316,2.6316,1730548,0
1995-01-18,2.7749,2.7749,2.6378,2.7139,693595,0
1995-01-20,2.6316,2.6316,2.6316,2.6316,29581,0
1995-01-23,2.6512,2.7047,2.6358,2.7047,1402889,0
1995-01-24,2.6372,2.7058,2.6372,2.6408,1608871,0
1995-01-25,2.6956,2.6956,2.6956,2.6956,132965,0
1995-02-01,2.7686,2.7686,2.7686,2.7686,73951,0
1995-02-02,2.65,2.65,2.65,2.65,88643,0
1995-02-03,2.65,2.65,2.65,2.65,29546,0
1995-02-06,2.65,2.65,2.65,2.65,118190,0
1995-02-07,2.65,2.65,2.65,2.65,29546,0
1995-02-09,2.7675,2.7675,2.7139,2.7139,767379,0
1995-02-10,2.6378,2.7139,2.6378,2.7139,826412,0
1995-02-13,2.7231,2.7231,2.7231,2.7231,44004,0
1995-02-14,2.6008,2.6773,2.6008,2.6773,279427,0
1995-02-15,2.6467,2.7231,2.6467,2.7231,235325,0
1995-02-16,2.7189,2.7189,2.6803,2.6956,1718784,0
1995-02-17,2.6681,2.6681,2.6681,2.6681,44020,0
1995-02-21,2.7231,2.7231,2.7231,2.7231,1132501,0
1995-02-22,2.6681,2.6681,2.6681,2.6681,44020,0
1995-02-23,2.6649,2.6956,2.6649,2.6956,132214,0
1995-02-24,2.6649,2.6956,2.6649,2.6956,411331,0
1995-02-28,2.7842,2.7842,2.7231,2.7231,455942,0
1995-03-02,2.6956,2.6956,2.6956,2.6956,44090,0
1995-03-06,2.6773,2.6773,2.6773,2.6773,250015,0
1995-03-09,2.6773,2.6773,2.6773,2.6773,29414,0
1995-03-13,2.683,2.7598,2.683,2.7598,616395,0
1995-03-15,2.7323,2.7323,2.7323,2.7323,161715,0
1995-03-16,2.7868,2.7868,2.7868,2.7868,29386,0
1995-03-17,2.7868,2.7868,2.6798,2.7868,1498705,0
1995-03-20,2.7323,2.7323,2.7323,2.7323,29403,0
1995-03-21,2.6956,2.6956,2.6956,2.6956,807975,0
1995-03-22,2.6919,2.6956,2.6919,2.6956,941471,0
1995-03-23,2.6781,2.7779,2.6781,2.7779,73513,0
1995-03-24,2.6773,2.6853,2.6773,2.6773,897107,0
1995-03-27,2.7854,2.7854,2.6782,2.7323,735072,0
1995-03-28,2.6956,2.7569,2.6956,2.6956,161596,0
1995-03-29,2.6988,2.7292,2.6988,2.7139,249466,0
1995-03-31,2.7285,2.8052,2.7134,2.8052,484363,0
1995-04-05,2.6829,2.6865,2.6829,2.6865,322888,0
1995-04-07,2.6773,2.681,2.6773,2.6773,1132415,0
1995-04-10,2.7386,2.7386,2.6773,2.6773,294132,0
1995-04-12,2.6829,2.6865,2.6829,2.6865,161446,0
1995-04-13,2.6773,2.6773,2.6773,2.6773,44121,0
1995-04-17,2.6803,2.8029,2.6649,2.6956,293809,0
1995-04-18,2.6681,2.6719,2.6681,2.6681,234765,0
1995-04-19,2.6681,2.6681,2.6681,2.6681,73366,0
1995-04-21,2.6681,2.6681,2.6681,2.6681,29345,0
1995-04-25,2.6681,2.6681,2.6681,2.6681,44020,0
1995-04-26,2.6646,2.7412,2.6646,2.6681,1704383,0
1995-04-27,2.799,2.8144,2.692,2.8144,867888,0
1995-04-28,2.8146,2.8146,2.7229,2.7686,1073749,0
1995-05-01,2.6956,2.6956,2.6956,2.6956,29381,0
1995-05-02,2.7139,2.7139,2.7139,2.7139,44025,0
1995-05-03,2.821,2.821,2.7598,2.7598,1761131,0
1995-05-04,2.8144,2.8144,2.7072,2.8144,706080,0
1995-05-05,2.8484,2.8484,2.7414,2.7414,161612,0
1995-05-09,2.7779,2.8088,2.7779,2.7779,699818,0
1995-05-12,2.7868,2.7868,2.7868,2.7868,87676,0
1995-05-15,2.791,2.9607,2.791,2.9607,175098,0
1995-05-16,2.7899,2.9595,2.7899,2.8052,437924,0
1995-05-22,2.9441,2.9441,2.8052,2.8052,87585,0
1995-05-23,2.8327,2.8327,2.8327,2.8327,43846,0
1995-05-24,2.8174,2.8327,2.8174,2.8327,453066,0
1995-05-25,2.8169,2.8783,2.8169,2.8783,87705,0
