Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.8929,2.8929,2.8259,2.8345,52559291,0
1995-01-04,2.8345,2.8596,2.8009,2.8512,68595444,0
1995-01-05,2.8596,2.8678,2.7926,2.8009,52929308,0
1995-01-06,2.8176,2.8762,2.8094,2.8512,62043607,0
1995-01-09,2.8596,2.8678,2.8094,2.8345,61137703,0
1995-01-10,2.8512,2.8929,2.843,2.8678,56065933,0
1995-01-11,2.8762,2.9015,2.8596,2.8849,41881989,0
1995-01-12,2.8762,2.9184,2.8678,2.8762,35880921,0
1995-01-13,2.9184,2.9603,2.9099,2.9519,54900596,0
1995-01-16,2.9767,3.0355,2.9603,3.0188,99213212,0
1995-01-17,3.0443,3.0608,3.0274,3.0355,98262652,0
1995-01-18,3.0522,3.0692,3.0188,3.0608,67123884,0
1995-01-19,3.0355,3.0608,2.9854,2.9854,89192999,0
1995-01-20,2.9603,2.9854,2.8762,2.9015,109501353,0
1995-01-23,2.8678,2.9603,2.843,2.9519,71561950,0
1995-01-24,2.9603,2.9687,2.9184,2.9184,48829358,0
1995-01-25,2.9015,2.9269,2.8678,2.9015,69722506,0
1995-01-26,2.8596,2.8678,2.8094,2.8176,107438617,0
1995-01-27,2.8259,2.8345,2.8094,2.8176,77586406,0
1995-01-30,2.8259,2.8259,2.7677,2.7756,73318466,0
1995-01-31,2.7841,2.8094,2.7422,2.7926,79672535,0
1995-02-01,2.7926,2.8596,2.7756,2.7841,88657122,0
1995-02-02,2.7589,2.7926,2.7422,2.7756,61552376,0
1995-02-03,2.8009,2.843,2.7841,2.8259,80187146,0
1995-02-06,2.8259,2.8762,2.8259,2.8596,64255198,0
1995-02-07,2.8596,2.8762,2.8512,2.8678,44061682,0
1995-02-08,2.8762,2.9184,2.8678,2.9099,65324840,0
1995-02-09,2.9184,2.935,2.9015,2.9099,56350890,0
1995-02-10,2.9184,2.9434,2.8929,2.9184,66271149,0
1995-02-13,2.9184,2.9519,2.9015,2.9184,50717710,0
1995-02-14,2.9184,2.9269,2.8929,2.9099,41363113,0
1995-02-15,2.8259,2.8849,2.8009,2.8596,195376963,0
1995-02-16,2.8596,2.8762,2.8345,2.8596,75417349,0
1995-02-17,2.8596,2.8596,2.8345,2.843,50271143,0
1995-02-21,2.843,2.8596,2.8009,2.8094,73620431,0
