Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,11.437,11.523,11.395,11.523,125311,0
1995-01-04,11.48,11.497,11.437,11.497,22678,0
1995-01-05,11.48,11.523,11.48,11.515,32223,0
1995-01-06,11.515,11.515,11.48,11.48,19095,0
1995-01-09,11.48,11.515,11.462,11.462,62060,0
1995-01-10,11.462,11.857,11.462,11.857,70415,0
1995-01-11,11.789,11.832,11.789,11.815,26258,0
1995-01-12,11.754,11.754,11.706,11.706,22678,0
1995-01-13,11.649,11.649,11.53,11.578,39383,0
1995-01-16,11.562,11.754,11.562,11.754,87123,0
1995-01-17,11.815,11.815,11.731,11.731,22678,0
1995-01-18,11.772,12.05,11.772,12.05,85927,0
1995-01-19,11.999,12.107,11.999,12.065,109800,0
1995-01-20,12.065,12.065,12.065,12.065,116958,0
1995-01-23,12.107,12.274,12.107,12.274,163501,0
1995-01-24,12.234,12.234,12.191,12.234,23869,0
1995-01-25,12.191,12.4,12.191,12.4,40579,0
1995-01-26,12.4,12.4,12.359,12.359,48930,0
1995-01-27,12.359,12.417,12.359,12.359,163501,0
1995-01-30,12.4,12.4,12.359,12.359,14321,0
1995-01-31,12.359,12.417,12.335,12.335,40579,0
1995-02-01,12.335,12.568,12.335,12.568,182596,0
1995-02-02,12.568,12.568,12.485,12.485,63255,0
1995-02-03,12.568,12.592,12.511,12.528,121730,0
1995-02-06,12.485,12.485,12.485,12.485,20290,0
1995-02-07,12.545,12.627,12.545,12.568,138443,0
1995-02-08,12.568,12.568,12.568,12.568,0,0
1995-02-09,12.485,12.627,12.485,12.627,65639,0
1995-02-10,12.627,12.653,12.485,12.485,112183,0
1995-02-13,12.545,12.72,12.545,12.653,138443,0
1995-02-14,12.653,12.669,12.592,12.669,62060,0
1995-02-15,12.653,12.736,12.653,12.72,66832,0
1995-02-16,12.669,12.669,12.669,12.669,2386,0
1995-02-17,12.653,12.82,12.653,12.72,42962,0
1995-02-21,12.72,12.72,12.653,12.653,44162,0
1995-02-22,12.653,12.736,12.653,12.736,40579,0
1995-02-23,12.778,13.199,12.778,13.156,73994,0
1995-02-24,13.199,13.466,13.199,13.466,184984,0
1995-02-27,13.489,13.574,13.382,13.574,52509,0
1995-02-28,13.574,13.867,13.574,13.867,126504,0
1995-03-01,13.826,13.826,13.617,13.741,155150,0
1995-03-02,13.7,13.7,13.574,13.617,10743,0
1995-03-03,13.533,13.533,13.366,13.366,32223,0
1995-03-06,13.366,13.366,13.28,13.28,63255,0
1995-03-07,13.28,13.289,13.156,13.156,69218,0
1995-03-08,13.112,13.156,13.071,13.156,52509,0
