Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,16.22,16.22,16.09,16.22,89200,0
1995-01-04,16.22,16.71,16.22,16.71,497000,0
1995-01-05,16.59,17.08,16.52,17.08,808600,0
1995-01-06,16.95,17.02,16.83,16.95,565400,0
1995-01-09,17.08,17.38,17.08,17.38,468400,0
1995-01-10,17.38,17.75,17.38,17.38,288600,0
1995-01-11,17.51,17.51,16.95,17.08,534000,0
1995-01-12,17.26,17.57,17.26,17.38,454000,0
1995-01-13,17.38,17.57,17.32,17.57,1227800,0
1995-01-16,17.57,18,17.57,17.88,1479200,0
1995-01-17,17.88,17.94,17.75,17.94,559200,0
1995-01-18,17.94,18.06,17.94,17.94,175800,0
1995-01-19,17.94,18.18,17.94,18,260000,0
1995-01-20,17.88,17.88,17.32,17.32,610200,0
1995-01-23,17.38,17.38,16.95,16.95,297800,0
1995-01-24,16.95,17.08,16.77,16.89,516600,0
1995-01-25,16.83,17.2,16.83,17.08,179800,0
1995-01-26,17.08,17.32,17.08,17.26,261200,0
1995-01-27,17.38,17.51,17.38,17.51,191200,0
1995-01-30,17.51,17.81,17.51,17.81,253800,0
1995-01-31,17.88,17.88,17.75,17.81,347600,0
1995-02-01,17.81,17.94,17.81,17.88,402200,0
1995-02-02,17.94,18.24,17.69,17.69,486200,0
1995-02-03,17.81,17.94,17.81,17.88,878600,0
1995-02-06,17.9,18.33,17.77,18.2,516000,0
1995-02-07,18.14,19,18.14,18.57,1110200,0
1995-02-08,18.45,18.51,18.2,18.33,374000,0
1995-02-09,18.33,18.51,18.2,18.45,620600,0
1995-02-10,18.33,18.45,18.14,18.2,246600,0
1995-02-13,18.08,18.14,17.96,18.08,120000,0
1995-02-14,18.02,18.33,18.02,18.33,426200,0
1995-02-15,18.33,18.51,18.26,18.45,190000,0
1995-02-16,18.45,18.45,18.14,18.14,158400,0
1995-02-17,18.14,18.45,18.08,18.26,131200,0
1995-02-21,18.26,18.45,18.26,18.45,94200,0
1995-02-22,18.63,19.19,18.63,19.19,1526200,0
1995-02-23,19.19,19.68,19.19,19.37,731200,0
1995-02-24,19.43,19.43,19.06,19.06,533600,0
1995-02-27,18.88,18.94,18.63,18.63,627600,0
1995-02-28,18.63,18.76,18.63,18.76,412400,0
1995-03-01,18.82,18.82,18.63,18.69,221600,0
1995-03-02,18.69,18.69,18.51,18.57,458200,0
1995-03-03,18.57,18.63,18.51,18.57,301600,0
1995-03-06,18.57,18.57,18.51,18.51,232400,0
1995-03-07,18.57,18.57,18.45,18.51,375800,0
1995-03-08,18.51,18.51,18.33,18.39,316200,0
1995-03-09,18.45,18.69,18.26,18.69,217800,0
1995-03-10,18.82,19.31,18.69,19.31,363200,0
1995-03-13,19.31,19.68,19.31,19.68,126400,0
1995-03-14,19.68,19.92,19.49,19.49,305000,0
1995-03-15,19.56,19.56,18.82,18.82,490800,0
1995-03-16,18.88,19.19,18.82,19.13,369200,0
1995-03-17,19.19,19.31,19,19.06,482400,0
1995-03-20,19.13,19.37,19,19.13,335200,0
1995-03-21,19.06,19.31,19,19,284000,0
1995-03-22,19.13,19.25,19,19.06,475200,0
1995-03-23,19.13,19.19,19.06,19.06,132400,0
1995-03-24,19.06,19.8,19.06,19.74,293400,0
1995-03-27,19.68,19.86,19.68,19.86,234000,0
1995-03-28,19.74,20.29,19.74,20.29,153800,0
1995-03-29,20.29,20.66,19.92,20.17,309600,0
1995-03-30,20.17,20.85,20.17,20.6,358800,0
1995-03-31,20.17,20.23,19.99,20.05,303800,0
1995-04-03,20.11,20.11,19.86,20.11,321600,0
1995-04-04,20.17,20.36,20.05,20.36,153200,0
1995-04-05,20.36,20.85,20.29,20.66,571000,0
1995-04-06,20.66,20.66,20.05,20.17,100400,0
1995-04-07,20.05,20.11,19.86,19.92,333400,0
1995-04-10,19.92,19.99,19.92,19.99,246600,0
1995-04-11,20.05,20.42,20.05,20.36,341000,0
1995-04-12,20.29,20.66,20.29,20.66,1146400,0
1995-04-13,20.85,22.02,20.85,21.89,1245400,0
1995-04-17,21.95,22.26,21.71,21.77,752800,0
1995-04-18,21.52,21.65,21.28,21.65,708400,0
1995-04-19,21.59,21.71,21.28,21.28,256400,0
1995-04-20,21.28,21.65,21.03,21.4,255600,0
1995-04-21,21.46,21.46,20.91,21.09,255400,0
1995-04-24,21.03,21.03,20.29,20.54,432000,0
1995-04-25,20.66,20.91,20.6,20.79,274000,0
1995-04-26,20.85,20.91,20.29,20.42,681000,0
1995-04-27,20.29,20.6,20.17,20.6,261200,0
1995-04-28,20.54,20.85,20.29,20.79,212000,0
1995-05-01,20.85,20.91,20.6,20.85,282800,0
1995-05-02,20.79,21.03,20.6,20.79,155800,0
1995-05-03,20.91,20.91,20.54,20.54,187800,0
1995-05-04,20.54,20.66,20.48,20.54,557800,0
1995-05-05,20.72,20.85,20.6,20.66,511600,0
1995-05-08,20.66,21.83,20.6,21.65,2143600,0
1995-05-09,21.89,22.69,21.89,22.51,972200,0
1995-05-10,22.38,22.57,22.2,22.38,393400,0
1995-05-11,22.38,22.82,22.38,22.82,260600,0
1995-05-12,22.65,22.83,22.65,22.83,232800,0
1995-05-15,22.77,23.02,22.59,22.59,94600,0
1995-05-16,22.71,22.77,22.4,22.65,266200,0
1995-05-17,22.53,22.53,22.28,22.4,288000,0
1995-05-18,22.4,22.4,22.22,22.22,117000,0
1995-05-19,22.16,22.16,22.03,22.16,1755000,0
1995-05-22,22.1,22.16,22.03,22.03,207600,0
1995-05-23,22.03,22.4,22.03,22.4,634200,0
1995-05-24,22.47,22.9,22.28,22.65,609400,0
1995-05-25,22.59,22.77,22.59,22.71,165600,0
1995-05-26,22.71,22.77,22.65,22.77,123200,0
1995-05-30,22.83,22.83,22.59,22.65,323600,0
1995-05-31,22.65,23.14,22.59,23.14,440400,0
1995-06-01,22.9,23.51,22.9,23.45,380200,0
1995-06-02,23.33,25.73,23.27,24.5,1168000,0
1995-06-05,24.74,24.8,24.25,24.43,1194200,0
1995-06-06,24.5,24.74,24.37,24.56,414000,0
1995-06-07,24.56,24.56,24.19,24.31,107200,0
1995-06-08,24.25,24.25,23.39,23.7,676000,0
1995-06-09,23.76,23.76,23.02,23.02,845600,0
1995-06-12,23.2,23.27,23.14,23.14,600800,0
1995-06-13,23.2,23.33,23.2,23.27,368200,0
1995-06-14,23.27,23.33,23.08,23.27,645800,0
1995-06-15,23.33,23.51,23.27,23.39,539200,0
1995-06-16,23.33,23.39,23.02,23.14,212200,0
1995-06-19,23.39,23.45,23.08,23.45,325000,0
1995-06-20,23.45,23.63,23.39,23.63,206800,0
1995-06-21,23.63,23.94,23.14,23.14,297400,0
1995-06-22,23.14,23.45,23.14,23.39,788400,0
1995-06-23,23.2,23.57,22.96,23.39,377600,0
1995-06-26,23.14,23.14,22.9,23.02,137600,0
1995-06-27,23.02,23.45,23.02,23.14,1274200,0
1995-06-28,23.39,23.39,23.2,23.27,571400,0
1995-06-29,23.33,23.45,23.2,23.27,348200,0
1995-06-30,23.33,23.33,23.08,23.08,223800,0
1995-07-03,22.96,23.02,22.77,22.96,461200,0
1995-07-05,22.71,23.39,22.71,23.33,1315000,0
1995-07-06,23.33,23.82,23.33,23.57,2903200,0
1995-07-07,23.7,24.62,23.7,24.5,3524200,0
1995-07-10,24.56,24.74,24.31,24.5,1635600,0
1995-07-11,24.56,24.62,23.88,24.19,604000,0
1995-07-12,24.25,24.62,24,24.13,658800,0
1995-07-13,24.37,25.11,24.37,24.93,1434200,0
1995-07-14,24.99,25.05,24.5,24.5,251200,0
1995-07-17,24.62,24.8,24.43,24.8,209600,0
1995-07-18,24.74,24.8,24.31,24.43,163400,0
1995-07-19,24.43,24.43,23.76,24.13,504600,0
1995-07-20,23.88,24.07,23.63,23.63,602600,0
1995-07-21,23.7,23.7,23.63,23.7,911200,0
1995-07-24,23.7,23.88,23.63,23.88,483000,0
1995-07-25,23.82,24.74,23.82,24.74,1253800,0
1995-07-26,24.74,24.74,24.37,24.56,408800,0
1995-07-27,24.56,24.99,24.56,24.99,692400,0
1995-07-28,24.99,25.05,24.93,25.05,216000,0
1995-07-31,25.05,25.05,24.87,24.99,350600,0
1995-08-01,24.99,25.11,24.99,25.11,135800,0
1995-08-02,25.24,25.79,25.24,25.54,231600,0
1995-08-03,25.54,25.54,25.42,25.48,179400,0
1995-08-04,25.48,25.48,25.42,25.42,450800,0
1995-08-07,25.42,25.48,25.36,25.36,176800,0
1995-08-08,25.48,25.67,25.36,25.54,153200,0
1995-08-09,25.5,25.5,25.38,25.5,153400,0
1995-08-10,25.44,25.62,25.44,25.62,322600,0
1995-08-11,25.75,25.75,25.44,25.5,260000,0
1995-08-14,25.44,25.44,25.32,25.32,202600,0
1995-08-15,25.19,25.56,25.13,25.56,221800,0
1995-08-16,25.62,25.81,25.62,25.69,184600,0
1995-08-17,25.56,25.75,25.5,25.69,143800,0
1995-08-18,25.62,26.86,25.62,26.79,427400,0
1995-08-21,26.67,26.79,26.49,26.79,201200,0
1995-08-22,26.12,26.61,26.12,26.49,296800,0
1995-08-23,26.55,26.86,26.49,26.67,406600,0
1995-08-24,26.79,26.79,26.42,26.61,280200,0
1995-08-25,26.67,26.73,26.49,26.61,105600,0
1995-08-28,26.73,26.92,26.73,26.86,111200,0
1995-08-29,26.92,27.23,26.92,27.16,186400,0
1995-08-30,27.23,27.9,27.23,27.6,281400,0
1995-08-31,27.72,27.78,27.53,27.6,311800,0
1995-09-01,27.6,27.84,27.47,27.47,97400,0
1995-09-05,27.6,27.84,27.47,27.84,145000,0
1995-09-06,27.84,27.96,27.47,27.78,410000,0
1995-09-07,27.84,27.84,27.47,27.66,143200,0
1995-09-08,27.78,27.84,27.6,27.84,325600,0
1995-09-11,27.84,28.27,27.84,28.15,77400,0
1995-09-12,28.21,28.4,28.15,28.33,151800,0
1995-09-13,28.4,28.58,28.33,28.4,220000,0
1995-09-14,28.4,28.64,28.4,28.58,75800,0
1995-09-15,28.46,28.77,28.46,28.7,399400,0
1995-09-18,28.7,28.7,28.27,28.33,234200,0
1995-09-19,28.27,28.4,28.03,28.09,126400,0
1995-09-20,28.09,28.15,27.96,28.09,445000,0
1995-09-21,27.96,28.09,27.72,27.96,173400,0
1995-09-22,27.72,27.78,27.6,27.66,287600,0
1995-09-25,27.6,27.78,27.6,27.66,132600,0
1995-09-26,27.66,27.72,27.41,27.47,206200,0
1995-09-27,27.41,27.53,27.1,27.41,613800,0
1995-09-28,28.09,28.09,27.9,27.9,218800,0
1995-09-29,27.96,28.4,27.9,28.21,433800,0
1995-10-02,28.46,28.58,28.21,28.27,281800,0
1995-10-03,28.15,28.33,28.09,28.21,347400,0
1995-10-04,28.21,28.7,28.21,28.52,225000,0
1995-10-05,28.52,28.83,28.46,28.7,604000,0
1995-10-06,28.7,29.69,28.64,29.57,333200,0
1995-10-09,29.44,29.44,29.2,29.26,121600,0
1995-10-10,29.14,29.2,28.77,28.77,168000,0
1995-10-11,28.89,29.32,28.89,29.14,229200,0
1995-10-12,29.32,29.44,29.2,29.32,547600,0
1995-10-13,29.38,29.5,29.14,29.44,488400,0
1995-10-16,29.44,29.63,29.44,29.57,171000,0
1995-10-17,29.57,30.31,29.57,30.31,486200,0
1995-10-18,30.37,30.55,30.31,30.43,195200,0
1995-10-19,30.24,30.31,29.81,29.87,121600,0
1995-10-20,29.57,29.63,28.95,29.07,338800,0
1995-10-23,29.07,29.14,28.64,28.64,390600,0
1995-10-24,28.58,28.58,27.6,27.72,342200,0
1995-10-25,27.9,27.9,26.24,26.3,691400,0
1995-10-26,26.24,27.35,26.12,26.92,1217800,0
1995-10-27,26.86,26.98,26.61,26.86,452200,0
1995-10-30,26.86,27.66,26.86,27.53,265400,0
1995-10-31,27.72,28.21,27.72,28.03,222800,0
1995-11-01,28.15,28.95,28.15,28.52,601200,0
1995-11-02,28.64,29.07,28.64,29.01,281800,0
1995-11-03,29.57,29.57,29.38,29.5,310600,0
1995-11-06,29.32,29.38,28.95,29.2,268200,0
1995-11-07,29.2,29.2,28.77,28.95,95200,0
1995-11-08,28.91,28.97,28.42,28.85,263400,0
1995-11-09,28.97,29.65,28.97,29.34,443400,0
1995-11-10,29.46,29.52,29.22,29.46,307800,0
1995-11-13,29.46,29.46,28.97,29.03,488600,0
1995-11-14,28.97,29.03,28.6,28.6,536800,0
1995-11-15,28.48,28.48,27.86,28.11,447400,0
1995-11-16,28.23,28.48,28.11,28.48,556200,0
1995-11-17,28.42,28.72,28.35,28.72,313600,0
1995-11-20,28.97,29.22,28.85,29.22,128000,0
1995-11-21,29.03,29.03,28.42,28.42,251000,0
1995-11-22,28.48,28.54,28.17,28.23,212200,0
