Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.494,3.5181,3.3648,3.4132,1950731,0
1995-01-04,3.3648,3.3812,3.1638,3.2202,3682836,0
1995-01-05,3.2683,3.2683,3.1315,3.1638,2841132,0
1995-01-06,3.1638,3.3165,3.0913,3.2926,2197182,0
1995-01-09,3.2683,3.3648,3.2683,3.3165,695626,0
1995-01-10,3.3407,3.3572,3.2926,3.2926,1399201,0
1995-01-11,3.2926,3.4295,3.2926,3.3648,2053091,0
1995-01-12,3.3648,3.3893,3.2926,3.3165,835746,0
1995-01-13,3.3648,3.3893,3.2926,3.3407,1425039,0
1995-01-16,3.3165,3.4132,3.2926,3.3893,1041451,0
1995-01-17,3.3648,3.5423,3.3648,3.494,1771856,0
1995-01-18,3.4698,3.5181,3.2926,3.3407,1266037,0
1995-01-19,3.3648,3.3648,3.2443,3.2443,883444,0
1995-01-20,3.2443,3.2683,3.1396,3.2443,1930857,0
1995-01-23,3.188,3.2443,3.1236,3.188,1387278,0
1995-01-24,3.2202,3.3407,3.2202,3.3009,2056070,0
1995-01-25,3.188,3.2683,3.1396,3.1396,989777,0
1995-01-26,3.188,3.2202,3.0913,3.1638,645940,0
1995-01-27,3.188,3.188,3.0913,3.1155,819846,0
1995-01-30,3.0913,3.1396,2.9624,2.9624,877480,0
1995-01-31,3.0185,3.0185,2.8418,2.9141,5234082,0
1995-02-01,3.1396,3.1396,2.9624,3.0429,3722590,0
1995-02-02,2.9866,3.2926,2.9624,3.2764,6820109,0
1995-02-03,3.3407,3.4455,3.2926,3.3648,1782789,0
1995-02-06,3.3893,3.494,3.3893,3.4455,1168649,0
1995-02-07,3.4455,3.494,3.3648,3.4295,597245,0
1995-02-08,3.4132,3.494,3.4132,3.4698,252411,0
1995-02-09,3.4132,3.494,3.3648,3.4054,880464,0
1995-02-10,3.4132,3.4132,3.188,3.2926,1603913,0
1995-02-13,3.2443,3.3407,3.188,3.2281,1314731,0
1995-02-14,3.2683,3.2683,3.188,3.2683,177879,0
1995-02-15,3.2683,3.3648,3.2443,3.3165,1753969,0
1995-02-16,3.3648,3.3648,3.2683,3.3165,670784,0
1995-02-17,3.2683,3.3407,3.2683,3.3407,1497584,0
1995-02-21,3.3648,3.3648,3.2202,3.2281,541593,0
1995-02-22,3.2683,3.2683,3.0913,3.1155,1725149,0
1995-02-23,3.1396,3.188,3.0913,3.0913,2849082,0
1995-02-24,3.0913,3.0913,2.9866,3.067,2362145,0
1995-02-27,3.0913,3.2202,3.067,3.1638,1055362,0
1995-02-28,3.1638,3.3407,3.1638,3.3009,1027537,0
1995-03-01,3.3407,3.4535,3.3009,3.3648,1964642,0
1995-03-02,3.4132,3.5181,3.3893,3.4776,2390965,0
1995-03-03,3.494,3.5341,3.4455,3.5181,1594969,0
1995-03-06,3.4698,3.494,3.3893,3.4132,2790452,0
1995-03-07,3.4455,3.4455,3.2926,3.4132,2141533,0
1995-03-08,3.4132,3.5423,3.3648,3.5181,1170638,0
1995-03-09,3.494,3.5423,3.3893,3.4054,576377,0
1995-03-10,3.3893,3.5423,3.3893,3.4698,707550,0
1995-03-13,3.494,3.6468,3.494,3.5664,2742753,0
1995-03-14,3.6145,3.6468,3.4132,3.494,1950731,0
1995-03-15,3.4455,3.5583,3.4455,3.5423,657863,0
1995-03-16,3.494,3.5423,3.4698,3.494,471038,0
1995-03-17,3.5423,3.5664,3.494,3.5099,1085179,0
1995-03-20,3.502,3.6145,3.494,3.5583,1066296,0
1995-03-21,3.5906,3.6145,3.4698,3.4698,299118,0
1995-03-22,3.4776,3.5181,3.4054,3.4132,1290880,0
1995-03-23,3.4455,3.6468,3.4132,3.6145,1203433,0
1995-03-24,3.6468,3.7434,3.6468,3.679,2162402,0
1995-03-27,3.7191,3.8159,3.6709,3.7837,2389970,0
1995-03-28,3.8159,3.9688,3.7677,3.9285,2037186,0
1995-03-29,3.9207,3.9931,3.8159,3.8159,2564869,0
1995-03-30,3.8561,3.8964,3.5664,3.6709,1936820,0
1995-03-31,3.6145,3.7677,3.5823,3.6709,776121,0
1995-04-03,3.7191,3.7191,3.494,3.7032,1904025,0
