Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,15.25,16,15.25,15.88,400100,0
1995-01-04,15.88,16.12,15.75,16,259000,0
1995-01-05,16,16,15.88,16,158700,0
1995-01-06,16,16,15.75,16,187300,0
1995-01-09,16,16.62,16,16.5,452800,0
1995-01-10,16.5,16.75,16.5,16.62,270400,0
1995-01-11,16.62,16.75,16.38,16.62,260200,0
1995-01-12,16.38,16.75,16.25,16.62,283500,0
1995-01-13,16.75,17.12,16.75,17.12,411500,0
1995-01-16,17.12,17.38,17.12,17.25,250600,0
1995-01-17,17.12,17.5,16.88,17.5,256900,0
1995-01-18,17.38,17.5,17.25,17.5,293900,0
1995-01-19,17.25,17.38,15.88,16.25,302300,0
1995-01-20,16.5,16.5,15.62,16,218900,0
1995-01-23,15.75,16,15.62,16,156100,0
1995-01-24,16.12,16.25,15.88,15.88,173100,0
1995-01-25,15.88,16.12,15.75,15.88,56500,0
1995-01-26,16.25,16.25,15.88,16,126100,0
1995-01-27,16.25,16.5,15.75,16,114400,0
1995-01-30,16,16,15.5,15.5,64300,0
1995-01-31,15.62,15.75,15.12,15.25,188700,0
1995-02-01,15.25,15.88,15.25,15.75,155400,0
1995-02-02,15.62,15.75,15.38,15.62,110200,0
1995-02-03,15.75,16,15.62,15.62,111700,0
1995-02-06,15.75,16.12,15.62,16,114700,0
1995-02-07,16.12,16.38,16,16.38,188200,0
1995-02-08,16.38,16.62,16.12,16.12,157600,0
1995-02-09,16.25,16.25,15.88,15.88,48900,0
1995-02-10,15.75,16,15.75,15.88,50500,0
1995-02-13,16,16.38,16,16.25,105800,0
1995-02-14,16.38,16.38,16,16.25,55800,0
1995-02-15,16.25,16.62,16.12,16.38,217900,0
1995-02-16,16.38,16.5,16,16.38,200600,0
1995-02-17,16.38,16.38,15.62,15.75,210200,0
1995-02-21,15.5,15.5,15.25,15.25,159700,0
1995-02-22,15.25,15.38,14.88,14.88,261600,0
1995-02-23,15.12,15.12,14.62,14.62,182200,0
1995-02-24,14.75,15,14.38,14.5,154600,0
1995-02-27,14.5,14.62,14.12,14.25,182900,0
1995-02-28,14.25,14.5,13.88,14.5,182400,0
1995-03-01,14.62,14.62,13.88,14,269500,0
1995-03-02,14,14,13.62,13.75,174800,0
1995-03-03,13.75,13.88,13.38,13.5,389700,0
1995-03-06,13.5,13.5,13.25,13.38,130000,0
1995-03-07,13.5,13.5,13.25,13.25,105000,0
1995-03-08,13.12,13.38,12.88,12.88,174900,0
1995-03-09,13.12,13.25,12.88,13,279500,0
1995-03-10,12.88,13,12.88,12.88,223800,0
1995-03-13,12.88,13,12.75,12.75,233800,0
1995-03-14,12.88,13,12.88,13,321200,0
1995-03-15,12.88,13,12.75,12.88,341800,0
1995-03-16,12.75,13.25,12.62,13.25,510000,0
1995-03-17,13.25,13.25,12.88,12.88,248800,0
1995-03-20,12.88,12.88,12.62,12.75,204100,0
1995-03-21,12.62,12.75,12.38,12.5,331100,0
1995-03-22,12.38,12.5,12.25,12.38,176800,0
1995-03-23,12.5,12.62,12.25,12.62,200100,0
1995-03-24,12.75,12.88,12.38,12.62,493500,0
1995-03-27,12.75,12.75,12.5,12.62,195200,0
1995-03-28,12.5,12.5,12.12,12.25,497600,0
1995-03-29,12.62,12.75,12.38,12.75,372100,0
1995-03-30,12.88,13.12,12.75,13,729300,0
1995-03-31,12.88,12.88,12.62,12.75,358000,0
1995-04-03,12.75,13.25,12.62,13.12,593800,0
1995-04-04,13.12,13.25,12.88,13,444500,0
1995-04-05,13,13.62,13,13.25,840200,0
1995-04-06,13.25,14.12,13.25,14.12,1668300,0
1995-04-07,13.75,14.38,13.62,14,1228200,0
1995-04-10,13.88,13.88,13.5,13.5,372500,0
1995-04-11,13.5,13.75,13.25,13.38,386300,0
1995-04-12,13.5,14,13.25,13.75,1111100,0
1995-04-13,13.88,14,13.62,13.62,422900,0
1995-04-17,13.75,14,13.62,13.62,548600,0
1995-04-18,13.62,13.75,13.38,13.5,629600,0
1995-04-19,13.5,13.5,12.88,13.12,521800,0
1995-04-20,13.12,13.75,13,13.75,331200,0
1995-04-21,13.75,14,13.5,13.88,485900,0
1995-04-24,14,14.12,13.62,13.75,276600,0
1995-04-25,13.62,13.75,13.38,13.5,240300,0
1995-04-26,13.62,13.88,13.5,13.75,287700,0
1995-04-27,13.75,14.25,13.75,14.12,488800,0
1995-04-28,14.25,14.25,13.88,14.12,228600,0
1995-05-01,14,14.38,13.88,14,266000,0
1995-05-02,14,14.12,13.75,14,292900,0
1995-05-03,14,14.25,13.88,13.88,185300,0
1995-05-04,14,14.12,13.88,13.88,298900,0
1995-05-05,14,14,13.75,14,280800,0
1995-05-08,14,14.25,13.88,14.12,299400,0
1995-05-09,14.25,14.62,14.12,14.5,398600,0
1995-05-10,14.62,14.88,14.5,14.75,239800,0
1995-05-11,14.75,15.25,14.75,15,477100,0
1995-05-12,15.12,15.25,15,15.12,238400,0
1995-05-15,15.12,15.25,14.75,14.88,229700,0
1995-05-16,15,15.88,15,15.62,974400,0
1995-05-17,15.88,16.12,15.75,16,913900,0
1995-05-18,15.75,16.38,15.25,15.25,1759900,0
1995-05-19,15.12,15.25,14.75,15.12,727000,0
1995-05-22,15,15.62,15,15.62,308900,0
1995-05-23,15.5,15.62,15.25,15.38,448000,0
1995-05-24,15.62,15.62,15.25,15.5,322800,0
1995-05-25,15.5,15.62,15.25,15.5,275400,0
1995-05-26,15.5,15.62,15.12,15.25,1059400,0
1995-05-30,15.25,15.25,15.12,15.12,200200,0
1995-05-31,15.25,15.62,15.25,15.5,350900,0
1995-06-01,15.5,15.88,15.38,15.75,243300,0
1995-06-02,15.62,15.75,15.38,15.38,860400,0
1995-06-05,15.5,15.62,15.38,15.5,316700,0
1995-06-06,15.62,16.12,15.62,15.88,580400,0
1995-06-07,15.88,15.88,15.62,15.75,273200,0
1995-06-08,15.75,16,15.25,15.5,272900,0
1995-06-09,15.5,15.5,15.38,15.38,303800,0
1995-06-12,15.25,15.62,15.25,15.38,206200,0
1995-06-13,15.5,15.75,15.38,15.75,332300,0
1995-06-14,15.75,15.88,15.62,15.88,175400,0
1995-06-15,15.88,15.88,15.5,15.62,229400,0
1995-06-16,15.62,15.62,15.38,15.62,276100,0
1995-06-19,15.5,16,15.5,15.75,732200,0
1995-06-20,15.75,15.75,15.5,15.62,228100,0
1995-06-21,15.5,15.62,15.38,15.5,247800,0
1995-06-22,15.62,15.62,15.38,15.5,222600,0
1995-06-23,15.5,15.75,15.5,15.75,155400,0
1995-06-26,15.62,15.75,15.25,15.38,116400,0
1995-06-27,15.38,15.5,15.12,15.12,296100,0
1995-06-28,15.25,15.38,15.12,15.25,142000,0
1995-06-29,15.38,15.38,15,15.12,90700,0
1995-06-30,15,15.12,15,15.12,211100,0
1995-07-03,15.12,15.25,15,15.12,70300,0
1995-07-05,15.12,15.62,15.12,15.62,217800,0
1995-07-06,15.5,15.5,15.25,15.5,322500,0
1995-07-07,15.5,16.5,15.38,16.12,674800,0
1995-07-10,15.88,16.62,15.75,16.5,592200,0
1995-07-11,16.38,16.62,16.25,16.38,251300,0
1995-07-12,16.25,16.62,16.25,16.38,202000,0
1995-07-13,16.38,16.38,16.25,16.38,143300,0
1995-07-14,16.25,16.5,16.25,16.5,165800,0
1995-07-17,16.38,16.62,16.38,16.62,123900,0
1995-07-18,16.5,16.62,16.38,16.5,234900,0
1995-07-19,16.5,16.62,15.88,15.88,388300,0
1995-07-20,16,16,15.75,15.88,465500,0
1995-07-21,15.88,15.88,15.5,15.5,191900,0
1995-07-24,15.62,15.62,15.38,15.38,173900,0
1995-07-25,15.25,15.38,15.25,15.38,79200,0
1995-07-26,15.38,15.62,15.25,15.38,365900,0
1995-07-27,15.5,15.5,15.25,15.25,190300,0
1995-07-28,15.38,15.38,15.12,15.38,141400,0
1995-07-31,15.38,15.5,15.25,15.38,182400,0
1995-08-01,15.38,15.38,15.12,15.12,73400,0
1995-08-02,15.12,15.38,14.38,14.5,615600,0
1995-08-03,14.25,14.25,13.75,13.75,670000,0
1995-08-04,13.88,13.88,13.12,13.5,821200,0
1995-08-07,13.38,13.75,13.38,13.5,740000,0
1995-08-08,13.5,13.5,13.12,13.25,304500,0
1995-08-09,13.25,13.25,12.62,12.75,703200,0
1995-08-10,12.75,13.12,12.62,12.75,762200,0
1995-08-11,12.88,13,12.88,13,498800,0
1995-08-14,13,13.12,12.88,13.12,543900,0
1995-08-15,13.12,13.12,12.88,13,650100,0
1995-08-16,13,13.12,12.88,13,561000,0
1995-08-17,13.25,13.62,13,13.12,2723100,0
1995-08-18,13.25,13.25,13.12,13.25,936400,0
1995-08-21,13.25,13.25,13.12,13.12,384400,0
1995-08-22,13.25,13.25,12.88,13,784500,0
1995-08-23,12.88,13.12,12.88,13,946200,0
1995-08-24,12.88,12.88,12.62,12.62,641600,0
1995-08-25,12.5,12.5,12.38,12.5,644900,0
1995-08-28,12.5,12.5,12.38,12.5,320500,0
1995-08-29,12.5,12.62,12.38,12.62,358400,0
1995-08-30,12.62,13,12.62,13,1242300,0
1995-08-31,13,13.25,12.88,13,1070000,0
1995-09-01,13,13.12,12.88,13,248000,0
1995-09-05,13,13.12,12.88,13.12,549500,0
1995-09-06,13.12,13.12,13,13.12,362600,0
1995-09-07,13,13.12,12.88,13.12,225700,0
1995-09-08,13.12,13.25,13,13.25,436200,0
1995-09-11,13.25,13.25,13.12,13.12,157900,0
1995-09-12,13.12,13.12,13,13.12,628000,0
1995-09-13,13.12,13.25,12.88,12.88,290600,0
1995-09-14,12.88,13,12.75,13,233300,0
1995-09-15,13.12,13.12,12.75,12.88,232400,0
1995-09-18,12.75,12.88,12.5,12.5,445100,0
1995-09-19,12.5,12.62,12.25,12.38,501000,0
1995-09-20,12.38,12.88,12.38,12.88,596300,0
1995-09-21,12.88,13,12.75,12.88,563600,0
1995-09-22,12.75,13,12.62,12.88,453200,0
1995-09-25,13,13,12.5,12.5,419400,0
1995-09-26,12.5,12.62,12.25,12.38,335000,0
1995-09-27,12.38,12.44,12.12,12.25,406000,0
1995-09-28,12.38,12.38,12,12.12,539100,0
1995-09-29,12.25,12.25,11.88,12,511200,0
1995-10-02,12.12,12.25,12,12.12,212400,0
1995-10-03,12.12,12.12,11.62,11.88,164300,0
1995-10-04,11.75,11.75,11.12,11.5,351900,0
1995-10-05,11.5,11.88,11.5,11.62,372000,0
1995-10-06,11.75,11.88,11.62,11.62,232300,0
1995-10-09,11.75,11.75,11.12,11.12,185200,0
1995-10-10,11.12,11.5,11,11.5,264600,0
1995-10-11,11.62,11.75,11.38,11.5,156900,0
1995-10-12,11.5,11.5,11.38,11.5,103900,0
1995-10-13,11.5,11.5,11.12,11.25,169000,0
1995-10-16,11.5,11.5,11,11,312900,0
1995-10-17,10.88,10.88,10.38,10.38,404200,0
1995-10-18,10.5,10.62,10.25,10.38,436500,0
1995-10-19,10.5,10.62,10.25,10.38,216200,0
1995-10-20,10.38,10.38,10.12,10.12,358200,0
1995-10-23,10.25,10.25,9.38,9.75,733200,0
1995-10-24,9.75,10.12,9.75,9.88,935500,0
1995-10-25,9.88,9.88,9.62,9.75,216500,0
1995-10-26,9.62,9.62,9.25,9.25,288400,0
1995-10-27,9.38,9.5,9,9.25,476500,0
1995-10-30,9.5,10.12,9.5,9.88,348800,0
1995-10-31,10,10.5,10,10.25,637300,0
1995-11-01,10.38,10.75,10.25,10.62,431600,0
1995-11-02,10.75,11.38,10.75,11,715200,0
1995-11-03,11.12,11.12,10.5,10.62,415300,0
1995-11-06,10.62,11.12,10.62,10.88,358700,0
1995-11-07,11.12,11.62,11,11.38,545200,0
1995-11-08,11.25,11.38,10.88,11.25,234300,0
1995-11-09,11.12,11.25,10.62,10.88,286600,0
1995-11-10,10.88,10.88,10.62,10.75,151800,0
1995-11-13,10.75,10.75,10.5,10.62,96800,0
1995-11-14,10.75,10.75,10.5,10.75,237700,0
1995-11-15,10.62,11,10.5,11,238100,0
1995-11-16,11,11.5,10.88,11,369300,0
1995-11-17,11,11.25,10.88,11,181400,0
1995-11-20,11,11,10.75,10.88,163600,0
1995-11-21,10.88,11.12,10.88,11.12,98800,0
1995-11-22,11,11.12,10.88,11,193100,0
1995-11-24,11.12,11.12,11,11.12,65700,0
1995-11-27,11.12,11.25,10.88,10.88,221300,0
1995-11-28,10.88,11,10.5,10.88,339900,0
1995-11-29,10.75,11.12,10.62,11,305300,0
1995-11-30,10.88,11.12,10.88,11,207500,0
1995-12-01,10.88,11,10.62,10.75,143800,0
1995-12-04,10.88,11.25,10.75,11.12,377000,0
1995-12-05,11.12,11.38,11.12,11.38,256200,0
1995-12-06,11.25,11.5,10.75,11.38,456000,0
1995-12-07,11.62,12.38,11.62,12.12,1151200,0
1995-12-08,12.25,12.38,11.75,12,426500,0
1995-12-11,12.12,12.12,11.88,11.88,266800,0
1995-12-12,11.88,11.88,10.88,10.88,624600,0
1995-12-13,11,11,10.75,10.88,551800,0
1995-12-14,11,11.25,11,11.25,187200,0
1995-12-15,11.25,11.38,11,11,771700,0
1995-12-18,11,11,10.5,10.62,354300,0
1995-12-19,10.5,10.75,10.38,10.75,527200,0
1995-12-20,10.75,10.88,10.62,10.75,213800,0
1995-12-21,10.75,11.38,10.75,11.12,390500,0
1995-12-22,11.12,11.38,11,11.12,180300,0
1995-12-26,11.12,11.25,10.88,10.88,311600,0
1995-12-27,10.88,11,10.75,10.75,223200,0
1995-12-28,10.75,10.88,10.5,10.5,298800,0
1995-12-29,10.62,10.75,10.5,10.62,339500,0
1996-01-02,10.62,11.12,10.62,11,147700,0
1996-01-03,11,11.75,11,11.75,387000,0
1996-01-04,11.75,12.12,11.75,12,461500,0
1996-01-05,11.75,12,11.75,12,219500,0
1996-01-08,12,12,11.88,12,27800,0
1996-01-09,12.12,12.12,11.62,11.62,213100,0
1996-01-10,11.38,11.62,11.38,11.38,447400,0
1996-01-11,11.5,11.5,11.25,11.38,299600,0
1996-01-12,11.5,11.62,11,11.12,343600,0
1996-01-15,11,11,10.62,10.88,177400,0
1996-01-16,10.75,10.88,10.5,10.75,221200,0
1996-01-17,10.62,10.75,10.38,10.62,182400,0
1996-01-18,10.5,10.5,9.62,9.75,681000,0
1996-01-19,9.88,10.12,9.75,9.88,474600,0
1996-01-22,9.88,10.12,9.88,10,438600,0
1996-01-23,10,10.12,9.88,10.12,305600,0
1996-01-24,10.12,10.25,9.75,10,226000,0
