Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.1075,3.1627,3.043,3.043,614996,0
1995-01-04,3.1075,3.1627,3.043,3.1627,379398,0
1995-01-05,3.1075,3.1627,2.9878,3.043,2194148,0
1995-01-06,3.1075,3.1075,2.9878,3.043,198402,0
1995-01-09,3.043,3.1075,2.9878,2.9878,351116,0
1995-01-10,2.9878,2.9878,2.8685,2.9329,332409,0
1995-01-11,2.9329,2.9878,2.9329,2.9329,385488,0
1995-01-12,2.9878,2.9878,2.9329,2.9878,126175,0
1995-01-13,2.9329,2.9878,2.8685,2.8685,287378,0
1995-01-16,2.8685,2.9878,2.8685,2.9878,103117,0
1995-01-17,2.9878,2.9878,2.9329,2.9878,168159,0
1995-01-18,2.9878,2.9878,2.8685,2.9329,167943,0
1995-01-19,2.9329,2.9878,2.8685,2.9329,149018,0
1995-01-20,2.9329,2.9878,2.9329,2.9329,150541,0
1995-01-23,2.8685,2.9878,2.8133,2.8685,635230,0
1995-01-24,2.9329,2.9878,2.8685,2.9329,206450,0
1995-01-25,2.9329,3.043,2.9329,2.9878,609995,0
1995-01-26,2.9878,3.1075,2.9878,3.043,325664,0
1995-01-27,3.1075,3.1075,2.9878,3.043,567572,0
1995-01-30,2.9878,2.9878,2.9329,2.9329,187740,0
1995-01-31,2.9878,3.043,2.9329,2.9878,455974,0
1995-02-01,2.9878,3.043,2.9329,2.9329,338063,0
1995-02-02,2.9329,3.043,2.9329,2.9329,106378,0
1995-02-03,2.8685,2.9329,2.8685,2.8685,274757,0
1995-02-06,2.8685,2.9329,2.8685,2.8685,145535,0
1995-02-07,2.9329,2.9329,2.8133,2.9329,408330,0
1995-02-08,2.9878,3.043,2.9329,2.9329,267579,0
1995-02-09,2.9329,3.043,2.9329,2.9878,210149,0
1995-02-10,2.9878,3.043,2.9329,2.9878,242128,0
1995-02-13,2.9601,2.9878,2.8133,2.8133,217544,0
1995-02-14,2.8685,2.8685,2.8133,2.8685,417034,0
1995-02-15,2.8685,2.9329,2.8133,2.9329,194050,0
1995-02-16,2.8685,2.9329,2.8133,2.9329,141404,0
1995-02-17,2.8685,2.9329,2.8685,2.8685,325230,0
1995-02-21,2.9878,2.9878,2.9329,2.9329,167726,0
1995-02-22,2.9878,2.9878,2.9329,2.9878,241908,0
1995-02-23,2.9878,2.9878,2.8685,2.9878,328490,0
1995-02-24,2.9329,2.9878,2.8685,2.9329,576056,0
1995-02-27,2.9329,3.043,2.9329,2.9878,152278,0
1995-02-28,2.9878,3.1075,2.9878,3.1075,394191,0
1995-03-01,2.9878,3.043,2.9878,2.9878,620653,0
1995-03-02,2.9878,3.043,2.9878,3.043,374827,0
1995-03-03,3.043,3.1627,3.043,3.1627,221676,0
1995-03-06,3.1627,3.2178,3.1075,3.1627,692224,0
1995-03-07,3.1627,3.2178,3.1627,3.2178,645235,0
1995-03-08,3.2178,3.2178,3.1075,3.1075,258661,0
1995-03-09,3.1075,3.2178,3.1075,3.1627,175774,0
1995-03-10,3.2178,3.2178,3.1627,3.2178,545819,0
1995-03-13,3.2178,3.3283,3.2178,3.273,606734,0
1995-03-14,3.3283,3.3924,3.3283,3.3924,258441,0
1995-03-15,3.3283,3.3924,3.3283,3.3924,375915,0
1995-03-16,3.3283,3.3283,3.273,3.273,125960,0
1995-03-17,3.273,3.3283,3.2178,3.2178,350248,0
1995-03-20,3.273,3.273,3.2178,3.273,186001,0
1995-03-21,3.273,3.273,3.2178,3.2178,94414,0
1995-03-22,3.2178,3.2178,3.1627,3.2178,186871,0
1995-03-23,3.2178,3.273,3.2178,3.2178,208408,0
1995-03-24,3.273,3.273,3.1627,3.2178,416597,0
1995-03-27,3.2178,3.2178,3.1627,3.2178,171641,0
1995-03-28,3.1627,3.2178,3.1627,3.1627,591722,0
1995-03-29,3.1627,3.2178,3.1627,3.2178,536466,0
1995-03-30,3.2178,3.4475,3.2178,3.3924,851686,0
1995-03-31,3.3924,3.4475,3.3283,3.4475,289115,0
1995-04-03,3.4475,3.5027,3.3924,3.4475,607817,0
1995-04-04,3.5027,3.5394,3.4475,3.4475,583668,0
1995-04-05,3.5027,3.567,3.3924,3.5027,1146458,0
1995-04-06,3.5027,3.6221,3.4475,3.5027,810352,0
1995-04-07,3.4475,3.5027,3.4475,3.4475,192961,0
1995-04-10,3.4475,3.5027,3.4475,3.4475,125306,0
1995-04-11,3.5027,3.5027,3.3924,3.4475,169030,0
1995-04-12,3.3924,3.5027,3.3924,3.4475,251700,0
1995-04-13,3.4475,3.7878,3.4475,3.7326,1010709,0
1995-04-17,3.7326,3.9623,3.6221,3.6221,1720339,0
1995-04-18,3.6774,3.7326,3.6221,3.6221,126829,0
1995-04-19,3.6774,3.6774,3.5854,3.6221,213409,0
1995-04-20,3.6221,3.8796,3.6221,3.8244,739435,0
1995-04-21,3.8244,3.9071,3.7878,3.8244,443139,0
1995-04-24,3.8244,3.9071,3.7878,3.8796,365040,0
1995-04-25,3.8796,3.8796,3.8244,3.8796,318919,0
1995-04-26,3.8796,3.9623,3.8244,3.9623,1068795,0
1995-04-27,3.9623,4.3394,3.9348,4.3394,2669050,0
1995-04-28,4.2842,4.3669,4.2842,4.3394,2018594,0
1995-05-01,4.3669,4.3669,4.312,4.3394,763146,0
1995-05-02,4.3394,4.3669,4.312,4.312,686136,0
1995-05-03,4.3394,4.3394,4.0821,4.0821,896282,0
1995-05-04,4.137,4.1646,4.1095,4.137,685916,0
1995-05-05,4.137,4.137,4.0267,4.0267,181866,0
1995-05-08,4.0821,4.0821,3.9071,3.9071,346547,0
1995-05-09,3.9898,4.0821,3.9898,3.9898,771192,0
1995-05-10,3.9898,4.0267,3.9071,3.9348,424212,0
1995-05-11,3.9071,3.9348,3.852,3.9071,812746,0
1995-05-12,3.9071,3.9623,3.9071,3.9623,480336,0
1995-05-15,3.9348,4.0821,3.9348,4.0821,227115,0
1995-05-16,4.1095,4.1646,4.0821,4.1646,453797,0
1995-05-17,4.137,4.137,4.0821,4.137,193832,0
1995-05-18,4.1095,4.1095,4.0543,4.1095,138794,0
1995-05-19,4.0267,4.0543,3.9898,4.0267,182301,0
1995-05-22,4.0543,4.1646,4.0543,4.1646,812527,0
1995-05-23,4.1646,4.2472,4.137,4.2472,657855,0
1995-05-24,4.2199,4.2199,4.137,4.137,186434,0
1995-05-25,4.137,4.1646,4.1095,4.1095,346765,0
1995-05-26,4.0821,4.1095,4.0821,4.0821,54606,0
1995-05-30,4.0821,4.0821,3.9623,3.9623,198402,0
1995-05-31,3.9898,4.0267,3.9623,3.9623,381789,0
1995-06-01,4.0267,4.0821,3.9623,4.0267,246912,0
1995-06-02,3.9348,4.137,3.9348,4.137,363951,0
1995-06-05,4.1924,4.2199,4.1095,4.1924,482297,0
1995-06-06,4.1646,4.1924,4.1095,4.137,126610,0
1995-06-07,4.137,4.137,4.0267,4.0543,127047,0
