Date,Open,High,Low,Close,Volume,OpenInt
1996-12-11,15.44,18.38,15.44,18.06,3022000,0
1996-12-12,18.56,20.38,18.56,20.12,2930800,0
1996-12-13,20.12,20.19,19.31,19.5,995000,0
1996-12-16,19.5,19.5,19,19.06,421400,0
1996-12-17,18.94,19.19,18.56,18.62,1651600,0
1996-12-18,18.69,18.88,18.38,18.69,1189200,0
1996-12-19,18.56,18.56,18.38,18.5,311600,0
1996-12-20,18.56,18.56,18.06,18.06,1056600,0
1996-12-23,18.06,18.12,18,18.06,109400,0
1996-12-24,18.12,18.19,18.12,18.19,47400,0
1996-12-26,18.19,18.19,18,18.06,1356400,0
1996-12-27,18.19,18.19,17.56,17.69,150600,0
1996-12-30,17.75,17.75,17.19,17.56,721600,0
1996-12-31,17,17.12,16.19,16.81,5941400,0
1997-01-02,16.75,17.06,16.38,16.88,7066800,0
1997-01-03,16.94,17.69,16.94,17.62,4712400,0
1997-01-06,17.62,18.31,17.62,17.81,4613200,0
1997-01-07,18,18.12,17.38,17.5,3566400,0
1997-01-08,17.38,17.38,16.69,17.19,3245600,0
1997-01-09,17.19,17.44,16.69,16.69,3596000,0
1997-01-10,16.38,16.75,15.94,16.25,3084200,0
1997-01-13,16.56,16.69,15.81,16,2924600,0
1997-01-14,15.81,16.5,15.81,16.25,3715600,0
1997-01-15,15.94,17.62,15.94,17.56,3515600,0
1997-01-16,17.44,17.81,17.12,17.38,2097000,0
1997-01-17,17.19,18.06,17,18,2425600,0
1997-01-20,17.75,18,17.56,17.81,1014800,0
1997-01-21,17.81,19.56,17.81,19.38,3671200,0
1997-01-22,19.5,20.69,19.5,19.94,3933600,0
1997-01-23,19.69,20.38,19.44,19.5,1639000,0
1997-01-24,19.56,19.56,19.06,19.5,1272000,0
1997-01-27,19.5,19.69,19.12,19.31,1262600,0
1997-01-28,19.75,19.94,19.25,19.69,1442400,0
1997-01-29,19.75,20.25,19.75,19.94,1877800,0
1997-01-30,19.94,20,19.19,19.38,1069000,0
1997-01-31,19.25,19.56,18.56,18.94,1739000,0
1997-02-03,19,19.06,18.75,19,1650800,0
1997-02-04,18.94,19,18.75,18.75,1579200,0
1997-02-05,18.5,18.81,18.12,18.25,888200,0
1997-02-06,17.94,18.19,17.81,17.94,863000,0
1997-02-07,18.44,18.44,17.69,17.94,956600,0
1997-02-10,17.94,18.38,17.94,18.12,965200,0
1997-02-11,18.12,18.31,17.69,17.88,1164800,0
1997-02-12,17.75,18.25,17.69,17.81,1103800,0
1997-02-13,17.69,17.81,17.31,17.5,997800,0
1997-02-14,17.44,17.69,17.31,17.5,1018800,0
1997-02-18,17.5,18.12,17.38,18.06,1105800,0
1997-02-19,17.88,18.12,17.62,17.75,1604800,0
1997-02-20,17.69,17.81,17.56,17.62,890600,0
1997-02-21,17.62,17.69,17.44,17.56,483400,0
1997-02-24,17.44,18.12,17.25,18.06,1012000,0
1997-02-25,17.94,18,17.56,17.62,893000,0
1997-02-26,17.75,17.75,17.25,17.5,765400,0
1997-02-27,17.38,17.38,16.88,16.94,957000,0
1997-02-28,16.69,16.75,16.44,16.5,1433200,0
1997-03-03,16.5,17.25,16.5,17.19,1477200,0
1997-03-04,17.38,17.81,17.19,17.38,1176200,0
1997-03-05,17.25,17.56,17.06,17.31,807800,0
1997-03-06,17.38,17.75,17.25,17.5,1089000,0
1997-03-07,17.56,17.69,17.31,17.38,1133000,0
1997-03-10,17.38,17.88,17.38,17.75,674000,0
1997-03-11,17.75,18.62,17.75,18.56,1136600,0
1997-03-12,18.62,18.75,18.44,18.56,1338400,0
1997-03-13,18.62,18.69,18.25,18.25,1017800,0
1997-03-14,18.62,18.62,17.94,18.31,583400,0
1997-03-17,18.19,18.38,18.06,18.31,477400,0
1997-03-18,18.31,18.44,18.06,18.06,590000,0
1997-03-19,18.19,18.38,18.06,18.12,512400,0
1997-03-20,18.12,18.19,18.06,18.12,717800,0
1997-03-21,18.19,18.31,18.06,18.12,484400,0
1997-03-24,18.12,18.12,17.69,17.81,486400,0
1997-03-25,17.75,18.19,17.75,18.19,819200,0
1997-03-26,17.88,18.06,17.81,17.94,335400,0
1997-03-27,18,18,17.69,17.94,424600,0
1997-03-31,17.69,17.81,17.56,17.56,531400,0
1997-04-01,17.62,17.75,17.5,17.69,564000,0
1997-04-02,17.69,17.75,17.06,17.19,719800,0
1997-04-03,17.12,17.19,16.88,17,704400,0
1997-04-04,17,17.19,16.75,17.12,1208200,0
1997-04-07,17.25,17.56,17.06,17.19,550200,0
1997-04-08,17.06,17.19,16.94,17.06,440800,0
1997-04-09,17.19,17.38,16.88,16.94,723200,0
1997-04-10,16.81,16.94,16.69,16.69,269600,0
1997-04-11,16.62,16.62,16.31,16.5,760600,0
1997-04-14,16.44,16.56,16.31,16.5,448600,0
1997-04-15,16.75,16.81,15.88,16.06,845200,0
1997-04-16,16.06,16.44,14.19,15.25,2289200,0
1997-04-17,15.19,15.38,14.81,14.94,1209600,0
1997-04-18,15.06,15.12,14.88,15.12,1958000,0
1997-04-21,15.25,15.31,15.06,15.25,1204800,0
1997-04-22,15.25,15.38,15.12,15.12,1597400,0
1997-04-23,15.12,15.12,14.81,14.88,571400,0
1997-04-24,14.75,14.94,14.62,14.81,797800,0
1997-04-25,14.75,14.88,14.62,14.88,584200,0
1997-04-28,14.81,14.88,14.62,14.69,1103200,0
1997-04-29,14.62,14.75,14.56,14.56,659200,0
1997-04-30,14.38,14.62,14.31,14.44,1516000,0
1997-05-01,14.5,15.31,14.5,15.31,1383600,0
1997-05-02,15.19,16,15.19,16,1666400,0
1997-05-05,16,16.44,15.88,15.88,1237800,0
1997-05-06,15.62,15.69,15.44,15.44,513400,0
1997-05-07,15.25,15.31,14.94,14.94,425000,0
1997-05-08,14.94,15.31,14.88,15,765800,0
1997-05-09,15.12,15.31,14.88,15.31,1232800,0
1997-05-12,15.44,15.75,15.31,15.62,1241400,0
1997-05-13,15.56,15.94,15.56,15.81,1360800,0
1997-05-14,16,16.12,15.69,15.81,1440400,0
1997-05-15,15.69,15.75,15.44,15.75,1234200,0
1997-05-16,15.56,15.62,15.38,15.38,866600,0
1997-05-19,15.25,15.56,15.06,15.06,1086400,0
1997-05-20,14.94,15,14.62,14.69,1737400,0
1997-05-21,14.69,15.06,14.62,15,1172000,0
1997-05-22,14.94,15.25,14.94,15,910800,0
1997-05-23,14.81,15.12,14.81,15.06,971400,0
1997-05-27,15.12,15.75,15.06,15.69,1264200,0
1997-05-28,15.56,15.69,15.44,15.56,1302200,0
1997-05-29,15.44,16.19,15.44,16.12,2434800,0
1997-05-30,15.75,16.44,15.62,16.25,5474800,0
1997-06-02,16.38,16.44,16.06,16.19,1299400,0
1997-06-03,16.06,16.06,15.75,15.75,1229400,0
1997-06-04,15.75,15.81,15.5,15.56,583800,0
1997-06-05,15.5,15.56,15.31,15.31,750800,0
1997-06-06,15.44,15.88,15.44,15.69,1215000,0
1997-06-09,15.5,15.62,15.12,15.4,1989600,0
1997-06-10,15.25,15.44,15.19,15.25,784600,0
1997-06-11,15.31,15.38,15.19,15.31,573800,0
1997-06-12,15.38,15.62,15.19,15.31,742800,0
1997-06-13,15.25,15.38,15,15.19,586000,0
1997-06-16,15.12,15.25,15.06,15.12,796600,0
1997-06-17,14.38,14.75,14.19,14.44,7546800,0
1997-06-18,14.44,14.69,14.38,14.5,4001800,0
1997-06-19,14.44,14.44,14,14.12,1197000,0
1997-06-20,14.06,14.69,13.88,14.31,1658200,0
1997-06-23,14.62,14.88,14.19,14.25,1484200,0
1997-06-24,14.5,14.5,14.12,14.4,1516000,0
1997-06-25,14.4,15.06,13.5,14.75,1970000,0
1997-06-26,14.81,15.12,14.44,14.5,1438800,0
1997-06-27,14.56,14.75,14.44,14.53,1204400,0
1997-06-30,14.62,14.88,14.44,14.81,879600,0
1997-07-01,14.75,14.94,14.56,14.65,929200,0
1997-07-02,14.75,15,14.69,14.69,1033600,0
1997-07-03,14.75,14.88,14.44,14.47,902600,0
1997-07-07,14.5,14.6,14.22,14.22,1043200,0
1997-07-08,14.28,14.4,14.12,14.22,1285200,0
1997-07-09,14.35,14.44,14.03,14.03,1343600,0
1997-07-10,14,14.12,14,14.1,1504400,0
1997-07-11,14.12,14.12,13.9,14,1233600,0
1997-07-14,14,14.06,13.85,14,1277600,0
1997-07-15,13.97,14,13.56,13.94,1951400,0
1997-07-16,14.1,14.88,14.1,14.38,3243200,0
1997-07-17,14.38,14.4,13.81,13.94,1448800,0
1997-07-18,13.85,13.85,13.62,13.78,1518200,0
1997-07-21,13.72,13.78,13.62,13.72,1049200,0
1997-07-22,13.65,14.19,13.65,14.03,1089000,0
1997-07-23,14.03,14.19,14,14.15,1275400,0
1997-07-24,14.1,14.25,13.97,14.1,1271000,0
1997-07-25,14.1,14.25,14.03,14.15,1076200,0
1997-07-28,14.22,14.56,14.12,14.38,1345200,0
1997-07-29,14.28,14.88,14.28,14.78,1912000,0
1997-07-30,14.97,15.5,14.94,15.47,3110800,0
1997-07-31,15.5,16.25,15.38,16.03,3693800,0
1997-08-01,16.03,16.81,15.97,16.81,2622000,0
1997-08-04,16.69,16.69,16.09,16.25,1068400,0
1997-08-05,16.12,16.5,15.69,16.41,1180400,0
1997-08-06,16.38,16.75,16.25,16.72,1388800,0
1997-08-07,16.75,17.59,16.75,17.44,2064000,0
1997-08-08,17.25,17.25,16.53,17.12,1409800,0
1997-08-11,16.81,17,16.53,16.94,803200,0
1997-08-12,17.03,17.47,17.03,17.12,1296200,0
1997-08-13,17.12,17.44,16.97,17.41,942400,0
1997-08-14,17.5,17.78,17.5,17.66,962800,0
1997-08-15,17.59,17.66,17.31,17.44,558800,0
1997-08-18,17.34,17.84,17.31,17.62,754600,0
1997-08-19,17.84,17.84,17.31,17.38,516000,0
1997-08-20,17.25,17.5,17.16,17.31,1172200,0
1997-08-21,17.31,17.38,17.25,17.28,631600,0
1997-08-22,17,17.09,16.81,17,1141200,0
