Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.1195,2.1195,2.0348,2.0348,611989,0
1995-01-04,2.0348,2.1195,2.0348,2.0348,1731790,0
1995-01-05,2.1195,2.1195,1.9853,2.0773,3219014,0
1995-01-06,2.0348,2.0773,1.9853,1.9853,1803690,0
1995-01-09,1.9853,2.0773,1.9853,1.9853,1498826,0
1995-01-10,1.9853,2.0773,1.9853,2.0348,450074,0
1995-01-11,1.9853,2.0773,1.9429,1.9642,1382770,0
1995-01-12,1.9853,2.0348,1.9853,1.9853,603777,0
1995-01-13,1.9853,2.0348,1.9853,2.0348,605196,0
1995-01-16,1.9853,2.0348,1.9853,1.9853,2089586,0
1995-01-17,1.9853,2.0348,1.9429,1.9853,292124,0
1995-01-18,1.9429,2.0348,1.9006,1.9853,1283698,0
1995-01-19,1.9429,2.0348,1.9429,2.0348,338829,0
1995-01-20,2.0348,2.0348,1.9853,2.0348,219659,0
1995-01-23,1.9429,2.0348,1.9429,1.9853,466210,0
1995-01-24,1.9853,2.0773,1.9853,2.0348,655863,0
1995-01-25,2.0773,2.0773,2.0348,2.0773,161351,0
1995-01-26,2.0773,2.0773,2.0348,2.0773,214848,0
1995-01-27,2.0773,2.0773,1.9853,1.9853,465076,0
1995-01-30,1.9853,2.0773,1.9006,1.9853,844951,0
1995-01-31,1.9853,1.9853,1.7665,1.7665,2644393,0
1995-02-01,1.8087,1.8509,1.7665,1.8087,7560098,0
1995-02-02,1.7876,1.8509,1.7665,1.8509,10203923,0
1995-02-03,1.9006,1.9006,1.8509,1.9006,2557208,0
1995-02-06,1.9006,1.9218,1.8509,1.8509,678790,0
1995-02-07,1.9006,1.9006,1.8087,1.837,310239,0
1995-02-08,1.8087,1.9006,1.8087,1.8509,823719,0
1995-02-09,1.8509,1.8509,1.8087,1.8509,55194,0
1995-02-10,1.8087,1.9006,1.8087,1.8509,182859,0
1995-02-13,1.8087,1.9006,1.8087,1.9006,1111879,0
1995-02-14,1.9429,1.9429,1.8509,1.8509,285046,0
1995-02-15,1.8509,1.9429,1.8509,1.9006,707096,0
1995-02-16,1.8509,1.9429,1.8509,1.9006,317598,0
1995-02-17,1.8509,1.9429,1.8509,1.9429,1195100,0
1995-02-21,1.9006,1.9853,1.9006,1.9429,109264,0
1995-02-22,1.9006,1.9853,1.8509,1.9429,485454,0
1995-02-23,1.9429,1.9429,1.8509,1.9006,685866,0
1995-02-24,1.9006,1.9429,1.8509,1.9006,437617,0
1995-02-27,1.8509,1.9429,1.8087,1.8509,184840,0
1995-02-28,1.9006,1.9429,1.8087,1.9429,763427,0
1995-03-01,1.9429,1.9429,1.8509,1.9006,1848696,0
1995-03-02,1.8509,1.9006,1.8509,1.9006,1828881,0
1995-03-03,1.8509,1.9006,1.8087,1.9006,14452444,0
1995-03-06,1.8509,1.9429,1.8509,1.8509,3235148,0
1995-03-07,1.8509,1.9429,1.8509,1.8509,114642,0
1995-03-08,1.9006,2.1195,1.9006,2.0489,4456854,0
1995-03-09,2.0773,2.0773,2.0348,2.0489,3242794,0
1995-03-10,2.0773,2.0773,2.0348,2.0348,950532,0
1995-03-13,2.0489,2.0773,2.0348,2.0348,1049603,0
1995-03-14,2.0348,2.0773,2.0348,2.0773,728042,0
1995-03-15,2.0348,2.1195,2.0348,2.0348,159932,0
1995-03-16,2.1195,2.1195,2.0348,2.0985,49255,0
1995-03-17,2.0348,2.2962,2.0348,2.2045,1513549,0
1995-03-20,2.2045,2.2962,2.1619,2.1905,832779,0
1995-03-21,2.1619,2.2045,2.0348,2.0348,517445,0
1995-03-22,2.0348,2.1195,2.0348,2.0773,97941,0
1995-03-23,2.0773,2.1195,2.0348,2.0773,116622,0
1995-03-24,2.0773,2.1619,2.0348,2.0773,1643759,0
1995-03-27,2.0489,2.1195,1.9853,2.0773,199844,0
1995-03-28,1.9853,2.0773,1.9853,2.0773,69917,0
1995-03-29,1.9853,2.0773,1.9429,2.0348,970063,0
1995-03-30,2.0348,2.0773,1.9429,2.0773,3874026,0
1995-03-31,1.9853,2.1619,1.9853,2.1619,1196516,0
1995-04-03,2.0773,2.1619,2.0773,2.1195,1096029,0
1995-04-04,2.1195,2.1619,2.0773,2.0773,440165,0
1995-04-05,2.0773,2.2045,2.0773,2.2045,1225952,0
1995-04-06,2.2045,2.2045,2.1619,2.2045,888823,0
1995-04-07,2.1619,2.254,2.1619,2.254,2766955,0
1995-04-10,2.254,2.254,2.2045,2.254,558202,0
1995-04-11,2.254,2.3387,2.2045,2.2962,1098575,0
1995-04-12,2.2962,2.3387,2.254,2.254,318733,0
1995-04-13,2.254,2.3387,2.254,2.2962,440449,0
1995-04-17,2.3387,2.3881,2.254,2.3387,754652,0
1995-04-18,2.2962,2.473,2.2962,2.4518,1559404,0
1995-04-19,2.473,2.5576,2.3881,2.3881,2159505,0
1995-04-20,2.473,2.473,2.3387,2.4304,4368260,0
1995-04-21,2.473,2.473,2.2962,2.3881,2432661,0
1995-04-24,2.2962,2.4304,2.2962,2.3881,526501,0
1995-04-25,2.4304,2.473,2.2962,2.3668,2378878,0
1995-04-26,2.3881,2.4304,2.3387,2.4304,499328,0
1995-04-27,2.2962,2.4304,2.2962,2.4304,356663,0
1995-04-28,2.3387,2.4304,2.3387,2.3387,225320,0
1995-05-01,2.3387,2.4304,2.3387,2.4304,742479,0
1995-05-02,2.4304,2.4304,2.3387,2.3881,1244636,0
1995-05-03,2.4304,2.473,2.3881,2.4304,893351,0
1995-05-04,2.4304,2.473,2.3387,2.3668,233528,0
1995-05-05,2.4304,2.4304,2.3387,2.4304,575756,0
1995-05-08,2.3387,2.4304,2.3387,2.3881,2027310,0
1995-05-09,2.4304,2.4304,2.3387,2.3881,1624790,0
1995-05-10,2.3881,2.4304,2.3881,2.3881,112944,0
1995-05-11,2.4304,2.4304,2.3881,2.3881,1982871,0
1995-05-12,2.3387,2.3881,2.2962,2.2962,9017032,0
1995-05-15,2.3387,2.473,2.3387,2.473,1246336,0
1995-05-16,2.4304,2.5155,2.3881,2.4304,2661375,0
1995-05-17,2.3881,2.5155,2.3881,2.5155,2276409,0
1995-05-18,2.5155,2.5155,2.3881,2.4304,641992,0
1995-05-19,2.4304,2.4304,2.3881,2.4024,815793,0
1995-05-22,2.3881,2.473,2.3881,2.4024,661525,0
1995-05-23,2.3881,2.473,2.3881,2.4304,1229632,0
1995-05-24,2.473,2.473,2.3881,2.473,3994893,0
1995-05-25,2.473,2.5155,2.4304,2.473,2706953,0
