Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,30.487,30.487,29.849,29.849,380736,0
1995-01-04,29.64,29.64,28.154,28.516,1025994,0
1995-01-05,28.688,28.794,28.262,28.688,360071,0
1995-01-06,28.688,29,28.47,28.58,514610,0
1995-01-09,28.47,28.902,28.37,28.902,356406,0
1995-01-10,28.902,29.218,28.794,29.218,320741,0
1995-01-11,29.424,30.377,29.326,30.377,641818,0
1995-01-12,30.801,31.647,30.801,31.225,985891,0
1995-01-13,30.91,31.019,30.594,30.801,436171,0
1995-01-16,30.594,30.594,30.171,30.271,261085,0
1995-01-17,30.594,30.91,30.487,30.594,328740,0
1995-01-18,30.91,31.225,30.91,31.019,412953,0
1995-01-19,31.225,31.548,30.91,31.548,412732,0
1995-01-20,31.647,31.755,31.225,31.548,547827,0
1995-01-23,31.019,31.126,30.377,30.487,268749,0
1995-01-24,30.594,30.594,30.063,30.271,318519,0
1995-01-25,30.171,30.693,30.063,30.063,626155,0
1995-01-26,30.063,30.271,29.533,29.533,396177,0
1995-01-27,29.326,29.424,28.688,28.688,390180,0
1995-01-30,28.902,29.108,28.688,29.108,287633,0
1995-01-31,28.794,29.424,28.688,29.108,479058,0
1995-02-01,29.218,29.749,29.218,29.424,261301,0
1995-02-02,29.849,29.849,29.424,29.74,341850,0
1995-02-03,29.533,29.533,28.678,29.1,387513,0
1995-02-06,29.1,29.1,28.678,29,1026772,0
1995-02-07,28.785,28.893,28.145,28.253,760248,0
1995-02-08,28.47,28.678,28.253,28.678,577156,0
1995-02-09,28.785,29.1,28.785,29.1,493279,0
1995-02-10,29.1,29.316,29,29.1,198531,0
1995-02-13,29.1,29.1,28.785,29,435285,0
1995-02-14,29,29.316,28.893,29,470503,0
1995-02-15,29.209,29.316,29,29,331408,0
1995-02-16,29.1,29.533,29.1,29.316,314407,0
1995-02-17,29.424,30.594,29.424,30.271,548941,0
1995-02-21,30.377,31.019,30.377,31.019,579381,0
1995-02-22,31.019,31.655,30.91,31.548,554939,0
1995-02-23,31.655,31.755,30.801,30.801,475280,0
1995-02-24,31.019,31.019,30.271,30.693,423951,0
1995-02-27,30.594,30.693,30.162,30.594,294410,0
1995-02-28,30.693,30.693,30.487,30.693,303630,0
1995-03-01,30.487,30.594,29.955,30.063,290965,0
1995-03-02,30.063,31.334,30.063,30.801,732251,0
1995-03-03,30.91,31.225,29.955,30.063,380736,0
1995-03-06,30.487,31.973,30.377,31.973,807355,0
1995-03-07,32.504,34.626,32.394,34.516,2221192,0
1995-03-08,33.889,34.204,33.248,33.357,1467612,0
1995-03-09,33.455,34.419,33.455,33.889,681143,0
1995-03-10,33.889,33.889,32.926,33.248,656701,0
1995-03-13,33.889,34.098,33.671,33.671,601934,0
1995-03-14,33.671,34.098,33.564,34.098,275858,0
1995-03-15,34.312,34.735,33.99,34.204,440838,0
1995-03-16,33.781,33.889,33.564,33.781,457727,0
1995-03-17,33.781,34.951,33.564,34.626,842685,0
1995-03-20,34.312,35.799,34.312,35.265,517275,0
1995-03-21,35.158,35.691,34.735,34.735,397401,0
1995-03-22,34.626,35.265,34.626,34.626,290299,0
1995-03-23,34.626,34.951,34.419,34.843,332628,0
1995-03-24,34.843,34.843,34.204,34.204,443285,0
1995-03-27,34.312,34.626,33.889,34.626,276079,0
1995-03-28,34.516,35.158,34.312,35.158,352292,0
1995-03-29,35.158,35.582,34.843,34.843,445395,0
1995-03-30,35.051,36.644,35.051,36.221,973336,0
1995-03-31,37.176,37.283,36.014,36.327,1154094,0
1995-04-03,36.435,36.644,36.014,36.644,486281,0
1995-04-04,36.86,36.86,36.111,36.221,253747,0
1995-04-05,36.435,37.176,36.111,37.176,547272,0
1995-04-06,36.967,37.497,36.751,36.751,450061,0
1995-04-07,36.751,36.967,36.221,36.543,384068,0
1995-04-10,36.111,36.111,35.582,36.014,319185,0
1995-04-11,36.111,36.543,35.904,36.327,226642,0
1995-04-12,36.327,36.644,36.327,36.543,273525,0
1995-04-13,36.327,36.435,35.265,35.373,455948,0
1995-04-17,35.799,37.283,35.799,37.176,870681,0
1995-04-18,37.176,37.704,36.644,37.283,976557,0
1995-04-19,37.283,37.704,36.751,36.86,1136873,0
1995-04-20,36.644,36.751,35.481,35.582,557825,0
1995-04-21,35.481,36.111,35.265,36.111,387401,0
1995-04-24,36.111,36.543,36.014,36.435,232416,0
1995-04-25,36.111,36.644,36.014,36.435,213532,0
1995-04-26,36.435,36.435,35.481,35.481,529607,0
1995-04-27,35.481,36.543,35.373,36.543,514943,0
1995-04-28,36.543,36.751,35.481,35.582,488389,0
1995-05-01,35.799,36.111,35.158,35.799,562160,0
1995-05-02,35.582,36.435,35.582,35.799,387513,0
1995-05-03,35.582,35.904,35.481,35.582,462949,0
1995-05-04,35.582,36.327,35.373,35.904,524941,0
1995-05-05,35.691,35.799,34.951,35.265,250084,0
1995-05-08,35.265,35.691,35.158,35.265,169756,0
1995-05-09,35.265,35.265,33.142,33.564,788020,0
1995-05-10,33.455,33.781,32.926,33.142,643151,0
1995-05-11,33.142,33.142,32.504,32.61,770023,0
1995-05-12,32.828,33.035,32.504,32.718,556826,0
1995-05-15,32.926,33.889,32.828,33.671,432506,0
1995-05-16,33.564,34.098,33.455,33.889,313074,0
1995-05-17,33.671,34.419,33.455,34.419,408624,0
1995-05-18,34.204,35.051,34.204,35.051,617598,0
1995-05-19,34.843,35.158,34.735,34.735,365072,0
1995-05-22,34.626,34.951,34.516,34.516,259192,0
1995-05-23,34.626,35.051,34.516,35.051,554828,0
1995-05-24,35.158,36.014,35.051,36.014,510498,0
1995-05-25,36.327,36.426,35.79,35.896,415732,0
1995-05-26,35.896,36.644,35.582,35.79,557272,0
