Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.1917,3.1917,3.1506,3.1506,245075,0
1995-01-04,3.1791,3.2045,3.1791,3.2045,293709,0
1995-01-05,3.2045,3.2045,3.1917,3.2045,232436,0
1995-01-06,3.2045,3.2045,3.1917,3.1917,212858,0
1995-01-09,3.1917,3.2045,3.1791,3.2045,142431,0
1995-01-10,3.2045,3.2045,3.1917,3.2045,511625,0
1995-01-11,3.2045,3.2045,3.1633,3.2045,584899,0
1995-01-12,3.2045,3.2045,3.1791,3.1791,198019,0
1995-01-13,3.1917,3.2045,3.1917,3.2045,744386,0
1995-01-16,3.1917,3.2582,3.1917,3.2582,1687404,0
1995-01-17,3.2455,3.2582,3.2045,3.2328,398878,0
1995-01-18,3.2328,3.2455,3.2171,3.2328,563735,0
1995-01-19,3.2171,3.2455,3.2171,3.2455,552997,0
1995-01-20,3.2455,3.2455,3.2328,3.2455,113696,0
1995-01-23,3.2328,3.2582,3.2328,3.2582,498992,0
1995-01-24,3.2455,3.2867,3.2455,3.2867,3665693,0
1995-01-25,3.274,3.3152,3.274,3.3152,1160631,0
1995-01-26,3.3152,3.3152,3.2867,3.2867,1737310,0
1995-01-27,3.2994,3.3152,3.2994,3.3152,712804,0
1995-01-30,3.3152,3.328,3.2994,3.328,569419,0
1995-01-31,3.3152,3.3406,3.2867,3.328,1199155,0
1995-02-01,3.3406,3.3563,3.328,3.3563,290559,0
1995-02-02,3.3563,3.3687,3.3406,3.3687,416884,0
1995-02-03,3.3815,3.4355,3.3815,3.4228,655004,0
1995-02-06,3.4228,3.4641,3.4228,3.4641,313919,0
1995-02-07,3.451,3.4641,3.4355,3.4641,844492,0
1995-02-08,3.4772,3.5176,3.451,3.451,1392121,0
1995-02-09,3.4641,3.4641,3.3973,3.4102,392874,0
1995-02-10,3.4102,3.4228,3.3973,3.4228,555202,0
1995-02-13,3.4228,3.4228,3.4102,3.4102,623114,0
1995-02-14,3.4102,3.4102,3.3815,3.3973,323402,0
1995-02-15,3.3973,3.4228,3.3973,3.4228,375828,0
1995-02-16,3.4102,3.4355,3.3973,3.4102,279813,0
1995-02-17,3.4102,3.4355,3.3973,3.4355,533415,0
1995-02-21,3.451,3.451,3.4102,3.4102,509104,0
1995-02-22,3.4228,3.451,3.4102,3.451,428243,0
1995-02-23,3.4228,3.451,3.4228,3.4355,390667,0
1995-02-24,3.4355,3.4355,3.4102,3.4228,177180,0
1995-02-27,3.4355,3.451,3.4228,3.4355,214760,0
1995-02-28,3.4355,3.451,3.4102,3.451,364454,0
1995-03-01,3.451,3.451,3.4102,3.4228,247285,0
1995-03-02,3.4102,3.4228,3.3973,3.3973,391620,0
1995-03-03,3.3815,3.3815,3.3406,3.3563,262442,0
1995-03-06,3.3563,3.3563,3.328,3.328,127911,0
1995-03-07,3.328,3.3563,3.3152,3.3152,425405,0
1995-03-08,3.3152,3.3406,3.2994,3.328,984721,0
1995-03-09,3.328,3.328,3.3152,3.3152,88424,0
1995-03-10,3.328,3.3406,3.3152,3.3406,284552,0
1995-03-13,3.328,3.3687,3.328,3.3563,147484,0
1995-03-14,3.3687,3.4102,3.3563,3.3973,389404,0
1995-03-15,3.3973,3.3973,3.3563,3.3815,492043,0
1995-03-16,3.3687,3.4102,3.3687,3.3973,641739,0
1995-03-17,3.3815,3.4228,3.3687,3.3973,1063361,0
1995-03-20,3.3973,3.4102,3.3815,3.3815,240334,0
1995-03-21,3.3973,3.3973,3.3563,3.3815,528680,0
1995-03-22,3.3973,3.3973,3.3687,3.3815,215073,0
1995-03-23,3.3687,3.3815,3.3563,3.3563,172753,0
1995-03-24,3.3687,3.4102,3.3687,3.3973,297184,0
1995-03-27,3.4102,3.4102,3.3973,3.3973,325928,0
1995-03-28,3.4102,3.4102,3.3815,3.3815,330978,0
1995-03-29,3.3973,3.4102,3.3973,3.4102,144013,0
1995-03-30,3.3973,3.4102,3.3973,3.3973,433302,0
1995-03-31,3.3973,3.4102,3.3973,3.3973,937662,0
1995-04-03,3.3973,3.4039,3.3563,3.3815,573526,0
1995-04-04,3.3815,3.4228,3.3815,3.4228,188858,0
1995-04-05,3.4228,3.451,3.4228,3.451,257395,0
1995-04-06,3.4355,3.4641,3.4355,3.451,785753,0
1995-04-07,3.451,3.4641,3.451,3.451,74226,0
1995-04-10,3.451,3.4641,3.451,3.4641,109899,0
1995-04-11,3.4641,3.4927,3.4641,3.4641,530253,0
1995-04-12,3.4641,3.5047,3.4641,3.5047,462677,0
1995-04-13,3.5047,3.5176,3.5047,3.5176,96005,0
1995-04-17,3.5464,3.5746,3.534,3.5464,1023887,0
1995-04-18,3.5464,3.5589,3.5464,3.5589,459832,0
1995-04-19,3.5464,3.5589,3.5464,3.5464,429827,0
1995-04-20,3.534,3.5589,3.534,3.5464,220441,0
1995-04-21,3.5464,3.5589,3.5464,3.5464,2106507,0
1995-04-24,3.5622,3.5746,3.534,3.5746,758909,0
1995-04-25,3.5622,3.5908,3.5464,3.5746,1215584,0
1995-04-26,3.5746,3.5908,3.5622,3.5746,380243,0
1995-04-27,3.5908,3.5908,3.5622,3.5746,1151158,0
1995-04-28,3.5622,3.5746,3.5622,3.5622,1007779,0
1995-05-01,3.5622,3.5622,3.5208,3.5464,201492,0
1995-05-02,3.5464,3.5622,3.5464,3.5464,120643,0
1995-05-03,3.5464,3.5746,3.5464,3.5746,526786,0
1995-05-04,3.5746,3.5908,3.5746,3.5908,216016,0
1995-05-05,3.5908,3.6163,3.5908,3.6032,498043,0
1995-05-08,3.6032,3.6032,3.5908,3.5908,186331,0
1995-05-09,3.6032,3.6447,3.6032,3.6318,567201,0
1995-05-10,3.6318,3.6447,3.6163,3.6163,168020,0
1995-05-11,3.6163,3.6163,3.5908,3.6032,276656,0
1995-05-12,3.5908,3.6032,3.5908,3.5908,221705,0
1995-05-15,3.6032,3.6163,3.6032,3.6032,714058,0
1995-05-16,3.6163,3.6318,3.6032,3.6163,166124,0
1995-05-17,3.6163,3.6318,3.6032,3.6163,148115,0
1995-05-18,3.6032,3.6163,3.5908,3.5908,210017,0
1995-05-19,3.5908,3.5908,3.5746,3.5908,387199,0
1995-05-22,3.6163,3.6318,3.6032,3.6163,293400,0
1995-05-23,3.6318,3.6571,3.6163,3.6571,474354,0
1995-05-24,3.6571,3.6859,3.6571,3.6734,350556,0
1995-05-25,3.6859,3.7401,3.6859,3.7142,607638,0
1995-05-26,3.727,3.7546,3.7142,3.7401,179385,0
1995-05-30,3.7678,3.797,3.7546,3.7839,224550,0
1995-05-31,3.7839,3.8089,3.7839,3.8089,320554,0
1995-06-01,3.797,3.8089,3.7839,3.8089,394457,0
1995-06-02,3.8248,3.8509,3.8248,3.8377,111482,0
1995-06-05,3.8661,3.8913,3.8509,3.8913,297184,0
1995-06-06,3.8785,3.8785,3.8377,3.8377,363187,0
1995-06-07,3.8509,3.8509,3.7839,3.797,281710,0
1995-06-08,3.797,3.797,3.7546,3.7546,522359,0
1995-06-09,3.7678,3.7678,3.7142,3.7401,347400,0
1995-06-12,3.7546,3.7839,3.7401,3.7678,274763,0
1995-06-13,3.7678,3.8089,3.7678,3.797,520470,0
1995-06-14,3.797,3.797,3.7401,3.7401,253284,0
1995-06-15,3.7401,3.7546,3.7142,3.7142,184751,0
1995-06-16,3.7142,3.727,3.7142,3.727,162328,0
1995-06-19,3.727,3.7546,3.727,3.7401,159489,0
1995-06-20,3.7546,3.7546,3.7401,3.7401,99163,0
1995-06-21,3.7401,3.7546,3.727,3.7401,159170,0
1995-06-22,3.727,3.7678,3.727,3.7678,283612,0
1995-06-23,3.7839,3.797,3.7401,3.7678,167704,0
1995-06-26,3.7839,3.7839,3.727,3.727,204964,0
1995-06-27,3.727,3.7401,3.7142,3.7142,415937,0
1995-06-28,3.727,3.7839,3.727,3.7839,195497,0
1995-06-29,3.7839,3.797,3.7401,3.7401,360028,0
1995-06-30,3.7401,3.7839,3.7401,3.7546,345504,0
1995-07-03,3.7546,3.7546,3.7075,3.7142,519839,0
1995-07-05,3.7142,3.7401,3.6859,3.6986,220441,0
1995-07-06,3.6986,3.7142,3.6859,3.7142,368242,0
1995-07-07,3.7142,3.7401,3.6986,3.7142,397615,0
1995-07-10,3.7142,3.727,3.6571,3.6986,134535,0
1995-07-11,3.6734,3.6986,3.6571,3.6734,188858,0
1995-07-12,3.6571,3.6859,3.6571,3.6859,152541,0
1995-07-13,3.6986,3.6986,3.6571,3.6571,154747,0
1995-07-14,3.6447,3.6734,3.6447,3.6447,314236,0
1995-07-17,3.6571,3.6571,3.6032,3.6163,451298,0
1995-07-18,3.6163,3.6318,3.6032,3.6318,718801,0
1995-07-19,3.6318,3.6318,3.5908,3.6163,1570248,0
1995-07-20,3.6163,3.6318,3.5908,3.6032,999245,0
1995-07-21,3.6032,3.6163,3.5908,3.6163,290870,0
1995-07-24,3.6318,3.6571,3.6318,3.6571,157588,0
1995-07-25,3.6571,3.6734,3.6163,3.6447,615538,0
1995-07-26,3.6447,3.6571,3.6032,3.6163,2223040,0
1995-07-27,3.6032,3.6318,3.6032,3.6318,1399705,0
1995-07-28,3.6318,3.6604,3.6318,3.6476,1460336,0
1995-07-31,3.6476,3.6604,3.6192,3.6604,454463,0
