Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.9584,1.9584,1.9031,1.9031,23205225,0
1995-01-04,1.9031,1.9168,1.8893,1.9007,13294474,0
1995-01-05,1.8985,1.9168,1.8985,1.9007,8617886,0
1995-01-06,1.8941,1.91,1.8709,1.8869,9708629,0
1995-01-09,1.8825,1.9031,1.8825,1.9007,3432517,0
1995-01-10,1.9076,1.9238,1.9031,1.9031,13092366,0
1995-01-11,1.9076,1.9146,1.8779,1.8985,6826700,0
1995-01-12,1.8941,1.9076,1.8893,1.8985,5540822,0
1995-01-13,1.8893,1.9146,1.8893,1.9076,8976820,0
1995-01-16,1.9031,1.9421,1.9031,1.9307,9461215,0
1995-01-17,1.9238,1.9307,1.9168,1.9238,12475551,0
1995-01-18,1.9238,1.9238,1.9007,1.9168,6906854,0
1995-01-19,1.91,1.91,1.8869,1.8941,6621106,0
1995-01-20,1.8941,1.9007,1.8825,1.9007,7102004,0
1995-01-23,1.8941,1.9421,1.8941,1.9421,8245022,0
1995-01-24,1.9373,1.9373,1.8847,1.9146,7551547,0
1995-01-25,1.9007,1.9467,1.9007,1.9307,9928174,0
1995-01-26,1.9262,1.9307,1.9146,1.9215,4516296,0
1995-01-27,1.9307,1.9467,1.9307,1.9352,3585847,0
1995-01-30,1.9262,1.9421,1.9238,1.9238,4338562,0
1995-01-31,1.91,1.91,1.8457,1.8779,13137661,0
1995-02-01,1.8641,1.8641,1.8184,1.848,17727134,0
1995-02-02,1.8503,1.8709,1.8457,1.848,5850968,0
1995-02-03,1.8503,1.8985,1.8503,1.8779,8924552,0
1995-02-06,1.8847,1.8847,1.8252,1.832,18675000,0
1995-02-07,1.8388,1.8549,1.8388,1.848,12193286,0
1995-02-08,1.848,1.848,1.832,1.8388,5986876,0
1995-02-09,1.8388,1.8503,1.8388,1.8388,4112048,0
1995-02-10,1.8412,1.8618,1.8412,1.8596,9914235,0
1995-02-13,1.8618,1.8734,1.8618,1.8664,3878575,0
1995-02-14,1.8641,1.8664,1.8618,1.8664,3279190,0
1995-02-15,1.8734,1.8734,1.8457,1.848,9137115,0
1995-02-16,1.8549,1.8549,1.8388,1.8503,4209631,0
1995-02-17,1.8503,1.8596,1.8412,1.8549,4411748,0
1995-02-21,1.8503,1.8941,1.848,1.8893,19696045,0
1995-02-22,1.8869,1.8985,1.8664,1.8893,9757422,0
1995-02-23,1.8985,1.9168,1.8985,1.9168,10105896,0
1995-02-24,1.9168,1.9467,1.9146,1.9467,4390843,0
1995-02-27,1.9584,1.9584,1.9031,1.9215,10562399,0
1995-02-28,1.9238,1.9352,1.9007,1.9007,5906714,0
1995-03-01,1.9007,1.9262,1.8941,1.9262,5471120,0
1995-03-02,1.9307,1.9605,1.9215,1.9605,7394736,0
1995-03-03,1.9536,1.9741,1.9467,1.9673,6307475,0
1995-03-06,1.9673,1.9741,1.9373,1.9605,4171287,0
1995-03-07,1.9605,1.9628,1.9373,1.9421,4753258,0
1995-03-08,1.9491,2.0019,1.9373,1.9859,16280943,0
