Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.547,13.594,13.51,13.594,111854,0
1995-01-04,13.594,13.749,13.594,13.709,382543,0
1995-01-05,13.709,13.786,13.67,13.749,34518,0
1995-01-06,13.749,13.786,13.749,13.749,58394,0
1995-01-09,13.709,13.833,13.709,13.833,110302,0
1995-01-10,13.786,13.786,13.625,13.625,481684,0
1995-01-11,13.471,13.471,13.225,13.31,207362,0
1995-01-12,13.31,13.471,13.31,13.471,305986,0
1995-01-13,13.147,13.31,13.147,13.225,652456,0
1995-01-16,13.31,13.31,13.183,13.262,185046,0
1995-01-17,13.183,13.183,13.022,13.147,238765,0
1995-01-18,13.1,13.147,12.985,13.062,258489,0
1995-01-19,13.062,13.1,13.062,13.062,135213,0
1995-01-20,13.062,13.1,13.022,13.022,616379,0
1995-01-23,12.948,13.022,12.824,12.985,425369,0
1995-01-24,12.948,13.062,12.948,13.022,240844,0
1995-01-25,13.1,13.183,13.022,13.183,306763,0
1995-01-26,13.183,13.262,13.147,13.225,455472,0
1995-01-27,13.225,13.349,13.225,13.262,191537,0
1995-01-30,13.225,13.225,13.062,13.1,161690,0
1995-01-31,13.147,13.225,12.907,13.022,202173,0
1995-02-01,13.022,13.183,13.022,13.183,105630,0
1995-02-02,13.1,13.384,13.1,13.384,113935,0
1995-02-03,13.384,13.709,13.384,13.67,249670,0
1995-02-06,13.594,13.625,13.471,13.471,117047,0
1995-02-07,13.51,13.547,13.471,13.51,226311,0
1995-02-08,13.547,13.625,13.51,13.51,214630,0
1995-02-09,13.51,13.594,13.51,13.51,137031,0
1995-02-10,13.547,13.594,13.547,13.547,127689,0
1995-02-13,13.471,13.547,13.471,13.547,26472,0
1995-02-14,13.471,13.51,13.349,13.384,179332,0
1995-02-15,13.31,14.033,13.183,13.833,793119,0
1995-02-16,13.872,13.91,13.625,13.91,563699,0
1995-02-17,14.033,14.119,13.833,13.872,744587,0
1995-02-21,13.833,14.041,13.802,13.956,364380,0
1995-02-22,13.956,14.326,13.925,14.288,323371,0
1995-02-23,14.365,14.365,14.164,14.203,857485,0
1995-02-24,14.288,14.365,14.24,14.326,389811,0
1995-02-27,14.24,14.326,14.164,14.288,520614,0
1995-02-28,14.326,14.449,14.288,14.449,176741,0
1995-03-01,14.534,14.973,14.487,14.897,692939,0
1995-03-02,14.818,15.181,14.734,15.096,288337,0
1995-03-03,15.019,15.019,14.858,14.973,410575,0
1995-03-06,14.973,14.973,14.773,14.973,334016,0
1995-03-07,14.942,14.942,14.773,14.818,427185,0
1995-03-08,14.858,14.942,14.773,14.897,255376,0
1995-03-09,14.942,15.304,14.942,15.136,899527,0
1995-03-10,15.221,15.715,15.136,15.507,666210,0
1995-03-13,15.467,15.715,15.428,15.715,686713,0
1995-03-14,15.715,15.753,15.589,15.675,310396,0
1995-03-15,15.675,15.675,15.38,15.507,67736,0
1995-03-16,15.507,15.552,15.428,15.467,130284,0
1995-03-17,15.467,15.552,15.38,15.467,264460,0
1995-03-20,15.38,15.552,15.38,15.552,171547,0
1995-03-21,15.507,15.675,15.507,15.675,412392,0
1995-03-22,15.627,15.675,15.467,15.467,557985,0
1995-03-23,15.467,15.589,15.428,15.589,366970,0
1995-03-24,15.552,15.627,15.507,15.589,348288,0
1995-03-27,15.627,15.627,15.467,15.507,405903,0
1995-03-28,15.552,15.602,15.507,15.552,541376,0
1995-03-29,15.552,15.753,15.507,15.715,541894,0
1995-03-30,15.753,16.2,15.715,16.2,394747,0
1995-03-31,16.159,16.159,15.715,15.914,277436,0
1995-04-03,15.99,16.406,15.99,16.238,553834,0
1995-04-04,16.238,16.238,16.074,16.159,186084,0
1995-04-05,16.074,16.277,16.074,16.277,238248,0
1995-04-06,16.446,16.53,16.322,16.406,664394,0
1995-04-07,16.406,16.406,16.159,16.277,169992,0
1995-04-10,16.2,16.238,16.159,16.238,161946,0
1995-04-11,16.238,16.277,16.2,16.2,86420,0
1995-04-12,16.2,16.359,16.159,16.359,234093,0
1995-04-13,16.359,16.446,16.359,16.446,115491,0
1995-04-17,16.53,16.722,16.53,16.644,379172,0
1995-04-18,16.644,16.644,16.238,16.238,418619,0
1995-04-19,16.238,16.644,16.2,16.644,237470,0
1995-04-20,16.607,16.607,16.359,16.53,120158,0
1995-04-21,16.568,16.568,16.238,16.238,804538,0
1995-04-24,16.322,16.568,16.277,16.484,239805,0
1995-04-25,16.484,16.484,16.159,16.159,198020,0
1995-04-26,16.238,16.359,16.238,16.277,245774,0
1995-04-27,16.277,16.277,15.914,16.113,552277,0
1995-04-28,16.113,16.2,16.038,16.159,413947,0
1995-05-01,16.2,16.238,16.074,16.159,215408,0
1995-05-02,16.113,16.277,16.074,16.159,812064,0
1995-05-03,15.952,16.359,15.914,16.277,481684,0
1995-05-04,16.322,16.446,16.238,16.238,608596,0
1995-05-05,16.238,16.238,15.914,15.914,634805,0
1995-05-08,15.715,15.789,15.715,15.753,276139,0
1995-05-09,15.834,15.874,15.715,15.753,272245,0
1995-05-10,15.834,15.834,15.38,15.552,165319,0
1995-05-11,15.552,15.715,15.304,15.675,280551,0
1995-05-12,15.627,16.074,15.627,16.074,221898,0
1995-05-15,16.074,16.2,16.074,16.2,393960,0
1995-05-16,16.113,16.359,16.074,16.322,347768,0
1995-05-17,16.277,16.406,16.277,16.359,164800,0
1995-05-18,16.359,16.359,16.2,16.238,171288,0
1995-05-19,16.113,16.159,15.99,16.113,507380,0
1995-05-22,16.113,16.768,16.113,16.691,459625,0
1995-05-23,16.653,16.653,16.492,16.653,220857,0
1995-05-24,16.653,17.023,16.653,16.861,302093,0
1995-05-25,16.861,16.984,16.816,16.938,261606,0
1995-05-26,16.938,16.938,16.9,16.9,171547,0
1995-05-30,16.938,17.023,16.9,17.023,180631,0
1995-05-31,16.984,17.184,16.984,17.184,266016,0
1995-06-01,17.109,17.184,17.023,17.184,186340,0
1995-06-02,17.109,17.146,16.984,17.109,236951,0
1995-06-05,17.184,17.23,17.087,17.146,257194,0
1995-06-06,17.146,17.478,17.063,17.478,193348,0
1995-06-07,17.43,17.43,17.27,17.311,172587,0
1995-06-08,17.063,17.109,16.653,17.109,243699,0
1995-06-09,17.063,17.109,16.9,16.9,200874,0
1995-06-12,16.9,17.23,16.9,17.184,314028,0
1995-06-13,17.478,17.478,17.311,17.356,358414,0
1995-06-14,17.393,17.393,17.146,17.27,307281,0
1995-06-15,17.23,17.393,17.184,17.23,358671,0
1995-06-16,17.356,17.356,17.27,17.356,342318,0
1995-06-19,17.27,17.517,17.27,17.517,256153,0
1995-06-20,17.43,17.603,17.43,17.603,310396,0
1995-06-21,17.563,17.64,17.517,17.603,356853,0
1995-06-22,17.517,17.723,17.517,17.723,411614,0
1995-06-23,17.723,17.723,17.43,17.478,132101,0
1995-06-26,17.43,17.43,17.146,17.146,170250,0
1995-06-27,17.23,17.23,16.984,17.023,203991,0
