Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.68,13.994,13.68,13.96,641499,0
1995-01-04,13.933,14.101,13.874,14.052,697219,0
1995-01-05,14.019,14.101,13.96,14.078,551490,0
1995-01-06,14.019,14.303,13.994,14.222,875095,0
1995-01-09,14.186,14.222,14.101,14.186,596134,0
1995-01-10,14.16,14.303,14.078,14.078,450765,0
1995-01-11,14.078,14.186,14.052,14.186,648283,0
1995-01-12,14.186,14.222,14.135,14.135,476837,0
1995-01-13,14.135,14.303,14.052,14.279,887595,0
1995-01-16,14.329,14.64,14.303,14.497,934745,0
1995-01-17,14.413,14.64,14.413,14.64,625424,0
1995-01-18,14.588,14.615,14.279,14.361,537558,0
1995-01-19,14.303,14.329,14.222,14.279,398971,0
1995-01-20,14.303,14.303,14.135,14.135,1114407,0
1995-01-23,14.019,14.389,13.994,14.329,518982,0
1995-01-24,14.361,14.446,14.135,14.135,639353,0
1995-01-25,14.019,14.446,14.019,14.361,1044756,0
1995-01-26,14.361,14.389,14.16,14.303,331823,0
1995-01-27,14.361,14.413,14.329,14.361,283604,0
1995-01-30,14.337,14.337,14.16,14.194,249312,0
1995-01-31,14.135,14.16,14.052,14.135,680429,0
1995-02-01,14.194,14.253,13.968,14.052,703647,0
1995-02-02,14.11,14.16,14.019,14.16,331105,0
1995-02-03,14.253,14.337,14.222,14.279,795089,0
1995-02-06,14.16,14.337,14.16,14.303,658640,0
1995-02-07,14.253,14.337,14.222,14.253,550059,0
1995-02-08,14.222,14.253,14.11,14.135,374684,0
1995-02-09,14.194,14.222,14.052,14.11,550418,0
1995-02-10,14.11,14.337,14.078,14.279,1130126,0
1995-02-13,14.279,14.481,14.253,14.446,1055114,0
1995-02-14,14.481,14.481,13.968,14.253,805091,0
1995-02-15,14.303,14.674,14.279,14.649,809733,0
1995-02-16,14.649,14.85,14.588,14.816,706150,0
1995-02-17,14.816,14.85,14.766,14.766,1043684,0
1995-02-21,14.766,14.876,14.766,14.816,770799,0
1995-02-22,14.766,15.016,14.766,14.96,515057,0
1995-02-23,14.992,15.138,14.934,15.102,636140,0
1995-02-24,15.102,15.191,15.016,15.163,510056,0
1995-02-27,15.163,15.191,14.876,14.876,801873,0
1995-02-28,14.876,15.163,14.876,15.075,830088,0
1995-03-01,15.075,15.075,14.792,14.876,700432,0
1995-03-02,14.934,14.934,14.792,14.85,430403,0
1995-03-03,14.907,14.992,14.816,14.934,760085,0
1995-03-06,14.816,14.876,14.707,14.85,689003,0
1995-03-07,14.907,14.907,14.649,14.731,970109,0
1995-03-08,14.766,14.816,14.674,14.674,787941,0
1995-03-09,14.731,14.731,14.622,14.622,482195,0
1995-03-10,14.622,15.191,14.622,15.049,1449441,0
1995-03-13,15.016,15.016,14.816,14.876,1192629,0
1995-03-14,14.907,15.163,14.876,15.049,834733,0
1995-03-15,14.992,15.016,14.766,14.85,827230,0
1995-03-16,14.816,15.306,14.792,15.216,842948,0
1995-03-17,15.243,15.42,15.191,15.338,1402296,0
1995-03-20,15.338,15.42,15.163,15.42,736511,0
1995-03-21,15.338,15.53,15.016,15.049,625064,0
1995-03-22,15.075,15.163,14.876,14.934,827230,0
1995-03-23,14.85,14.96,14.816,14.85,1110122,0
1995-03-24,14.876,14.992,14.816,14.96,1456227,0
1995-03-27,15.016,15.338,14.96,15.338,740797,0
1995-03-28,15.279,15.279,15.163,15.216,440407,0
1995-03-29,15.216,15.445,15.138,15.191,631142,0
1995-03-30,15.216,15.445,15.216,15.306,445049,0
1995-03-31,15.243,15.243,15.049,15.243,473265,0
1995-04-03,15.191,15.279,15.075,15.138,272174,0
1995-04-04,15.163,15.386,15.138,15.306,496124,0
1995-04-05,15.243,15.243,14.96,15.102,410760,0
1995-04-06,15.163,15.445,15.138,15.445,440762,0
1995-04-07,15.42,15.42,15.138,15.191,554704,0
1995-04-10,15.138,15.138,14.992,15.016,385040,0
1995-04-11,15.049,15.075,14.992,15.049,358254,0
1995-04-12,14.992,15.049,14.907,15.016,473265,0
1995-04-13,15.016,15.138,14.96,15.075,528631,0
1995-04-17,15.075,15.163,14.876,14.96,546847,0
1995-04-18,15.075,15.075,14.792,14.792,475765,0
1995-04-19,14.85,14.85,14.622,14.731,1089403,0
1995-04-20,14.731,14.992,14.707,14.876,529699,0
1995-04-21,15.016,15.216,14.934,15.216,1412653,0
1995-04-24,15.163,15.163,14.934,15.163,537203,0
1995-04-25,15.075,15.191,15.016,15.049,410760,0
1995-04-26,14.96,14.992,14.934,14.992,298961,0
1995-04-27,14.992,14.992,14.792,14.96,310393,0
1995-04-28,14.96,15.361,14.907,15.361,559349,0
1995-05-01,15.338,15.361,15.138,15.17,437191,0
1995-05-02,15.111,15.17,15.016,15.111,341464,0
1995-05-03,15.075,15.138,14.992,15.111,697219,0
1995-05-04,15.075,15.111,14.876,14.876,674000,0
1995-05-05,14.934,14.97,14.421,14.766,1110474,0
1995-05-08,14.766,14.907,14.649,14.816,939032,0
1995-05-09,14.816,14.934,14.707,14.876,563635,0
1995-05-10,14.876,14.876,14.622,14.674,542917,0
1995-05-11,14.649,14.992,14.649,14.876,1174412,0
1995-05-12,14.816,14.992,14.816,14.876,625783,0
1995-05-15,14.876,15.016,14.816,14.992,543274,0
1995-05-16,15.049,15.17,15.016,15.075,456120,0
1995-05-17,15.075,15.138,14.97,14.992,528631,0
1995-05-18,14.907,14.934,14.766,14.766,458262,0
1995-05-19,14.649,14.97,14.649,14.97,1130483,0
1995-05-22,14.97,15.111,14.934,15.111,505770,0
1995-05-23,15.17,15.17,14.766,15.111,717218,0
1995-05-24,15.111,15.138,14.97,15.111,418618,0
1995-05-25,15.016,15.016,14.876,14.97,653999,0
1995-05-26,14.97,14.97,14.792,14.876,1092976,0
1995-05-30,14.907,15.216,14.907,15.075,997966,0
1995-05-31,15.049,15.741,15.016,15.741,1131193,0
1995-06-01,15.597,15.597,15.314,15.455,1341931,0
1995-06-02,15.111,15.216,14.876,15.049,1583745,0
1995-06-05,15.016,15.17,15.016,15.075,1500521,0
1995-06-06,15.016,15.138,15.016,15.111,839380,0
1995-06-07,15.049,15.111,14.85,14.97,586135,0
1995-06-08,14.907,14.934,14.792,14.85,439332,0
1995-06-09,14.816,14.85,14.674,14.674,517199,0
1995-06-12,14.731,14.992,14.707,14.934,667930,0
1995-06-13,15.049,15.279,14.97,14.992,1327641,0
1995-06-14,14.97,15.049,14.97,15.016,628995,0
1995-06-15,15.016,15.016,14.85,14.876,559706,0
1995-06-16,14.907,15.016,14.85,15.016,1614459,0
1995-06-19,14.992,15.191,14.97,15.016,1054401,0
1995-06-20,14.992,15.138,14.992,15.016,776158,0
1995-06-21,15.049,15.075,14.97,14.97,655428,0
1995-06-22,15.016,15.138,14.992,15.138,743652,0
1995-06-23,15.111,15.252,15.075,15.252,578279,0
1995-06-26,15.17,15.338,15.016,15.049,1404077,0
1995-06-27,15.075,15.361,15.049,15.314,617566,0
1995-06-28,15.361,15.597,15.314,15.563,939032,0
1995-06-29,15.538,15.563,15.216,15.216,840093,0
1995-06-30,15.216,15.513,14.992,15.481,973320,0
1995-07-03,15.42,15.597,15.42,15.597,178589,0
1995-07-05,15.563,15.623,15.455,15.563,1343359,0
1995-07-06,15.513,15.705,15.513,15.623,858665,0
1995-07-07,15.623,16.343,15.513,16.314,1969856,0
1995-07-10,16.226,16.832,16.2,16.746,1130126,0
