Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.7831,6.8778,6.6883,6.835,245505,0
1995-01-04,6.9296,7.0244,6.835,7.0244,519790,0
1995-01-05,7.0244,7.0244,6.9296,6.9296,647875,0
1995-01-06,6.9296,7.0244,6.9296,7.0244,179138,0
1995-01-09,6.9726,6.9986,6.8778,6.8778,474771,0
1995-01-10,6.9726,6.9726,6.8778,6.8778,356888,0
1995-01-11,6.8778,6.9726,6.835,6.8778,230655,0
1995-01-12,6.9296,6.9296,6.835,6.9296,895701,0
1995-01-13,6.7831,7.0244,6.7831,7.0244,806595,0
1995-01-16,7.0244,7.1624,6.9726,7.0674,624206,0
1995-01-17,7.1194,7.1624,6.6883,6.7831,6452298,0
1995-01-18,6.7831,6.7831,6.4985,6.4985,2486151,0
1995-01-19,6.4985,6.5419,6.4472,6.4472,1111040,0
1995-01-20,6.4472,6.5419,6.2145,6.309,2094451,0
1995-01-23,6.2573,6.2573,6.0679,6.1625,2017881,0
1995-01-24,6.1625,6.309,6.1366,6.2573,766219,0
1995-01-25,6.2573,6.404,6.2145,6.3782,1064164,0
1995-01-26,6.3262,6.4985,6.309,6.4726,520249,0
1995-01-27,6.4985,6.5419,6.404,6.404,325795,0
1995-01-30,6.404,6.4472,6.352,6.352,293771,0
1995-01-31,6.352,6.404,6.2573,6.309,578261,0
1995-02-01,6.404,6.404,6.2145,6.2833,970887,0
1995-02-02,6.2145,6.352,6.2145,6.3262,798707,0
1995-02-03,6.404,6.6883,6.309,6.645,1587202,0
1995-02-06,6.6883,6.7831,6.5935,6.7401,959281,0
1995-02-07,6.7401,6.7401,6.5935,6.645,1164877,0
1995-02-08,6.5935,6.6883,6.5935,6.6622,391231,0
1995-02-09,6.6883,6.6883,6.4985,6.4985,607499,0
1995-02-10,6.4472,6.5935,6.4472,6.5935,956034,0
1995-02-13,6.4985,6.5935,6.4985,6.5935,383807,0
1995-02-14,6.645,6.645,6.4985,6.5935,628851,0
1995-02-15,6.5935,6.6883,6.4985,6.645,294703,0
1995-02-16,6.6883,6.6883,6.5935,6.645,232976,0
1995-02-17,6.645,6.645,6.4472,6.4985,912871,0
1995-02-21,6.5935,6.5935,6.4985,6.5243,302589,0
1995-02-22,6.4985,6.5935,6.4985,6.4985,244575,0
1995-02-23,6.5935,6.5935,6.4985,6.5419,502613,0
1995-02-24,6.5419,6.5935,6.5419,6.5419,107204,0
1995-02-27,6.5935,6.5935,6.4472,6.4985,1019618,0
1995-02-28,6.4472,6.5935,6.4472,6.4985,837691,0
1995-03-01,6.5419,6.5419,6.4985,6.4985,355034,0
1995-03-02,6.5243,6.5935,6.4985,6.5935,336004,0
1995-03-03,6.5935,6.5935,6.4985,6.5243,520712,0
1995-03-06,6.5505,6.5935,6.5243,6.5505,2668074,0
1995-03-07,6.5505,6.645,6.4985,6.5935,850682,0
1995-03-08,6.5935,6.5935,6.4985,6.5505,680362,0
1995-03-09,6.4985,6.5935,6.4985,6.4985,2004887,0
1995-03-10,6.5505,6.5935,6.4985,6.5676,631630,0
1995-03-13,6.4985,6.8866,6.4985,6.8261,1571886,0
1995-03-14,6.835,6.8866,6.7917,6.8606,723521,0
1995-03-15,6.835,6.9296,6.835,6.9296,841863,0
1995-03-16,6.9296,6.9296,6.7401,6.7401,672006,0
1995-03-17,6.7917,6.835,6.645,6.7401,1187151,0
1995-03-20,6.6883,6.7401,6.628,6.645,1015436,0
1995-03-21,6.645,6.7917,6.645,6.7401,282632,0
1995-03-22,6.6883,6.7401,6.6883,6.7142,751368,0
1995-03-23,6.7401,6.8089,6.6883,6.7661,784781,0
1995-03-24,6.7917,6.835,6.6883,6.6883,560626,0
1995-03-27,6.6883,6.7661,6.6883,6.6883,282632,0
1995-03-28,6.7401,6.7917,6.645,6.7917,806132,0
1995-03-29,6.7917,6.8866,6.7401,6.7917,641378,0
1995-03-30,6.7917,6.8866,6.7401,6.7661,664584,0
1995-03-31,6.835,6.835,6.6883,6.7661,781534,0
1995-04-03,6.7917,6.835,6.7401,6.7661,499368,0
1995-04-04,6.7917,6.835,6.7401,6.7917,597287,0
1995-04-05,6.835,7.0071,6.7401,6.9552,1633611,0
1995-04-06,7.0331,7.2658,6.9814,7.2658,1486028,0
1995-04-07,7.3176,7.3693,7.1277,7.171,1596480,0
1995-04-10,7.2658,7.2658,7.1277,7.1624,532779,0
1995-04-11,7.1277,7.3176,7.1277,7.3176,435784,0
1995-04-12,7.3176,7.3176,7.2228,7.2228,811697,0
1995-04-13,7.2658,7.3176,7.2228,7.2228,220443,0
1995-04-17,7.2228,7.3176,7.2228,7.3176,531854,0
1995-04-18,7.171,7.3176,7.171,7.2228,626064,0
1995-04-19,7.2658,7.2658,7.171,7.2228,277524,0
1995-04-20,7.171,7.2658,7.171,7.2658,217658,0
1995-04-21,7.2658,7.3176,7.2228,7.3176,512823,0
1995-04-24,7.2228,7.3176,7.171,7.171,646485,0
1995-04-25,7.2228,7.2228,7.076,7.1277,587543,0
1995-04-26,7.076,7.2658,7.076,7.2228,589864,0
1995-04-27,7.2228,7.2228,7.0331,7.076,826550,0
1995-04-28,7.1277,7.1277,7.0331,7.0417,336469,0
1995-05-01,7.1277,7.1277,7.0331,7.076,90033,0
1995-05-02,7.0331,7.1277,7.0331,7.1277,221836,0
1995-05-03,7.076,7.171,7.076,7.171,899414,0
1995-05-04,7.1277,7.171,7.076,7.1277,1093407,0
1995-05-05,7.076,7.2228,7.076,7.1969,724916,0
1995-05-08,7.1277,7.3176,7.1277,7.2915,892919,0
1995-05-09,7.2658,7.3176,7.2228,7.3176,562946,0
1995-05-10,7.2228,7.3176,7.2228,7.2915,497046,0
1995-05-11,7.3176,7.3176,7.2228,7.3176,188886,0
1995-05-12,7.3176,7.3176,7.2228,7.3176,940719,0
1995-05-15,7.3176,7.3693,7.2658,7.3693,393553,0
1995-05-16,7.3693,7.4123,7.2658,7.3693,355034,0
1995-05-17,7.3176,7.3693,7.2658,7.3693,160576,0
1995-05-18,7.3693,7.3693,7.171,7.171,792208,0
1995-05-19,7.145,7.2658,7.1277,7.2658,336933,0
1995-05-22,7.2658,7.2658,7.1969,7.2228,562018,0
1995-05-23,7.2228,7.3864,7.2228,7.3176,969492,0
1995-05-24,7.3176,7.3693,7.2658,7.3176,484513,0
1995-05-25,7.3176,7.3176,7.2228,7.2228,206521,0
1995-05-26,7.2228,7.3693,7.2228,7.3088,487765,0
1995-05-30,7.3693,7.3693,7.2228,7.2228,283096,0
1995-05-31,7.2228,7.4642,7.2228,7.4642,2746972,0
1995-06-01,7.507,7.6102,7.4123,7.507,1214531,0
1995-06-02,7.6102,7.7482,7.507,7.6535,1118470,0
1995-06-05,7.7057,7.8,7.6535,7.7482,781070,0
1995-06-06,7.8,7.9983,7.7743,7.895,1042354,0
1995-06-07,7.8519,7.9467,7.757,7.757,431144,0
1995-06-08,7.8,7.8,7.6535,7.6535,738840,0
1995-06-09,7.6102,7.6276,7.507,7.6102,636272,0
1995-06-12,7.507,7.6102,7.507,7.6102,445530,0
1995-06-13,7.6535,7.8,7.6102,7.7743,1314778,0
1995-06-14,7.757,7.8519,7.7057,7.8519,522105,0
1995-06-15,7.8519,7.8519,7.7057,7.7137,535099,0
1995-06-16,7.8,7.8,7.7057,7.7312,217658,0
1995-06-19,7.757,7.8519,7.757,7.757,317439,0
1995-06-20,7.8519,7.8519,7.7057,7.7057,672471,0
1995-06-21,7.7057,7.8,7.7057,7.8,1253982,0
1995-06-22,7.8,7.8519,7.757,7.8261,542993,0
1995-06-23,7.757,7.8519,7.757,7.8,157328,0
1995-06-26,7.757,7.8519,7.757,7.757,179138,0
1995-06-27,7.7057,7.8519,7.7057,7.7312,163823,0
1995-06-28,7.7312,7.8,7.7057,7.7057,232976,0
1995-06-29,7.7743,7.8,7.7057,7.757,263141,0
1995-06-30,7.7057,7.8,7.7057,7.8,344821,0
1995-07-03,7.7057,7.8,7.7057,7.8,87252,0
1995-07-05,7.8,7.8,7.7057,7.7916,369881,0
1995-07-06,7.7057,7.8,7.7057,7.7743,546237,0
1995-07-07,7.7057,7.9726,7.7057,7.895,820981,0
1995-07-10,7.895,7.9983,7.895,7.895,298410,0
1995-07-11,7.9983,7.9983,7.8519,7.9467,617243,0
1995-07-12,7.9467,7.9983,7.895,7.9467,723056,0
1995-07-13,7.895,7.9467,7.8519,7.895,430216,0
1995-07-14,7.8519,7.9467,7.8,7.895,564804,0
1995-07-17,7.895,7.895,7.8,7.8778,277524,0
1995-07-18,7.8519,7.895,7.757,7.8,613066,0
1995-07-19,7.7057,7.8519,7.6535,7.7312,397263,0
1995-07-20,7.6794,7.757,7.6794,7.757,517465,0
1995-07-21,7.7057,7.8,7.7057,7.7057,594967,0
1995-07-24,7.757,7.8,7.7057,7.8,473842,0
1995-07-25,7.7057,7.8,7.6535,7.7057,1220103,0
1995-07-26,7.7312,7.757,7.6535,7.6535,1596943,0
1995-07-27,7.6535,7.7057,7.5588,7.6535,630702,0
1995-07-28,7.6102,7.7743,7.6102,7.7312,1298999,0
1995-07-31,7.7743,7.7743,7.7057,7.7312,1191328,0
1995-08-01,7.757,7.7743,7.7312,7.7743,1460969,0
1995-08-02,7.757,7.8261,7.757,7.8,2857892,0
1995-08-03,7.8,7.8519,7.757,7.8261,670153,0
1995-08-04,7.7743,7.8261,7.7743,7.8261,305839,0
1995-08-07,7.8261,7.8261,7.7743,7.7743,413044,0
1995-08-08,7.7743,7.8261,7.7743,7.8261,669224,0
1995-08-09,7.7743,7.8261,7.7743,7.8,1066951,0
1995-08-10,7.7743,7.8261,7.757,7.7743,372206,0
1995-08-11,7.757,7.8,7.7057,7.7057,197707,0
1995-08-14,7.7057,7.8,7.7057,7.7057,121131,0
1995-08-15,7.757,7.8261,7.7057,7.8,279385,0
1995-08-16,7.8261,7.9467,7.757,7.895,2623524,0
1995-08-17,7.9467,8.1882,7.895,8.1882,1375109,0
1995-08-18,8.1882,8.3862,8.145,8.2828,1412238,0
1995-08-21,8.3345,8.3345,8.2397,8.3345,563413,0
1995-08-22,8.3345,8.3345,8.1882,8.2828,810308,0
1995-08-23,8.2397,8.2828,8.1882,8.2135,167537,0
1995-08-24,8.2135,8.2828,8.1882,8.2397,405614,0
1995-08-25,8.2397,8.2828,8.2397,8.2828,245971,0
1995-08-28,8.3345,8.6017,8.2397,8.507,2082390,0
1995-08-29,8.5757,8.6277,8.4811,8.6017,587082,0
1995-08-30,8.5241,8.7224,8.5241,8.6532,982026,0
1995-08-31,8.6017,8.7224,8.6017,8.7224,828408,0
1995-09-01,8.7224,8.7224,8.5757,8.5757,278921,0
1995-09-05,8.5757,8.869,8.5757,8.8171,1764951,0
1995-09-06,8.869,8.869,8.7224,8.7396,642770,0
1995-09-07,8.7224,8.8171,8.6708,8.8171,1177407,0
1995-09-08,8.8171,8.9204,8.7484,8.869,926794,0
1995-09-11,8.869,9.0153,8.869,8.9639,379628,0
1995-09-12,8.9204,9.0153,8.9204,8.9639,592183,0
1995-09-13,8.9204,9.0665,8.9204,9.0408,1096653,0
1995-09-14,8.9639,9.239,8.9639,9.1867,866928,0
1995-09-15,9.213,9.2841,9.1106,9.2841,852076,0
1995-09-18,9.2566,9.2566,9.0665,9.1629,839078,0
1995-09-19,9.213,9.213,9.1106,9.1629,1113361,0
1995-09-20,9.1106,9.213,9.1106,9.1629,1311527,0
1995-09-21,9.1106,9.1629,8.9204,9.0153,577796,0
1995-09-22,8.9639,8.9639,8.869,8.869,294703,0
1995-09-25,8.869,8.9639,8.8171,8.869,199097,0
1995-09-26,8.8431,8.9639,8.8431,8.9639,449709,0
1995-09-27,8.869,8.9639,8.869,8.8954,212555,0
1995-09-28,8.9204,8.9639,8.869,8.9639,296093,0
1995-09-29,8.869,9.0153,8.869,8.9639,758793,0
1995-10-02,8.9204,8.9639,8.869,8.869,180531,0
1995-10-03,8.9639,8.9639,8.869,8.8954,133195,0
1995-10-04,8.869,8.9639,8.7224,8.7224,749510,0
1995-10-05,8.7739,8.7739,8.6708,8.6708,360601,0
1995-10-06,8.7739,8.7739,8.6708,8.6708,697993,0
1995-10-09,8.6277,8.7224,8.5757,8.5757,471985,0
1995-10-10,8.6708,8.6708,8.5757,8.6017,713314,0
1995-10-11,8.5757,8.6708,8.5757,8.6708,1062773,0
1995-10-12,8.6708,8.6708,8.5329,8.5757,1507377,0
1995-10-13,8.6277,8.7224,8.5757,8.7224,3884001,0
1995-10-16,8.6708,9.0665,8.6708,9.0408,3978211,0
1995-10-17,9.1106,9.1106,8.9639,8.9639,1034931,0
1995-10-18,9.0153,9.1629,8.9639,9.1106,1137496,0
1995-10-19,9.0933,9.1106,9.0153,9.1106,1104082,0
1995-10-20,9.2566,9.3608,9.213,9.3608,2079140,0
1995-10-23,9.2566,9.3342,9.1106,9.2566,982953,0
1995-10-24,9.2566,9.4559,9.1629,9.3608,1723644,0
1995-10-25,9.3762,9.4559,9.2566,9.3096,2028091,0
1995-10-26,9.2841,9.3096,9.1106,9.1629,1305959,0
1995-10-27,9.1368,9.213,9.0665,9.213,735588,0
1995-10-30,9.213,9.2566,9.1629,9.2566,2743723,0
1995-10-31,9.2566,9.3096,9.213,9.3096,539279,0
1995-11-01,9.213,9.3342,9.213,9.3096,1000123,0
1995-11-02,9.2566,9.4009,9.2566,9.3608,965316,0
1995-11-03,9.3608,9.4009,9.3096,9.3096,489153,0
1995-11-06,9.4009,9.4009,9.3096,9.4009,1427090,0
1995-11-07,9.3096,9.4009,9.3096,9.3762,174498,0
1995-11-08,9.3096,9.4009,9.3096,9.3762,962531,0
1995-11-09,9.3608,9.4281,9.3608,9.4281,982953,0
1995-11-10,9.3608,9.4818,9.3608,9.4559,958354,0
1995-11-13,9.4818,9.6,9.4559,9.549,1841060,0
1995-11-14,9.549,9.573,9.526,9.566,536492,0
1995-11-15,9.549,9.573,9.526,9.526,599148,0
1995-11-16,9.526,9.6,9.526,9.549,1559357,0
1995-11-17,9.573,9.653,9.549,9.653,1014972,0
1995-11-20,9.653,9.653,9.549,9.6,705888,0
1995-11-21,9.653,9.749,9.549,9.749,461309,0
1995-11-22,9.749,9.798,9.698,9.749,392622,0
1995-11-24,9.698,9.771,9.698,9.771,59403,0
1995-11-27,9.771,9.798,9.698,9.798,110452,0
1995-11-28,9.698,9.798,9.698,9.749,537419,0
1995-11-29,9.771,9.798,9.749,9.756,523961,0
1995-11-30,9.798,10.185,9.749,10.185,1135173,0
1995-12-01,10.185,10.369,10.185,10.333,1240523,0
1995-12-04,10.377,10.575,10.36,10.524,1230313,0
1995-12-05,10.455,10.524,10.377,10.481,508648,0
1995-12-06,10.583,10.583,10.49,10.541,477090,0
1995-12-07,10.541,10.541,10.437,10.49,930971,0
1995-12-08,10.437,10.583,10.437,10.541,406081,0
1995-12-11,10.583,10.731,10.541,10.626,1291112,0
1995-12-12,10.636,10.78,10.583,10.757,1904178,0
1995-12-13,10.757,10.78,10.731,10.757,815874,0
1995-12-14,10.731,10.78,10.688,10.715,1286934,0
1995-12-15,10.688,10.757,10.541,10.583,1059991,0
1995-12-18,10.516,10.541,10.42,10.42,937469,0
1995-12-19,10.392,10.42,10.221,10.248,1813215,0
1995-12-20,10.248,10.437,10.248,10.343,1182049,0
1995-12-21,10.392,10.583,10.319,10.516,1035860,0
1995-12-22,10.583,10.636,10.541,10.608,515611,0
1995-12-26,10.568,10.832,10.568,10.806,920299,0
1995-12-27,10.806,10.887,10.688,10.887,1119395,0
1995-12-28,10.757,10.981,10.757,10.887,919369,0
1995-12-29,10.981,10.981,10.86,10.981,371278,0
1996-01-02,10.928,10.928,10.688,10.715,1527796,0
1996-01-03,10.715,10.757,10.688,10.757,1430799,0
1996-01-04,10.78,10.78,10.464,10.49,1033073,0
1996-01-05,10.541,10.541,10.248,10.256,2419322,0
1996-01-08,10.248,10.319,10.248,10.319,113702,0
1996-01-09,10.343,10.343,9.995,10.12,1272545,0
1996-01-10,9.995,10.103,9.733,9.733,2477335,0
1996-01-11,9.733,9.851,9.653,9.851,1127746,0
1996-01-12,9.851,9.956,9.706,9.843,2208158,0
1996-01-15,9.798,9.956,9.798,9.905,707277,0
1996-01-16,9.905,10.05,9.905,9.905,771324,0
1996-01-17,9.93,10.103,9.93,10.05,390768,0
1996-01-18,10.05,10.05,9.905,9.905,633024,0
1996-01-19,9.995,9.995,9.905,9.905,273815,0
1996-01-22,9.905,9.995,9.878,9.878,154081,0
1996-01-23,9.956,10.103,9.851,10.05,1645677,0
1996-01-24,10.103,10.437,10.077,10.319,3578165,0
1996-01-25,10.392,10.392,10.145,10.195,386126,0
1996-01-26,10.145,10.195,10.12,10.145,1814608,0
1996-01-29,10.195,10.292,10.12,10.266,589399,0
1996-01-30,10.319,10.343,10.248,10.343,347606,0
1996-01-31,10.343,10.392,10.248,10.392,423254,0
1996-02-01,10.392,10.541,10.292,10.455,631168,0
1996-02-02,10.437,10.541,10.437,10.437,597287,0
1996-02-05,10.541,10.541,10.464,10.541,609819,0
1996-02-06,10.464,10.541,10.464,10.541,206059,0
1996-02-07,10.541,10.541,10.49,10.49,473374,0
1996-02-08,10.437,10.715,10.437,10.636,1029362,0
1996-02-09,10.715,10.731,10.464,10.636,756473,0
1996-02-12,10.636,10.636,10.541,10.541,1830851,0
1996-02-13,10.516,10.583,10.49,10.583,113702,0
1996-02-14,10.516,10.583,10.464,10.541,741159,0
1996-02-15,10.49,10.541,10.464,10.541,560626,0
1996-02-16,10.541,10.608,10.464,10.541,418146,0
1996-02-20,10.49,10.541,10.49,10.541,374987,0
1996-02-21,10.541,10.541,10.49,10.49,121131,0
1996-02-22,10.541,10.568,10.49,10.541,885027,0
1996-02-23,10.568,10.583,10.49,10.583,716563,0
1996-02-26,10.583,10.583,10.49,10.583,348534,0
1996-02-27,10.541,10.583,10.392,10.392,833977,0
1996-02-28,10.437,10.437,10.343,10.392,588008,0
1996-02-29,10.343,10.392,10.292,10.343,885951,0
1996-03-01,10.437,10.49,10.392,10.42,866000,0
1996-03-04,10.49,10.636,10.464,10.541,450171,0
1996-03-05,10.636,10.832,10.541,10.806,1198287,0
1996-03-06,10.832,10.928,10.731,10.832,985738,0
1996-03-07,10.964,11.095,10.897,11.04,893842,0
1996-03-08,10.921,10.989,10.749,10.841,1077163,0
1996-03-11,10.749,10.749,10.645,10.645,1141206,0
1996-03-12,10.645,10.697,10.351,10.447,1259552,0
1996-03-13,10.499,10.697,10.447,10.645,968099,0
1996-03-14,10.645,10.697,10.645,10.645,582901,0
1996-03-15,10.645,10.697,10.599,10.645,368493,0
1996-03-18,10.645,10.697,10.599,10.671,468271,0
1996-03-19,10.645,10.749,10.645,10.697,500758,0
1996-03-20,10.749,10.749,10.645,10.645,637665,0
1996-03-21,10.645,10.749,10.645,10.697,143868,0
1996-03-22,10.749,10.897,10.645,10.869,800562,0
1996-03-25,10.79,10.989,10.79,10.897,1293894,0
1996-03-26,10.897,10.945,10.897,10.921,511429,0
1996-03-27,10.921,10.945,10.841,10.897,573154,0
1996-03-28,10.897,10.897,10.599,10.599,600538,0
1996-03-29,10.697,10.749,10.599,10.645,1124499,0
1996-04-01,10.645,10.79,10.645,10.79,755081,0
1996-04-02,10.749,10.841,10.749,10.816,1426622,0
1996-04-03,10.816,10.841,10.749,10.773,713774,0
1996-04-04,10.749,10.841,10.549,10.599,500294,0
1996-04-08,10.499,10.499,10.302,10.401,668295,0
1996-04-09,10.401,10.401,10.256,10.302,618174,0
1996-04-10,10.256,10.351,10.152,10.256,439033,0
1996-04-11,10.256,10.256,10.005,10.005,558771,0
1996-04-12,10.059,10.152,10.059,10.103,2187740,0
1996-04-15,10.059,10.447,10.059,10.401,1260943,0
1996-04-16,10.472,10.723,10.472,10.723,1944555,0
1996-04-17,10.645,10.749,10.645,10.688,1125426,0
1996-04-18,10.749,10.749,10.645,10.697,940252,0
1996-04-19,10.749,10.816,10.697,10.773,719346,0
1996-04-22,10.79,10.897,10.773,10.897,321617,0
1996-04-23,10.841,10.897,10.79,10.897,589399,0
1996-04-24,10.945,10.989,10.841,10.989,449709,0
