Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.003,10.029,9.907,10.029,1306338,0
1995-01-04,10.003,10.3,9.978,10.211,1244650,0
1995-01-05,10.186,10.186,9.938,10.076,1091931,0
1995-01-06,10.029,10.573,9.938,10.533,1653068,0
1995-01-09,10.573,10.573,10.228,10.348,742713,0
1995-01-10,10.397,10.55,10.397,10.533,666601,0
1995-01-11,10.573,10.71,10.533,10.598,723310,0
1995-01-12,10.598,10.686,10.533,10.644,507909,0
1995-01-13,10.686,10.686,10.598,10.686,524823,0
1995-01-16,10.686,10.686,10.573,10.598,550692,0
1995-01-17,10.598,10.781,10.573,10.759,958611,0
1995-01-18,10.759,10.921,10.686,10.894,1003879,0
1995-01-19,10.848,10.894,10.736,10.848,914337,0
1995-01-20,10.848,10.848,10.644,10.67,998904,0
1995-01-23,10.623,10.623,10.348,10.438,1353598,0
1995-01-24,10.438,10.501,10.364,10.438,918812,0
1995-01-25,10.438,10.533,10.397,10.397,634762,0
1995-01-26,10.348,10.411,10.325,10.348,522337,0
1995-01-27,10.348,10.364,10.029,10.076,1196895,0
1995-01-30,10.029,10.076,9.633,9.68,1219777,0
1995-01-31,9.68,9.68,9.1578,9.343,9188133,0
1995-02-01,9.4788,9.569,9.343,9.52,3213111,0
1995-02-02,9.545,9.616,9.4316,9.592,1906274,0
1995-02-03,9.658,9.866,9.658,9.703,2448508,0
1995-02-06,9.703,9.84,9.703,9.817,1034725,0
1995-02-07,9.84,9.978,9.795,9.907,643715,0
1995-02-08,9.955,10.003,9.891,9.907,704407,0
1995-02-09,9.907,10.029,9.866,9.955,1123767,0
1995-02-10,10.003,10.003,9.938,9.938,647694,0
1995-02-13,9.938,9.938,9.703,9.84,729280,0
1995-02-14,9.817,9.84,9.658,9.68,1042183,0
1995-02-15,9.729,9.891,9.703,9.866,785992,0
1995-02-16,9.817,10.053,9.795,10.053,1395382,0
1995-02-17,10.053,10.076,9.866,10.029,1183959,0
1995-02-21,10.053,10.09,9.978,9.978,885486,0
1995-02-22,10.029,10.053,9.771,9.771,1597352,0
1995-02-23,9.817,9.891,9.753,9.891,1718235,0
1995-02-24,10.076,10.325,10.053,10.3,1560541,0
1995-02-27,10.3,10.397,10.211,10.211,1485420,0
1995-02-28,10.186,10.348,10.09,10.277,964581,0
1995-03-01,10.228,10.325,10.211,10.277,689481,0
1995-03-02,10.277,10.277,10.029,10.186,766590,0
1995-03-03,10.186,10.397,10.186,10.252,864590,0
1995-03-06,10.252,10.252,9.795,9.938,1363546,0
1995-03-07,9.753,9.891,9.753,9.795,1298873,0
1995-03-08,9.817,9.891,9.795,9.84,1141179,0
1995-03-09,9.866,9.938,9.795,9.866,595461,0
1995-03-10,9.907,10.165,9.795,9.955,864094,0
1995-03-13,9.978,10.029,9.771,9.938,510894,0
1995-03-14,9.978,10.053,9.771,9.84,1548106,0
1995-03-15,9.866,10.029,9.866,9.955,1866978,0
1995-03-16,9.955,10.053,9.938,9.955,870562,0
1995-03-17,9.955,9.978,9.817,9.866,1355089,0
1995-03-20,9.1578,9.569,9.1578,9.4788,3287729,0
1995-03-21,9.52,9.703,9.409,9.4316,1949555,0
1995-03-22,9.4559,9.545,9.4316,9.4788,959106,0
1995-03-23,9.409,9.4788,9.2237,9.2237,2037109,0
1995-03-24,9.2237,9.4316,9.2237,9.3833,1566510,0
1995-03-27,9.4639,9.624,9.4639,9.607,948664,0
1995-03-28,9.56,9.607,9.4639,9.4867,655162,0
1995-03-29,9.4867,9.763,9.4639,9.72,1743607,0
1995-03-30,9.883,10.084,9.787,10.084,2427119,0
1995-03-31,10.036,10.316,9.925,10.316,2565415,0
1995-04-03,10.245,10.316,10.179,10.245,1169535,0
1995-04-04,10.219,10.269,9.994,10.106,1771467,0
1995-04-05,10.084,10.084,9.994,10.067,1347128,0
1995-04-06,10.084,10.245,10.084,10.245,747188,0
1995-04-07,10.245,10.269,10.02,10.084,659634,0
1995-04-10,10.036,10.036,9.925,9.969,1017312,0
1995-04-11,9.946,9.946,9.697,9.72,1764998,0
1995-04-12,9.809,10.067,9.787,10.067,1160080,0
1995-04-13,10.067,10.179,9.994,10.157,790465,0
1995-04-17,10.106,10.219,10.067,10.084,1036712,0
1995-04-18,10.084,10.084,9.899,10.036,1533679,0
1995-04-19,9.994,10.157,9.969,10.067,859116,0
1995-04-20,9.994,9.994,9.857,9.946,1500845,0
1995-04-21,9.946,9.969,9.697,9.72,3592178,0
1995-04-24,9.697,9.697,9.2628,9.351,4666201,0
1995-04-25,9.3744,9.401,8.8221,8.891,4536361,0
1995-04-26,8.2097,8.2981,7.7917,8.1614,10470092,0
1995-04-27,8.6195,8.8683,8.5956,8.7553,5787978,0
1995-04-28,8.7798,8.8461,8.7798,8.8461,2052529,0
1995-05-01,8.8045,8.8045,8.6195,8.7322,1440651,0
1995-05-02,8.7798,8.9415,8.7553,8.891,1357075,0
1995-05-03,8.9911,9.1405,8.7322,8.7553,1755046,0
1995-05-04,8.7798,9.0053,8.5313,8.5713,1473980,0
1995-05-05,8.7553,8.8221,8.4989,8.5313,1843597,0
1995-05-08,8.483,8.4989,8.3222,8.3866,1948063,0
1995-05-09,8.483,8.5713,8.3866,8.483,1595862,0
1995-05-10,8.5313,8.8683,8.4989,8.8683,2620137,0
1995-05-11,8.8045,9.1405,8.7553,9.1405,2568402,0
1995-05-12,9.1405,9.1405,8.9583,9.1252,1431698,0
1995-05-15,9.1405,9.536,9.1044,9.512,2293799,0
1995-05-16,9.512,9.607,9.401,9.56,1583919,0
1995-05-17,9.512,9.56,9.2628,9.2794,1415777,0
1995-05-18,9.3036,9.401,9.2794,9.3283,713857,0
1995-05-19,9.2628,9.2628,9.0787,9.1405,762610,0
1995-05-22,9.1664,9.4168,9.1405,9.351,1008356,0
1995-05-23,9.3744,9.4168,9.2162,9.2628,1347628,0
1995-05-24,9.351,9.4639,9.191,9.2628,1182968,0
1995-05-25,9.2628,9.2628,8.9173,8.9415,1350113,0
1995-05-26,8.9583,8.9583,8.6429,8.6842,2028652,0
1995-05-30,8.6842,8.7322,8.3461,8.3866,2628591,0
1995-05-31,8.3866,8.891,8.1133,8.7553,4971145,0
1995-06-01,8.8045,8.9415,8.7322,8.9415,2179881,0
