Date,Open,High,Low,Close,Volume,OpenInt
1999-01-22,1.6238,1.8092,1.4379,1.5215,18297633,0
1999-01-25,1.6423,1.698,1.5215,1.6793,3445279,0
1999-01-26,1.698,1.735,1.5311,1.5494,2320993,0
1999-01-27,1.5586,1.5957,1.466,1.5494,1662658,0
1999-01-28,1.5494,1.5586,1.5311,1.5401,1540110,0
1999-01-29,1.5401,1.5494,1.466,1.466,1659098,0
1999-02-01,1.466,1.5124,1.466,1.4938,1046355,0
1999-02-02,1.466,1.5124,1.336,1.3824,1779388,0
1999-02-03,1.3642,1.429,1.3546,1.4104,518004,0
1999-02-04,1.429,1.5311,1.4104,1.4843,1241980,0
1999-02-05,1.5124,1.5494,1.4752,1.5311,931244,0
1999-02-08,1.5401,1.5494,1.4752,1.4752,1039890,0
1999-02-09,1.5124,1.5215,1.4009,1.4196,588170,0
1999-02-10,1.4196,1.4566,1.3824,1.4104,1014343,0
1999-02-11,1.4104,1.5864,1.4104,1.5311,900846,0
1999-02-12,1.5494,1.6238,1.5494,1.6145,754695,0
1999-02-16,1.6423,1.707,1.4566,1.6238,1438900,0
1999-02-17,1.5864,1.6052,1.5124,1.5401,458186,0
1999-02-18,1.5864,1.6052,1.5215,1.5586,489549,0
1999-02-19,1.5494,1.6423,1.5311,1.6145,520268,0
1999-02-22,1.6423,1.6607,1.5401,1.6238,1396542,0
1999-02-23,1.6607,1.735,1.5679,1.698,944178,0
1999-02-24,1.9482,2.0318,1.7905,1.837,4139829,0
1999-02-25,1.9114,1.9761,1.7539,1.7812,1005937,0
1999-02-26,1.7999,1.8557,1.6793,1.698,1180222,0
1999-03-01,1.735,1.7812,1.6238,1.707,624384,0
1999-03-02,1.698,1.707,1.6607,1.6886,381552,0
1999-03-03,1.698,1.698,1.5679,1.5772,427792,0
1999-03-04,1.6513,1.6607,1.5311,1.5401,403539,0
1999-03-05,1.5586,1.6329,1.5586,1.6238,538052,0
1999-03-08,1.5864,1.698,1.5586,1.6513,526088,0
1999-03-09,1.6513,1.7258,1.6513,1.707,979747,0
1999-03-10,1.7258,1.7258,1.6513,1.6793,1586024,0
1999-03-11,1.6513,1.6793,1.6052,1.6052,371203,0
1999-03-12,1.6145,1.6145,1.5494,1.5772,627942,0
1999-03-15,1.6145,1.6607,1.6052,1.6423,745320,0
1999-03-16,1.6513,1.67,1.5772,1.5864,542255,0
1999-03-17,1.6052,1.6329,1.5586,1.5957,358591,0
1999-03-18,1.6052,1.6423,1.5679,1.6238,323995,0
1999-03-19,1.6145,1.67,1.6145,1.6238,726563,0
1999-03-22,1.6607,1.6607,1.5772,1.5772,258678,0
1999-03-23,1.5864,1.5864,1.4473,1.4752,1107467,0
1999-03-24,1.466,1.4752,1.4104,1.466,422290,0
1999-03-25,1.466,1.5494,1.4566,1.4843,279050,0
1999-03-26,1.5124,1.6238,1.5124,1.6238,601751,0
1999-03-29,1.67,1.707,1.6423,1.67,457860,0
1999-03-30,1.67,1.6886,1.5215,1.5311,476938,0
1999-03-31,1.5772,1.6513,1.503,1.6329,1034716,0
1999-04-01,1.6329,1.6423,1.5586,1.5864,211149,0
1999-04-05,1.5679,1.6052,1.5311,1.5401,674504,0
1999-04-06,1.5494,1.5586,1.466,1.4938,478877,0
1999-04-07,1.5124,1.6329,1.4938,1.6238,612424,0
1999-04-08,1.6329,1.698,1.6145,1.6513,878537,0
1999-04-09,1.6607,1.6607,1.6145,1.6238,329814,0
1999-04-12,1.6052,1.6052,1.5311,1.5586,241541,0
1999-04-13,1.5864,1.5864,1.466,1.4938,253181,0
1999-04-14,1.4843,1.5215,1.4473,1.4473,326259,0
1999-04-15,1.4843,1.4843,1.4473,1.4843,249949,0
1999-04-16,1.4752,1.5586,1.4752,1.5401,264175,0
1999-04-19,1.5586,1.5586,1.4473,1.466,220200,0
1999-04-20,1.466,1.5311,1.429,1.4379,457860,0
1999-04-21,1.4379,1.466,1.429,1.466,267409,0
1999-04-22,1.466,1.466,1.3916,1.4009,1536550,0
1999-04-23,1.3916,1.4009,1.3267,1.336,853961,0
1999-04-26,1.336,1.3546,1.2339,1.2619,845231,0
1999-04-27,1.2989,1.4104,1.2712,1.4009,1533964,0
1999-04-28,1.4104,1.4104,1.3454,1.3916,809341,0
1999-04-29,1.3916,1.4009,1.3642,1.3916,324965,0
1999-04-30,1.4104,1.466,1.3916,1.4104,681618,0
1999-05-03,1.429,1.429,1.3824,1.4196,228930,0
1999-05-04,1.4196,1.4196,1.3175,1.3454,647342,0
1999-05-05,1.3546,1.3732,1.2712,1.3732,976188,0
1999-05-06,1.3642,1.3916,1.3081,1.3454,247684,0
1999-05-07,1.3081,1.3642,1.3081,1.3546,172347,0
1999-05-10,1.3454,1.3824,1.3454,1.3546,134512,0
1999-05-11,1.4104,1.466,1.3824,1.429,1171167,0
1999-05-12,1.4379,1.4752,1.4196,1.466,1136891,0
1999-05-13,1.466,1.5124,1.466,1.466,481466,0
1999-05-14,1.466,1.466,1.3732,1.3916,208559,0
1999-05-17,1.3732,1.4566,1.3642,1.4566,248979,0
1999-05-18,1.4752,1.5494,1.429,1.5311,1031157,0
1999-05-19,1.5957,1.6513,1.4379,1.4566,3044971,0
1999-05-20,1.466,1.466,1.2897,1.3454,1202532,0
1999-05-21,1.3267,1.3267,1.2712,1.3175,2048736,0
1999-05-24,1.3267,1.3546,1.2897,1.3081,1111673,0
1999-05-25,1.3175,1.336,1.3081,1.3175,878216,0
1999-05-26,1.3175,1.3824,1.3175,1.3175,720421,0
1999-05-27,1.3267,1.3267,1.3081,1.3081,557131,0
1999-05-28,1.3267,1.3267,1.3081,1.3175,605631,0
1999-06-01,1.3175,1.3267,1.2989,1.3267,673535,0
1999-06-02,1.3267,1.3267,1.2712,1.2712,878537,0
1999-06-03,1.3081,1.3175,1.2989,1.3081,291984,0
1999-06-04,1.3175,1.3267,1.3081,1.3175,539668,0
1999-06-07,1.3267,1.3546,1.3267,1.336,844262,0
1999-06-08,1.336,1.3916,1.336,1.3642,1049913,0
1999-06-09,1.3732,1.4196,1.3732,1.3916,656398,0
1999-06-10,1.3916,1.4009,1.3824,1.3916,252534,0
1999-06-11,1.3916,1.4009,1.3175,1.3642,423908,0
1999-06-14,1.3732,1.3732,1.3081,1.3175,361827,0
1999-06-15,1.3175,1.3267,1.2989,1.3175,336928,0
1999-06-16,1.336,1.3916,1.3175,1.3546,441695,0
1999-06-17,1.3454,1.3642,1.3175,1.3175,515742,0
1999-06-18,1.3267,1.3267,1.2619,1.2619,1070606,0
1999-06-21,1.3081,1.336,1.2712,1.336,569417,0
1999-06-22,1.336,1.336,1.2805,1.3081,1304386,0
1999-06-23,1.2989,1.336,1.2805,1.336,1437931,0
1999-06-24,1.3454,1.3454,1.2989,1.3081,776035,0
1999-06-25,1.2989,1.336,1.2989,1.3267,501191,0
1999-06-28,1.3642,1.3642,1.3175,1.3454,748874,0
1999-06-29,1.3642,1.3732,1.3454,1.3546,629883,0
1999-06-30,1.4009,1.4752,1.3732,1.4752,1815278,0
1999-07-01,1.4752,1.4752,1.3267,1.4009,609186,0
1999-07-02,1.4196,1.503,1.3916,1.503,1530408,0
1999-07-06,1.5215,1.5215,1.4843,1.5124,1339310,0
1999-07-07,1.5215,1.5215,1.4752,1.4752,427792,0
1999-07-08,1.4843,1.5401,1.4379,1.5124,1267202,0
1999-07-09,1.5124,1.6513,1.5124,1.6423,1428229,0
1999-07-12,1.735,1.7905,1.67,1.7163,2711601,0
1999-07-13,1.735,1.7443,1.6423,1.7163,952260,0
1999-07-14,1.7163,1.7626,1.6423,1.6513,942881,0
1999-07-15,1.67,1.7163,1.6607,1.6607,933184,0
1999-07-16,1.6886,1.707,1.6607,1.698,711367,0
1999-07-19,1.698,1.707,1.6423,1.6513,295540,0
1999-07-20,1.6513,1.6513,1.5679,1.6238,1208676,0
1999-07-21,1.6052,1.6052,1.5311,1.5772,761485,0
1999-07-22,1.5679,1.5679,1.4843,1.503,1444397,0
1999-07-23,1.4938,1.5494,1.4938,1.503,553572,0
1999-07-26,1.5401,1.5401,1.5124,1.5124,418737,0
1999-07-27,1.5124,1.5215,1.4843,1.5124,673858,0
