Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,14.625,14.71,14.361,14.536,393749,0
1995-01-04,14.625,14.975,14.536,14.975,177345,0
1995-01-05,14.887,15.247,14.71,15.158,194364,0
1995-01-06,15.158,15.158,14.536,14.625,231360,0
1995-01-09,14.536,14.887,14.361,14.71,636530,0
1995-01-10,14.801,14.975,14.801,14.801,224513,0
1995-01-11,14.887,14.975,14.801,14.887,241296,0
1995-01-12,14.975,14.975,14.801,14.887,120137,0
1995-01-13,14.975,15.071,14.71,14.887,245976,0
1995-01-16,14.975,14.975,14.801,14.801,134067,0
1995-01-17,14.801,14.887,14.275,14.71,477226,0
1995-01-18,14.447,15.071,14.447,15.071,451648,0
1995-01-19,14.887,15.071,14.887,14.975,246323,0
1995-01-20,14.975,14.975,14.801,14.887,358806,0
1995-01-23,14.801,15.071,14.801,14.975,267905,0
1995-01-24,14.887,14.975,14.801,14.887,115795,0
1995-01-25,14.887,14.887,14.71,14.801,441825,0
1995-01-26,14.71,14.975,14.71,14.975,247351,0
1995-01-27,14.975,15.071,14.887,14.975,217884,0
1995-01-30,14.625,15.071,14.625,15.071,464894,0
1995-01-31,15.507,15.947,15.421,15.859,378787,0
1995-02-01,15.684,15.947,15.684,15.859,493327,0
1995-02-02,15.771,15.859,15.771,15.859,172891,0
1995-02-03,15.859,16.294,15.771,16.21,343046,0
1995-02-06,16.294,16.743,16.21,16.656,189907,0
1995-02-07,16.481,16.568,15.947,16.384,531471,0
1995-02-08,16.384,16.656,16.294,16.481,263792,0
1995-02-09,16.384,16.656,16.384,16.656,341107,0
1995-02-10,16.656,16.743,16.384,16.481,579204,0
1995-02-13,16.455,16.638,16.455,16.551,350584,0
1995-02-14,16.724,16.814,16.551,16.638,351040,0
1995-02-15,16.638,16.814,16.551,16.638,370112,0
1995-02-16,16.724,16.814,16.551,16.724,216974,0
1995-02-17,16.638,16.724,16.551,16.724,514569,0
1995-02-21,16.724,16.724,16.551,16.638,275555,0
1995-02-22,16.551,16.724,16.455,16.638,354353,0
1995-02-23,16.724,16.901,16.638,16.814,314727,0
