Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.345,9.451,9.2874,9.345,395356,0
1995-01-04,9.2874,9.451,9.2874,9.3923,289423,0
1995-01-05,9.451,9.4969,9.3923,9.4969,143345,0
1995-01-06,9.451,9.4969,9.3923,9.451,157217,0
1995-01-09,9.4969,9.6,9.4969,9.6,142504,0
1995-01-10,9.551,9.551,9.451,9.451,317798,0
1995-01-11,9.451,9.765,9.451,9.659,347012,0
1995-01-12,9.6,9.765,9.551,9.765,122326,0
1995-01-13,9.716,9.765,9.659,9.716,485734,0
1995-01-16,9.765,9.822,9.716,9.765,282697,0
1995-01-17,9.716,9.765,9.659,9.659,155117,0
1995-01-18,9.765,9.822,9.659,9.716,125898,0
1995-01-19,9.659,9.765,9.659,9.716,128002,0
1995-01-20,9.822,9.822,9.659,9.765,164154,0
1995-01-23,9.659,9.659,9.551,9.551,256843,0
1995-01-24,9.6,9.6,9.345,9.345,379383,0
1995-01-25,9.345,9.3923,9.2298,9.2874,752038,0
1995-01-26,9.2874,9.2874,9.0778,9.2298,313172,0
1995-01-27,9.345,9.345,9.1253,9.2298,263782,0
1995-01-30,9.1814,9.2298,9.0778,9.2298,152593,0
1995-01-31,9.1814,9.2874,9.1814,9.2874,241713,0
1995-02-01,9.345,9.345,9.1253,9.2874,250327,0
1995-02-02,9.1814,9.2874,8.9636,9.0208,273660,0
1995-02-03,9.0208,9.1253,8.916,8.916,240030,0
1995-02-06,8.9636,8.9636,8.859,8.859,254953,0
1995-02-07,8.916,8.9636,8.859,8.9636,461775,0
1995-02-08,8.916,9.0778,8.859,8.9636,428563,0
1995-02-09,8.9636,9.0778,8.8114,9.0778,146287,0
1995-02-10,9.0778,9.1253,8.7067,9.0778,271979,0
1995-02-13,9.2874,9.2874,9.1253,9.1814,160371,0
1995-02-14,9.2874,9.345,9.1253,9.1814,691712,0
1995-02-15,9.1814,9.1814,9.1253,9.1253,103200,0
1995-02-16,9.1814,9.2298,9.1253,9.1814,186855,0
1995-02-17,9.1814,9.1814,9.0208,9.1814,274289,0
1995-02-21,9.1814,9.2298,9.1253,9.1814,555936,0
1995-02-22,9.1814,9.2298,9.0778,9.0778,289423,0
1995-02-23,9.1253,9.2298,9.0778,9.1814,445799,0
1995-02-24,9.2298,9.2874,9.1253,9.1814,221953,0
1995-02-27,9.1814,9.1814,8.916,8.9636,226368,0
1995-02-28,8.916,9.1253,8.916,9.1253,144185,0
1995-03-01,9.1349,9.1814,8.916,8.916,137670,0
1995-03-02,8.9731,9.0778,8.9731,9.0302,70202,0
1995-03-03,8.9731,9.0302,8.8114,8.916,969157,0
1995-03-06,8.9731,8.9731,8.8114,8.916,347434,0
1995-03-07,8.8685,8.916,8.7639,8.8685,217328,0
1995-03-08,8.916,8.916,8.7067,8.8114,396617,0
1995-03-09,8.8114,8.8685,8.6021,8.7067,373917,0
1995-03-10,8.8114,9.0778,8.7639,8.9731,1114183,0
1995-03-13,9.0778,9.1349,9.0302,9.0778,377279,0
1995-03-14,9.1349,9.2973,9.0778,9.2973,260415,0
1995-03-15,9.2973,9.345,9.2395,9.2973,298882,0
1995-03-16,9.345,9.507,9.2973,9.4602,237927,0
1995-03-17,9.725,9.725,9.4023,9.4023,529663,0
1995-03-20,9.4023,9.4602,9.2973,9.345,91430,0
1995-03-21,9.4023,9.669,9.4023,9.4602,413851,0
1995-03-22,9.507,9.507,9.4023,9.507,191057,0
1995-03-23,9.4602,9.561,9.4602,9.507,133467,0
1995-03-24,9.4602,9.725,9.4602,9.725,305399,0
1995-03-27,9.725,9.83,9.669,9.775,137459,0
1995-03-28,9.775,9.775,9.61,9.61,150701,0
1995-03-29,9.561,9.933,9.561,9.775,283538,0
1995-03-30,9.83,10.039,9.775,10.039,149439,0
1995-03-31,9.933,9.992,9.83,9.874,147338,0
1995-04-03,9.775,10.039,9.775,9.992,134098,0
1995-04-04,9.992,10.199,9.992,10.154,287322,0
1995-04-05,10.154,10.305,10.099,10.199,433188,0
