Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.9176,4.9176,4.842,4.8671,435126,0
1995-01-04,4.842,4.8671,4.8249,4.8249,268866,0
1995-01-05,4.8501,4.8839,4.8166,4.8166,1037462,0
1995-01-06,4.8166,4.8501,4.7913,4.8501,218512,0
1995-01-09,4.8501,4.8501,4.7408,4.7913,468377,0
1995-01-10,4.808,4.8249,4.7659,4.7745,695440,0
1995-01-11,4.808,4.8166,4.7577,4.7913,821800,0
1995-01-12,4.7913,4.7913,4.7408,4.7745,210909,0
1995-01-13,4.7745,4.8249,4.7408,4.7408,1334833,0
1995-01-16,4.7324,4.8756,4.7324,4.8671,1494441,0
1995-01-17,4.8839,4.9176,4.8756,4.9006,691639,0
1995-01-18,4.9006,4.9176,4.8756,4.8756,376223,0
1995-01-19,4.8756,4.9006,4.842,4.8501,377175,0
1995-01-20,4.8671,4.8756,4.8166,4.842,309722,0
1995-01-23,4.7659,4.8501,4.7577,4.842,461730,0
1995-01-24,4.8166,4.8671,4.808,4.8671,137759,0
1995-01-25,4.842,4.9006,4.842,4.8501,399974,0
1995-01-26,4.8249,4.842,4.808,4.8166,392373,0
1995-01-27,4.842,4.8671,4.808,4.8501,1019414,0
1995-01-30,4.8839,4.9093,4.842,4.842,178611,0
1995-01-31,4.842,4.8501,4.7659,4.7659,264114,0
1995-02-01,4.7659,4.9006,4.7659,4.8671,1316779,0
1995-02-02,4.8839,4.9344,4.8839,4.9006,1019414,0
1995-02-03,4.9093,5.0523,4.9093,5.0185,1960916,0
1995-02-06,5.0185,5.17,5.0185,5.1364,416126,0
1995-02-07,5.1364,5.1532,5.0777,5.0859,314472,0
1995-02-08,5.0859,5.1111,5.0777,5.0777,215663,0
1995-02-09,5.0943,5.1532,5.0859,5.1111,1000410,0
1995-02-10,5.0943,5.1532,5.0859,5.1198,649840,0
1995-02-13,5.1198,5.1364,5.0943,5.0943,140610,0
1995-02-14,5.1111,5.1111,5.0609,5.0777,855050,0
1995-02-15,5.0609,5.1111,5.044,5.0609,814199,0
1995-02-16,5.0523,5.0609,5.0103,5.0271,835103,0
1995-02-17,5.0185,5.0185,4.9683,4.9683,512080,0
1995-02-21,4.9851,5.0103,4.9344,4.9344,451276,0
1995-02-22,4.9344,4.9512,4.9093,4.9344,456979,0
1995-02-23,4.9512,5.0271,4.9512,5.0271,1335784,0
1995-02-24,5.044,5.1111,5.0271,5.1111,980461,0
1995-02-27,5.0859,5.1364,5.0777,5.0777,1015610,0
1995-02-28,5.0777,5.1198,5.0271,5.044,812296,0
1995-03-01,5.0271,5.0523,5.0185,5.0271,470279,0
1995-03-02,5.0103,5.0103,4.9093,4.9344,456027,0
1995-03-03,4.9093,4.9512,4.8671,4.8839,1247425,0
1995-03-06,4.8839,4.9344,4.8671,4.9093,854103,0
1995-03-07,4.9176,4.9933,4.9176,4.9683,567182,0
1995-03-08,4.9683,5.0271,4.9683,4.9851,403776,0
1995-03-09,4.9683,5.044,4.9512,5.0185,1141966,0
1995-03-10,5.0103,5.1198,5.0103,5.1198,201412,0
1995-03-13,5.1198,5.1198,5.0609,5.1111,659339,0
1995-03-14,5.1198,5.1956,5.1198,5.187,562432,0
1995-03-15,5.2966,5.2966,5.1956,5.2544,1816511,0
1995-03-16,5.2376,5.2544,5.1788,5.187,721092,0
1995-03-17,5.1788,5.3049,5.1788,5.2966,841752,0
1995-03-20,5.3049,5.3049,5.2628,5.2881,1038414,0
1995-03-21,5.2713,5.2966,5.1956,5.1956,755296,0
1995-03-22,5.2293,5.2713,5.1956,5.2293,883552,0
1995-03-23,5.1956,5.3049,5.1956,5.2966,533932,0
1995-03-24,5.2966,5.431,5.2966,5.431,346775,0
