Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.0041,2.0131,1.9489,1.9489,39528376,0
1995-01-04,1.9489,1.9765,1.9214,1.9672,50152841,0
1995-01-05,1.9672,1.9765,1.9214,1.9214,41145284,0
1995-01-06,1.9214,1.9765,1.8937,1.9489,45636945,0
1995-01-09,1.9672,2.0041,1.9582,2.0041,37693384,0
1995-01-10,2.0131,2.0408,2.0131,2.0131,45894680,0
1995-01-11,2.0222,2.0408,1.9302,1.9489,50989932,0
1995-01-12,1.9489,1.9582,1.9214,1.9396,45042170,0
1995-01-13,1.9582,1.9765,1.9027,1.9122,59977659,0
1995-01-16,1.8567,1.9122,1.8202,1.9027,59435748,0
1995-01-17,1.9027,1.9672,1.9027,1.9672,43132277,0
1995-01-18,1.9672,1.9856,1.9582,1.9672,31432811,0
1995-01-19,1.9582,2.0408,1.9489,2.0314,60805940,0
1995-01-20,2.0314,2.0408,1.9582,1.9946,52857970,0
1995-01-23,1.9765,1.9765,1.9302,1.9489,40907374,0
1995-01-24,1.9489,1.9672,1.9214,1.9489,31512112,0
1995-01-25,1.9396,2.0222,1.9214,1.9856,73221339,0
1995-01-26,1.9765,1.9856,1.9489,1.9489,29970107,0
1995-01-27,1.9489,1.9672,1.9214,1.9396,38891747,0
1995-01-30,1.9396,1.9489,1.8937,1.8937,48403754,0
1995-01-31,1.9027,1.9582,1.8937,1.9396,41268650,0
1995-02-01,1.9582,1.9672,1.9122,1.9214,26582084,0
1995-02-02,1.9214,1.9489,1.9122,1.9489,26335364,0
1995-02-03,1.9672,2.0222,1.9489,1.9946,58735238,0
1995-02-06,1.9946,2.0222,1.9856,2.0131,27075528,0
1995-02-07,2.0222,2.0222,1.9856,2.0131,20224589,0
1995-02-08,2.0222,2.0222,1.9765,1.9946,28712263,0
1995-02-09,2.0131,2.0408,1.9765,1.9765,52875592,0
1995-02-10,1.9856,2.0222,1.9765,2.0131,39552609,0
1995-02-13,2.0131,2.059,1.9946,2.0222,36409109,0
1995-02-14,2.0408,2.05,1.9856,2.0041,30547258,0
1995-02-15,2.0131,2.0776,2.0131,2.0776,48463235,0
1995-02-16,2.0776,2.0959,2.05,2.0959,49540437,0
1995-02-17,2.0866,2.0959,2.0681,2.0681,22702822,0
1995-02-21,2.0866,2.1143,2.0776,2.0959,29518515,0
1995-02-22,2.0866,2.1419,2.0681,2.1419,44075110,0
1995-02-23,2.1603,2.1876,2.1143,2.1328,46117904,0
1995-02-24,2.1328,2.1328,2.0681,2.0776,37318156,0
1995-02-27,2.0866,2.1419,2.0681,2.0681,33800903,0
1995-02-28,2.0959,2.1419,2.0681,2.1328,25133326,0
1995-03-01,2.1512,2.1603,2.1234,2.1234,26516730,0
1995-03-02,2.1419,2.1512,2.0959,2.1512,15982589,0
1995-03-03,2.1512,2.2429,2.1143,2.2429,48307564,0
1995-03-06,2.2246,2.2339,2.1695,2.2152,30088324,0
