Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.4566,5.5287,5.425,5.5287,742389,0
1995-01-04,5.5287,5.5287,5.425,5.4566,1143082,0
1995-01-05,5.425,5.4566,5.3845,5.3845,969607,0
1995-01-06,5.3845,5.4967,5.3845,5.4967,872617,0
1995-01-09,5.4967,5.5287,5.4566,5.4967,1164830,0
1995-01-10,5.4967,5.5287,5.4566,5.5287,1097090,0
1995-01-11,5.5287,5.5287,5.4967,5.5287,528672,0
1995-01-12,5.4967,5.5287,5.4566,5.4967,624407,0
1995-01-13,5.4967,5.4967,5.425,5.4566,569913,0
1995-01-16,5.4967,5.5607,5.4566,5.4566,300708,0
1995-01-17,5.4967,5.6009,5.425,5.6009,2968813,0
1995-01-18,5.5607,5.6648,5.5607,5.6329,1515026,0
1995-01-19,5.6009,5.6329,5.5607,5.5607,587413,0
1995-01-20,5.6009,5.6009,5.5287,5.5287,1278061,0
1995-01-23,5.4566,5.6009,5.4566,5.5607,1463531,0
1995-01-24,5.6009,5.6648,5.6009,5.6009,1453784,0
1995-01-25,5.5607,5.6009,5.4967,5.5607,2088943,0
1995-01-26,5.6009,5.7369,5.6009,5.7369,3718454,0
1995-01-27,5.7369,5.7369,5.6329,5.6329,1011104,0
1995-01-30,5.6009,5.6009,5.3446,5.3845,3059546,0
1995-01-31,5.4566,5.4566,5.2407,5.2407,3957417,0
1995-02-01,5.3129,5.3129,5.1369,5.1369,7703114,0
1995-02-02,5.1688,5.2407,5.0648,5.2407,5954374,0
1995-02-03,5.2807,5.3845,5.2087,5.3446,1701496,0
1995-02-06,5.3446,5.425,5.2807,5.425,1756993,0
1995-02-07,5.3845,5.3845,5.3129,5.3446,1872476,0
1995-02-08,5.3129,5.3845,5.2807,5.2807,1808483,0
1995-02-09,5.2807,5.3446,5.2407,5.3446,1924464,0
1995-02-10,5.3446,5.3845,5.3129,5.3446,1195322,0
1995-02-13,5.3446,5.4566,5.3446,5.3446,3246274,0
1995-02-14,5.3845,5.3845,5.3129,5.3845,1609013,0
1995-02-15,5.3845,5.4566,5.3446,5.4566,1011104,0
1995-02-16,5.425,5.425,5.3446,5.425,1107837,0
1995-02-17,5.425,5.425,5.3446,5.3446,1545775,0
1995-02-21,5.425,5.6009,5.3845,5.6009,2656107,0
1995-02-22,5.6009,5.6969,5.5607,5.6009,3060301,0
1995-02-23,5.6009,5.6329,5.5287,5.6009,1144080,0
1995-02-24,5.5607,5.6329,5.5287,5.6329,1300563,0
1995-02-27,5.5607,5.6009,5.5287,5.5607,1262564,0
1995-02-28,5.5607,5.6009,5.5607,5.5607,1213324,0
1995-03-01,5.5607,5.6009,5.5607,5.6009,778384,0
1995-03-02,5.6009,5.6009,5.5287,5.5607,670405,0
1995-03-03,5.5607,5.6009,5.5287,5.5607,1205821,0
