Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.6234,2.6555,2.5754,2.5754,2670677,0
1995-01-04,2.6154,2.6234,2.5272,2.6075,3589299,0
1995-01-05,2.5512,2.6234,2.5512,2.6075,1314752,0
1995-01-06,2.6234,2.6876,2.6075,2.6714,2420788,0
1995-01-09,2.6555,2.7519,2.6395,2.6395,3144895,0
1995-01-10,2.6395,2.6714,2.6395,2.6395,675830,0
1995-01-11,2.6714,2.7036,2.6395,2.7036,4850097,0
1995-01-12,2.6714,2.7117,2.6714,2.6876,3884620,0
1995-01-13,2.6876,2.7036,2.6555,2.6876,2998656,0
1995-01-16,2.6555,2.6954,2.6555,2.6876,3330890,0
1995-01-17,2.6876,2.7194,2.6714,2.7036,3019952,0
1995-01-18,2.6876,2.7036,2.6555,2.6876,989614,0
1995-01-19,2.6876,2.7194,2.6714,2.6876,1284932,0
1995-01-20,2.7036,2.7036,2.6555,2.6876,809295,0
1995-01-23,2.6555,2.6714,2.6234,2.6475,3254222,0
1995-01-24,2.6555,2.6555,2.6075,2.6234,1463833,0
1995-01-25,2.6075,2.6395,2.6075,2.6395,224332,0
1995-01-26,2.6395,2.6395,2.5432,2.5912,1181291,0
1995-01-27,2.5912,2.5912,2.5592,2.5754,440144,0
1995-01-30,2.5754,2.6234,2.5592,2.5592,1739278,0
1995-01-31,2.5592,2.5912,2.5592,2.5592,641753,0
1995-02-01,2.5592,2.6075,2.5592,2.5754,1259377,0
1995-02-02,2.5754,2.6075,2.5592,2.5754,1505004,0
1995-02-03,2.6234,2.6234,2.5912,2.5912,945599,0
1995-02-06,2.6234,2.6876,2.6075,2.6876,1304810,0
1995-02-07,2.6555,2.6876,2.6555,2.6714,1708041,0
1995-02-08,2.6876,2.6876,2.6395,2.6395,1814525,0
1995-02-09,2.6714,2.6714,2.6395,2.6714,840532,0
1995-02-10,2.6395,2.6714,2.6395,2.6714,802199,0
1995-02-13,2.6714,2.6714,2.6395,2.6714,393287,0
1995-02-14,2.6395,2.6876,2.6395,2.6876,1996263,0
1995-02-15,2.6876,2.6876,2.6555,2.6635,951278,0
1995-02-16,2.6555,2.6876,2.6555,2.6876,506875,0
1995-02-17,2.6876,2.6876,2.6555,2.6714,1654085,0
1995-02-21,2.6876,2.6876,2.5754,2.5754,749664,0
1995-02-22,2.5754,2.5912,2.5432,2.5592,1010910,0
1995-02-23,2.5592,2.6555,2.5592,2.6555,3038413,0
1995-02-24,2.6635,2.6714,2.6395,2.6555,1029366,0
1995-02-27,2.6555,2.6555,2.6234,2.6395,195934,0
1995-02-28,2.6234,2.6876,2.6234,2.6876,925718,0
1995-03-01,2.6876,2.6876,2.6395,2.6475,1854283,0
1995-03-02,2.6395,2.6555,2.6234,2.6475,262665,0
1995-03-03,2.6075,2.6876,2.6075,2.6876,1915333,0
1995-03-06,2.6395,2.7117,2.6395,2.7117,2415110,0
1995-03-07,2.6714,2.7117,2.6234,2.6395,3227246,0
