Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.5956,2.628,2.5871,2.628,677433,0
1995-01-04,2.6117,2.6441,2.5956,2.6441,698718,0
1995-01-05,2.6604,2.7492,2.628,2.7167,2875008,0
1995-01-06,2.7167,2.8219,2.7167,2.8219,1606545,0
1995-01-09,2.8219,2.8544,2.7896,2.8461,1661646,0
1995-01-10,2.8544,2.8544,2.7576,2.7576,1640356,0
1995-01-11,2.7492,2.7896,2.7329,2.7734,1758058,0
1995-01-12,2.7492,2.8059,2.7492,2.7492,758822,0
1995-01-13,2.7734,2.7977,2.7492,2.7734,1023030,0
1995-01-16,2.7492,2.7734,2.7492,2.7492,136488,0
1995-01-17,2.7492,2.7652,2.7007,2.7329,714996,0
1995-01-18,2.7329,2.7329,2.7007,2.7007,254193,0
1995-01-19,2.7007,2.7329,2.6441,2.6441,370646,0
1995-01-20,2.6604,2.6765,2.5956,2.6441,1124460,0
1995-01-23,2.628,2.7492,2.628,2.7492,1091900,0
1995-01-24,2.7329,2.7492,2.7007,2.7329,806404,0
1995-01-25,2.7007,2.7167,2.6765,2.7007,549709,0
1995-01-26,2.6844,2.7007,2.628,2.628,618577,0
1995-01-27,2.6765,2.6765,2.5554,2.5554,737531,0
1995-01-30,2.5956,2.5956,2.466,2.466,3449759,0
1995-01-31,2.5228,2.5554,2.4984,2.5554,856489,0
1995-02-01,2.5712,2.5871,2.466,2.466,1602794,0
1995-02-02,2.4825,2.5228,2.4338,2.4984,3471048,0
1995-02-03,2.5387,2.5554,2.4984,2.5387,641115,0
1995-02-06,2.5387,2.5871,2.5148,2.5387,1488844,0
1995-02-07,2.5554,2.5712,2.5228,2.5312,1735524,0
1995-02-08,2.5554,2.5554,2.5148,2.5387,954160,0
1995-02-09,2.5387,2.5387,2.5148,2.5148,587272,0
1995-02-10,2.5148,2.5387,2.4984,2.5228,484597,0
1995-02-13,2.5387,2.5387,2.5148,2.5228,760074,0
1995-02-14,2.5387,2.5712,2.5387,2.5712,504629,0
1995-02-15,2.5712,2.5871,2.5387,2.5871,540942,0
1995-02-16,2.5956,2.5956,2.5228,2.5712,688698,0
1995-02-17,2.5712,2.5712,2.5228,2.5228,444525,0
1995-02-21,2.5554,2.5712,2.5228,2.5712,1440010,0
1995-02-22,2.5387,2.5871,2.5387,2.5871,1098163,0
1995-02-23,2.5871,2.6117,2.5554,2.6117,726266,0
1995-02-24,2.6117,2.6117,2.5871,2.5871,502122,0
