Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.588,13.655,13.516,13.588,474464,0
1995-01-04,13.726,13.726,13.588,13.726,280099,0
1995-01-05,13.655,13.726,13.655,13.655,330405,0
1995-01-06,13.588,13.726,13.588,13.655,325880,0
1995-01-09,13.588,13.655,13.588,13.655,533817,0
1995-01-10,13.655,13.726,13.588,13.655,509508,0
1995-01-11,13.588,13.726,13.516,13.655,549597,0
1995-01-12,13.655,13.655,13.588,13.655,247644,0
1995-01-13,13.655,13.796,13.655,13.796,485323,0
1995-01-16,13.866,14.144,13.796,14.073,675553,0
1995-01-17,14.004,14.213,13.935,14.213,780037,0
1995-01-18,14.073,14.282,13.935,13.935,510933,0
1995-01-19,13.796,13.935,13.726,13.796,488687,0
1995-01-20,13.866,13.935,13.796,13.935,962505,0
1995-01-23,13.866,14.073,13.866,14.073,504983,0
1995-01-24,14.004,14.144,14.004,14.073,705939,0
1995-01-25,14.004,14.144,13.935,14.004,696499,0
1995-01-26,14.073,14.073,13.935,14.004,1051861,0
1995-01-27,14.073,14.144,13.935,14.004,685248,0
1995-01-30,13.935,13.935,13.796,13.866,985523,0
1995-01-31,13.935,14.144,13.866,14.073,1137337,0
1995-02-01,14.144,14.144,13.935,13.935,969231,0
1995-02-02,13.866,14.073,13.866,13.935,1393130,0
1995-02-03,13.935,14.213,13.935,14.144,2292654,0
1995-02-06,14.144,14.144,14.004,14.004,671929,0
1995-02-07,14.073,14.073,14.004,14.073,1100872,0
1995-02-08,14.073,14.213,14.004,14.004,1209240,0
1995-02-09,14.004,14.073,14.004,14.004,624598,0
1995-02-10,14.073,14.073,14.004,14.004,600805,0
1995-02-13,14.004,14.073,13.935,14.004,604425,0
1995-02-14,14.004,14.073,13.935,14.004,541965,0
1995-02-15,13.935,14.004,13.866,14.004,1038154,0
1995-02-16,14.004,14.073,13.935,14.073,488300,0
1995-02-17,14.073,14.213,14.004,14.004,827888,0
1995-02-21,14.004,14.144,14.004,14.004,810169,0
1995-02-22,14.004,14.282,14.004,14.213,914917,0
1995-02-23,14.282,14.351,14.144,14.144,575459,0
1995-02-24,14.213,14.282,14.144,14.282,691199,0
1995-02-27,14.213,14.351,14.213,14.213,720295,0
1995-02-28,14.213,14.282,14.144,14.282,689645,0
1995-03-01,14.282,14.351,14.073,14.213,769174,0
1995-03-02,14.213,14.213,14.073,14.144,769565,0
1995-03-03,14.004,14.144,14.004,14.144,589946,0
1995-03-06,14.073,14.144,14.004,14.004,492958,0
1995-03-07,14.004,14.073,13.866,13.935,1043588,0
1995-03-08,14.004,14.004,13.866,14.004,1853499,0
1995-03-09,13.997,14.351,13.927,13.997,758702,0
1995-03-10,14.073,14.073,13.927,14.073,705032,0
1995-03-13,14.073,14.073,13.927,13.927,703483,0
1995-03-14,14.073,14.213,13.997,14.213,1154926,0
1995-03-15,14.144,14.213,13.997,14.073,612187,0
1995-03-16,14.073,14.282,14.073,14.144,866939,0
1995-03-17,14.213,14.282,14.073,14.073,1353299,0
1995-03-20,14.073,14.144,13.997,14.144,413814,0
1995-03-21,14.073,14.213,14.073,14.073,649299,0
1995-03-22,13.997,14.073,13.997,14.073,888793,0
1995-03-23,13.997,14.213,13.997,14.144,682923,0
1995-03-24,14.213,14.351,14.144,14.351,813272,0
1995-03-27,14.431,14.499,14.282,14.282,935995,0
1995-03-28,14.282,14.282,13.997,14.144,416145,0
1995-03-29,14.073,14.282,13.997,14.213,515196,0
1995-03-30,14.351,14.351,14.282,14.351,350449,0
1995-03-31,14.213,14.351,13.997,14.144,839391,0
1995-04-03,14.073,14.282,14.073,14.213,612187,0
1995-04-04,14.213,14.57,14.213,14.57,1414466,0
1995-04-05,14.499,14.786,14.499,14.706,620073,0
1995-04-06,14.706,14.854,14.638,14.706,1688617,0
1995-04-07,14.706,14.786,14.638,14.786,659517,0
1995-04-10,14.706,14.854,14.638,14.786,1099062,0
1995-04-11,14.786,14.854,14.638,14.638,2048377,0
1995-04-12,14.638,14.786,14.638,14.638,654601,0
1995-04-13,14.706,14.786,14.638,14.786,492569,0
1995-04-17,14.786,14.854,14.638,14.638,629388,0
1995-04-18,14.706,14.706,14.638,14.706,504207,0
1995-04-19,14.638,14.925,14.638,14.925,656671,0
1995-04-20,14.925,15.065,14.854,15.065,533690,0
1995-04-21,15.065,15.065,14.994,15.065,891766,0
1995-04-24,14.994,15.209,14.925,15.209,580242,0
1995-04-25,15.14,15.421,15.14,15.351,718483,0
1995-04-26,15.351,15.489,15.282,15.351,649169,0
1995-04-27,15.351,15.421,15.282,15.351,642186,0
1995-04-28,15.351,15.351,15.14,15.282,886983,0
1995-05-01,15.282,15.282,15.065,15.065,1449254,0
1995-05-02,15.065,15.065,14.925,15.065,565502,0
1995-05-03,15.14,15.209,15.065,15.14,388983,0
1995-05-04,15.14,15.209,15.065,15.14,470068,0
1995-05-05,15.14,15.282,15.065,15.209,960819,0
1995-05-08,15.209,15.282,15.14,15.282,253721,0
1995-05-09,15.351,15.351,15.209,15.209,478858,0
1995-05-10,15.282,15.282,14.994,15.14,933538,0
1995-05-11,15.209,15.209,15.065,15.065,299625,0
1995-05-12,15.065,15.209,14.994,15.065,464376,0
1995-05-15,15.209,15.351,15.14,15.351,679172,0
1995-05-16,15.351,15.421,15.282,15.351,437093,0
1995-05-17,15.351,15.421,15.282,15.282,324844,0
1995-05-18,15.351,15.351,15.282,15.282,1761032,0
1995-05-19,15.282,15.351,14.994,15.14,1008670,0
1995-05-22,15.209,15.351,15.14,15.351,435669,0
1995-05-23,15.351,15.421,15.14,15.282,746674,0
1995-05-24,15.351,15.489,15.209,15.351,1679178,0
1995-05-25,15.775,16.347,15.707,16.2,2354081,0
1995-05-26,16.2,16.2,16.06,16.06,848187,0
1995-05-30,16.06,16.2,16.06,16.131,721329,0
1995-05-31,16.131,16.486,16.131,16.486,805644,0
1995-06-01,16.418,16.418,16.131,16.2,1185445,0
1995-06-02,16.2,16.557,16.131,16.557,1539903,0
1995-06-05,16.557,16.704,16.486,16.634,649945,0
1995-06-06,16.704,16.704,16.557,16.634,1215837,0
1995-06-07,16.634,16.704,16.557,16.557,1323038,0
1995-06-08,16.557,16.557,16.418,16.486,382649,0
1995-06-09,16.418,16.486,16.131,16.486,1261484,0
1995-06-12,16.278,16.347,16.2,16.278,2263559,0
1995-06-13,16.418,16.704,16.418,16.704,1322781,0
1995-06-14,16.704,16.704,16.557,16.634,655246,0
1995-06-15,16.634,16.704,16.486,16.634,283593,0
1995-06-16,16.704,16.704,16.557,16.557,1368301,0
1995-06-19,16.557,16.704,16.557,16.634,197595,0
1995-06-20,16.704,16.704,16.486,16.557,1015783,0
1995-06-21,16.557,16.634,16.418,16.418,507824,0
1995-06-22,16.418,16.772,16.418,16.634,932888,0
1995-06-23,16.634,16.772,16.557,16.772,388340,0
1995-06-26,16.704,16.812,16.634,16.704,643740,0
1995-06-27,16.772,16.989,16.772,16.919,978797,0
1995-06-28,16.919,17.208,16.919,17.135,614381,0
1995-06-29,17.135,17.135,16.851,17.067,550890,0
1995-06-30,16.989,17.067,16.704,16.772,975565,0
1995-07-03,16.772,16.919,16.772,16.851,177421,0
1995-07-05,16.851,16.989,16.772,16.772,777838,0
1995-07-06,16.772,17.067,16.704,17.067,761417,0
1995-07-07,16.989,17.067,16.919,16.989,878709,0
1995-07-10,16.989,16.989,16.851,16.919,525156,0
1995-07-11,16.919,16.989,16.851,16.989,763485,0
1995-07-12,16.989,17.067,16.919,16.989,713441,0
1995-07-13,16.989,17.067,16.989,17.067,1062078,0
1995-07-14,16.989,16.989,16.772,16.851,445239,0
1995-07-17,16.851,16.989,16.772,16.851,759994,0
1995-07-18,16.919,16.989,16.772,16.989,535243,0
1995-07-19,16.919,16.989,16.704,16.919,491144,0
1995-07-20,16.919,17.067,16.919,16.989,721196,0
1995-07-21,16.989,16.989,16.851,16.919,825559,0
1995-07-24,16.919,16.989,16.851,16.919,431141,0
1995-07-25,16.919,17.135,16.919,17.135,600545,0
1995-07-26,17.135,17.208,17.067,17.067,1124152,0
1995-07-27,17.135,17.208,17.067,17.135,286694,0
1995-07-28,17.135,17.208,17.067,17.067,341652,0
1995-07-31,17.067,17.067,16.989,17.067,404761,0
1995-08-01,16.989,17.067,16.919,16.989,479246,0
1995-08-02,16.989,17.135,16.919,16.989,668567,0
1995-08-03,16.851,16.919,16.772,16.919,466965,0
1995-08-04,16.919,16.919,16.851,16.919,312946,0
1995-08-07,16.919,16.919,16.851,16.851,196434,0
1995-08-08,16.919,16.919,16.772,16.851,1426102,0
1995-08-09,16.851,16.919,16.772,16.772,259537,0
1995-08-10,16.772,16.772,16.704,16.704,864998,0
1995-08-11,16.704,16.851,16.704,16.704,738012,0
1995-08-14,16.704,16.772,16.634,16.772,465411,0
1995-08-15,16.634,16.704,16.634,16.704,674903,0
1995-08-16,16.634,16.851,16.634,16.851,1289806,0
1995-08-17,16.851,16.851,16.772,16.851,543259,0
1995-08-18,16.851,16.851,16.704,16.704,402044,0
1995-08-21,16.772,16.851,16.704,16.704,431270,0
1995-08-22,16.704,16.851,16.704,16.772,933148,0
1995-08-23,16.704,16.851,16.704,16.704,927072,0
1995-08-24,16.704,16.772,16.704,16.772,622272,0
1995-08-25,16.704,16.851,16.704,16.851,432823,0
1995-08-28,16.851,16.851,16.704,16.772,323679,0
1995-08-29,16.772,16.772,16.634,16.704,820126,0
1995-08-30,16.704,16.704,16.557,16.704,980998,0
1995-08-31,16.634,16.772,16.634,16.634,431529,0
1995-09-01,16.634,16.772,16.634,16.772,396355,0
1995-09-05,16.634,16.772,16.634,16.634,355231,0
1995-09-06,16.634,16.772,16.634,16.704,614381,0
1995-09-07,16.634,16.704,16.557,16.634,557999,0
1995-09-08,16.634,16.634,16.418,16.557,888404,0
1995-09-11,16.486,16.557,16.418,16.486,264841,0
1995-09-12,16.557,16.772,16.557,16.704,2109285,0
1995-09-13,16.696,16.919,16.696,16.919,1121306,0
1995-09-14,16.989,17.215,16.989,17.135,1219586,0
1995-09-15,17.283,17.283,17.067,17.135,1520632,0
1995-09-18,16.989,17.067,16.919,17.067,434893,0
1995-09-19,16.989,17.067,16.919,16.919,1040737,0
1995-09-20,16.989,16.989,16.919,16.989,552570,0
1995-09-21,16.989,17.067,16.919,16.919,470324,0
1995-09-22,16.843,17.067,16.843,16.989,450022,0
1995-09-25,17.067,17.067,16.989,16.989,416917,0
1995-09-26,17.067,17.283,16.989,17.215,1860998,0
1995-09-27,17.067,17.283,17.067,17.283,1602751,0
1995-09-28,17.283,17.655,17.215,17.655,1593825,0
1995-09-29,17.579,17.655,17.579,17.655,850258,0
1995-10-02,17.507,17.507,17.361,17.361,592787,0
1995-10-03,17.361,17.545,17.361,17.507,778100,0
1995-10-04,17.507,17.655,17.43,17.579,1094149,0
1995-10-05,17.579,17.616,17.507,17.507,470324,0
1995-10-06,17.579,17.579,17.43,17.507,690684,0
1995-10-09,17.507,17.655,17.43,17.655,429204,0
1995-10-10,17.579,17.87,17.579,17.725,891382,0
1995-10-11,17.725,17.801,17.655,17.655,397648,0
1995-10-12,17.725,17.801,17.507,17.507,420281,0
1995-10-13,17.579,17.579,17.283,17.361,483643,0
1995-10-16,17.361,17.43,17.215,17.215,277252,0
1995-10-17,17.215,17.215,17.135,17.135,394545,0
1995-10-18,17.215,17.43,17.215,17.43,823231,0
1995-10-19,17.43,17.655,17.283,17.579,556965,0
1995-10-20,17.579,17.725,17.507,17.725,680335,0
1995-10-23,17.655,17.87,17.579,17.725,610635,0
1995-10-24,17.801,17.801,17.655,17.801,521793,0
1995-10-25,17.801,17.948,17.725,17.948,729607,0
1995-10-26,17.87,18.019,17.87,17.948,749646,0
1995-10-27,17.725,17.801,17.507,17.655,1302865,0
1995-10-30,17.579,17.579,17.361,17.43,513127,0
1995-10-31,17.507,17.579,17.283,17.283,489204,0
1995-11-01,17.283,17.579,17.283,17.507,481704,0
1995-11-02,17.507,17.655,17.43,17.579,591108,0
1995-11-03,17.579,17.579,17.361,17.43,711759,0
1995-11-06,17.361,17.43,17.283,17.361,401139,0
1995-11-07,17.361,17.361,17.283,17.283,344630,0
1995-11-08,17.361,17.507,17.283,17.43,806291,0
1995-11-09,17.43,17.43,17.215,17.361,1412523,0
1995-11-10,17.283,17.361,17.067,17.135,2005832,0
1995-11-13,17.215,17.361,17.135,17.361,315140,0
1995-11-14,17.283,17.283,17.135,17.215,356525,0
1995-11-15,17.135,17.361,17.135,17.361,693265,0
1995-11-16,17.283,17.361,17.215,17.283,819223,0
1995-11-17,17.283,17.283,17.067,17.067,1913113,0
1995-11-20,17.067,17.579,16.843,16.843,1095309,0
1995-11-21,16.843,16.843,16.625,16.843,1160617,0
1995-11-22,16.772,16.772,16.255,16.401,1009962,0
1995-11-24,16.401,16.478,16.333,16.333,275187,0
1995-11-27,16.401,16.548,16.255,16.478,876769,0
1995-11-28,16.401,16.478,16.185,16.333,702192,0
1995-11-29,16.333,16.333,16.038,16.038,809781,0
1995-11-30,16.107,16.255,15.962,16.185,1270021,0
1995-12-01,16.185,16.478,16.185,16.255,643221,0
1995-12-04,16.255,16.401,16.185,16.333,1002334,0
1995-12-05,16.333,16.696,16.255,16.478,576236,0
1995-12-06,16.333,16.625,16.333,16.401,848187,0
1995-12-07,16.255,16.401,16.185,16.185,579077,0
1995-12-08,16.185,16.401,16.185,16.255,647749,0
1995-12-11,16.333,16.478,16.255,16.401,1011389,0
1995-12-12,16.401,16.696,16.401,16.696,1919835,0
1995-12-13,16.843,16.911,16.763,16.843,1177558,0
1995-12-14,16.843,17.067,16.763,16.843,1020178,0
1995-12-15,16.989,17.215,16.911,17.135,2122862,0
