Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.9471,3.1331,2.9471,2.9914,608781,0
1995-01-04,2.9914,3.0622,2.9914,3.0622,463700,0
1995-01-05,2.9914,3.0622,2.9914,3.0445,282694,0
1995-01-06,3.0269,3.0977,2.9914,3.0269,216262,0
1995-01-09,2.9914,3.0977,2.9914,3.0977,244053,0
1995-01-10,3.0977,3.2039,3.0622,3.1511,661655,0
1995-01-11,3.1685,3.1685,3.0269,3.0977,330148,0
1995-01-12,3.0977,3.0977,3.0269,3.0977,211513,0
1995-01-13,3.0977,3.2039,3.0269,3.1331,505732,0
1995-01-16,3.1331,3.2481,3.1331,3.2481,468444,0
1995-01-17,3.2039,3.3367,3.2039,3.2836,546408,0
1995-01-18,3.2836,3.3189,3.2481,3.2661,503022,0
1995-01-19,3.2481,3.2836,3.2481,3.2481,170838,0
1995-01-20,3.2481,3.2836,3.1685,3.2481,169481,0
1995-01-23,3.0977,3.1685,3.0977,3.0977,30507,0
1995-01-24,3.1685,3.1685,3.0977,3.1685,31862,0
1995-01-25,3.1685,3.1685,3.0622,3.1331,60336,0
1995-01-26,3.1331,3.1331,3.0622,3.1331,13556,0
1995-01-27,3.1331,3.1331,3.0269,3.0269,111859,0
1995-01-30,3.0269,3.0977,3.0269,3.0269,63045,0
1995-01-31,3.0269,3.0977,3.0269,3.0801,260323,0
1995-02-01,3.0977,3.0977,3.0269,3.0977,225751,0
1995-02-02,3.0977,3.1685,3.0269,3.0977,238631,0
1995-02-03,3.0977,3.2481,3.0977,3.2481,667754,0
1995-02-06,3.2481,3.4693,3.1685,3.3896,813511,0
1995-02-07,3.434,3.434,3.2039,3.2039,589797,0
1995-02-08,3.2481,3.3189,3.2481,3.2481,100329,0
1995-02-09,3.3189,3.3189,3.2481,3.2481,256935,0
1995-02-10,3.3189,3.3189,3.2039,3.2481,157276,0
1995-02-13,3.2039,3.2836,3.1331,3.1331,239986,0
1995-02-14,3.0977,3.1685,3.0977,3.1685,218292,0
1995-02-15,3.1685,3.1685,3.0977,3.1685,147787,0
1995-02-16,3.1685,3.1685,2.9914,3.0269,612846,0
1995-02-17,2.9914,3.1331,2.9914,3.0269,2002593,0
1995-02-21,3.0622,3.2039,3.0622,3.2039,395906,0
1995-02-22,3.1331,3.2836,3.1331,3.2039,397265,0
1995-02-23,3.2039,3.3543,3.2039,3.2481,577590,0
1995-02-24,3.2481,3.3189,3.2481,3.3101,84063,0
1995-02-27,3.3189,3.3543,3.2836,3.2836,92195,0
1995-02-28,3.2836,3.434,3.2836,3.3543,4404484,0
1995-03-01,3.434,3.434,3.3543,3.3896,277270,0
1995-03-02,3.3543,3.434,3.3543,3.3543,130841,0
1995-03-03,3.3543,3.3896,3.3543,3.372,69149,0
1995-03-06,3.3543,3.3896,3.2836,3.3367,124059,0
1995-03-07,3.2836,3.3896,3.2836,3.3367,337607,0
1995-03-08,3.3189,3.434,3.3189,3.3543,987738,0
1995-03-09,3.3543,3.434,3.3543,3.3543,615557,0
1995-03-10,3.3543,3.434,3.3543,3.4074,286766,0
1995-03-13,3.3543,3.434,3.3543,3.372,221683,0
1995-03-14,3.3543,3.434,3.3543,3.3543,44063,0
1995-03-15,3.3543,3.434,3.3543,3.3543,161345,0
1995-03-16,3.3543,3.434,3.3543,3.3543,416246,0
1995-03-17,3.3543,3.434,3.3543,3.3896,111180,0
1995-03-20,3.434,3.434,3.3896,3.3896,383026,0
1995-03-21,3.3896,3.5759,3.3896,3.5759,424382,0
1995-03-22,3.5759,3.5759,3.4693,3.5048,389127,0
1995-03-23,3.4693,3.5048,3.3896,3.4871,1246027,0
1995-03-24,3.3896,3.5048,3.3896,3.5048,23729,0
1995-03-27,3.3896,3.5048,3.3896,3.4074,166769,0
1995-03-28,3.3896,3.5048,3.3896,3.3896,42033,0
1995-03-29,3.3896,3.5048,3.3896,3.3896,80674,0
1995-03-30,3.3896,3.5582,3.3896,3.5048,328115,0
1995-03-31,3.4693,3.6908,3.434,3.6908,724702,0
1995-04-03,3.6908,3.7615,3.5759,3.6111,1212806,0
1995-04-04,3.5759,3.6111,3.5048,3.5048,308458,0
1995-04-05,3.5402,3.5402,3.4693,3.5402,168126,0
1995-04-06,3.4693,3.5402,3.4693,3.5402,59656,0
1995-04-07,3.4693,3.5402,3.4693,3.4693,27795,0
1995-04-10,3.5402,3.5402,3.4514,3.4514,119315,0
1995-04-11,3.434,3.5048,3.434,3.5048,16269,0
1995-04-12,3.5048,3.5402,3.3896,3.3896,114571,0
1995-04-13,3.3896,3.3896,3.3543,3.372,143045,0
1995-04-17,3.3543,3.3896,3.3543,3.3543,292186,0
1995-04-18,3.3896,3.3896,3.3543,3.3896,101687,0
1995-04-19,3.3543,3.3896,3.3189,3.3367,768093,0
1995-04-20,3.3189,3.3896,3.3189,3.3189,25762,0
1995-04-21,3.3896,3.4693,3.3189,3.434,268458,0
1995-04-24,3.3896,3.5223,3.3896,3.4693,128128,0
1995-04-25,3.4693,3.5402,3.4693,3.4693,18987,0
1995-04-26,3.5402,3.5582,3.4693,3.5402,230492,0
1995-04-27,3.5582,3.5582,3.5048,3.5223,233208,0
1995-04-28,3.5048,3.5582,3.434,3.434,242023,0
1995-05-01,3.434,3.4871,3.372,3.372,276593,0
1995-05-02,3.3896,3.3896,3.372,3.372,78640,0
1995-05-03,3.3896,3.4693,3.3543,3.434,669789,0
1995-05-04,3.3896,3.434,3.372,3.372,304386,0
1995-05-05,3.434,3.434,3.2481,3.2481,1829041,0
1995-05-08,3.2481,3.3189,3.2481,3.2836,147109,0
1995-05-09,3.2481,3.3189,3.2481,3.2481,109824,0
1995-05-10,3.2481,3.3189,3.2481,3.2481,42711,0
1995-05-11,3.2481,3.3189,3.2039,3.2039,109144,0
1995-05-12,3.2039,3.2836,3.2039,3.2039,74573,0
1995-05-15,3.2481,3.3189,3.2039,3.2481,478616,0
1995-05-16,3.2481,3.3543,3.2481,3.3367,1704306,0
1995-05-17,3.3543,3.3896,3.3189,3.3896,478616,0
