Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.8409,5.9014,5.8409,5.9014,549117,0
1995-01-04,5.9014,5.924,5.8714,5.9014,464640,0
1995-01-05,5.8714,5.8714,5.8106,5.8409,560996,0
1995-01-06,5.8714,5.9014,5.7882,5.7882,788303,0
1995-01-09,5.7882,5.8409,5.7651,5.8106,365375,0
1995-01-10,5.8409,5.9014,5.8106,5.8714,548326,0
1995-01-11,5.8714,5.9014,5.8106,5.8409,347952,0
1995-01-12,5.8106,5.8714,5.7651,5.8714,433224,0
1995-01-13,5.924,5.924,5.8714,5.924,425829,0
1995-01-16,5.924,6.0682,5.924,6.0076,1206739,0
1995-01-17,6.0076,6.0682,6.0076,6.0682,811800,0
1995-01-18,6.0379,6.0682,6.0076,6.0379,750550,0
1995-01-19,5.9772,6.0076,5.924,5.9772,761377,0
1995-01-20,5.9772,5.9772,5.924,5.9772,609574,0
1995-01-23,5.9547,6.0379,5.9547,6.0379,1109062,0
1995-01-24,5.9772,6.091,5.9772,6.0682,1022732,0
1995-01-25,6.091,6.174,6.0379,6.1213,470447,0
1995-01-26,6.174,6.2046,6.1514,6.2046,1612504,0
1995-01-27,6.2046,6.3409,6.2046,6.2801,1449091,0
1995-01-30,6.2801,6.3637,6.2801,6.3637,1121731,0
1995-01-31,6.3409,6.4243,6.3409,6.3637,2528586,0
1995-02-01,6.4014,6.4243,6.3637,6.3637,1300461,0
1995-02-02,6.3637,6.3637,6.2801,6.3409,787509,0
1995-02-03,6.4014,6.4547,6.4014,6.4547,1633627,0
1995-02-06,6.4547,6.4773,6.4014,6.4243,584233,0
1995-02-07,6.4243,6.4243,6.3637,6.4243,408406,0
1995-02-08,6.4243,6.5077,6.4014,6.4243,2206770,0
1995-02-09,6.4014,6.4243,6.2801,6.3179,563378,0
1995-02-10,6.3409,6.4014,6.2801,6.3409,631487,0
1995-02-13,6.3409,6.3637,6.2801,6.3179,310202,0
1995-02-14,6.3637,6.4243,6.3409,6.4243,866448,0
1995-02-15,6.4243,6.5077,6.4243,6.5077,652078,0
1995-02-16,6.5077,6.5077,6.4243,6.4243,973365,0
1995-02-17,6.4243,6.4547,6.4014,6.4547,694055,0
1995-02-21,6.4547,6.4547,6.4014,6.4547,941686,0
1995-02-22,6.4243,6.5606,6.4243,6.5606,623569,0
1995-02-23,6.5912,6.6135,6.5303,6.5303,446423,0
1995-02-24,6.5303,6.5606,6.4773,6.5303,324720,0
1995-02-27,6.5077,6.5303,6.4243,6.4773,521399,0
1995-02-28,6.4547,6.4547,6.4014,6.4547,3129711,0
1995-03-01,6.432,6.4621,6.3179,6.3486,3511985,0
1995-03-02,6.3179,6.3486,6.174,6.174,3537064,0
1995-03-03,6.174,6.2653,6.1213,6.2653,930336,0
1995-03-06,6.2349,6.2653,6.174,6.2349,415796,0
1995-03-07,6.174,6.2349,6.091,6.1514,603237,0
1995-03-08,6.2122,6.2122,6.1514,6.2122,1177705,0
1995-03-09,6.174,6.2122,6.091,6.1514,1567630,0
1995-03-10,6.174,6.2349,6.1213,6.174,575258,0
1995-03-13,6.2122,6.2349,6.1514,6.174,361677,0
1995-03-14,6.2122,6.3179,6.174,6.2877,919775,0
1995-03-15,6.2653,6.2877,6.174,6.2349,467012,0
1995-03-16,6.2122,6.2653,6.174,6.174,722303,0
1995-03-17,6.2122,6.2349,6.1514,6.174,1198292,0
1995-03-20,6.1514,6.174,6.091,6.1213,431109,0
1995-03-21,6.0682,6.1514,6.0076,6.1514,1930626,0
1995-03-22,6.1213,6.2349,6.091,6.174,1368310,0
1995-03-23,6.174,6.174,6.091,6.1514,589250,0
1995-03-24,6.174,6.2349,6.1514,6.174,529053,0
1995-03-27,6.2349,6.2877,6.2122,6.2877,613267,0
1995-03-28,6.2653,6.2877,6.2349,6.2653,786454,0
1995-03-29,6.2349,6.2653,6.2122,6.2349,1612771,0
1995-03-30,6.2653,6.2877,6.2349,6.2653,966498,0
1995-03-31,6.2653,6.2653,6.1514,6.174,1365671,0
1995-04-03,6.2122,6.2122,6.1514,6.1514,455929,0
1995-04-04,6.174,6.3179,6.174,6.2877,894955,0
1995-04-05,6.2877,6.409,6.2877,6.3714,531167,0
1995-04-06,6.3714,6.409,6.3486,6.3486,557566,0
1995-04-07,6.3179,6.3486,6.2653,6.3486,906306,0
1995-04-10,6.3179,6.3486,6.2653,6.3179,368015,0
1995-04-11,6.3179,6.3486,6.2349,6.2653,720455,0
1995-04-12,6.2653,6.2877,6.2122,6.2349,224664,0
1995-04-13,6.2877,6.3486,6.2349,6.2653,790678,0
1995-04-17,6.2653,6.2877,6.0682,6.0682,1241327,0
1995-04-18,6.091,6.1514,6.0682,6.091,512687,0
1995-04-19,6.0682,6.2122,6.0379,6.0682,573935,0
1995-04-20,6.174,6.2122,6.1213,6.174,337917,0
1995-04-21,6.2122,6.2122,6.091,6.174,1438532,0
1995-04-24,6.174,6.2349,6.1213,6.2122,598753,0
1995-04-25,6.2122,6.2122,6.1514,6.2122,903671,0
1995-04-26,6.2122,6.2653,6.174,6.2349,492361,0
1995-04-27,6.2122,6.2349,6.174,6.2349,1054148,0
1995-04-28,6.2349,6.2653,6.2122,6.2122,913969,0
1995-05-01,6.2122,6.2122,6.1213,6.174,735504,0
1995-05-02,6.1514,6.174,6.091,6.1213,1286468,0
1995-05-03,6.1514,6.2122,6.091,6.2122,585023,0
1995-05-04,6.2349,6.2653,6.174,6.174,1038046,0
1995-05-05,6.2349,6.3179,6.2122,6.3179,1364345,0
1995-05-08,6.2877,6.3486,6.2349,6.2877,793054,0
1995-05-09,6.3179,6.3486,6.2653,6.3179,797544,0
1995-05-10,6.3486,6.3486,6.2877,6.3179,861694,0
1995-05-11,6.3179,6.3486,6.2653,6.2653,498428,0
1995-05-12,6.2653,6.3486,6.2349,6.3486,578951,0
1995-05-15,6.3486,6.409,6.3179,6.409,399695,0
1995-05-16,6.409,6.432,6.409,6.432,352702,0
1995-05-17,6.409,6.4621,6.3714,6.409,1785427,0
1995-05-18,6.409,6.409,6.3179,6.3179,714123,0
1995-05-19,6.2653,6.3179,6.2653,6.2877,693527,0
1995-05-22,6.3179,6.3714,6.2877,6.3714,386758,0
1995-05-23,6.3486,6.409,6.3179,6.409,640462,0
1995-05-24,6.432,6.4621,6.409,6.432,469655,0
1995-05-25,6.4848,6.5756,6.4621,6.5455,1151039,0
1995-05-26,6.5756,6.6288,6.5225,6.5455,752925,0
1995-05-30,6.5455,6.6591,6.5455,6.6288,971782,0
1995-05-31,6.6288,6.7199,6.5756,6.7199,1765365,0
1995-06-01,6.6968,6.7502,6.6363,6.7502,1773549,0
1995-06-02,6.7805,6.8636,6.7502,6.8408,1786752,0
1995-06-05,6.8636,6.9546,6.8636,6.9015,935085,0
1995-06-06,6.8636,6.9015,6.8408,6.9015,562055,0
1995-06-07,6.8636,6.9015,6.7502,6.8107,761903,0
1995-06-08,6.7502,6.7805,6.6363,6.6665,434807,0
1995-06-09,6.6363,6.6665,6.4925,6.5225,724153,0
1995-06-12,6.5834,6.6665,6.5529,6.5834,872254,0
1995-06-13,6.6363,6.6363,6.5834,6.6059,1154204,0
1995-06-14,6.432,6.432,6.2122,6.2349,3489807,0
1995-06-15,6.2349,6.2653,6.2122,6.2349,2589041,0
1995-06-16,6.2653,6.2877,6.2349,6.2653,1728932,0
1995-06-19,6.2877,6.3486,6.2653,6.3258,1013758,0
1995-06-20,6.3258,6.3486,6.2877,6.2877,597430,0
1995-06-21,6.2877,6.3258,6.2877,6.2877,609574,0
1995-06-22,6.3486,6.432,6.3486,6.409,1358012,0
1995-06-23,6.3789,6.409,6.3789,6.409,738408,0
1995-06-26,6.409,6.409,6.3486,6.409,995540,0
1995-06-27,6.3789,6.432,6.3789,6.409,895224,0
1995-06-28,6.409,6.4925,6.409,6.4697,1678773,0
1995-06-29,6.4697,6.4697,6.409,6.409,1713887,0
1995-06-30,6.432,6.432,6.3486,6.3789,1529613,0
1995-07-03,6.3789,6.3789,6.3486,6.3789,465957,0
1995-07-05,6.3789,6.409,6.3789,6.409,972574,0
1995-07-06,6.409,6.432,6.3789,6.432,3373120,0
1995-07-07,6.432,6.4697,6.409,6.432,2217595,0
1995-07-10,6.432,6.432,6.409,6.432,826847,0
1995-07-11,6.409,6.409,6.3789,6.3789,1193541,0
1995-07-12,6.3789,6.4697,6.3789,6.4697,1378872,0
1995-07-13,6.432,6.4697,6.409,6.432,520606,0
1995-07-14,6.409,6.4697,6.409,6.432,602710,0
1995-07-17,6.432,6.4697,6.409,6.4697,815757,0
1995-07-18,6.432,6.432,6.3789,6.409,1018772,0
1995-07-19,6.3789,6.5529,6.2877,6.3486,1818166,0
1995-07-20,6.3258,6.3486,6.2877,6.3258,1485526,0
1995-07-21,6.3258,6.3486,6.2653,6.2877,2128098,0
1995-07-24,6.3258,6.3486,6.2653,6.2877,908420,0
1995-07-25,6.3258,6.3789,6.2653,6.3486,645216,0
1995-07-26,6.3258,6.3486,6.3258,6.3258,1101935,0
1995-07-27,6.3258,6.3486,6.2877,6.3486,1295180,0
