Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,14.359,14.359,14.111,14.259,3105561,0
1995-01-04,13.865,14.064,13.67,14.064,8212513,0
1995-01-05,14.012,14.064,13.767,13.767,5311715,0
1995-01-06,13.818,13.916,13.767,13.767,3265771,0
1995-01-09,13.767,13.916,13.767,13.818,3740065,0
1995-01-10,13.818,13.865,13.67,13.67,4557905,0
1995-01-11,13.767,13.818,13.423,13.47,7148268,0
1995-01-12,13.47,13.571,13.423,13.423,4237003,0
1995-01-13,13.571,13.67,13.423,13.571,4563996,0
1995-01-16,13.618,13.716,13.571,13.716,3532135,0
1995-01-17,13.716,13.963,13.67,13.916,4549388,0
1995-01-18,13.865,13.916,13.716,13.716,2849667,0
1995-01-19,13.716,13.818,13.522,13.67,2544831,0
1995-01-20,13.67,13.716,13.522,13.618,5929416,0
1995-01-23,13.571,13.767,13.522,13.767,2630536,0
1995-01-24,13.818,13.963,13.716,13.865,5531574,0
1995-01-25,13.963,14.111,13.865,14.064,4035159,0
1995-01-26,14.16,14.211,14.111,14.111,3317874,0
1995-01-27,14.309,14.557,14.309,14.408,4804551,0
1995-01-30,14.359,14.605,14.259,14.408,5921626,0
1995-01-31,14.456,14.654,14.408,14.605,5395470,0
1995-02-01,14.752,14.909,14.605,14.702,7447261,0
1995-02-02,14.557,15.057,14.557,15.057,5921383,0
1995-02-03,15.057,15.55,15.057,15.402,11660156,0
1995-02-06,15.352,15.598,15.204,15.302,4511648,0
1995-02-07,15.107,15.156,14.909,15.008,7774009,0
1995-02-08,14.851,14.909,14.605,14.605,6495749,0
1995-02-09,14.605,14.702,14.359,14.605,4582255,0
1995-02-10,14.654,14.909,14.557,14.851,2813146,0
1995-02-13,14.803,14.909,14.654,14.654,1646886,0
1995-02-14,15.107,15.45,15.008,15.302,11673061,0
1995-02-15,15.302,15.352,15.057,15.204,4965733,0
1995-02-16,15.156,15.302,15.107,15.302,2845283,0
1995-02-17,15.302,15.45,15.156,15.302,4187089,0
1995-02-21,15.352,15.45,15.255,15.45,3629038,0
1995-02-22,15.45,15.55,15.352,15.45,7522007,0
1995-02-23,15.501,15.698,15.501,15.55,4748063,0
1995-02-24,15.501,15.698,15.501,15.698,3846953,0
1995-02-27,15.649,15.747,15.302,15.352,3839649,0
1995-02-28,15.302,15.501,15.255,15.501,3460796,0
1995-03-01,15.649,15.698,15.352,15.352,3314466,0
1995-03-02,15.352,15.402,15.204,15.352,3095826,0
1995-03-03,15.352,15.45,15.255,15.402,1936380,0
1995-03-06,15.255,15.598,15.156,15.55,2847229,0
1995-03-07,15.501,15.598,15.204,15.204,2876935,0
1995-03-08,15.204,15.302,15.008,15.107,2297699,0
1995-03-09,15.107,15.352,15.057,15.255,3117491,0
1995-03-10,15.302,15.747,15.255,15.747,4066082,0
1995-03-13,15.649,15.795,15.55,15.649,4131578,0
1995-03-14,15.698,15.944,15.698,15.747,6016341,0
1995-03-15,15.698,15.843,15.649,15.795,3638046,0
1995-03-16,15.795,15.944,15.747,15.843,4490954,0
1995-03-17,15.944,16.142,15.795,15.896,8115119,0
1995-03-20,15.896,16.04,15.747,15.944,3350498,0
1995-03-21,16.04,16.241,15.993,16.142,6177281,0
1995-03-22,16.188,16.241,16.093,16.188,4734673,0
1995-03-23,16.093,16.142,15.993,16.093,6171923,0
1995-03-24,16.093,16.142,15.843,15.944,4683541,0
1995-03-27,16.04,16.093,15.944,15.993,4162256,0
1995-03-28,15.896,15.993,15.747,15.944,2886186,0
1995-03-29,15.944,16.188,15.843,15.896,4577872,0
1995-03-30,15.944,15.993,15.45,15.45,6279541,0
1995-03-31,15.255,15.649,15.008,15.501,5260098,0
1995-04-03,15.402,15.747,15.402,15.698,2235611,0
1995-04-04,15.698,15.896,15.698,15.795,3968690,0
1995-04-05,15.843,15.944,15.747,15.843,3488310,0
1995-04-06,15.843,15.843,15.747,15.795,2315720,0
1995-04-07,15.795,15.944,15.649,15.795,3157910,0
1995-04-10,15.795,16.04,15.747,15.993,2561145,0
1995-04-11,16.04,16.188,15.896,15.993,3950917,0
1995-04-12,15.993,16.188,15.993,16.188,4604166,0
1995-04-13,16.188,16.289,16.142,16.241,4754879,0
1995-04-17,16.188,16.241,15.896,16.04,4310531,0
1995-04-18,16.093,16.389,15.993,16.241,4407196,0
1995-04-19,16.142,16.241,15.944,16.04,3354153,0
1995-04-20,16.04,16.093,15.896,15.993,2554571,0
1995-04-21,16.093,16.389,15.944,16.338,4932377,0
1995-04-24,16.241,16.536,16.188,16.389,4893664,0
1995-04-25,16.389,16.436,16.241,16.338,2012832,0
1995-04-26,16.188,16.536,16.188,16.486,3252135,0
1995-04-27,16.486,16.536,16.241,16.289,2753493,0
1995-04-28,16.338,16.584,16.093,16.486,3979648,0
1995-05-01,16.436,16.643,16.436,16.643,4292274,0
1995-05-02,16.739,17.133,16.691,17.035,14989233,0
1995-05-03,17.331,17.776,17.282,17.726,11593446,0
1995-05-04,17.678,18.12,17.626,17.776,9475674,0
1995-05-05,17.825,17.924,17.529,17.578,8511503,0
1995-05-08,17.431,17.924,17.382,17.874,5808407,0
1995-05-09,17.678,17.874,17.626,17.678,5961067,0
1995-05-10,17.776,18.073,17.678,18.073,5700309,0
1995-05-11,18.073,18.267,18.021,18.073,5894357,0
1995-05-12,17.874,18.073,17.578,17.578,5287611,0
1995-05-15,17.578,18.12,17.529,18.12,6130773,0
1995-05-16,18.021,18.17,17.924,17.973,3029597,0
1995-05-17,17.874,18.021,17.874,17.973,3759057,0
1995-05-18,17.825,17.924,17.48,17.48,4478536,0
1995-05-19,17.382,17.776,17.236,17.776,5561036,0
1995-05-22,17.726,17.924,17.626,17.726,2796099,0
1995-05-23,17.678,18.021,17.678,18.021,4783612,0
1995-05-24,18.17,18.62,18.021,18.62,8607918,0
1995-05-25,18.522,18.77,18.374,18.425,5361385,0
1995-05-26,18.12,18.574,18.12,18.425,4800411,0
1995-05-30,18.574,18.868,18.574,18.77,7295574,0
1995-05-31,18.721,19.409,18.721,19.409,10063917,0
1995-06-01,19.262,19.313,18.82,19.066,8650041,0
1995-06-02,18.868,19.163,18.672,18.721,4426429,0
1995-06-05,18.77,18.82,18.327,18.425,6392269,0
1995-06-06,18.374,18.672,18.17,18.267,6568302,0
1995-06-07,18.267,18.522,18.222,18.267,5601209,0
1995-06-08,18.222,18.721,18.17,18.574,4051229,0
1995-06-09,18.474,18.62,18.327,18.574,4071436,0
1995-06-12,18.574,18.721,18.474,18.574,3908064,0
1995-06-13,18.574,18.672,18.425,18.522,3023995,0
1995-06-14,18.522,18.62,18.474,18.62,1922016,0
1995-06-15,18.574,18.672,18.374,18.425,2932692,0
1995-06-16,18.522,18.574,18.425,18.474,5442948,0
1995-06-19,18.474,18.62,18.425,18.474,2741560,0
1995-06-20,18.425,18.574,18.425,18.574,3923890,0
1995-06-21,18.574,18.77,18.425,18.574,5466563,0
1995-06-22,18.62,18.82,18.574,18.721,5279817,0
1995-06-23,18.672,18.965,18.62,18.62,3696970,0
1995-06-26,18.62,18.868,18.474,18.574,3085595,0
1995-06-27,18.222,18.327,17.973,18.073,7153869,0
1995-06-28,18.073,18.12,17.626,18.073,7579466,0
1995-06-29,18.12,18.222,17.825,18.17,3779262,0
1995-06-30,18.17,18.374,17.973,18.021,3010119,0
1995-07-03,18.021,18.021,17.825,17.874,1820726,0
1995-07-05,17.825,17.874,17.382,17.382,9245833,0
1995-07-06,17.529,17.626,17.382,17.431,5780898,0
1995-07-07,17.431,17.678,17.282,17.382,6526669,0
1995-07-10,17.431,17.578,17.382,17.431,7062076,0
1995-07-11,17.431,17.626,17.431,17.48,4153247,0
1995-07-12,17.48,17.776,17.48,17.678,3965285,0
1995-07-13,17.825,18.021,17.678,17.924,5671090,0
1995-07-14,17.874,18.12,17.874,17.973,3635127,0
1995-07-17,17.874,18.021,17.825,17.924,5172932,0
1995-07-18,17.924,17.973,17.776,17.874,6012934,0
1995-07-19,17.726,17.924,17.133,17.678,6808861,0
1995-07-20,17.529,17.678,17.282,17.382,6631851,0
1995-07-21,17.282,17.626,17.236,17.578,7224721,0
1995-07-24,17.578,17.874,17.529,17.776,3492690,0
1995-07-25,17.825,18.17,17.578,18.073,5360653,0
1995-07-26,18.374,18.574,18.267,18.474,4535997,0
1995-07-27,18.425,18.522,18.222,18.327,2528032,0
1995-07-28,18.327,18.474,18.327,18.425,1875997,0
1995-07-31,18.474,18.62,18.327,18.574,2767611,0
1995-08-01,18.474,18.522,18.327,18.425,2212972,0
1995-08-02,18.374,18.522,18.17,18.267,2742291,0
1995-08-03,18.17,18.222,17.924,18.073,2200066,0
1995-08-04,18.021,18.267,17.973,18.222,1621074,0
1995-08-07,18.222,18.574,18.222,18.425,2240974,0
1995-08-08,18.327,18.522,18.327,18.425,2182535,0
1995-08-09,18.425,18.522,18.327,18.327,1667335,0
1995-08-10,18.267,18.474,18.222,18.267,1751580,0
1995-08-11,18.327,18.374,18.17,18.327,2967265,0
